configuration_id,population_id,shape,rows,columns,experiment,profile,family,constructor,relationship,n_p,n_q,relative_effect,shared_reachable_mi,achieved_mi_p,achieved_mi_q,absolute_mi_difference,target_mi_p,target_mi_q,replicates,simulation_seed,nominal_alpha,method_a,method_b,both_reject,neither_rejects,only_method_a_rejects,only_method_b_rejects,rejection_rate_difference_a_minus_b,paired_standard_error,paired_95_low,paired_95_high
2x2_uniform_common_additive_e0_np10_nq10,2x2_uniform_common_additive_e0,2x2,2,2,construction_check,uniform,common,additive,uniform,10,10,0.0,0.576240331422414,0.11524806628448281,0.11524806628448281,0.0,0.11524806628448281,0.11524806628448281,10000,6262283372169011682,0.05,expanded_welch,normal_wald,453,8615,0,932,-0.0932,0.002907270407465087,-0.09889824999863157,-0.08750175000136844
2x2_uniform_common_additive_e0_np10_nq10,2x2_uniform_common_additive_e0,2x2,2,2,construction_check,uniform,common,additive,uniform,10,10,0.0,0.576240331422414,0.11524806628448281,0.11524806628448281,0.0,0.11524806628448281,0.11524806628448281,10000,6262283372169011682,0.05,simple_welch,normal_wald,1038,8615,0,347,-0.0347,0.0018302803043794302,-0.03828734939658369,-0.03111265060341632
2x2_uniform_common_additive_e0_np10_nq10,2x2_uniform_common_additive_e0,2x2,2,2,construction_check,uniform,common,additive,uniform,10,10,0.0,0.576240331422414,0.11524806628448281,0.11524806628448281,0.0,0.11524806628448281,0.11524806628448281,10000,6262283372169011682,0.05,expanded_welch,simple_welch,383,8892,70,655,-0.0585,0.0026283960596882386,-0.06365165627698895,-0.05334834372301105
2x2_uniform_common_additive_e0_np50_nq50,2x2_uniform_common_additive_e0,2x2,2,2,construction_check,uniform,common,additive,uniform,50,50,0.0,0.576240331422414,0.11524806628448281,0.11524806628448281,0.0,0.11524806628448281,0.11524806628448281,10000,1942778114496041163,0.05,expanded_welch,normal_wald,426,9494,0,80,-0.008,0.0008908868435086432,-0.009746138213276941,-0.006253861786723059
2x2_uniform_common_additive_e0_np50_nq50,2x2_uniform_common_additive_e0,2x2,2,2,construction_check,uniform,common,additive,uniform,50,50,0.0,0.576240331422414,0.11524806628448281,0.11524806628448281,0.0,0.11524806628448281,0.11524806628448281,10000,1942778114496041163,0.05,simple_welch,normal_wald,476,9494,0,30,-0.003,0.0005469277036238877,-0.00407197829910282,-0.0019280217008971802
2x2_uniform_common_additive_e0_np50_nq50,2x2_uniform_common_additive_e0,2x2,2,2,construction_check,uniform,common,additive,uniform,50,50,0.0,0.576240331422414,0.11524806628448281,0.11524806628448281,0.0,0.11524806628448281,0.11524806628448281,10000,1942778114496041163,0.05,expanded_welch,simple_welch,426,9524,0,50,-0.005,0.0007053720684684768,-0.006382529254198214,-0.0036174707458017856
2x2_uniform_common_additive_e0_np250_nq250,2x2_uniform_common_additive_e0,2x2,2,2,construction_check,uniform,common,additive,uniform,250,250,0.0,0.576240331422414,0.11524806628448281,0.11524806628448281,0.0,0.11524806628448281,0.11524806628448281,10000,12219023417405434862,0.05,expanded_welch,normal_wald,495,9471,0,34,-0.0034,0.0005821321909916843,-0.004540979094343701,-0.0022590209056562987
2x2_uniform_common_additive_e0_np250_nq250,2x2_uniform_common_additive_e0,2x2,2,2,construction_check,uniform,common,additive,uniform,250,250,0.0,0.576240331422414,0.11524806628448281,0.11524806628448281,0.0,0.11524806628448281,0.11524806628448281,10000,12219023417405434862,0.05,simple_welch,normal_wald,522,9471,0,7,-0.0007,0.00026449573871724277,-0.0012184116478857958,-0.00018158835211420422
2x2_uniform_common_additive_e0_np250_nq250,2x2_uniform_common_additive_e0,2x2,2,2,construction_check,uniform,common,additive,uniform,250,250,0.0,0.576240331422414,0.11524806628448281,0.11524806628448281,0.0,0.11524806628448281,0.11524806628448281,10000,12219023417405434862,0.05,expanded_welch,simple_welch,495,9478,0,27,-0.0027,0.0005189392351643681,-0.0037171209009221615,-0.0016828790990778388
2x2_uniform_common_additive_e0_np1000_nq1000,2x2_uniform_common_additive_e0,2x2,2,2,construction_check,uniform,common,additive,uniform,1000,1000,0.0,0.576240331422414,0.11524806628448281,0.11524806628448281,0.0,0.11524806628448281,0.11524806628448281,10000,9287185939377583127,0.05,expanded_welch,normal_wald,482,9511,0,7,-0.0007,0.00026449573871724277,-0.0012184116478857958,-0.00018158835211420422
