population_id,shape,profile,family,constructor,e,M,I_p,I_q,strength_p,strength_q,row_margin_p_json,row_margin_q_json,direction_json,probability_p_json,probability_q_json
2x2_uniform_common_additive_e0,2x2,uniform,common,additive,0.0,0.576240331422414,0.11524806628448281,0.11524806628448281,0.11765815808151225,0.11765815808151225,"[0.5, 0.5]","[0.5, 0.5]","[[1.0, -1.0], [-1.0, 1.0]]","[[0.36765815808151225, 0.13234184191848775], [0.13234184191848775, 0.36765815808151225]]","[[0.36765815808151225, 0.13234184191848775], [0.13234184191848775, 0.36765815808151225]]"
2x2_uniform_common_additive_e0.1,2x2,uniform,common,additive,0.1,0.576240331422414,0.11524806628448281,0.1728720994267221,0.11765815808151225,0.14258926669427074,"[0.5, 0.5]","[0.5, 0.5]","[[1.0, -1.0], [-1.0, 1.0]]","[[0.36765815808151225, 0.13234184191848775], [0.13234184191848775, 0.36765815808151225]]","[[0.39258926669427074, 0.10741073330572926], [0.10741073330572926, 0.39258926669427074]]"
2x2_uniform_common_additive_e0.3,2x2,uniform,common,additive,0.3,0.576240331422414,0.11524806628448281,0.2881201657112069,0.11765815808151225,0.17998250007635763,"[0.5, 0.5]","[0.5, 0.5]","[[1.0, -1.0], [-1.0, 1.0]]","[[0.36765815808151225, 0.13234184191848775], [0.13234184191848775, 0.36765815808151225]]","[[0.42998250007635763, 0.07001749992364237], [0.07001749992364237, 0.42998250007635763]]"
2x2_uniform_common_additive_e0.6,2x2,uniform,common,additive,0.6,0.576240331422414,0.11524806628448281,0.46099226513791913,0.11765815808151225,0.21905162449603696,"[0.5, 0.5]","[0.5, 0.5]","[[1.0, -1.0], [-1.0, 1.0]]","[[0.36765815808151225, 0.13234184191848775], [0.13234184191848775, 0.36765815808151225]]","[[0.469051624496037, 0.030948375503963038], [0.030948375503963038, 0.469051624496037]]"
2x2_uniform_common_loglinear_e0,2x2,uniform,common,loglinear,0.0,0.576240331422414,0.11524806628448281,0.11524806628448281,0.5108826508174186,0.5108826508174186,"[0.5, 0.5]","[0.5, 0.5]","[[1.0, -1.0], [-1.0, 1.0]]","[[0.3676581580815123, 0.1323418419184877], [0.13234184191848766, 0.36765815808151237]]","[[0.3676581580815123, 0.1323418419184877], [0.13234184191848766, 0.36765815808151237]]"
2x2_uniform_common_loglinear_e0.1,2x2,uniform,common,loglinear,0.1,0.576240331422414,0.11524806628448281,0.17287209942672432,0.5108826508174186,0.648051913840547,"[0.5, 0.5]","[0.5, 0.5]","[[1.0, -1.0], [-1.0, 1.0]]","[[0.3676581580815123, 0.1323418419184877], [0.13234184191848766, 0.36765815808151237]]","[[0.3925892666942716, 0.10741073330572838], [0.10741073330572838, 0.3925892666942716]]"
2x2_uniform_common_loglinear_e0.3,2x2,uniform,common,loglinear,0.3,0.576240331422414,0.11524806628448281,0.28812016571120713,0.5108826508174186,0.9074996503242926,"[0.5, 0.5]","[0.5, 0.5]","[[1.0, -1.0], [-1.0, 1.0]]","[[0.3676581580815123, 0.1323418419184877], [0.13234184191848766, 0.36765815808151237]]","[[0.42998250007635774, 0.07001749992364231], [0.07001749992364231, 0.42998250007635774]]"
2x2_uniform_common_loglinear_e0.6,2x2,uniform,common,loglinear,0.6,0.576240331422414,0.11524806628448281,0.46099226513793135,0.5108826508174186,1.359196162971794,"[0.5, 0.5]","[0.5, 0.5]","[[1.0, -1.0], [-1.0, 1.0]]","[[0.3676581580815123, 0.1323418419184877], [0.13234184191848766, 0.36765815808151237]]","[[0.4690516244960392, 0.030948375503960786], [0.030948375503960786, 0.4690516244960392]]"
2x2_different_skew_common_additive_e0,2x2,different_skew,common,additive,0.0,0.4220123665074754,0.08440247330149475,0.08440247330149497,0.08802939766422668,0.07130975406749582,"[0.7, 0.30000000000000004]","[0.8, 0.19999999999999996]","[[1.0, -1.0], [-1.0, 1.0]]","[[0.5780293976642266, 0.12197060233577334], [0.12197060233577334, 0.1780293976642267]]","[[0.711309754067496, 0.08869024593250416], [0.08869024593250416, 0.1113097540674958]]"
2x2_different_skew_common_additive_e0.1,2x2,different_skew,common,additive,0.1,0.4220123665074754,0.08440247330149475,0.1266037099522338,0.08802939766422668,0.08762359565076096,"[0.7, 0.30000000000000004]","[0.8, 0.19999999999999996]","[[1.0, -1.0], [-1.0, 1.0]]","[[0.5780293976642266, 0.12197060233577334], [0.12197060233577334, 0.1780293976642267]]","[[0.7276235956507611, 0.07237640434923902], [0.07237640434923902, 0.12762359565076092]]"
