regime,regime_label,method,method_label,scenarios,mean_valid_rate,median_df,mean_fpr_10,mean_absolute_error_10,mean_fpr_05,mean_absolute_error_05,mean_fpr_01,mean_absolute_error_01
well_sampled,Well sampled,expanded_welch,Expanded Welch,24,1.0,336.45466414742396,0.09398333333333335,0.006116666666666673,0.04505416666666667,0.005162500000000002,0.007891666666666667,0.002166666666666667
well_sampled,Well sampled,corrected_expanded_welch,Corrected expanded Welch,24,1.0,338.4570339911535,0.09406250000000001,0.0060375000000000055,0.04512083333333333,0.005104166666666669,0.007899999999999999,0.0021583333333333337
moderate,Moderate,expanded_welch,Expanded Welch,24,1.0,213.51944797444247,0.09498333333333332,0.005925000000000004,0.046454166666666664,0.0041125000000000024,0.008724999999999998,0.0015166666666666668
moderate,Moderate,corrected_expanded_welch,Corrected expanded Welch,24,1.0,215.2745389083194,0.09515833333333334,0.00591666666666667,0.046620833333333334,0.004137500000000002,0.008858333333333334,0.001575
sparse_imbalanced,Sparse and imbalanced,expanded_welch,Expanded Welch,24,1.0,210.12864545871673,0.10464166666666667,0.005374999999999998,0.05349583333333333,0.004104166666666665,0.011416666666666665,0.0015500000000000002
sparse_imbalanced,Sparse and imbalanced,corrected_expanded_welch,Corrected expanded Welch,24,1.0,211.15556961705786,0.10475833333333333,0.005491666666666663,0.05357083333333334,0.004179166666666665,0.011487499999999998,0.0016208333333333333
highly_sparse,Highly skewed and sparse,expanded_welch,Expanded Welch,24,1.0,17067.642627623853,0.09959583333333333,0.002737500000000002,0.05002083333333333,0.0024458333333333333,0.010191666666666667,0.0011416666666666667
highly_sparse,Highly skewed and sparse,corrected_expanded_welch,Corrected expanded Welch,24,1.0,17069.22065054065,0.09960833333333334,0.002750000000000002,0.05006666666666667,0.0024916666666666668,0.010216666666666666,0.0011666666666666668
ultra_sparse,Ultra-skewed and sparse,expanded_welch,Expanded Welch,24,1.0,4267.924684586018,0.10189166666666667,0.0033083333333333302,0.05159166666666667,0.002199999999999999,0.010545833333333332,0.0008624999999999999
ultra_sparse,Ultra-skewed and sparse,corrected_expanded_welch,Corrected expanded Welch,24,1.0,4268.936551761161,0.10192083333333335,0.003337499999999997,0.05163333333333334,0.002224999999999999,0.010575000000000001,0.0008916666666666665
widespread_sparse,Widespread sparsity,expanded_welch,Expanded Welch,24,0.9915416666666667,39.3894044829964,0.08208001418904186,0.024553319144291486,0.03672853197155501,0.017304801361778324,0.005317062944188769,0.005591270389144566
widespread_sparse,Widespread sparsity,corrected_expanded_welch,Corrected expanded Welch,24,0.9915416666666667,41.369934628264204,0.0837935892368258,0.02289807742984087,0.037673985641865776,0.01638434769146756,0.005568112145591502,0.005356887854408497
shape_mismatch,Equal-MI shape mismatch,expanded_welch,Expanded Welch,24,1.0,433.51068883738975,0.10178333333333334,0.008016666666666667,0.05095416666666667,0.005354166666666666,0.010158333333333333,0.0019250000000000003
shape_mismatch,Equal-MI shape mismatch,corrected_expanded_welch,Corrected expanded Welch,24,1.0,435.50993822527823,0.10187500000000001,0.007949999999999999,0.051062500000000004,0.005245833333333332,0.010195833333333333,0.0018958333333333334
extreme_imbalance,Extreme sample imbalance,expanded_welch,Expanded Welch,24,1.0,102.31411330047634,0.1022041666666667,0.008045833333333334,0.05121666666666667,0.005458333333333333,0.010133333333333334,0.0018416666666666668
extreme_imbalance,Extreme sample imbalance,corrected_expanded_welch,Corrected expanded Welch,24,1.0,102.4979968514252,0.1024875,0.008054166666666666,0.051575,0.005608333333333333,0.0104625,0.0017375000000000001
