regime,regime_label,method,method_label,scenarios,mean_valid_rate,median_df,mean_fpr_10,mean_absolute_error_10,mean_fpr_05,mean_absolute_error_05,mean_fpr_01,mean_absolute_error_01
well_sampled,Well sampled,expanded_welch,Expanded Welch,6,1.0,68.22080141022462,0.08833333333333333,0.013000000000000003,0.044333333333333336,0.009000000000000001,0.006333333333333333,0.003666666666666667
well_sampled,Well sampled,corrected_expanded_welch,Corrected expanded Welch,6,1.0,70.24287308016838,0.08833333333333333,0.013000000000000003,0.044333333333333336,0.009000000000000001,0.006666666666666667,0.0033333333333333335
moderate,Moderate,expanded_welch,Expanded Welch,6,1.0,42.40551760738751,0.09033333333333332,0.01233333333333334,0.04733333333333334,0.010000000000000002,0.008,0.004666666666666667
moderate,Moderate,corrected_expanded_welch,Corrected expanded Welch,6,1.0,44.54070808991139,0.09066666666666666,0.012000000000000005,0.048999999999999995,0.011000000000000003,0.008333333333333333,0.004333333333333334
sparse_imbalanced,Sparse and imbalanced,expanded_welch,Expanded Welch,6,1.0,60.27966976351821,0.10466666666666667,0.014,0.05866666666666667,0.012666666666666666,0.014333333333333335,0.005
sparse_imbalanced,Sparse and imbalanced,corrected_expanded_welch,Corrected expanded Welch,6,1.0,61.30418722663967,0.10466666666666667,0.014,0.059000000000000004,0.013,0.014666666666666668,0.005333333333333333
highly_sparse,Highly skewed and sparse,expanded_welch,Expanded Welch,6,1.0,715.8107580193944,0.10899999999999999,0.010999999999999998,0.05833333333333333,0.008333333333333333,0.01533333333333333,0.005333333333333333
highly_sparse,Highly skewed and sparse,corrected_expanded_welch,Corrected expanded Welch,6,1.0,717.4820686830325,0.10899999999999999,0.010999999999999998,0.058666666666666666,0.008666666666666665,0.01533333333333333,0.005333333333333333
ultra_sparse,Ultra-skewed and sparse,expanded_welch,Expanded Welch,6,1.0,185.72723965948256,0.10666666666666667,0.01333333333333333,0.055,0.010333333333333335,0.011333333333333334,0.0033333333333333327
ultra_sparse,Ultra-skewed and sparse,corrected_expanded_welch,Corrected expanded Welch,6,1.0,187.18557131304837,0.10666666666666667,0.01333333333333333,0.05533333333333334,0.01066666666666667,0.011333333333333334,0.0033333333333333327
widespread_sparse,Widespread sparsity,expanded_welch,Expanded Welch,6,0.969,9.741238309001705,0.06371277284104453,0.03628722715895548,0.02431807662047548,0.025681923379524522,0.0023353373413493657,0.007664662658650636
widespread_sparse,Widespread sparsity,corrected_expanded_welch,Corrected expanded Welch,6,0.969,11.73495212957058,0.07019901155965437,0.029800988440345646,0.02567871582545131,0.024321284174548694,0.0026686706746826988,0.007331329325317302
shape_mismatch,Equal-MI shape mismatch,expanded_welch,Expanded Welch,6,1.0,80.2188238203766,0.10033333333333333,0.006333333333333332,0.050666666666666665,0.009333333333333334,0.006333333333333334,0.0036666666666666666
shape_mismatch,Equal-MI shape mismatch,corrected_expanded_welch,Corrected expanded Welch,6,1.0,82.5912444946667,0.10133333333333333,0.007333333333333333,0.051,0.009000000000000001,0.006333333333333334,0.0036666666666666666
extreme_imbalance,Extreme sample imbalance,expanded_welch,Expanded Welch,6,1.0,31.045552508293323,0.11033333333333334,0.022333333333333334,0.056666666666666664,0.017333333333333336,0.008,0.003333333333333334
extreme_imbalance,Extreme sample imbalance,corrected_expanded_welch,Corrected expanded Welch,6,1.0,31.483408011290813,0.111,0.023000000000000003,0.057666666666666665,0.017,0.009000000000000001,0.0023333333333333335
