stage,scenario_seed,scenario_id,scenario_key,replicates,batch_seconds,batch_microseconds_per_pair
broad,2026072501,random_2x2_d0,broad:2026072501:random_2x2_d0,5000,0.005269499961286783,1.0538999922573566
broad,2026072501,random_2x2_d1,broad:2026072501:random_2x2_d1,5000,0.0026947500882670283,0.5389500176534057
broad,2026072501,random_2x2_d2,broad:2026072501:random_2x2_d2,5000,0.002684958977624774,0.5369917955249548
broad,2026072501,random_2x2_d3,broad:2026072501:random_2x2_d3,5000,0.0026926250429823995,0.5385250085964799
broad,2026072501,random_2x2_d4,broad:2026072501:random_2x2_d4,5000,0.0027190829860046506,0.5438165972009301
broad,2026072501,random_2x2_d5,broad:2026072501:random_2x2_d5,5000,0.002652416005730629,0.5304832011461258
broad,2026072501,random_2x5_d0,broad:2026072501:random_2x5_d0,5000,0.00453258294146508,0.906516588293016
broad,2026072501,random_2x5_d1,broad:2026072501:random_2x5_d1,5000,0.0033804160775616765,0.6760832155123353
broad,2026072501,random_2x5_d2,broad:2026072501:random_2x5_d2,5000,0.0034950830740854144,0.6990166148170829
broad,2026072501,random_2x5_d3,broad:2026072501:random_2x5_d3,5000,0.0034863329492509365,0.6972665898501873
broad,2026072501,random_2x5_d4,broad:2026072501:random_2x5_d4,5000,0.0034225829876959324,0.6845165975391865
broad,2026072501,random_2x5_d5,broad:2026072501:random_2x5_d5,5000,0.003410832956433296,0.6821665912866592
broad,2026072501,random_3x3_d0,broad:2026072501:random_3x3_d0,5000,0.003361874958500266,0.6723749917000532
broad,2026072501,random_3x3_d1,broad:2026072501:random_3x3_d1,5000,0.0033897090470418334,0.6779418094083667
broad,2026072501,random_3x3_d2,broad:2026072501:random_3x3_d2,5000,0.003489042050205171,0.6978084100410342
broad,2026072501,random_3x3_d3,broad:2026072501:random_3x3_d3,5000,0.0034160000504925847,0.6832000100985169
broad,2026072501,random_3x3_d4,broad:2026072501:random_3x3_d4,5000,0.0035228749038651586,0.7045749807730317
broad,2026072501,random_3x3_d5,broad:2026072501:random_3x3_d5,5000,0.0034072089474648237,0.6814417894929647
broad,2026072501,random_3x7_d0,broad:2026072501:random_3x7_d0,5000,0.0049330840120092034,0.9866168024018407
broad,2026072501,random_3x7_d1,broad:2026072501:random_3x7_d1,5000,0.004555042018182576,0.9110084036365151
broad,2026072501,random_3x7_d2,broad:2026072501:random_3x7_d2,5000,0.004620874999091029,0.9241749998182058
broad,2026072501,random_3x7_d3,broad:2026072501:random_3x7_d3,5000,0.004871957935392857,0.9743915870785713
broad,2026072501,random_3x7_d4,broad:2026072501:random_3x7_d4,5000,0.004656874923966825,0.931374984793365
broad,2026072501,random_3x7_d5,broad:2026072501:random_3x7_d5,5000,0.00473245803732425,0.94649160746485
broad,2026072501,random_4x6_d0,broad:2026072501:random_4x6_d0,5000,0.0052785000298172235,1.0557000059634447
