stage,scenario_seed,scenario_id,scenario_key,replicates,valid_rate,mean_zero_fraction_p,mean_zero_fraction_q,mean_expected_below_1_p,mean_expected_below_1_q,mean_expected_below_5_p,mean_expected_below_5_q,median_welch_df,p05_welch_df,minimum_welch_df,wald_normal_fpr_10,wald_normal_fpr_10_low,wald_normal_fpr_10_high,wald_normal_fpr_05,wald_normal_fpr_05_low,wald_normal_fpr_05_high,wald_normal_coverage_95,welch_reference_fpr_10,welch_reference_fpr_10_low,welch_reference_fpr_10_high,welch_reference_fpr_05,welch_reference_fpr_05_low,welch_reference_fpr_05_high,welch_reference_coverage_95,welch_unbiased_fpr_10,welch_unbiased_fpr_10_low,welch_unbiased_fpr_10_high,welch_unbiased_fpr_05,welch_unbiased_fpr_05_low,welch_unbiased_fpr_05_high,welch_unbiased_coverage_95
broad,2026072501,random_2x2_d0,broad:2026072501:random_2x2_d0,5000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,771.8504049430619,625.6851476873665,423.3837137820825,0.092,0.08429893153598811,0.1003275132511785,0.0424,0.037157211511963724,0.048345389308152555,0.9576,0.0916,0.08391488273466795,0.0999121762140547,0.0418,0.036595474719308296,0.047708047343142046,0.9582,0.0908,0.08314692350146155,0.09908136377037322,0.0414,0.03622115480088501,0.04728298142312138,0.9586
broad,2026072501,random_2x2_d1,broad:2026072501:random_2x2_d1,5000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,423.47793594023057,316.1575603768363,225.53292482895378,0.0984,0.09044976166527606,0.10696685653699382,0.0424,0.037157211511963724,0.048345389308152555,0.9576,0.0976,0.08968030254353887,0.10613754398184314,0.0416,0.03640829747606612,0.04749553166716225,0.9584,0.096,0.08814189353368367,0.1044784096379225,0.0416,0.03640829747606612,0.04749553166716225,0.9584
broad,2026072501,random_2x2_d2,broad:2026072501:random_2x2_d2,5000,1.0,0.0,0.0,0.0,0.0,0.0,0.1616,211.80741486926058,179.80525509593204,154.35935647820472,0.1112,0.1027827165852735,0.1202142484472029,0.057,0.05090733129526275,0.06377285262805785,0.943,0.1082,0.099888692291972,0.11711287895217473,0.0554,0.049393802093284464,0.06208883847626033,0.9446,0.106,0.09776772219825865,0.11483722693444633,0.055,0.04901564776937427,0.06166760696172657,0.945
broad,2026072501,random_2x2_d3,broad:2026072501:random_2x2_d3,5000,1.0,0.0,0.0,0.0,0.0,0.0,0.16965,1531.6239384522055,1287.6141226494765,956.0729594214876,0.0948,0.08698853981142897,0.10323360584484532,0.0464,0.04090958228231389,0.05258687692224192,0.9536,0.0944,0.08660417615817816,0.10281858365965217,0.0462,0.0407216699236964,0.05237509636163745,0.9538,0.0942,0.08641201089382725,0.10261105600478113,0.0462,0.0407216699236964,0.05237509636163745,0.9538
broad,2026072501,random_2x2_d4,broad:2026072501:random_2x2_d4,5000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,237.90583950250175,174.44197667233894,136.48595543197249,0.1014,0.09333670876034914,0.11007530323025039,0.051,0.045239387102671155,0.057450009243990116,0.949,0.1002,0.09218165360924936,0.10883220086601832,0.0498,0.04410847786419271,0.056182760967136716,0.9502,0.0984,0.09044976166527606,0.10696685653699382,0.0492,0.04354338255549714,0.055548777518166365,0.9508
broad,2026072501,random_2x2_d5,broad:2026072501:random_2x2_d5,5000,1.0,0.00135,0.0,0.0,0.0,0.0,0.0,185.11190394969864,164.60921842024553,152.471368524021,0.115,0.10645134542601835,0.1241397850716756,0.067,0.06039697580822044,0.07426785407619903,0.933,0.1126,0.1041339505583773,0.12166086490865292,0.0662,0.059636046471147335,0.07343001173638423,0.9338,0.112,0.10355479737222283,0.12104093933714148,0.0656,0.05906553769029381,0.07280144175957183,0.9344
broad,2026072501,random_2x5_d0,broad:2026072501:random_2x5_d0,5000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1974.397482080728,1822.7513210035452,1462.8746848845676,0.0926,0.08487509046113607,0.10095043308369646,0.0442,0.03884421475711896,0.05025562233599513,0.9558,0.0926,0.08487509046113607,0.10095043308369646,0.0436,0.03828158743789399,0.049619170897554146,0.9564,0.0926,0.08487509046113607,0.10095043308369646,0.0436,0.03828158743789399,0.049619170897554146,0.9564
broad,2026072501,random_2x5_d1,broad:2026072501:random_2x5_d1,5000,1.0,6.000000000000001e-05,0.002,0.0,0.0,0.0,0.0,970.5009892137823,820.9730822853187,687.0551082831029,0.1082,0.099888692291972,0.11711287895217473,0.053,0.047126291449339705,0.05956003408954136,0.947,0.1076,0.09931013399186059,0.11649235849462022,0.0526,0.04674871022497823,0.05913822947545888,0.9474,0.1072,0.09892447485888445,0.1160786317891524,0.0518,0.045993846130679035,0.05829432189287017,0.9482
broad,2026072501,random_2x5_d2,broad:2026072501:random_2x5_d2,5000,1.0,0.00886,0.0945,0.0,0.0,0.0001,0.0,364.3139208321817,336.78650479047667,310.556108090111,0.1196,0.11089641794735441,0.128887649692445,0.0634,0.0569750881353032,0.07049526920312069,0.9366,0.1184,0.10973641235958609,0.1276494977648815,0.0628,0.05640536126909045,0.06986591731166751,0.9372,0.1182,0.10954310667883398,0.12744311052641163,0.0628,0.05640536126909045,0.06986591731166751,0.9372
broad,2026072501,random_2x5_d3,broad:2026072501:random_2x5_d3,5000,1.0,0.043820000000000005,0.0,0.0754,0.0,0.171,0.0,3972.0035980407847,3792.503800564323,3418.660675715678,0.0974,0.08948796411595085,0.10593018949020915,0.0476,0.04203767154178206,0.05385694517810563,0.9524,0.0974,0.08948796411595085,0.10593018949020915,0.0476,0.04203767154178206,0.05385694517810563,0.9524,0.0972,0.08929563628725427,0.10572282439968374,0.0474,0.04184958432057469,0.05364533948009102,0.9526
broad,2026072501,random_2x5_d4,broad:2026072501:random_2x5_d4,5000,1.0,0.0,0.08734,0.0,0.10545999999999998,0.0,0.19997999999999996,387.77405652018,308.2757785910308,245.8588092876945,0.0918,0.08410690139814984,0.10011985046979481,0.0464,0.04090958228231389,0.05258687692224192,0.9536,0.0914,0.08372287557926333,0.09970449045023735,0.0458,0.040345934701495674,0.05195144574539421,0.9542,0.0906,0.08295496271923773,0.09887363163337505,0.045,0.0395948274633155,0.051103781306686476,0.955
broad,2026072501,random_2x5_d5,broad:2026072501:random_2x5_d5,5000,1.0,0.13398,2e-05,0.018820000000000003,0.0,0.27442,0.0,205.896750992823,173.13610154291075,151.80987936545253,0.1146,0.10606502690790927,0.12372671775134074,0.0612,0.054886946015951704,0.06818678921103043,0.9388,0.113,0.10452009646834266,0.12207410483713153,0.0596,0.0533698127022566,0.06650637917094972,0.9404,0.1122,0.10374783964992389,0.1212475899786624,0.0584,0.05223283299055025,0.06524520136732419,0.9416
broad,2026072501,random_3x3_d0,broad:2026072501:random_3x3_d0,5000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1775.0915625540126,1627.4337420052166,1372.024302204218,0.0962,0.08833415715201101,0.10468583893881708,0.0444,0.039031820881426316,0.05046770913090974,0.9556,0.0958,0.08794964072133023,0.10427096953105396,0.0444,0.039031820881426316,0.05046770913090974,0.9556,0.0952,0.08737294742283017,0.1036485840718881,0.0444,0.039031820881426316,0.05046770913090974,0.9556
broad,2026072501,random_3x3_d1,broad:2026072501:random_3x3_d1,5000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,885.6056144667234,729.4891758095835,621.6349236807806,0.108,0.09969583027538101,0.11690604804954374,0.0564,0.05033958885978194,0.06314151630587274,0.9436,0.1074,0.0991172997701778,0.11628549979708103,0.056,0.04996120599481009,0.06272051333240064,0.944,0.107,0.09873165928086486,0.11587175444795,0.0558,0.04977204852711962,0.06250997788086914,0.9442
broad,2026072501,random_3x3_d2,broad:2026072501:random_3x3_d2,5000,1.0,0.0025111111111111115,0.14126666666666668,0.0,0.0,0.0,0.0,367.04484765081475,332.5664701235007,298.36963860431473,0.1084,0.10008156352845776,0.11731970063491096,0.0578,0.05166463044785411,0.06461432515235441,0.9422,0.1082,0.099888692291972,0.11711287895217473,0.057,0.05090733129526275,0.06377285262805785,0.943,0.108,0.09969583027538101,0.11690604804954374,0.0566,0.05052881403128711,0.06335198405358955,0.9434
broad,2026072501,random_3x3_d3,broad:2026072501:random_3x3_d3,5000,1.0,0.29217777777777776,0.0,0.0,0.0,0.029244444444444444,0.0,3382.0533160184227,2790.798894047323,2204.1227404721485,0.0974,0.08948796411595085,0.10593018949020915,0.0516,0.04580519305269662,0.0580832820516306,0.9484,0.0974,0.08948796411595085,0.10593018949020915,0.0516,0.04580519305269662,0.0580832820516306,0.9484,0.0974,0.08948796411595085,0.10593018949020915,0.0516,0.04580519305269662,0.0580832820516306,0.9484
broad,2026072501,random_3x3_d4,broad:2026072501:random_3x3_d4,5000,1.0,0.0064444444444444445,0.2720666666666667,0.0,0.28726666666666667,0.002133333333333333,0.33762222222222227,338.4683931077867,264.73207637769633,216.87265808403282,0.102,0.09391437231340359,0.11069671843486185,0.0542,0.04825961924472352,0.06082486380948941,0.9458,0.101,0.0929516499105266,0.10966097624162902,0.054,0.04807067117820129,0.06061411895678966,0.946,0.1008,0.09275913562040934,0.10945379761252426,0.0534,0.0475039707136969,0.059981740663628116,0.9466
broad,2026072501,random_3x3_d5,broad:2026072501:random_3x3_d5,5000,1.0,0.12126666666666668,0.01991111111111111,0.030555555555555555,0.0,0.2906,0.0,169.00257185854193,151.21587573078233,136.44776833138192,0.1136,0.10509938060752584,0.12269389945561428,0.0634,0.0569750881353032,0.07049526920312069,0.9366,0.1116,0.10316873927257678,0.12062761159834356,0.0618,0.05545620400945182,0.06881660997519624,0.9382,0.1106,0.10220374931793917,0.11959413695687128,0.0608,0.054507540668491145,0.06776680872004703,0.9392
broad,2026072501,random_3x7_d0,broad:2026072501:random_3x7_d0,5000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4174.6761211665125,4021.0254581751055,3705.946073453311,0.0886,0.0810360030775896,0.09679566208280341,0.0468,0.041285495583661055,0.05301034945933872,0.9532,0.0886,0.0810360030775896,0.09679566208280341,0.0468,0.041285495583661055,0.05301034945933872,0.9532,0.0884,0.08084417271707507,0.09658779952409598,0.0468,0.041285495583661055,0.05301034945933872,0.9532
