scenario_key,scenario_seed,scenario_id,replicates,permutations,mean_permutation_ms,wald_normal_fpr_10,wald_normal_fpr_05,welch_reference_fpr_10,welch_reference_fpr_05,welch_unbiased_fpr_10,welch_unbiased_fpr_05,student_perm_analytic_fpr_10,student_perm_analytic_fpr_05
hard:2026072501:random_2x2_d5,2026072501,random_2x2_d5,1000,999,1.0613659993978217,0.124,0.082,0.124,0.081,0.123,0.08,0.111,0.059
hard:2026072501:random_2x5_d5,2026072501,random_2x5_d5,1000,999,1.6522848026361316,0.132,0.062,0.129,0.062,0.127,0.06,0.117,0.05
hard:2026072501:random_3x7_d5,2026072501,random_3x7_d5,1000,999,2.740607531624846,0.105,0.06,0.104,0.059,0.104,0.059,0.098,0.056
hard:2026072501:random_4x6_d5,2026072501,random_4x6_d5,1000,999,3.205638564308174,0.12,0.068,0.119,0.066,0.117,0.065,0.11,0.062
hard:2026072501:random_5x5_d5,2026072501,random_5x5_d5,1000,999,3.3765902913874015,0.115,0.066,0.115,0.066,0.113,0.066,0.11,0.063
hard:2026072501:random_5x10_d5,2026072501,random_5x10_d5,1000,999,5.8532051156507805,0.111,0.058,0.11,0.058,0.11,0.058,0.105,0.058
hard:2026072601:random_2x2_d5,2026072601,random_2x2_d5,1000,999,1.2975874899420887,0.126,0.066,0.126,0.062,0.125,0.061,0.109,0.055
hard:2026072601:random_2x5_d5,2026072601,random_2x5_d5,1000,999,1.652631143340841,0.112,0.051,0.111,0.049,0.109,0.049,0.096,0.04
hard:2026072601:random_3x7_d5,2026072601,random_3x7_d5,1000,999,2.806674602557905,0.101,0.057,0.099,0.056,0.099,0.056,0.094,0.051
hard:2026072601:random_4x6_d5,2026072601,random_4x6_d5,1000,999,3.2190103629836813,0.105,0.055,0.102,0.054,0.102,0.052,0.101,0.05
hard:2026072601:random_5x5_d5,2026072601,random_5x5_d5,1000,999,3.3176048576133326,0.104,0.056,0.103,0.054,0.102,0.053,0.103,0.049
hard:2026072601:random_5x10_d5,2026072601,random_5x10_d5,1000,999,5.820488324621692,0.114,0.064,0.113,0.063,0.112,0.063,0.111,0.062
