scenario_key,scenario_id,method,replicates,valid_rate,true_delta,power_05,coverage_95,median_welch_df
power:curve_effect_d02_n300,curve_effect_d02_n300,wald_normal,10000,1.0,-0.01999999999999985,0.0797,0.9513,534.5344253640726
power:curve_effect_d02_n300,curve_effect_d02_n300,welch_reference,10000,1.0,-0.01999999999999985,0.0792,0.9516,534.5344253640726
power:curve_effect_d02_n300,curve_effect_d02_n300,welch_unbiased,10000,1.0,-0.01999999999999985,0.0787,0.9518,534.5344253640726
power:curve_effect_d05_n300,curve_effect_d05_n300,wald_normal,10000,1.0,-0.050000000000000266,0.2776,0.945,493.3487355143744
power:curve_effect_d05_n300,curve_effect_d05_n300,welch_reference,10000,1.0,-0.050000000000000266,0.2761,0.9454,493.3487355143744
power:curve_effect_d05_n300,curve_effect_d05_n300,welch_unbiased,10000,1.0,-0.050000000000000266,0.2753,0.9455,493.3487355143744
power:curve_effect_d10_n300,curve_effect_d10_n300,wald_normal,10000,1.0,-0.09999999999999992,0.7438,0.9414,458.2410652769494
power:curve_effect_d10_n300,curve_effect_d10_n300,welch_reference,10000,1.0,-0.09999999999999992,0.7419,0.9416,458.2410652769494
power:curve_effect_d10_n300,curve_effect_d10_n300,welch_unbiased,10000,1.0,-0.09999999999999992,0.7406,0.9421,458.2410652769494
power:curve_sample_d05_n150,curve_sample_d05_n150,wald_normal,10000,1.0,-0.050000000000000266,0.1559,0.9408,250.53266554259068
power:curve_sample_d05_n150,curve_sample_d05_n150,welch_reference,10000,1.0,-0.050000000000000266,0.1527,0.9426,250.53266554259068
power:curve_sample_d05_n150,curve_sample_d05_n150,welch_unbiased,10000,1.0,-0.050000000000000266,0.1511,0.9433,250.53266554259068
power:curve_sample_d05_n600,curve_sample_d05_n600,wald_normal,10000,1.0,-0.050000000000000266,0.5227,0.9497,978.3700992286167
power:curve_sample_d05_n600,curve_sample_d05_n600,welch_reference,10000,1.0,-0.050000000000000266,0.5221,0.9498,978.3700992286167
power:curve_sample_d05_n600,curve_sample_d05_n600,welch_unbiased,10000,1.0,-0.050000000000000266,0.5214,0.9498,978.3700992286167
