configuration_id,population_id,experiment,shape,rows,columns,skewness,relationship,interaction_pair,n_p,n_q,sample_size_ratio_q_to_p,allocation_ratio,relative_effect,baseline_fraction,shared_reachable_mi,target_mi_p,target_mi_q,achieved_mi_p,achieved_mi_q,absolute_mi_difference,structural_breakdown,replicates,simulation_seed
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0_np50_nq50,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,50,50,1.0,1,0.0,0.2,0.1328286287645824,0.02656572575291648,0.02656572575291648,0.026565725753040975,0.026565725752864387,1.7658791096053505e-13,False,10000,16335068596958946951
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0_np250_nq250,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,250,250,1.0,1,0.0,0.2,0.1328286287645824,0.02656572575291648,0.02656572575291648,0.026565725753040975,0.026565725752864387,1.7658791096053505e-13,False,10000,9863651815688192352
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0_np1000_nq1000,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,1000,1000,1.0,1,0.0,0.2,0.1328286287645824,0.02656572575291648,0.02656572575291648,0.026565725753040975,0.026565725752864387,1.7658791096053505e-13,False,10000,18210342808027603866
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0.1_np50_nq50,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0.1,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,50,50,1.0,1,0.1,0.2,0.1328286287645824,0.02656572575291648,0.03984858862937472,0.026565725753040975,0.03984858862937466,0.013282862876333686,False,10000,2590220630402011700
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0.1_np250_nq250,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0.1,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,250,250,1.0,1,0.1,0.2,0.1328286287645824,0.02656572575291648,0.03984858862937472,0.026565725753040975,0.03984858862937466,0.013282862876333686,False,10000,15215419473731274312
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0.1_np1000_nq1000,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0.1,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,1000,1000,1.0,1,0.1,0.2,0.1328286287645824,0.02656572575291648,0.03984858862937472,0.026565725753040975,0.03984858862937466,0.013282862876333686,False,10000,10877519731663066578
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0.4_np50_nq50,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0.4,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,50,50,1.0,1,0.4,0.2,0.1328286287645824,0.02656572575291648,0.07969717725874945,0.026565725753040975,0.07969717725874978,0.053131451505708804,False,10000,13651799067344712372
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0.4_np250_nq250,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0.4,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,250,250,1.0,1,0.4,0.2,0.1328286287645824,0.02656572575291648,0.07969717725874945,0.026565725753040975,0.07969717725874978,0.053131451505708804,False,10000,16622410556191282594
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0.4_np1000_nq1000,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0.4,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,1000,1000,1.0,1,0.4,0.2,0.1328286287645824,0.02656572575291648,0.07969717725874945,0.026565725753040975,0.07969717725874978,0.053131451505708804,False,10000,12085365480973993631
heterogeneous_margins_3x3_balanced_vs_mild_b0.2_e0_np50_nq50,heterogeneous_margins_3x3_balanced_vs_mild_b0.2_e0,heterogeneous_margins,3x3,3,3,balanced_vs_mild,equal_mi_different_shape,primary,50,50,1.0,1,0.0,0.2,0.4279099268351994,0.08558198536703988,0.08558198536703988,0.08558198536704023,0.08558198536703965,5.828670879282072e-16,False,10000,4955354697568469408
