configuration_id,population_id,experiment,shape,rows,columns,skewness,relationship,interaction_pair,n_p,n_q,sample_size_ratio_q_to_p,allocation_ratio,relative_effect,baseline_fraction,shared_reachable_mi,target_mi_p,target_mi_q,achieved_mi_p,achieved_mi_q,absolute_mi_difference,structural_breakdown,replicates,simulation_seed,nominal_alpha,method_a,method_b,both_reject,neither_rejects,only_method_a_rejects,only_method_b_rejects,rejection_rate_difference_a_minus_b,paired_standard_error,paired_95_low,paired_95_high
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0_np50_nq50,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,50,50,1.0,1,0.0,0.2,0.1328286287645824,0.02656572575291648,0.02656572575291648,0.026565725753040975,0.026565725752864387,1.7658791096053505e-13,False,10000,16335068596958946951,0.01,expanded_welch,normal_wald,49,9771,0,180,-0.018,0.0013295776689151212,-0.020605972231073636,-0.015394027768926361
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0_np50_nq50,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,50,50,1.0,1,0.0,0.2,0.1328286287645824,0.02656572575291648,0.02656572575291648,0.026565725753040975,0.026565725752864387,1.7658791096053505e-13,False,10000,16335068596958946951,0.05,expanded_welch,normal_wald,308,9513,0,179,-0.0179,0.001325946761179101,-0.020498855651911035,-0.015301144348088961
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0_np50_nq50,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,50,50,1.0,1,0.0,0.2,0.1328286287645824,0.02656572575291648,0.02656572575291648,0.026565725753040975,0.026565725752864387,1.7658791096053505e-13,False,10000,16335068596958946951,0.1,expanded_welch,normal_wald,554,9178,0,268,-0.0268,0.001615065584948292,-0.029965528546498654,-0.023634471453501348
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0_np50_nq50,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,50,50,1.0,1,0.0,0.2,0.1328286287645824,0.02656572575291648,0.02656572575291648,0.026565725753040975,0.026565725752864387,1.7658791096053505e-13,False,10000,16335068596958946951,0.01,simple_welch,normal_wald,198,9771,0,31,-0.0031,0.0005559405606633672,-0.0041896434989002,-0.0020103565010998
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0_np50_nq50,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,50,50,1.0,1,0.0,0.2,0.1328286287645824,0.02656572575291648,0.02656572575291648,0.026565725753040975,0.026565725752864387,1.7658791096053505e-13,False,10000,16335068596958946951,0.05,simple_welch,normal_wald,467,9513,0,20,-0.002,0.00044678849805718994,-0.0028757054561920924,-0.0011242945438079076
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0_np50_nq50,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,50,50,1.0,1,0.0,0.2,0.1328286287645824,0.02656572575291648,0.02656572575291648,0.026565725753040975,0.026565725752864387,1.7658791096053505e-13,False,10000,16335068596958946951,0.1,simple_welch,normal_wald,773,9178,0,49,-0.0049,0.0006983178107255161,-0.0062687029090220114,-0.0035312970909779882
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0_np50_nq50,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,50,50,1.0,1,0.0,0.2,0.1328286287645824,0.02656572575291648,0.02656572575291648,0.026565725753040975,0.026565725752864387,1.7658791096053505e-13,False,10000,16335068596958946951,0.01,expanded_welch,simple_welch,49,9802,0,149,-0.0149,0.0012115881291014112,-0.017274712733038766,-0.012525287266961234
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0_np50_nq50,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,50,50,1.0,1,0.0,0.2,0.1328286287645824,0.02656572575291648,0.02656572575291648,0.026565725753040975,0.026565725752864387,1.7658791096053505e-13,False,10000,16335068596958946951,0.05,expanded_welch,simple_welch,308,9533,0,159,-0.0159,0.0012509498341455403,-0.01835186167492526,-0.013448138325074742
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0_np50_nq50,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,50,50,1.0,1,0.0,0.2,0.1328286287645824,0.02656572575291648,0.02656572575291648,0.026565725753040975,0.026565725752864387,1.7658791096053505e-13,False,10000,16335068596958946951,0.1,expanded_welch,simple_welch,554,9227,0,219,-0.0219,0.0014636438177789474,-0.024768741882846737,-0.01903125811715326
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0_np250_nq250,heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0,heterogeneous_margins,2x2,2,2,balanced_vs_mild,equal_mi_different_shape,primary,250,250,1.0,1,0.0,0.2,0.1328286287645824,0.02656572575291648,0.02656572575291648,0.026565725753040975,0.026565725752864387,1.7658791096053505e-13,False,10000,9863651815688192352,0.01,expanded_welch,normal_wald,33,9937,0,30,-0.003,0.0005469277036238877,-0.00407197829910282,-0.0019280217008971802
