population_id,probability_p_json,probability_q_json,M,I_p,I_q
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0,"[[0.30736901723845517, 0.19263098276154483], [0.19263098276154483, 0.30736901723845517]]","[[0.04366189523492665, 0.2563381047650785], [0.2563381047650734, 0.4436618952349214]]",0.1328286287645824,0.026565725753040975,0.026565725752864387
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0.1,"[[0.30736901723845517, 0.19263098276154483], [0.19263098276154483, 0.30736901723845517]]","[[0.03409091706289193, 0.2659090829371298], [0.26590908293710813, 0.4340909170628702]]",0.1328286287645824,0.026565725753040975,0.03984858862937466
heterogeneous_margins_2x2_balanced_vs_mild_b0.2_e0.4,"[[0.30736901723845517, 0.19263098276154483], [0.19263098276154483, 0.30736901723845517]]","[[0.014440699427765553, 0.2855593005723147], [0.2855593005722345, 0.4144406994276853]]",0.1328286287645824,0.026565725753040975,0.07969717725874978
heterogeneous_margins_3x3_balanced_vs_mild_b0.2_e0,"[[0.18084289750785976, 0.10578513958100899, 0.046705296244444215], [0.10578513958102935, 0.12176305417131533, 0.10578513958102935], [0.04670529624444421, 0.10578513958100898, 0.18084289750785973]]","[[0.0020414041343317104, 0.009233842004237451, 0.13872475386144326], [0.07675195437267374, 0.10901032837962749, 0.5142377172477114], [0.07120664149299454, 0.03175582961613505, 0.04703752889084529]]",0.4279099268351994,0.08558198536704023,0.08558198536703965
heterogeneous_margins_3x3_balanced_vs_mild_b0.2_e0.1,"[[0.18084289750785976, 0.10578513958100899, 0.046705296244444215], [0.10578513958102935, 0.12176305417131533, 0.10578513958102935], [0.04670529624444421, 0.10578513958100898, 0.18084289750785973]]","[[0.0008477267035760452, 0.006649363673740411, 0.1425029096227106], [0.0645071669374419, 0.1112524327216848, 0.5242404003409109], [0.08464510635898205, 0.03209820360457483, 0.03325669003637853]]",0.4279099268351994,0.08558198536704023,0.12837297805055958
heterogeneous_margins_3x3_balanced_vs_mild_b0.2_e0.4,"[[0.18084289750785976, 0.10578513958100899, 0.046705296244444215], [0.10578513958102935, 0.12176305417131533, 0.10578513958102935], [0.04670529624444421, 0.10578513958100898, 0.18084289750785973]]","[[3.762934326273371e-05, 0.002105373793191337, 0.14785699686357268], [0.033992198759590975, 0.12143969877653474, 0.5445681024639398], [0.11597017189714633, 0.02645492743027394, 0.00757490067248759]]",0.4279099268351994,0.08558198536704023,0.2567459561011263
heterogeneous_margins_5x5_balanced_vs_mild_b0.2_e0,"[[0.08647102588582409, 0.05829592712657617, 0.03321934347859231, 0.0157232752103766, 0.006290428298612017], [0.05829592712658525, 0.054535539672365754, 0.0431227298859628, 0.028322528104715895, 0.01572327521037905], [0.03321934347859958, 0.043122729885965536, 0.04731585327088975, 0.04312272988596554, 0.03321934347859958], [0.01572327521037905, 0.02832252810471589, 0.0431227298859628, 0.05453553967236577, 0.05829592712658524], [0.006290428298612019, 0.015723275210376603, 0.03321934347859231, 0.058295927126576184, 0.08647102588582409]]","[[0.00030241077181438587, 0.0009608933312169694, 0.002287494367253433, 0.004337849611468136, 0.06711135191825382], [0.014069065118751464, 0.029047582736664596, 0.044932614150847254, 0.0553659784429356, 0.5565847595508405], [0.006344114487341704, 0.008511039464130133, 0.008554627983966315, 0.0068493483731643864, 0.04474086969139493], [0.018776109651414657, 0.01636756371699987, 0.01068979554673721, 0.00556140293502325, 0.023605128149809654], [0.0355082999706778, 0.02011292075098844, 0.008535467951195804, 0.002885420637408638, 0.00795789068970095]]",0.748216447409892,0.14964328948197864,0.1496432894819786
heterogeneous_margins_5x5_balanced_vs_mild_b0.2_e0.1,"[[0.08647102588582409, 0.05829592712657617, 0.03321934347859231, 0.0157232752103766, 0.006290428298612017], [0.05829592712658525, 0.054535539672365754, 0.0431227298859628, 0.028322528104715895, 0.01572327521037905], [0.03321934347859958, 0.043122729885965536, 0.04731585327088975, 0.04312272988596554, 0.03321934347859958], [0.01572327521037905, 0.02832252810471589, 0.0431227298859628, 0.05453553967236577, 0.05829592712658524], [0.006290428298612019, 0.015723275210376603, 0.03321934347859231, 0.058295927126576184, 0.08647102588582409]]","[[6.850093586528944e-05, 0.00041810825388585574, 0.001542845241168536, 0.0037601707087387935, 0.06921037486035418], [0.006456145259817232, 0.021443273528861606, 0.04305764430421855, 0.05710327524165397, 0.5719396616655331], [0.005366802425750215, 0.009699714594275046, 0.010598482623351979, 0.0076485656896691, 0.04168643466694874], [0.021558290717677973, 0.021202312367974915, 0.012606470765921127, 0.004950572054835443, 0.014682354093555984], [0.0415502606608893, 0.022236591255002585, 0.0071945570653398185, 0.0015374163051027011, 0.002481174713607867]]",0.748216447409892,0.14964328948197864,0.2244649342229677
heterogeneous_margins_5x5_balanced_vs_mild_b0.2_e0.4,"[[0.08647102588582409, 0.05829592712657617, 0.03321934347859231, 0.0157232752103766, 0.006290428298612017], [0.05829592712658525, 0.054535539672365754, 0.0431227298859628, 0.028322528104715895, 0.01572327521037905], [0.03321934347859958, 0.043122729885965536, 0.04731585327088975, 0.04312272988596554, 0.03321934347859958], [0.01572327521037905, 0.02832252810471589, 0.0431227298859628, 0.05453553967236577, 0.05829592712658524], [0.006290428298612019, 0.015723275210376603, 0.03321934347859231, 0.058295927126576184, 0.08647102588582409]]","[[2.66571301134114e-09, 1.1996936835564543e-06, 9.551057707949123e-05, 0.0012474693985911778, 0.0736558176649446], [2.8409473296986176e-05, 0.0021327840001549984, 0.028324006301990303, 0.06171060803439412, 0.6078041921902615], [0.0011043407514419845, 0.013829723645381597, 0.030637125921701924, 0.011134734760907632, 0.01829407492055713], [0.019129784551170155, 0.03996199799565727, 0.014767549146792186, 0.0008952967149710576, 0.0002453715913668578], [0.05473746255837787, 0.019074294665122584, 0.0011758080524361158, 1.1891091136036469e-05, 5.436328697786262e-07]]",0.748216447409892,0.14964328948197864,0.44892986844593585
heterogeneous_margins_8x8_balanced_vs_mild_b0.2_e0,"[[0.04014514973872284, 0.03086089979876774, 0.02212161746700896, 0.014599742845809999, 0.008802552840519088, 0.004848497559292925, 0.0024588144485730725, 0.0011627253012920385], [0.03086089979877075, 0.027413593125748086, 0.0227068103244249, 0.017316747974305973, 0.012064564416985647, 0.007678777135719242, 0.004499792775469173, 0.0024588144485733136], [0.0221216174670129, 0.02270681032442673, 0.021733425243123966, 0.019152270090365985, 0.015418688827756028, 0.011339913352306412, 0.007678777135719858, 0.004848497559293788], [0.014599742845813276, 0.01731674797430817, 0.019152270090366873, 0.019502676345655643, 0.018142756658601638, 0.015418688827756745, 0.012064564416987179, 0.008802552840521068], [0.008802552840521064, 0.012064564416987179, 0.015418688827756745, 0.018142756658601638, 0.019502676345655636, 0.019152270090366866, 0.01731674797430817, 0.01459974284581328], [0.004848497559293789, 0.00767877713571986, 0.011339913352306412, 0.015418688827756028, 0.019152270090365978, 0.021733425243123956, 0.022706810324426722, 0.022121617467012907], [0.0024588144485733127, 0.004499792775469173, 0.007678777135719239, 0.012064564416985647, 0.017316747974305973, 0.022706810324424898, 0.02741359312574808, 0.03086089979877076], [0.0011627253012920378, 0.0024588144485730725, 0.004848497559292923, 0.008802552840519088, 0.014599742845809997, 0.02212161746700896, 0.030860899798767733, 0.04014514973872286]]","[[7.892314264583994e-05, 0.0001809532183363921, 0.0003676420484840959, 0.0006496383941613131, 0.0010060043933823844, 0.001405479021539991, 0.0018317225011586983, 0.03733678013744035], [0.003774907433769582, 0.007351253213276528, 0.012685669194709375, 0.019039389697724583, 0.025042307869894316, 0.029716111203140366, 0.032894282798648436, 0.5694960785889163], [0.0006446330296737755, 0.001066254222281426, 0.001562808979652934, 0.001992226318648345, 0.0022256308608139368, 0.002243178807305602, 0.002109043194029103, 0.031013367444740057], [0.001651324531568644, 0.0023199241011434397, 0.002888098791885415, 0.0031270725280275334, 0.002967191320265374, 0.0025400919765243895, 0.0020284493033273523, 0.025334990304398446], [0.003699603953950369, 0.004414583269981297, 0.004667895397700384, 0.004292795093397575, 0.0034597194953417355, 0.002515578740167772, 0.001706262182311227, 0.018100704724283136], [0.006962522783017805, 0.007056579547867918, 0.00633751175862427, 0.004950293580258923, 0.0033886352156310725, 0.0020927385812187145, 0.0012056353256661646, 0.010863226064839984], [0.010983700679845802, 0.009455172049163523, 0.00721252126248825, 0.004785115426662672, 0.002782142794159055, 0.001459360918624494, 0.0007140963767451347, 0.00546503334942782], [0.015061527302671044, 0.011012423235092342, 0.007134995423598143, 0.004020611818261911, 0.0019855109076549918, 0.0008846036086215362, 0.0003676511752567527, 0.002389819385953903]]",0.90880328793446,0.18176065758689153,0.18176065758689233
heterogeneous_margins_8x8_balanced_vs_mild_b0.2_e0.1,"[[0.04014514973872284, 0.03086089979876774, 0.02212161746700896, 0.014599742845809999, 0.008802552840519088, 0.004848497559292925, 0.0024588144485730725, 0.0011627253012920385], [0.03086089979877075, 0.027413593125748086, 0.0227068103244249, 0.017316747974305973, 0.012064564416985647, 0.007678777135719242, 0.004499792775469173, 0.0024588144485733136], [0.0221216174670129, 0.02270681032442673, 0.021733425243123966, 0.019152270090365985, 0.015418688827756028, 0.011339913352306412, 0.007678777135719858, 0.004848497559293788], [0.014599742845813276, 0.01731674797430817, 0.019152270090366873, 0.019502676345655643, 0.018142756658601638, 0.015418688827756745, 0.012064564416987179, 0.008802552840521068], [0.008802552840521064, 0.012064564416987179, 0.015418688827756745, 0.018142756658601638, 0.019502676345655636, 0.019152270090366866, 0.01731674797430817, 0.01459974284581328], [0.004848497559293789, 0.00767877713571986, 0.011339913352306412, 0.015418688827756028, 0.019152270090365978, 0.021733425243123956, 0.022706810324426722, 0.022121617467012907], [0.0024588144485733127, 0.004499792775469173, 0.007678777135719239, 0.012064564416985647, 0.017316747974305973, 0.022706810324424898, 0.02741359312574808, 0.03086089979877076], [0.0011627253012920378, 0.0024588144485730725, 0.004848497559292923, 0.008802552840519088, 0.014599742845809997, 0.02212161746700896, 0.030860899798767733, 0.04014514973872286]]","[[1.063102003228876e-05, 4.200510340053461e-05, 0.00014001901763764212, 0.00036634420792169695, 0.0007366358137064869, 0.0012060746271301554, 0.0017450393899222766, 0.03861039367739838], [0.0008959804007162478, 0.0027719425049349614, 0.0072348207063803295, 0.014821380702437856, 0.02333515819299567, 0.029915115749405984, 0.03389068350160475, 0.5871349182416153], [0.000263118817618812, 0.0006373767300818124, 0.0013025618234854795, 0.0020893818697683385, 0.0025757190807411375, 0.002585455219111608, 0.0022934287204341704, 0.031110100595904615], [0.001080698524363988, 0.002049780890699675, 0.003279957136702737, 0.004119516355357028, 0.003976358123457585, 0.0031252344498423684, 0.0021706480698020056, 0.023054949306915002], [0.003368796790102898, 0.005003066584807251, 0.006268384062581053, 0.006164420379744752, 0.0046589719338122094, 0.0028671194861981234, 0.001559233627497782, 0.012967149992386868], [0.007448919455078953, 0.008661903343368273, 0.00849750120326209, 0.006543143894200162, 0.0038720673661355952, 0.0018657660633981958, 0.0007944767204696184, 0.005173364811207754], [0.012420443455804456, 0.01130877969254881, 0.008686648168402958, 0.005237283157348137, 0.0024267278536872234, 0.0009155750438461441, 0.0003052646531421431, 0.0015564208323331902], [0.01736855439342523, 0.012382288007301557, 0.007447250738690588, 0.003515672290364908, 0.001275504492606967, 0.0003768022182102972, 9.83681742701302e-05, 0.00039270254223871425]]",0.90880328793446,0.18176065758689153,0.2726409863803383
heterogeneous_margins_8x8_balanced_vs_mild_b0.2_e0.4,"[[0.04014514973872284, 0.03086089979876774, 0.02212161746700896, 0.014599742845809999, 0.008802552840519088, 0.004848497559292925, 0.0024588144485730725, 0.0011627253012920385], [0.03086089979877075, 0.027413593125748086, 0.0227068103244249, 0.017316747974305973, 0.012064564416985647, 0.007678777135719242, 0.004499792775469173, 0.0024588144485733136], [0.0221216174670129, 0.02270681032442673, 0.021733425243123966, 0.019152270090365985, 0.015418688827756028, 0.011339913352306412, 0.007678777135719858, 0.004848497559293788], [0.014599742845813276, 0.01731674797430817, 0.019152270090366873, 0.019502676345655643, 0.018142756658601638, 0.015418688827756745, 0.012064564416987179, 0.008802552840521068], [0.008802552840521064, 0.012064564416987179, 0.015418688827756745, 0.018142756658601638, 0.019502676345655636, 0.019152270090366866, 0.01731674797430817, 0.01459974284581328], [0.004848497559293789, 0.00767877713571986, 0.011339913352306412, 0.015418688827756028, 0.019152270090365978, 0.021733425243123956, 0.022706810324426722, 0.022121617467012907], [0.0024588144485733127, 0.004499792775469173, 0.007678777135719239, 0.012064564416985647, 0.017316747974305973, 0.022706810324424898, 0.02741359312574808, 0.03086089979877076], [0.0011627253012920378, 0.0024588144485730725, 0.004848497559292923, 0.008802552840519088, 0.014599742845809997, 0.02212161746700896, 0.030860899798767733, 0.04014514973872286]]","[[4.960136693319578e-13, 1.539247131944308e-10, 2.3723148094490798e-08, 1.507305134408109e-06, 3.613253055181432e-05, 0.0002756080552588705, 0.0009604236134297281, 0.04158344747520526], [4.627977001703491e-09, 5.734797850791132e-07, 3.529346470883889e-05, 0.0008954376826114615, 0.008571262199902022, 0.02610661246863535, 0.03632734503836283, 0.6280634710381106], [1.1600358215457518e-07, 5.7399820699481655e-06, 0.00014105839248189996, 0.0014290657683422422, 0.005462278557574833, 0.006643421375399358, 0.0036913663564462056, 0.025484096421249113], [1.3137520796467515e-05, 0.0002595761374578446, 0.0025472136537752032, 0.01030459372776475, 0.015727681842639563, 0.007638267865962388, 0.0016947375357355265, 0.004671934573004254], [0.00033696963689234616, 0.002658608157317772, 0.010417587453510834, 0.016828479132161893, 0.010256304913380457, 0.0019889932387047136, 0.00017621914287422195, 0.00019398118228483946], [0.0032724129890889736, 0.010309649117691205, 0.016131283373097976, 0.01040540162660465, 0.002532311437943183, 0.0001960973449155345, 6.937511323578403e-06, 3.049456455150192e-06], [0.013119105106974244, 0.016504113516288336, 0.010311680580002367, 0.00265602153970635, 0.00025810836240183874, 7.981212720583178e-06, 1.1274910192750716e-07, 1.9789919895052226e-08], [0.026115396971335653, 0.013118882312607954, 0.0032730022164176326, 0.00033663607481710224, 1.3063012749144985e-05, 1.6129554606039598e-07, 9.098688442378934e-10, 6.377081287612919e-11]]",0.90880328793446,0.18176065758689153,0.5452819727606985
baseline_sensitivity_3x3_balanced_b0.02_e0,"[[0.14637064740028147, 0.10986064586087142, 0.07710204007218031], [0.1098606458608715, 0.1136120416115905, 0.1098606458608715], [0.07710204007218031, 0.10986064586087142, 0.14637064740028147]]","[[0.07710204007218054, 0.10986064586087145, 0.14637064740028133], [0.10986064586087153, 0.11361204161159044, 0.10986064586087153], [0.14637064740028133, 0.10986064586087142, 0.07710204007218052]]",1.0945886493400376,0.02189177298680018,0.021891772986799816
