shape,skewness,relationship,interaction_pair,method,validity_frontier_n,calibration_frontier_n,operational_frontier_n,detection_frontier_n
2x2,balanced,equal_mi_different_shape,primary,expanded_welch,10,30.0,30.0,50.0
2x2,balanced,equal_mi_different_shape,primary,normal_wald,5,30.0,30.0,50.0
2x2,balanced,equal_mi_different_shape,primary,simple_welch,5,30.0,30.0,50.0
2x2,balanced,identical_distribution,primary,expanded_welch,10,30.0,30.0,50.0
2x2,balanced,identical_distribution,primary,normal_wald,5,30.0,30.0,50.0
2x2,balanced,identical_distribution,primary,simple_welch,5,30.0,30.0,50.0
2x2,mild,equal_mi_different_shape,primary,expanded_welch,12,250.0,250.0,250.0
2x2,mild,equal_mi_different_shape,primary,normal_wald,5,6.0,6.0,100.0
2x2,mild,equal_mi_different_shape,primary,simple_welch,5,15.0,15.0,100.0
2x2,mild,identical_distribution,primary,expanded_welch,12,,,
2x2,mild,identical_distribution,primary,normal_wald,5,6.0,6.0,250.0
2x2,mild,identical_distribution,primary,simple_welch,5,5.0,5.0,250.0
2x2,strong,equal_mi_different_shape,primary,expanded_welch,50,,,
2x2,strong,equal_mi_different_shape,primary,normal_wald,20,3.0,,
2x2,strong,equal_mi_different_shape,primary,simple_welch,20,,,
2x2,strong,identical_distribution,primary,expanded_welch,50,,,
2x2,strong,identical_distribution,primary,normal_wald,20,3.0,,
2x2,strong,identical_distribution,primary,simple_welch,20,,,
2x2,ultra,equal_mi_different_shape,primary,expanded_welch,75,,,
2x2,ultra,equal_mi_different_shape,primary,normal_wald,50,,,
2x2,ultra,equal_mi_different_shape,primary,simple_welch,50,,,
2x2,ultra,identical_distribution,primary,expanded_welch,75,,,
2x2,ultra,identical_distribution,primary,normal_wald,50,,,
2x2,ultra,identical_distribution,primary,simple_welch,50,,,
2x3,balanced,equal_mi_different_shape,primary,expanded_welch,8,30.0,30.0,50.0
2x3,balanced,equal_mi_different_shape,primary,normal_wald,4,50.0,50.0,50.0
2x3,balanced,equal_mi_different_shape,primary,simple_welch,4,30.0,30.0,50.0
2x3,balanced,identical_distribution,primary,expanded_welch,8,30.0,30.0,50.0
2x3,balanced,identical_distribution,primary,normal_wald,4,50.0,50.0,50.0
2x3,balanced,identical_distribution,primary,simple_welch,4,50.0,50.0,50.0
2x3,mild,equal_mi_different_shape,primary,expanded_welch,12,50.0,50.0,250.0
2x3,mild,equal_mi_different_shape,primary,normal_wald,5,6.0,6.0,100.0
2x3,mild,equal_mi_different_shape,primary,simple_welch,5,5.0,5.0,100.0
2x3,mild,identical_distribution,primary,expanded_welch,10,,,
2x3,mild,identical_distribution,primary,normal_wald,5,10.0,10.0,250.0
2x3,mild,identical_distribution,primary,simple_welch,5,5.0,5.0,250.0
2x3,strong,equal_mi_different_shape,primary,expanded_welch,50,,,
2x3,strong,equal_mi_different_shape,primary,normal_wald,20,3.0,,
2x3,strong,equal_mi_different_shape,primary,simple_welch,20,,,
2x3,strong,identical_distribution,primary,expanded_welch,50,,,
2x3,strong,identical_distribution,primary,normal_wald,20,,,
2x3,strong,identical_distribution,primary,simple_welch,20,,,
2x3,ultra,equal_mi_different_shape,primary,expanded_welch,75,,,
2x3,ultra,equal_mi_different_shape,primary,normal_wald,50,,,
2x3,ultra,equal_mi_different_shape,primary,simple_welch,50,,,
2x3,ultra,identical_distribution,primary,expanded_welch,75,,,
2x3,ultra,identical_distribution,primary,normal_wald,50,,,
2x3,ultra,identical_distribution,primary,simple_welch,50,,,
3x3,balanced,equal_mi_different_shape,primary,expanded_welch,8,8.0,8.0,100.0
3x3,balanced,equal_mi_different_shape,primary,normal_wald,3,100.0,100.0,100.0
3x3,balanced,equal_mi_different_shape,primary,simple_welch,3,100.0,100.0,100.0
3x3,balanced,identical_distribution,primary,expanded_welch,8,8.0,8.0,100.0
3x3,balanced,identical_distribution,primary,normal_wald,3,100.0,100.0,100.0
3x3,balanced,identical_distribution,primary,simple_welch,3,100.0,100.0,100.0
3x3,mild,equal_mi_different_shape,primary,expanded_welch,10,10.0,10.0,50.0
3x3,mild,equal_mi_different_shape,primary,normal_wald,5,30.0,30.0,50.0
3x3,mild,equal_mi_different_shape,primary,simple_welch,5,20.0,20.0,50.0
3x3,mild,identical_distribution,primary,expanded_welch,10,10.0,10.0,50.0
3x3,mild,identical_distribution,primary,normal_wald,5,30.0,30.0,50.0
3x3,mild,identical_distribution,primary,simple_welch,5,20.0,20.0,50.0
3x3,strong,equal_mi_different_shape,primary,expanded_welch,50,,,
3x3,strong,equal_mi_different_shape,primary,normal_wald,20,6.0,20.0,250.0
3x3,strong,equal_mi_different_shape,primary,simple_welch,20,10.0,20.0,250.0
3x3,strong,identical_distribution,primary,expanded_welch,50,,,
3x3,strong,identical_distribution,primary,normal_wald,20,6.0,20.0,250.0
3x3,strong,identical_distribution,primary,simple_welch,20,8.0,20.0,250.0
3x3,ultra,equal_mi_different_shape,primary,expanded_welch,75,,,
3x3,ultra,equal_mi_different_shape,primary,normal_wald,50,,,
3x3,ultra,equal_mi_different_shape,primary,simple_welch,50,,,
3x3,ultra,identical_distribution,primary,expanded_welch,75,,,
3x3,ultra,identical_distribution,primary,normal_wald,50,,,
3x3,ultra,identical_distribution,primary,simple_welch,50,,,
3x5,balanced,equal_mi_different_shape,primary,expanded_welch,5,8.0,8.0,100.0
3x5,balanced,equal_mi_different_shape,primary,normal_wald,3,100.0,100.0,100.0
3x5,balanced,equal_mi_different_shape,primary,simple_welch,3,100.0,100.0,100.0
3x5,balanced,identical_distribution,primary,expanded_welch,5,8.0,8.0,100.0
3x5,balanced,identical_distribution,primary,normal_wald,3,100.0,100.0,100.0
3x5,balanced,identical_distribution,primary,simple_welch,3,100.0,100.0,100.0
3x5,mild,equal_mi_different_shape,primary,expanded_welch,10,20.0,20.0,100.0
3x5,mild,equal_mi_different_shape,primary,normal_wald,5,30.0,30.0,100.0
3x5,mild,equal_mi_different_shape,primary,simple_welch,5,30.0,30.0,100.0
3x5,mild,identical_distribution,primary,expanded_welch,10,8.0,10.0,50.0
3x5,mild,identical_distribution,primary,normal_wald,5,30.0,30.0,50.0
3x5,mild,identical_distribution,primary,simple_welch,5,20.0,20.0,50.0
3x5,strong,equal_mi_different_shape,primary,expanded_welch,50,20.0,50.0,250.0
3x5,strong,equal_mi_different_shape,primary,normal_wald,20,6.0,20.0,250.0
3x5,strong,equal_mi_different_shape,primary,simple_welch,20,8.0,20.0,250.0
3x5,strong,identical_distribution,primary,expanded_welch,50,20.0,,
3x5,strong,identical_distribution,primary,normal_wald,20,6.0,20.0,250.0
3x5,strong,identical_distribution,primary,simple_welch,20,8.0,20.0,250.0
3x5,ultra,equal_mi_different_shape,primary,expanded_welch,75,,,
3x5,ultra,equal_mi_different_shape,primary,normal_wald,50,75.0,75.0,
3x5,ultra,equal_mi_different_shape,primary,simple_welch,50,100.0,100.0,
3x5,ultra,identical_distribution,primary,expanded_welch,75,,,
3x5,ultra,identical_distribution,primary,normal_wald,50,75.0,75.0,
3x5,ultra,identical_distribution,primary,simple_welch,50,75.0,75.0,
4x4,balanced,equal_mi_different_shape,primary,expanded_welch,5,8.0,8.0,250.0
4x4,balanced,equal_mi_different_shape,primary,normal_wald,3,150.0,150.0,250.0
4x4,balanced,equal_mi_different_shape,primary,simple_welch,3,150.0,150.0,250.0
4x4,balanced,identical_distribution,primary,expanded_welch,8,8.0,8.0,100.0
4x4,balanced,identical_distribution,primary,normal_wald,3,150.0,150.0,250.0
4x4,balanced,identical_distribution,primary,simple_welch,3,100.0,100.0,100.0
4x4,mild,equal_mi_different_shape,primary,expanded_welch,12,20.0,20.0,50.0
4x4,mild,equal_mi_different_shape,primary,normal_wald,5,30.0,30.0,50.0
4x4,mild,equal_mi_different_shape,primary,simple_welch,5,30.0,30.0,50.0
4x4,mild,identical_distribution,primary,expanded_welch,10,20.0,20.0,50.0
4x4,mild,identical_distribution,primary,normal_wald,5,30.0,30.0,50.0
4x4,mild,identical_distribution,primary,simple_welch,5,30.0,30.0,50.0
4x4,strong,equal_mi_different_shape,primary,expanded_welch,50,15.0,50.0,250.0
4x4,strong,equal_mi_different_shape,primary,normal_wald,20,6.0,50.0,250.0
4x4,strong,equal_mi_different_shape,primary,simple_welch,20,8.0,20.0,250.0
4x4,strong,identical_distribution,primary,expanded_welch,50,15.0,50.0,250.0
4x4,strong,identical_distribution,primary,normal_wald,20,6.0,50.0,250.0
4x4,strong,identical_distribution,primary,simple_welch,20,8.0,20.0,250.0
4x4,ultra,equal_mi_different_shape,primary,expanded_welch,75,75.0,75.0,
4x4,ultra,equal_mi_different_shape,primary,normal_wald,50,15.0,50.0,
4x4,ultra,equal_mi_different_shape,primary,simple_welch,50,50.0,50.0,
4x4,ultra,identical_distribution,primary,expanded_welch,75,75.0,75.0,
4x4,ultra,identical_distribution,primary,normal_wald,50,15.0,50.0,250.0
