configuration_id,experiment,shape,rows,columns,skewness,relationship,interaction_pair,n_p,n_q,sample_size_ratio_q_to_p,relative_effect,replicates,structural_breakdown,simulation_seed
calibration__2x2__balanced__equal_mi_different_shape__primary__np1000__nq1000__e0,calibration,2x2,2,2,balanced,equal_mi_different_shape,primary,1000,1000,1.0,0.0,10000,False,13708803261447192243
calibration__2x2__balanced__equal_mi_different_shape__primary__np100__nq100__e0,calibration,2x2,2,2,balanced,equal_mi_different_shape,primary,100,100,1.0,0.0,10000,False,16578799313647358779
calibration__2x2__balanced__equal_mi_different_shape__primary__np10__nq10__e0,calibration,2x2,2,2,balanced,equal_mi_different_shape,primary,10,10,1.0,0.0,10000,False,6592036917468241243
calibration__2x2__balanced__equal_mi_different_shape__primary__np12__nq12__e0,calibration,2x2,2,2,balanced,equal_mi_different_shape,primary,12,12,1.0,0.0,10000,False,16613581860721667889
calibration__2x2__balanced__equal_mi_different_shape__primary__np150__nq150__e0,calibration,2x2,2,2,balanced,equal_mi_different_shape,primary,150,150,1.0,0.0,10000,False,17683007414778568725
calibration__2x2__balanced__equal_mi_different_shape__primary__np15__nq15__e0,calibration,2x2,2,2,balanced,equal_mi_different_shape,primary,15,15,1.0,0.0,10000,False,3275919227069937126
calibration__2x2__balanced__equal_mi_different_shape__primary__np20__nq20__e0,calibration,2x2,2,2,balanced,equal_mi_different_shape,primary,20,20,1.0,0.0,10000,False,14794341925652339484
calibration__2x2__balanced__equal_mi_different_shape__primary__np250__nq250__e0,calibration,2x2,2,2,balanced,equal_mi_different_shape,primary,250,250,1.0,0.0,10000,False,1216691781993655097
calibration__2x2__balanced__equal_mi_different_shape__primary__np2__nq2__e0,calibration,2x2,2,2,balanced,equal_mi_different_shape,primary,2,2,1.0,0.0,10000,False,3595535312545234085
calibration__2x2__balanced__equal_mi_different_shape__primary__np30__nq30__e0,calibration,2x2,2,2,balanced,equal_mi_different_shape,primary,30,30,1.0,0.0,10000,False,9284844435216428197
calibration__2x2__balanced__equal_mi_different_shape__primary__np3__nq3__e0,calibration,2x2,2,2,balanced,equal_mi_different_shape,primary,3,3,1.0,0.0,10000,False,5188452284534401785
calibration__2x2__balanced__equal_mi_different_shape__primary__np4__nq4__e0,calibration,2x2,2,2,balanced,equal_mi_different_shape,primary,4,4,1.0,0.0,10000,False,348381518642040483
calibration__2x2__balanced__equal_mi_different_shape__primary__np500__nq500__e0,calibration,2x2,2,2,balanced,equal_mi_different_shape,primary,500,500,1.0,0.0,10000,False,15572399621041820576
calibration__2x2__balanced__equal_mi_different_shape__primary__np50__nq50__e0,calibration,2x2,2,2,balanced,equal_mi_different_shape,primary,50,50,1.0,0.0,10000,False,13246381571808147192
calibration__2x2__balanced__equal_mi_different_shape__primary__np5__nq5__e0,calibration,2x2,2,2,balanced,equal_mi_different_shape,primary,5,5,1.0,0.0,10000,False,2010188057980919036
calibration__2x2__balanced__equal_mi_different_shape__primary__np6__nq6__e0,calibration,2x2,2,2,balanced,equal_mi_different_shape,primary,6,6,1.0,0.0,10000,False,14882119033659419445
calibration__2x2__balanced__equal_mi_different_shape__primary__np75__nq75__e0,calibration,2x2,2,2,balanced,equal_mi_different_shape,primary,75,75,1.0,0.0,10000,False,7328705881918448864
calibration__2x2__balanced__equal_mi_different_shape__primary__np8__nq8__e0,calibration,2x2,2,2,balanced,equal_mi_different_shape,primary,8,8,1.0,0.0,10000,False,7050520868224404629
calibration__2x2__balanced__identical_distribution__primary__np1000__nq1000__e0,calibration,2x2,2,2,balanced,identical_distribution,primary,1000,1000,1.0,0.0,10000,False,8575781134654720177
calibration__2x2__balanced__identical_distribution__primary__np100__nq100__e0,calibration,2x2,2,2,balanced,identical_distribution,primary,100,100,1.0,0.0,10000,False,14179361018376074607
calibration__2x2__balanced__identical_distribution__primary__np10__nq10__e0,calibration,2x2,2,2,balanced,identical_distribution,primary,10,10,1.0,0.0,10000,False,15409532974679067604
calibration__2x2__balanced__identical_distribution__primary__np12__nq12__e0,calibration,2x2,2,2,balanced,identical_distribution,primary,12,12,1.0,0.0,10000,False,18305980634396977364
calibration__2x2__balanced__identical_distribution__primary__np150__nq150__e0,calibration,2x2,2,2,balanced,identical_distribution,primary,150,150,1.0,0.0,10000,False,7708407800001429290
calibration__2x2__balanced__identical_distribution__primary__np15__nq15__e0,calibration,2x2,2,2,balanced,identical_distribution,primary,15,15,1.0,0.0,10000,False,1283175721049173972
calibration__2x2__balanced__identical_distribution__primary__np20__nq20__e0,calibration,2x2,2,2,balanced,identical_distribution,primary,20,20,1.0,0.0,10000,False,5393135571279205174
calibration__2x2__balanced__identical_distribution__primary__np250__nq250__e0,calibration,2x2,2,2,balanced,identical_distribution,primary,250,250,1.0,0.0,10000,False,15209751533574975317
calibration__2x2__balanced__identical_distribution__primary__np2__nq2__e0,calibration,2x2,2,2,balanced,identical_distribution,primary,2,2,1.0,0.0,10000,False,7182912113765122369
calibration__2x2__balanced__identical_distribution__primary__np30__nq30__e0,calibration,2x2,2,2,balanced,identical_distribution,primary,30,30,1.0,0.0,10000,False,16202195871688132592
calibration__2x2__balanced__identical_distribution__primary__np3__nq3__e0,calibration,2x2,2,2,balanced,identical_distribution,primary,3,3,1.0,0.0,10000,False,9903136848552814806
calibration__2x2__balanced__identical_distribution__primary__np4__nq4__e0,calibration,2x2,2,2,balanced,identical_distribution,primary,4,4,1.0,0.0,10000,False,15403740473201392570
calibration__2x2__balanced__identical_distribution__primary__np500__nq500__e0,calibration,2x2,2,2,balanced,identical_distribution,primary,500,500,1.0,0.0,10000,False,3778497641094834213
calibration__2x2__balanced__identical_distribution__primary__np50__nq50__e0,calibration,2x2,2,2,balanced,identical_distribution,primary,50,50,1.0,0.0,10000,False,4443813070883580076
calibration__2x2__balanced__identical_distribution__primary__np5__nq5__e0,calibration,2x2,2,2,balanced,identical_distribution,primary,5,5,1.0,0.0,10000,False,4928290995716754103
calibration__2x2__balanced__identical_distribution__primary__np6__nq6__e0,calibration,2x2,2,2,balanced,identical_distribution,primary,6,6,1.0,0.0,10000,False,1573313573563803341
calibration__2x2__balanced__identical_distribution__primary__np75__nq75__e0,calibration,2x2,2,2,balanced,identical_distribution,primary,75,75,1.0,0.0,10000,False,12046763362874441601
calibration__2x2__balanced__identical_distribution__primary__np8__nq8__e0,calibration,2x2,2,2,balanced,identical_distribution,primary,8,8,1.0,0.0,10000,False,15857246399848719573
calibration__2x2__mild__equal_mi_different_shape__primary__np1000__nq1000__e0,calibration,2x2,2,2,mild,equal_mi_different_shape,primary,1000,1000,1.0,0.0,10000,False,7237622767961877281
calibration__2x2__mild__equal_mi_different_shape__primary__np100__nq100__e0,calibration,2x2,2,2,mild,equal_mi_different_shape,primary,100,100,1.0,0.0,10000,False,1171877435569282786
calibration__2x2__mild__equal_mi_different_shape__primary__np10__nq10__e0,calibration,2x2,2,2,mild,equal_mi_different_shape,primary,10,10,1.0,0.0,10000,False,1610473027265385420
calibration__2x2__mild__equal_mi_different_shape__primary__np12__nq12__e0,calibration,2x2,2,2,mild,equal_mi_different_shape,primary,12,12,1.0,0.0,10000,False,791749142591099656
calibration__2x2__mild__equal_mi_different_shape__primary__np150__nq150__e0,calibration,2x2,2,2,mild,equal_mi_different_shape,primary,150,150,1.0,0.0,10000,False,8965268773809508965
calibration__2x2__mild__equal_mi_different_shape__primary__np15__nq15__e0,calibration,2x2,2,2,mild,equal_mi_different_shape,primary,15,15,1.0,0.0,10000,False,11530160921321179510
calibration__2x2__mild__equal_mi_different_shape__primary__np20__nq20__e0,calibration,2x2,2,2,mild,equal_mi_different_shape,primary,20,20,1.0,0.0,10000,False,11059663872774699106
calibration__2x2__mild__equal_mi_different_shape__primary__np250__nq250__e0,calibration,2x2,2,2,mild,equal_mi_different_shape,primary,250,250,1.0,0.0,10000,False,2949694791648102892
calibration__2x2__mild__equal_mi_different_shape__primary__np2__nq2__e0,calibration,2x2,2,2,mild,equal_mi_different_shape,primary,2,2,1.0,0.0,10000,False,15339596237521380105
