scenario_id,regime,regime_label,variant,rows,columns,n_p,n_q,target_mi,minimum_joint_expected_pair,sample_size_ratio_q_to_p,simulation_seed,replicates,correction,valid_replicates,mean_delta_error,mean_standard_error,standardized_mean_bias,empirical_delta_sd,sd_to_mean_se_ratio
fixed_2x2_d0,well_sampled,Well sampled,variant_1,2,2,200,200,0.1,18.22755561664987,1.0,2477831945,10000,analytic,10000,-0.0006686347897873678,0.04222311028833707,-0.01583575405083455,0.04262031987352549,1.0094073975715177
fixed_2x2_d0,well_sampled,Well sampled,variant_1,2,2,200,200,0.1,18.22755561664987,1.0,2477831945,10000,jackknife,10000,-0.0006718888140641232,0.04222311028833707,-0.01591282142589371,0.042607683863207915,1.009108129937483
fixed_2x2_d1,well_sampled,Well sampled,variant_2,2,2,200,200,0.15,15.015493478341384,1.0,2764902787,10000,analytic,10000,0.00022149731111107966,0.04991678157550423,0.004437331577077788,0.050426282873671874,1.0102070141961572
fixed_2x2_d1,well_sampled,Well sampled,variant_2,2,2,200,200,0.15,15.015493478341384,1.0,2764902787,10000,jackknife,10000,0.00021180197824726524,0.04991678157550423,0.004243101649630458,0.0504087713074922,1.0098561989867834
fixed_2x2_d2,moderate,Moderate,variant_1,2,2,100,100,0.1,6.927339351697551,1.0,3881087075,10000,analytic,10000,0.0011103788507391495,0.059190738103916785,0.018759334421370785,0.06121068276339926,1.0341260258646583
fixed_2x2_d2,moderate,Moderate,variant_1,2,2,100,100,0.1,6.927339351697551,1.0,3881087075,10000,jackknife,10000,0.001231039908430243,0.059190738103916785,0.020797846890657078,0.061059950104609434,1.031579467676362
fixed_2x2_d3,moderate,Moderate,variant_2,2,2,100,200,0.15,0.942122134448951,2.0,2198623536,10000,analytic,10000,-0.000851577587789464,0.05506829976460241,-0.01546402542714517,0.057598690993564995,1.0459500518406981
fixed_2x2_d3,moderate,Moderate,variant_2,2,2,100,200,0.15,0.942122134448951,2.0,2198623536,10000,jackknife,10000,-0.0015282716863874882,0.05506829976460241,-0.027752294748890224,0.05774947596793261,1.0486881965630188
stress_2x2_d4,highly_sparse,Highly skewed and sparse,variant_1,2,2,52,52,0.1,4.071566736129853,1.0,2768931447,10000,analytic,9999,0.0022501619479319756,0.08486025455137722,0.026516087652902958,0.09025497214710848,1.0635717819166466
stress_2x2_d4,highly_sparse,Highly skewed and sparse,variant_1,2,2,52,52,0.1,4.071566736129853,1.0,2768931447,10000,jackknife,9999,0.0017334672127727888,0.08486025455137722,0.020427315731456945,0.08937106433191683,1.0531557418061788
stress_2x2_d5,highly_sparse,Highly skewed and sparse,variant_2,2,2,54,108,0.15,4.20095477751052,2.0,880372142,10000,analytic,10000,0.00042914646646749526,0.08161124664920083,0.005258423122883366,0.08470451349272737,1.0379024579396843
