regime,regime_label,correction,population_pairs,mean_absolute_standardized_bias,median_absolute_standardized_bias,mean_sd_to_mean_se_ratio
well_sampled,Well sampled,analytic,12,0.008304909427431492,0.007678759804403398,1.0087711920415763
well_sampled,Well sampled,jackknife,12,0.006660280352923973,0.005222933997359773,1.0063096824584539
moderate,Moderate,analytic,12,0.028109396317153302,0.017111679924257977,1.038175011187254
moderate,Moderate,jackknife,12,0.03116915294939479,0.01931500831078521,1.0523030318235194
highly_sparse,Highly skewed and sparse,analytic,12,0.014316810582875645,0.007479524746197854,1.023498724838152
highly_sparse,Highly skewed and sparse,jackknife,12,0.019790338493421763,0.010965630421548378,1.0231689708238298
ultra_sparse,Ultra-skewed and sparse,analytic,12,0.10027181344952142,0.06508014051698081,1.0728633182295535
ultra_sparse,Ultra-skewed and sparse,jackknife,12,0.10678927108009266,0.04041948877419427,1.1607436449391686
widespread_sparse,Widespread sparsity,analytic,12,0.22906390086936979,0.22540788965821107,1.0192358137785342
widespread_sparse,Widespread sparsity,jackknife,12,0.06174570799909629,0.04890302410633331,1.068744521479292
