scenario_id,regime,regime_label,variant,rows,columns,n_p,n_q,target_mi,minimum_joint_expected_pair,sample_size_ratio_q_to_p,simulation_seed,replicates,method,method_label,valid_replicates,valid_rate,fpr_10,absolute_fpr_error_10,fpr_05,absolute_fpr_error_05,fpr_01,absolute_fpr_error_01
fixed_2x2_d0,well_sampled,Well sampled,variant_1,2,2,200,200,0.1,18.22755561664987,1.0,2477831945,10000,analytic_normal,Analytic correction + Normal Wald,10000,1.0,0.1011,0.0010999999999999899,0.0518,0.001799999999999996,0.01,0.0
fixed_2x2_d0,well_sampled,Well sampled,variant_1,2,2,200,200,0.1,18.22755561664987,1.0,2477831945,10000,analytic_simple,Analytic correction + Simple Welch,10000,1.0,0.1003,0.0002999999999999947,0.0511,0.0010999999999999968,0.0089,0.0011000000000000003
fixed_2x2_d0,well_sampled,Well sampled,variant_1,2,2,200,200,0.1,18.22755561664987,1.0,2477831945,10000,analytic_expanded,Analytic correction + Expanded Welch,10000,1.0,0.0958,0.004200000000000009,0.0468,0.0032000000000000015,0.0074,0.0026
fixed_2x2_d0,well_sampled,Well sampled,variant_1,2,2,200,200,0.1,18.22755561664987,1.0,2477831945,10000,jackknife_normal,Jackknife correction + Normal Wald,10000,1.0,0.1011,0.0010999999999999899,0.0517,0.0017000000000000001,0.01,0.0
fixed_2x2_d0,well_sampled,Well sampled,variant_1,2,2,200,200,0.1,18.22755561664987,1.0,2477831945,10000,jackknife_simple,Jackknife correction + Simple Welch,10000,1.0,0.1,0.0,0.0511,0.0010999999999999968,0.0089,0.0011000000000000003
fixed_2x2_d0,well_sampled,Well sampled,variant_1,2,2,200,200,0.1,18.22755561664987,1.0,2477831945,10000,jackknife_expanded,Jackknife correction + Expanded Welch,10000,1.0,0.0958,0.004200000000000009,0.0468,0.0032000000000000015,0.0074,0.0026
fixed_2x2_d1,well_sampled,Well sampled,variant_2,2,2,200,200,0.15,15.015493478341384,1.0,2764902787,10000,analytic_normal,Analytic correction + Normal Wald,10000,1.0,0.104,0.00399999999999999,0.0504,0.0003999999999999976,0.012,0.002
fixed_2x2_d1,well_sampled,Well sampled,variant_2,2,2,200,200,0.15,15.015493478341384,1.0,2764902787,10000,analytic_simple,Analytic correction + Simple Welch,10000,1.0,0.1034,0.0034000000000000002,0.0493,0.0007000000000000062,0.0113,0.001299999999999999
fixed_2x2_d1,well_sampled,Well sampled,variant_2,2,2,200,200,0.15,15.015493478341384,1.0,2764902787,10000,analytic_expanded,Analytic correction + Expanded Welch,10000,1.0,0.1016,0.0015999999999999903,0.0483,0.0017000000000000001,0.0104,0.0003999999999999993
fixed_2x2_d1,well_sampled,Well sampled,variant_2,2,2,200,200,0.15,15.015493478341384,1.0,2764902787,10000,jackknife_normal,Jackknife correction + Normal Wald,10000,1.0,0.1038,0.003799999999999998,0.0504,0.0003999999999999976,0.0119,0.0019000000000000006
fixed_2x2_d1,well_sampled,Well sampled,variant_2,2,2,200,200,0.15,15.015493478341384,1.0,2764902787,10000,jackknife_simple,Jackknife correction + Simple Welch,10000,1.0,0.1033,0.0032999999999999974,0.0492,0.0008000000000000021,0.0113,0.001299999999999999
fixed_2x2_d1,well_sampled,Well sampled,variant_2,2,2,200,200,0.15,15.015493478341384,1.0,2764902787,10000,jackknife_expanded,Jackknife correction + Expanded Welch,10000,1.0,0.1015,0.0015000000000000013,0.0481,0.0019000000000000059,0.0104,0.0003999999999999993
fixed_2x2_d2,moderate,Moderate,variant_1,2,2,100,100,0.1,6.927339351697551,1.0,3881087075,10000,analytic_normal,Analytic correction + Normal Wald,10000,1.0,0.1028,0.002799999999999997,0.0527,0.002699999999999994,0.0109,0.0008999999999999998
fixed_2x2_d2,moderate,Moderate,variant_1,2,2,100,100,0.1,6.927339351697551,1.0,3881087075,10000,analytic_simple,Analytic correction + Simple Welch,10000,1.0,0.1003,0.0002999999999999947,0.0507,0.0006999999999999992,0.0095,0.0005000000000000004
fixed_2x2_d2,moderate,Moderate,variant_1,2,2,100,100,0.1,6.927339351697551,1.0,3881087075,10000,analytic_expanded,Analytic correction + Expanded Welch,10000,1.0,0.0931,0.006900000000000003,0.0456,0.004400000000000001,0.0081,0.0019000000000000006
fixed_2x2_d2,moderate,Moderate,variant_1,2,2,100,100,0.1,6.927339351697551,1.0,3881087075,10000,jackknife_normal,Jackknife correction + Normal Wald,10000,1.0,0.1013,0.0012999999999999956,0.0518,0.001799999999999996,0.0109,0.0008999999999999998
fixed_2x2_d2,moderate,Moderate,variant_1,2,2,100,100,0.1,6.927339351697551,1.0,3881087075,10000,jackknife_simple,Jackknife correction + Simple Welch,10000,1.0,0.0993,0.0007000000000000062,0.0503,0.0002999999999999947,0.0095,0.0005000000000000004
fixed_2x2_d2,moderate,Moderate,variant_1,2,2,100,100,0.1,6.927339351697551,1.0,3881087075,10000,jackknife_expanded,Jackknife correction + Expanded Welch,10000,1.0,0.0921,0.007900000000000004,0.0446,0.005400000000000002,0.0078,0.0022000000000000006
fixed_2x2_d3,moderate,Moderate,variant_2,2,2,100,200,0.15,0.942122134448951,2.0,2198623536,10000,analytic_normal,Analytic correction + Normal Wald,10000,1.0,0.1199,0.0199,0.0701,0.020099999999999993,0.0226,0.012599999999999998
fixed_2x2_d3,moderate,Moderate,variant_2,2,2,100,200,0.15,0.942122134448951,2.0,2198623536,10000,analytic_simple,Analytic correction + Simple Welch,10000,1.0,0.1185,0.01849999999999999,0.0682,0.018199999999999994,0.0211,0.0111
fixed_2x2_d3,moderate,Moderate,variant_2,2,2,100,200,0.15,0.942122134448951,2.0,2198623536,10000,analytic_expanded,Analytic correction + Expanded Welch,10000,1.0,0.1136,0.013600000000000001,0.0635,0.013499999999999998,0.0152,0.0052
