scenario_id,regime,regime_label,variant,rows,columns,n_p,n_q,target_mi,minimum_joint_expected_pair,sample_size_ratio_q_to_p,simulation_seed,replicates,correction,valid_replicates,mean_delta_error,mean_standard_error,standardized_mean_bias,empirical_delta_sd,sd_to_mean_se_ratio
random_2x2_d0,well_sampled,Well sampled,variant_1,2,2,400,400,0.03,55.48178407867192,1.0,2477831945,10000,analytic,10000,5.0262020625199534e-05,0.01715591371700152,0.002929719830392353,0.017151322373060305,0.999732375435261
random_2x2_d0,well_sampled,Well sampled,variant_1,2,2,400,400,0.03,55.48178407867192,1.0,2477831945,10000,jackknife,10000,4.995819239168018e-05,0.01715591371700152,0.002912010005166416,0.017150509648077402,0.9996850025586943
random_2x2_d1,moderate,Moderate,variant_1,2,2,200,400,0.07,18.758721415988006,2.0,2764902787,10000,analytic,10000,-0.00014331599537735365,0.030980633153774903,-0.004625986649982039,0.031220356133904892,1.007737833469707
random_2x2_d1,moderate,Moderate,variant_1,2,2,200,400,0.07,18.758721415988006,2.0,2764902787,10000,jackknife,10000,-0.00019054824443000306,0.030980633153774903,-0.006150560044534961,0.031212818955626588,1.0074945466962928
random_2x2_d2,sparse_imbalanced,Sparse and imbalanced,variant_1,2,2,120,480,0.15,1.996423864960812,4.0,3881087075,10000,analytic,10000,-0.0007100577179906516,0.04846497585599058,-0.014650945460089071,0.04937379745429712,1.0187521314568901
random_2x2_d2,sparse_imbalanced,Sparse and imbalanced,variant_1,2,2,120,480,0.15,1.996423864960812,4.0,3881087075,10000,jackknife,10000,-0.0007123281179202875,0.04846497585599058,-0.01469779165962876,0.049323486135190026,1.0177140350126335
random_2x2_d3,well_sampled,Well sampled,variant_2,2,2,800,800,0.03,42.55583416835748,1.0,2198623536,10000,analytic,10000,-2.946171093630536e-05,0.012803956804607143,-0.002300984874121443,0.012847293416582852,1.003384626536706
random_2x2_d3,well_sampled,Well sampled,variant_2,2,2,800,800,0.03,42.55583416835748,1.0,2198623536,10000,jackknife,10000,-2.5201126194691793e-05,0.012803956804607143,-0.0019682295542908955,0.012847408988490159,1.0033936528017169
random_2x2_d4,moderate,Moderate,variant_2,2,2,120,240,0.07,0.2265081531062298,2.0,2768931447,10000,analytic,10000,0.001024340514997428,0.036351381854504566,0.02817886041024035,0.03801540590279407,1.0457760878238334
random_2x2_d4,moderate,Moderate,variant_2,2,2,120,240,0.07,0.2265081531062298,2.0,2768931447,10000,jackknife,10000,-0.0007212343427916221,0.036351381854504566,-0.019840630699497017,0.038104632116473934,1.0482306358802729
random_2x2_d5,sparse_imbalanced,Sparse and imbalanced,variant_2,2,2,120,480,0.15,12.57541048981186,4.0,880372142,10000,analytic,10000,-0.0007306151216327647,0.05128947164190251,-0.014244933672427738,0.05215013779758119,1.0167805619384764
random_2x2_d5,sparse_imbalanced,Sparse and imbalanced,variant_2,2,2,120,480,0.15,12.57541048981186,4.0,880372142,10000,jackknife,10000,-0.0009332828199284354,0.05128947164190251,-0.018196382026403276,0.05210837945116092,1.0159663919912438
stress_2x2_d6,highly_sparse,Highly skewed and sparse,variant_1,2,2,157,157,0.1,2.1019617738835743,1.0,3260596029,10000,analytic,10000,0.0005398480501597506,0.04110832148335337,0.013132330162844515,0.04271155025764212,1.039000103055484
stress_2x2_d6,highly_sparse,Highly skewed and sparse,variant_1,2,2,157,157,0.1,2.1019617738835743,1.0,3260596029,10000,jackknife,10000,0.00028321401808769763,0.04110832148335337,0.006889457118855701,0.04276282704616206,1.0402474609302321
stress_2x2_d7,highly_sparse,Highly skewed and sparse,variant_2,2,2,135,540,0.15,3.784944856291914,4.0,3227718042,10000,analytic,10000,0.000513444826238018,0.048252658886759545,0.010640757174500626,0.04904014767667901,1.0163201118464282
stress_2x2_d7,highly_sparse,Highly skewed and sparse,variant_2,2,2,135,540,0.15,3.784944856291914,4.0,3227718042,10000,jackknife,10000,0.00011521510886217374,0.048252658886759545,0.002387746323628781,0.0488594003272881,1.0125742592123776
stress_2x2_d8,ultra_sparse,Ultra-skewed and sparse,variant_1,2,2,125,125,0.1,0.6874348312919387,1.0,1814125591,10000,analytic,10000,-6.802074188580527e-05,0.04630520181102795,-0.001468965455833638,0.04908149541335868,1.0599564086484456
stress_2x2_d8,ultra_sparse,Ultra-skewed and sparse,variant_1,2,2,125,125,0.1,0.6874348312919387,1.0,1814125591,10000,jackknife,10000,0.000574558095969433,0.04630520181102795,0.012408068067907597,0.05132513840390917,1.108409776797165
stress_2x2_d9,ultra_sparse,Ultra-skewed and sparse,variant_2,2,2,522,2088,0.15,0.578865038456128,4.0,3974158138,10000,analytic,10000,0.00012364671971710185,0.020100361220815353,0.00615146754621787,0.020375039474664285,1.0136653391862671
stress_2x2_d9,ultra_sparse,Ultra-skewed and sparse,variant_2,2,2,522,2088,0.15,0.578865038456128,4.0,3974158138,10000,jackknife,10000,0.00028528022248303103,0.020100361220815353,0.01419279083341065,0.020612495736393857,1.025478871247754
adversarial_2x2_d10,widespread_sparse,Widespread sparsity,variant_1,2,2,120,120,0.03,0.2113242464913775,1.0,3229974002,10000,analytic,8747,0.0023318099818017747,0.034695121722446605,0.06720858339843121,0.033683809554292836,0.9708514592845633
adversarial_2x2_d10,widespread_sparse,Widespread sparsity,variant_1,2,2,120,120,0.03,0.2113242464913775,1.0,3229974002,10000,jackknife,8747,-7.155696699426812e-05,0.034695121722446605,-0.002062450380393769,0.035802822732148167,1.0319267076957657
adversarial_2x2_d11,widespread_sparse,Widespread sparsity,variant_2,2,2,120,120,0.03,0.1176701599326482,1.0,606157434,10000,analytic,9239,0.0014975164647489704,0.02857562764925985,0.05240537436761282,0.028396219343382427,0.9937216320117445
adversarial_2x2_d11,widespread_sparse,Widespread sparsity,variant_2,2,2,120,120,0.03,0.1176701599326482,1.0,606157434,10000,jackknife,9239,0.000154367900550359,0.02857562764925985,0.005402082587479312,0.030410364344208435,1.0642063480623534
adversarial_2x2_d12,shape_mismatch,Equal-MI shape mismatch,variant_1,2,2,120,120,0.07,4.488131537935788,1.0,2674302760,10000,analytic,10000,0.00026732858954267314,0.04861444940417894,0.005498953352739059,0.048958214541231865,1.007071254354747
adversarial_2x2_d12,shape_mismatch,Equal-MI shape mismatch,variant_1,2,2,120,120,0.07,4.488131537935788,1.0,2674302760,10000,jackknife,10000,0.0007842832818539207,0.04861444940417894,0.016132719622789827,0.0488352853871136,1.0045425996929152
adversarial_2x2_d13,shape_mismatch,Equal-MI shape mismatch,variant_2,2,2,200,200,0.15,13.510952843682013,1.0,3380239290,10000,analytic,10000,3.718273157522245e-05,0.05196641411577881,0.0007155146686161761,0.05197992686315988,1.0002600284743712
adversarial_2x2_d13,shape_mismatch,Equal-MI shape mismatch,variant_2,2,2,200,200,0.15,13.510952843682013,1.0,3380239290,10000,jackknife,10000,8.684988574680492e-05,0.05196641411577881,0.0016712695540875172,0.05195853190685984,0.9998483210925154
adversarial_2x2_d14,extreme_imbalance,Extreme sample imbalance,variant_1,2,2,120,1200,0.07,5.910908791733845,10.0,65349617,10000,analytic,10000,0.00045834639635890966,0.03287132715659341,0.013943653512236528,0.034075373939176964,1.0366290894446604
adversarial_2x2_d14,extreme_imbalance,Extreme sample imbalance,variant_1,2,2,120,1200,0.07,5.910908791733845,10.0,65349617,10000,jackknife,10000,8.357572137213065e-05,0.03287132715659341,0.002542511319180699,0.033916320174458496,1.0317904115305998
