regime,regime_label,correction,population_pairs,mean_absolute_standardized_bias,median_absolute_standardized_bias,mean_sd_to_mean_se_ratio
well_sampled,Well sampled,analytic,24,0.017464721394112984,0.01033844391404912,0.9884971434121576
well_sampled,Well sampled,jackknife,24,0.013096060229739158,0.008645980447051284,0.98893311661067
moderate,Moderate,analytic,24,0.016343025322736602,0.008130275775649315,0.9921158505308861
moderate,Moderate,jackknife,24,0.019279960563635495,0.012648448143058297,0.9916574341063864
sparse_imbalanced,Sparse and imbalanced,analytic,24,0.04633785381199126,0.03479352943586056,1.016744720470327
sparse_imbalanced,Sparse and imbalanced,jackknife,24,0.027923165442580607,0.0246745694997037,1.0279025600040816
highly_sparse,Highly skewed and sparse,analytic,24,0.01019563310535626,0.010426532674217552,1.0017691283095551
highly_sparse,Highly skewed and sparse,jackknife,24,0.009524290671371994,0.00926252025144561,1.0016756209075088
ultra_sparse,Ultra-skewed and sparse,analytic,24,0.007163751131995959,0.006188775185827342,1.0092952502372021
ultra_sparse,Ultra-skewed and sparse,jackknife,24,0.0071651586465584565,0.005246822225238172,1.014545732983796
widespread_sparse,Widespread sparsity,analytic,24,0.168802913315775,0.13923793698672232,0.9703399519719614
widespread_sparse,Widespread sparsity,jackknife,24,0.06955469259695651,0.07125366803648261,1.0296991970813594
shape_mismatch,Equal-MI shape mismatch,analytic,24,0.12942003649943382,0.116481546488283,0.9973550825558265
shape_mismatch,Equal-MI shape mismatch,jackknife,24,0.06575038204536736,0.06643115232572419,1.001020126004859
extreme_imbalance,Extreme sample imbalance,analytic,24,0.05573141356781488,0.04195088648327411,1.0104002767703066
extreme_imbalance,Extreme sample imbalance,jackknife,24,0.031877443854029505,0.03166153201569527,1.0256729524809491
