regime,regime_label,method,method_label,population_pairs,mean_valid_rate,mean_fpr_10,mean_absolute_fpr_error_10,mean_fpr_05,mean_absolute_fpr_error_05,mean_fpr_01,mean_absolute_fpr_error_01
well_sampled,Well sampled,analytic_normal,Analytic correction + Normal Wald,24,1.0,0.09582083333333334,0.0043958333333333375,0.046595833333333336,0.0037708333333333357,0.008599999999999998,0.001541666666666667
well_sampled,Well sampled,analytic_simple,Analytic correction + Simple Welch,24,1.0,0.09575416666666665,0.004437500000000005,0.046525000000000004,0.0038416666666666686,0.008575,0.001566666666666667
well_sampled,Well sampled,analytic_expanded,Analytic correction + Expanded Welch,24,1.0,0.09398333333333335,0.006116666666666673,0.04505416666666667,0.005162500000000002,0.007891666666666667,0.002166666666666667
well_sampled,Well sampled,jackknife_normal,Jackknife correction + Normal Wald,24,1.0,0.09590833333333333,0.004650000000000004,0.04674166666666666,0.003658333333333335,0.008508333333333333,0.001491666666666667
well_sampled,Well sampled,jackknife_simple,Jackknife correction + Simple Welch,24,1.0,0.09583749999999998,0.0046958333333333374,0.046650000000000004,0.003750000000000002,0.008479166666666666,0.0015208333333333335
well_sampled,Well sampled,jackknife_expanded,Jackknife correction + Expanded Welch,24,1.0,0.09408333333333334,0.006191666666666671,0.04513333333333334,0.005016666666666669,0.007808333333333334,0.002191666666666667
moderate,Moderate,analytic_normal,Analytic correction + Normal Wald,24,1.0,0.09780416666666665,0.00537916666666667,0.04865,0.0036333333333333343,0.010054166666666668,0.0016708333333333332
moderate,Moderate,analytic_simple,Analytic correction + Simple Welch,24,1.0,0.09752083333333332,0.00530416666666667,0.048404166666666665,0.0036625000000000013,0.00995,0.0016333333333333336
moderate,Moderate,analytic_expanded,Analytic correction + Expanded Welch,24,1.0,0.09498333333333332,0.005925000000000004,0.046454166666666664,0.0041125000000000024,0.008724999999999998,0.0015166666666666668
moderate,Moderate,jackknife_normal,Jackknife correction + Normal Wald,24,1.0,0.09815,0.0051833333333333375,0.0489,0.0035333333333333345,0.010283333333333334,0.0016666666666666668
moderate,Moderate,jackknife_simple,Jackknife correction + Simple Welch,24,1.0,0.09787916666666667,0.005154166666666671,0.04866666666666667,0.0035083333333333342,0.010170833333333334,0.001554166666666667
moderate,Moderate,jackknife_expanded,Jackknife correction + Expanded Welch,24,1.0,0.09538333333333333,0.005700000000000004,0.0466625,0.003904166666666668,0.008979166666666668,0.0013958333333333338
sparse_imbalanced,Sparse and imbalanced,analytic_normal,Analytic correction + Normal Wald,24,1.0,0.10729166666666667,0.007774999999999997,0.05597916666666667,0.006312499999999999,0.012924999999999999,0.0029916666666666668
sparse_imbalanced,Sparse and imbalanced,analytic_simple,Analytic correction + Simple Welch,24,1.0,0.10669166666666667,0.007208333333333328,0.05545,0.005808333333333332,0.012637500000000001,0.0027124999999999996
sparse_imbalanced,Sparse and imbalanced,analytic_expanded,Analytic correction + Expanded Welch,24,1.0,0.10464166666666667,0.005374999999999998,0.05349583333333333,0.004104166666666665,0.011416666666666665,0.0015500000000000002
sparse_imbalanced,Sparse and imbalanced,jackknife_normal,Jackknife correction + Normal Wald,24,1.0,0.1117375,0.012245833333333329,0.05943333333333333,0.009524999999999999,0.014454166666666666,0.0044958333333333335
sparse_imbalanced,Sparse and imbalanced,jackknife_simple,Jackknife correction + Simple Welch,24,1.0,0.1111125,0.0116375,0.058895833333333335,0.00902083333333333,0.014070833333333333,0.004129166666666666
sparse_imbalanced,Sparse and imbalanced,jackknife_expanded,Jackknife correction + Expanded Welch,24,1.0,0.10913333333333335,0.00985833333333333,0.05684166666666667,0.007199999999999998,0.012762499999999998,0.0028374999999999997
highly_sparse,Highly skewed and sparse,analytic_normal,Analytic correction + Normal Wald,24,1.0,0.10027083333333335,0.0033041666666666684,0.05062916666666667,0.002979166666666667,0.010608333333333336,0.001525
highly_sparse,Highly skewed and sparse,analytic_simple,Analytic correction + Simple Welch,24,1.0,0.10013333333333334,0.003183333333333335,0.050499999999999996,0.0028750000000000004,0.010533333333333334,0.0014583333333333332
highly_sparse,Highly skewed and sparse,analytic_expanded,Analytic correction + Expanded Welch,24,1.0,0.09959583333333333,0.002737500000000002,0.05002083333333333,0.0024458333333333333,0.010191666666666667,0.0011416666666666667
highly_sparse,Highly skewed and sparse,jackknife_normal,Jackknife correction + Normal Wald,24,1.0,0.10021666666666666,0.0031583333333333346,0.0507125,0.0030625000000000006,0.010674999999999999,0.0016083333333333331
highly_sparse,Highly skewed and sparse,jackknife_simple,Jackknife correction + Simple Welch,24,1.0,0.10010000000000001,0.0030583333333333348,0.0506,0.00295,0.010595833333333332,0.0015291666666666665
highly_sparse,Highly skewed and sparse,jackknife_expanded,Jackknife correction + Expanded Welch,24,1.0,0.09962083333333334,0.002662500000000002,0.050154166666666666,0.0025375000000000003,0.0102375,0.0012041666666666665
ultra_sparse,Ultra-skewed and sparse,analytic_normal,Analytic correction + Normal Wald,24,1.0,0.10278749999999999,0.0037458333333333298,0.05242916666666667,0.0026958333333333326,0.010987500000000002,0.0012541666666666665
ultra_sparse,Ultra-skewed and sparse,analytic_simple,Analytic correction + Simple Welch,24,1.0,0.10262916666666667,0.0036374999999999966,0.052241666666666665,0.0025666666666666654,0.010895833333333334,0.0011624999999999997
ultra_sparse,Ultra-skewed and sparse,analytic_expanded,Analytic correction + Expanded Welch,24,1.0,0.10189166666666667,0.0033083333333333302,0.05159166666666667,0.002199999999999999,0.010545833333333332,0.0008624999999999999
ultra_sparse,Ultra-skewed and sparse,jackknife_normal,Jackknife correction + Normal Wald,24,1.0,0.104775,0.005483333333333332,0.053766666666666664,0.003924999999999998,0.0114625,0.0017041666666666665
