scenario_id,regime,regime_label,variant,rows,columns,n_p,n_q,target_mi,minimum_joint_expected_pair,sample_size_ratio_q_to_p,simulation_seed,replicates,method,method_label,valid_replicates,valid_rate,fpr_10,absolute_fpr_error_10,fpr_05,absolute_fpr_error_05,fpr_01,absolute_fpr_error_01
random_2x2_d0,well_sampled,Well sampled,variant_1,2,2,400,400,0.03,55.48178407867192,1.0,2477831945,10000,analytic_normal,Analytic correction + Normal Wald,10000,1.0,0.0962,0.0038000000000000117,0.0434,0.006600000000000002,0.0065,0.0035000000000000005
random_2x2_d0,well_sampled,Well sampled,variant_1,2,2,400,400,0.03,55.48178407867192,1.0,2477831945,10000,analytic_simple,Analytic correction + Simple Welch,10000,1.0,0.0957,0.004300000000000012,0.0426,0.007400000000000004,0.0062,0.0038000000000000004
random_2x2_d0,well_sampled,Well sampled,variant_1,2,2,400,400,0.03,55.48178407867192,1.0,2477831945,10000,analytic_expanded,Analytic correction + Expanded Welch,10000,1.0,0.0841,0.01590000000000001,0.0346,0.015400000000000004,0.0036,0.0064
random_2x2_d0,well_sampled,Well sampled,variant_1,2,2,400,400,0.03,55.48178407867192,1.0,2477831945,10000,jackknife_normal,Jackknife correction + Normal Wald,10000,1.0,0.0962,0.0038000000000000117,0.0434,0.006600000000000002,0.0065,0.0035000000000000005
random_2x2_d0,well_sampled,Well sampled,variant_1,2,2,400,400,0.03,55.48178407867192,1.0,2477831945,10000,jackknife_simple,Jackknife correction + Simple Welch,10000,1.0,0.0957,0.004300000000000012,0.0425,0.0075,0.0062,0.0038000000000000004
random_2x2_d0,well_sampled,Well sampled,variant_1,2,2,400,400,0.03,55.48178407867192,1.0,2477831945,10000,jackknife_expanded,Jackknife correction + Expanded Welch,10000,1.0,0.0841,0.01590000000000001,0.0346,0.015400000000000004,0.0036,0.0064
random_2x2_d1,moderate,Moderate,variant_1,2,2,200,400,0.07,18.758721415988006,2.0,2764902787,10000,analytic_normal,Analytic correction + Normal Wald,10000,1.0,0.1046,0.004599999999999993,0.0484,0.0016000000000000042,0.0105,0.0005000000000000004
random_2x2_d1,moderate,Moderate,variant_1,2,2,200,400,0.07,18.758721415988006,2.0,2764902787,10000,analytic_simple,Analytic correction + Simple Welch,10000,1.0,0.1034,0.0034000000000000002,0.0481,0.0019000000000000059,0.0103,0.0002999999999999999
random_2x2_d1,moderate,Moderate,variant_1,2,2,200,400,0.07,18.758721415988006,2.0,2764902787,10000,analytic_expanded,Analytic correction + Expanded Welch,10000,1.0,0.0951,0.004900000000000002,0.0435,0.006500000000000006,0.0068,0.0032000000000000006
random_2x2_d1,moderate,Moderate,variant_1,2,2,200,400,0.07,18.758721415988006,2.0,2764902787,10000,jackknife_normal,Jackknife correction + Normal Wald,10000,1.0,0.1045,0.00449999999999999,0.0485,0.0015000000000000013,0.0105,0.0005000000000000004
