condition,condition_label,method,method_label,nominal_alpha,actual_rejection_rate
balanced_control,Balanced control,normal_wald,Normal Wald,0.0,0.0
balanced_control,Balanced control,normal_wald,Normal Wald,0.001,0.000795
balanced_control,Balanced control,normal_wald,Normal Wald,0.002,0.0015949999999999998
balanced_control,Balanced control,normal_wald,Normal Wald,0.003,0.0025899999999999994
balanced_control,Balanced control,normal_wald,Normal Wald,0.004,0.0034999999999999996
balanced_control,Balanced control,normal_wald,Normal Wald,0.005,0.004329999999999999
balanced_control,Balanced control,normal_wald,Normal Wald,0.006,0.005234999999999999
balanced_control,Balanced control,normal_wald,Normal Wald,0.007,0.006180000000000001
balanced_control,Balanced control,normal_wald,Normal Wald,0.008,0.0072
balanced_control,Balanced control,normal_wald,Normal Wald,0.009000000000000001,0.0081
balanced_control,Balanced control,normal_wald,Normal Wald,0.01,0.009020000000000002
balanced_control,Balanced control,normal_wald,Normal Wald,0.011,0.01001
balanced_control,Balanced control,normal_wald,Normal Wald,0.012,0.011074999999999998
balanced_control,Balanced control,normal_wald,Normal Wald,0.013000000000000001,0.011945
balanced_control,Balanced control,normal_wald,Normal Wald,0.014,0.012969999999999995
balanced_control,Balanced control,normal_wald,Normal Wald,0.015,0.013895
balanced_control,Balanced control,normal_wald,Normal Wald,0.016,0.014920000000000006
balanced_control,Balanced control,normal_wald,Normal Wald,0.017,0.015899999999999994
balanced_control,Balanced control,normal_wald,Normal Wald,0.018000000000000002,0.01684
balanced_control,Balanced control,normal_wald,Normal Wald,0.019,0.017870000000000004
balanced_control,Balanced control,normal_wald,Normal Wald,0.02,0.018834999999999998
balanced_control,Balanced control,normal_wald,Normal Wald,0.021,0.019784999999999994
balanced_control,Balanced control,normal_wald,Normal Wald,0.022,0.020905
balanced_control,Balanced control,normal_wald,Normal Wald,0.023,0.021784999999999995
balanced_control,Balanced control,normal_wald,Normal Wald,0.024,0.022655
balanced_control,Balanced control,normal_wald,Normal Wald,0.025,0.02354
balanced_control,Balanced control,normal_wald,Normal Wald,0.026000000000000002,0.024590000000000004
balanced_control,Balanced control,normal_wald,Normal Wald,0.027,0.025435000000000006
balanced_control,Balanced control,normal_wald,Normal Wald,0.028,0.026525000000000003
balanced_control,Balanced control,normal_wald,Normal Wald,0.029,0.027510000000000007
balanced_control,Balanced control,normal_wald,Normal Wald,0.03,0.02851
balanced_control,Balanced control,normal_wald,Normal Wald,0.031,0.029455
balanced_control,Balanced control,normal_wald,Normal Wald,0.032,0.030440000000000005
balanced_control,Balanced control,normal_wald,Normal Wald,0.033,0.031435000000000005
balanced_control,Balanced control,normal_wald,Normal Wald,0.034,0.032334999999999996
balanced_control,Balanced control,normal_wald,Normal Wald,0.035,0.03325499999999999
balanced_control,Balanced control,normal_wald,Normal Wald,0.036000000000000004,0.03432999999999999
balanced_control,Balanced control,normal_wald,Normal Wald,0.037,0.0352
balanced_control,Balanced control,normal_wald,Normal Wald,0.038,0.036215
balanced_control,Balanced control,normal_wald,Normal Wald,0.039,0.03713999999999999
balanced_control,Balanced control,normal_wald,Normal Wald,0.04,0.038105
balanced_control,Balanced control,normal_wald,Normal Wald,0.041,0.039084999999999995
balanced_control,Balanced control,normal_wald,Normal Wald,0.042,0.04010999999999999
balanced_control,Balanced control,normal_wald,Normal Wald,0.043000000000000003,0.04107000000000001
balanced_control,Balanced control,normal_wald,Normal Wald,0.044,0.04198999999999999
balanced_control,Balanced control,normal_wald,Normal Wald,0.045,0.042960000000000005
balanced_control,Balanced control,normal_wald,Normal Wald,0.046,0.04398499999999999
balanced_control,Balanced control,normal_wald,Normal Wald,0.047,0.044974999999999994
balanced_control,Balanced control,normal_wald,Normal Wald,0.048,0.045984999999999984
balanced_control,Balanced control,normal_wald,Normal Wald,0.049,0.04693
balanced_control,Balanced control,normal_wald,Normal Wald,0.05,0.047795000000000004
balanced_control,Balanced control,normal_wald,Normal Wald,0.051000000000000004,0.048790000000000014
balanced_control,Balanced control,normal_wald,Normal Wald,0.052000000000000005,0.049825
balanced_control,Balanced control,normal_wald,Normal Wald,0.053,0.050925
balanced_control,Balanced control,normal_wald,Normal Wald,0.054,0.05197499999999999
balanced_control,Balanced control,normal_wald,Normal Wald,0.055,0.052969999999999996
balanced_control,Balanced control,normal_wald,Normal Wald,0.056,0.053904999999999995
balanced_control,Balanced control,normal_wald,Normal Wald,0.057,0.05491499999999999
balanced_control,Balanced control,normal_wald,Normal Wald,0.058,0.05593499999999998
balanced_control,Balanced control,normal_wald,Normal Wald,0.059000000000000004,0.05692499999999999
balanced_control,Balanced control,normal_wald,Normal Wald,0.06,0.05798000000000001
balanced_control,Balanced control,normal_wald,Normal Wald,0.061,0.058925000000000005
balanced_control,Balanced control,normal_wald,Normal Wald,0.062,0.05999
balanced_control,Balanced control,normal_wald,Normal Wald,0.063,0.06096499999999999
balanced_control,Balanced control,normal_wald,Normal Wald,0.064,0.06187999999999999
balanced_control,Balanced control,normal_wald,Normal Wald,0.065,0.06283000000000001
balanced_control,Balanced control,normal_wald,Normal Wald,0.066,0.06388500000000001
balanced_control,Balanced control,normal_wald,Normal Wald,0.067,0.06473500000000001
balanced_control,Balanced control,normal_wald,Normal Wald,0.068,0.06565
balanced_control,Balanced control,normal_wald,Normal Wald,0.069,0.06665999999999998
balanced_control,Balanced control,normal_wald,Normal Wald,0.07,0.06774499999999999
balanced_control,Balanced control,normal_wald,Normal Wald,0.07100000000000001,0.068825
balanced_control,Balanced control,normal_wald,Normal Wald,0.07200000000000001,0.069735
balanced_control,Balanced control,normal_wald,Normal Wald,0.073,0.07065
balanced_control,Balanced control,normal_wald,Normal Wald,0.074,0.07172
balanced_control,Balanced control,normal_wald,Normal Wald,0.075,0.07274
balanced_control,Balanced control,normal_wald,Normal Wald,0.076,0.07379499999999997
balanced_control,Balanced control,normal_wald,Normal Wald,0.077,0.07470500000000002
balanced_control,Balanced control,normal_wald,Normal Wald,0.078,0.075615
balanced_control,Balanced control,normal_wald,Normal Wald,0.079,0.076615
balanced_control,Balanced control,normal_wald,Normal Wald,0.08,0.077605
balanced_control,Balanced control,normal_wald,Normal Wald,0.081,0.07853000000000002
balanced_control,Balanced control,normal_wald,Normal Wald,0.082,0.079585
balanced_control,Balanced control,normal_wald,Normal Wald,0.083,0.08054999999999998
balanced_control,Balanced control,normal_wald,Normal Wald,0.084,0.08158499999999999
balanced_control,Balanced control,normal_wald,Normal Wald,0.085,0.08264499999999998
balanced_control,Balanced control,normal_wald,Normal Wald,0.08600000000000001,0.08361
balanced_control,Balanced control,normal_wald,Normal Wald,0.08700000000000001,0.08460500000000001
balanced_control,Balanced control,normal_wald,Normal Wald,0.088,0.08549499999999999
balanced_control,Balanced control,normal_wald,Normal Wald,0.089,0.08654999999999999
balanced_control,Balanced control,normal_wald,Normal Wald,0.09,0.08759
balanced_control,Balanced control,normal_wald,Normal Wald,0.091,0.08850500000000001
balanced_control,Balanced control,normal_wald,Normal Wald,0.092,0.08936999999999998
balanced_control,Balanced control,normal_wald,Normal Wald,0.093,0.09032499999999999
balanced_control,Balanced control,normal_wald,Normal Wald,0.094,0.09119999999999998
balanced_control,Balanced control,normal_wald,Normal Wald,0.095,0.09212999999999999
balanced_control,Balanced control,normal_wald,Normal Wald,0.096,0.09311500000000004
balanced_control,Balanced control,normal_wald,Normal Wald,0.097,0.09408000000000004
balanced_control,Balanced control,normal_wald,Normal Wald,0.098,0.09504499999999998
balanced_control,Balanced control,normal_wald,Normal Wald,0.099,0.09606999999999999
balanced_control,Balanced control,normal_wald,Normal Wald,0.1,0.09719500000000002
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.0,0.0
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.001,0.0012050000000000001
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.002,0.0020650000000000004
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.003,0.0029850000000000002
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,0.004,0.0037749999999999997
