configuration_id,rows,columns,condition,condition_label,n_p,n_q,method,method_label,population_pairs,mean_valid_rate,mean_delta_error,mean_empirical_delta_sd,mean_standard_error,mean_absolute_edgeworth_adjustment,mean_fpr_10,mean_absolute_fpr_error_10,population_sd_fpr_10,mean_fpr_05,mean_absolute_fpr_error_05,population_sd_fpr_05,mean_fpr_01,mean_absolute_fpr_error_01,population_sd_fpr_01
2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,normal_wald,Normal Wald,2,1.0,-0.0024667327310950466,0.061012131803204875,0.06031153146854634,0.035901787590017734,0.09833333333333333,0.008333333333333338,0.0117851130197758,0.045,0.008333333333333335,0.011785113019775794,0.006666666666666667,0.003333333333333333,0.0
2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,simple_welch,Simple Welch,2,0.0,-0.0024667327310950466,0.061012131803204875,0.06031153146854634,0.035901787590017734,,,,,,,,,
2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,expanded_welch,Expanded Welch,2,1.0,-0.0024667327310950466,0.061012131803204875,0.06031153146854634,0.035901787590017734,0.08333333333333334,0.01666666666666667,0.018856180831641263,0.04166666666666667,0.008333333333333335,0.011785113019775794,0.0033333333333333335,0.006666666666666666,0.0
2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,edgeworth_normal,Joint Edgeworth,2,0.9833333333333333,-0.0024667327310950466,0.061012131803204875,0.06031153146854634,0.035901787590017734,0.1016949152542373,0.0033898305084745714,0.004793944279230824,0.04576271186440678,0.0050847457627118675,0.0071909164188462505,0.011864406779661017,0.0018644067796610162,0.0023969721396154154
2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,joint_influence_welch,Joint-Influence Welch,2,0.99,-0.0024667327310950466,0.061012131803204875,0.06031153146854634,0.035901787590017734,0.09932659932659932,0.01178451178451178,0.016665816391602122,0.045454545454545456,0.008417508417508417,0.011904154565430093,0.013468013468013467,0.003468013468013467,0.0
2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,normal_wald,Normal Wald,2,1.0,-0.00034757782330650084,0.08427434569990341,0.08704808029078573,0.06435742498952575,0.07166666666666666,0.028333333333333342,0.016499158227686106,0.03,0.020000000000000004,0.009428090415820633,0.0033333333333333335,0.006666666666666666,0.0
2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,simple_welch,Simple Welch,2,0.0,-0.00034757782330650084,0.08427434569990341,0.08704808029078573,0.06435742498952575,,,,,,,,,
2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,expanded_welch,Expanded Welch,2,1.0,-0.00034757782330650084,0.08427434569990341,0.08704808029078573,0.06435742498952575,0.058333333333333334,0.04166666666666667,0.01178511301977579,0.018333333333333333,0.03166666666666667,0.0023570226039551587,0.0033333333333333335,0.006666666666666666,0.0
2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,edgeworth_normal,Joint Edgeworth,2,0.975,-0.00034757782330650084,0.08427434569990341,0.08704808029078573,0.06435742498952575,0.09564134932323445,0.016603548635949227,0.023480963664480697,0.04947752296795007,0.018549687916403677,0.0262332202291664,0.011939827477382706,0.0050669752437057305,0.007165785109857363
2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,joint_influence_welch,Joint-Influence Welch,2,0.9916666666666667,-0.00034757782330650084,0.08427434569990341,0.08704808029078573,0.06435742498952575,0.09232916026394286,0.021383214317996925,0.030240431695641803,0.04864751875621441,0.018242113350809,0.025798244107061396,0.010067341589080719,0.0033105848323239625,0.004681873969259207
2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,normal_wald,Normal Wald,2,1.0,0.0032456603215120033,0.10544930939687183,0.09609204125043673,0.0904887424025692,0.13666666666666666,0.03666666666666667,0.009428090415820635,0.06833333333333333,0.018333333333333326,0.01178511301977579,0.018333333333333333,0.015,0.021213203435596427
2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,simple_welch,Simple Welch,2,0.0,0.0032456603215120033,0.10544930939687183,0.09609204125043673,0.0904887424025692,,,,,,,,,
2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,expanded_welch,Expanded Welch,2,0.9816666666666667,0.0032456603215120033,0.10544930939687183,0.09609204125043673,0.0904887424025692,0.11545823532124902,0.015458235321249014,0.0013861001891254127,0.05276509386098427,0.015728056823947234,0.022242831270200884,0.0136986301369863,0.0136986301369863,0.019372788525658834
2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,edgeworth_normal,Joint Edgeworth,2,0.96,0.0032456603215120033,0.10544930939687183,0.09609204125043673,0.0904887424025692,0.14931275620930792,0.04931275620930792,0.0014663897560174342,0.07804436942367976,0.028044369423679764,0.016420155058660364,0.02423438630335182,0.01423438630335182,0.01449338712342815
2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,joint_influence_welch,Joint-Influence Welch,2,0.9716666666666667,0.0032456603215120033,0.10544930939687183,0.09609204125043673,0.0904887424025692,0.1269330351888902,0.02693303518889019,0.0009237242875333366,0.06519948217017771,0.015199482170177706,0.005325977874066029,0.02232552665646699,0.012325526656466988,0.007439725342835982
2x2_ultra_imbalanced,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,50,250,normal_wald,Normal Wald,2,1.0,0.0013921743460592485,0.08046637861081055,0.07386067126277143,0.2619984294096331,0.18166666666666667,0.08166666666666667,0.044783429475148025,0.12833333333333333,0.07833333333333334,0.021213203435596437,0.07833333333333334,0.06833333333333333,0.030641293851417065
