condition,condition_label,method,method_label,population_pairs,mean_valid_rate,mean_delta_error,mean_empirical_delta_sd,mean_standard_error,mean_absolute_edgeworth_adjustment,mean_fpr_10,mean_absolute_fpr_error_10,population_sd_fpr_10,mean_fpr_05,mean_absolute_fpr_error_05,population_sd_fpr_05,mean_fpr_01,mean_absolute_fpr_error_01,population_sd_fpr_01
balanced_control,Balanced control,normal_wald,Normal Wald,8,1.0,-1.8647273407058982e-05,0.04182030734977865,0.0423227894115108,0.018461053211690774,0.09625,0.011250000000000001,0.01537236233665873,0.04125,0.009583333333333336,0.008345229603962803,0.008333333333333333,0.0024999999999999996,0.002519763153394848
balanced_control,Balanced control,simple_welch,Simple Welch,8,0.0,-1.8647273407058982e-05,0.04182030734977865,0.0423227894115108,0.018461053211690774,,,,,,,,,
balanced_control,Balanced control,expanded_welch,Expanded Welch,8,1.0,-1.8647273407058982e-05,0.04182030734977865,0.0423227894115108,0.018461053211690774,0.09041666666666667,0.015416666666666669,0.017767233976469243,0.03916666666666667,0.010833333333333334,0.009041351212403584,0.007083333333333334,0.0029166666666666664,0.002781743201320934
balanced_control,Balanced control,edgeworth_normal,Joint Edgeworth,8,0.9941666666666666,-1.8647273407058982e-05,0.04182030734977865,0.0423227894115108,0.018461053211690774,0.09974725955013354,0.009857260223877763,0.014860319925482668,0.04483558016535172,0.0070903310641704164,0.008713280374866732,0.01048711731375696,0.0021537839804236262,0.002832485122963504
balanced_control,Balanced control,joint_influence_welch,Joint-Influence Welch,8,0.9970833333333333,-1.8647273407058982e-05,0.04182030734977865,0.0423227894115108,0.018461053211690774,0.09903872898438115,0.011239048793396617,0.015847947664897923,0.04429563190432756,0.006672381563685912,0.006871979094007062,0.012125364571016746,0.0037920312376834115,0.00437041269153397
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,8,1.0,-0.0003440468772245159,0.06008805851121192,0.06310960374189754,0.029684379014643002,0.07874999999999999,0.021250000000000005,0.018766527107660056,0.03208333333333334,0.017916666666666668,0.010681165741027595,0.005833333333333334,0.004999999999999999,0.004272466296411038
moderate_sparse,Moderate sparsity,simple_welch,Simple Welch,8,0.0,-0.0003440468772245159,0.06008805851121192,0.06310960374189754,0.029684379014643002,,,,,,,,,
moderate_sparse,Moderate sparsity,expanded_welch,Expanded Welch,8,1.0,-0.0003440468772245159,0.06008805851121192,0.06310960374189754,0.029684379014643002,0.06958333333333333,0.030416666666666675,0.01537236233665873,0.025416666666666667,0.024583333333333336,0.008717342685248956,0.002916666666666667,0.007083333333333333,0.002136233148205519
moderate_sparse,Moderate sparsity,edgeworth_normal,Joint Edgeworth,8,0.9916666666666667,-0.0003440468772245159,0.06008805851121192,0.06310960374189754,0.029684379014643002,0.09080961534585844,0.018387972780301118,0.021980244523954577,0.04206200045138575,0.01349670835516582,0.016901980112856905,0.009255972393716906,0.003371092668630995,0.005023980357925049
moderate_sparse,Moderate sparsity,joint_influence_welch,Joint-Influence Welch,8,0.9979166666666667,-0.0003440468772245159,0.06008805851121192,0.06310960374189754,0.029684379014643002,0.08641562339931905,0.0195124702461659,0.022111896084896943,0.0396618796890536,0.015393861671035585,0.017962812387074804,0.007933502063936846,0.002910979541414324,0.003963907273448092
