condition,condition_label,method,method_label,nominal_alpha,actual_rejection_rate
balanced_control,Balanced control,normal_wald,Normal Wald,0.0,0.0
balanced_control,Balanced control,normal_wald,Normal Wald,0.001,0.0008333333333333334
balanced_control,Balanced control,normal_wald,Normal Wald,0.002,0.0020833333333333333
balanced_control,Balanced control,normal_wald,Normal Wald,0.003,0.0033333333333333335
balanced_control,Balanced control,normal_wald,Normal Wald,0.004,0.0037500000000000003
balanced_control,Balanced control,normal_wald,Normal Wald,0.005,0.004166666666666667
balanced_control,Balanced control,normal_wald,Normal Wald,0.006,0.005416666666666667
balanced_control,Balanced control,normal_wald,Normal Wald,0.007,0.006666666666666667
balanced_control,Balanced control,normal_wald,Normal Wald,0.008,0.007083333333333334
balanced_control,Balanced control,normal_wald,Normal Wald,0.009000000000000001,0.007916666666666667
balanced_control,Balanced control,normal_wald,Normal Wald,0.01,0.008333333333333333
balanced_control,Balanced control,normal_wald,Normal Wald,0.011,0.00875
balanced_control,Balanced control,normal_wald,Normal Wald,0.012,0.009166666666666667
balanced_control,Balanced control,normal_wald,Normal Wald,0.013000000000000001,0.009583333333333334
balanced_control,Balanced control,normal_wald,Normal Wald,0.014,0.010833333333333334
balanced_control,Balanced control,normal_wald,Normal Wald,0.015,0.01125
balanced_control,Balanced control,normal_wald,Normal Wald,0.016,0.012083333333333333
balanced_control,Balanced control,normal_wald,Normal Wald,0.017,0.01375
balanced_control,Balanced control,normal_wald,Normal Wald,0.018000000000000002,0.014583333333333334
balanced_control,Balanced control,normal_wald,Normal Wald,0.019,0.015
balanced_control,Balanced control,normal_wald,Normal Wald,0.02,0.015416666666666667
balanced_control,Balanced control,normal_wald,Normal Wald,0.021,0.01583333333333333
balanced_control,Balanced control,normal_wald,Normal Wald,0.022,0.016666666666666666
balanced_control,Balanced control,normal_wald,Normal Wald,0.023,0.017083333333333332
balanced_control,Balanced control,normal_wald,Normal Wald,0.024,0.017916666666666668
balanced_control,Balanced control,normal_wald,Normal Wald,0.025,0.017916666666666668
balanced_control,Balanced control,normal_wald,Normal Wald,0.026000000000000002,0.019166666666666665
balanced_control,Balanced control,normal_wald,Normal Wald,0.027,0.021666666666666667
balanced_control,Balanced control,normal_wald,Normal Wald,0.028,0.022083333333333337
balanced_control,Balanced control,normal_wald,Normal Wald,0.029,0.022083333333333337
