scenario_id,configuration_id,rows,columns,condition,condition_label,n_p,n_q,population_replication,target_mi,true_delta,simulation_seed,replicates,mean_delta_error,empirical_delta_sd,mean_standard_error,mean_standardized_third_cumulant,mean_studentization_covariance,mean_absolute_edgeworth_adjustment,method,method_label,valid_replicates,valid_rate,fpr_10,fpr_05,fpr_01
config_2x2_d0_p00,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,0,0.1,0.0,2477831945,300,-0.001493267304575953,0.061187491890633154,0.06049921681481745,0.001049851392017483,-0.00044392957140095815,0.035759941809321474,normal_wald,Normal Wald,300,1.0,0.10666666666666667,0.05333333333333334,0.006666666666666667
config_2x2_d0_p00,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,0,0.1,0.0,2477831945,300,-0.001493267304575953,0.061187491890633154,0.06049921681481745,0.001049851392017483,-0.00044392957140095815,0.035759941809321474,simple_welch,Simple Welch,0,0.0,,,
config_2x2_d0_p00,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,0,0.1,0.0,2477831945,300,-0.001493267304575953,0.061187491890633154,0.06049921681481745,0.001049851392017483,-0.00044392957140095815,0.035759941809321474,expanded_welch,Expanded Welch,300,1.0,0.09666666666666666,0.05,0.0033333333333333335
config_2x2_d0_p00,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,0,0.1,0.0,2477831945,300,-0.001493267304575953,0.061187491890633154,0.06049921681481745,0.001049851392017483,-0.00044392957140095815,0.035759941809321474,edgeworth_normal,Joint Edgeworth,295,0.9833333333333333,0.10508474576271186,0.05084745762711865,0.013559322033898305
config_2x2_d0_p00,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,0,0.1,0.0,2477831945,300,-0.001493267304575953,0.061187491890633154,0.06049921681481745,0.001049851392017483,-0.00044392957140095815,0.035759941809321474,joint_influence_welch,Joint-Influence Welch,297,0.99,0.1111111111111111,0.05387205387205387,0.013468013468013467
config_2x2_d0_p01,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,1,0.1,0.0,2764902787,300,-0.00344019815761414,0.060836771715776596,0.06012384612227523,0.002623386089507575,-0.004872434289983607,0.03604363337071399,normal_wald,Normal Wald,300,1.0,0.09,0.03666666666666667,0.006666666666666667
config_2x2_d0_p01,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,1,0.1,0.0,2764902787,300,-0.00344019815761414,0.060836771715776596,0.06012384612227523,0.002623386089507575,-0.004872434289983607,0.03604363337071399,simple_welch,Simple Welch,0,0.0,,,
config_2x2_d0_p01,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,1,0.1,0.0,2764902787,300,-0.00344019815761414,0.060836771715776596,0.06012384612227523,0.002623386089507575,-0.004872434289983607,0.03604363337071399,expanded_welch,Expanded Welch,300,1.0,0.07,0.03333333333333333,0.0033333333333333335
config_2x2_d0_p01,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,1,0.1,0.0,2764902787,300,-0.00344019815761414,0.060836771715776596,0.06012384612227523,0.002623386089507575,-0.004872434289983607,0.03604363337071399,edgeworth_normal,Joint Edgeworth,295,0.9833333333333333,0.09830508474576272,0.04067796610169491,0.010169491525423728
config_2x2_d0_p01,2x2_balanced_control,2,2,balanced_control,Balanced control,100,100,1,0.1,0.0,2764902787,300,-0.00344019815761414,0.060836771715776596,0.06012384612227523,0.002623386089507575,-0.004872434289983607,0.03604363337071399,joint_influence_welch,Joint-Influence Welch,297,0.99,0.08754208754208755,0.037037037037037035,0.013468013468013467
config_2x2_d1_p00,2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,0,0.1,0.0,3881087075,300,-0.0027615721920251214,0.08295475158503796,0.0870829072731334,0.00047497169293173253,-0.008429794333350666,0.06692077314523218,normal_wald,Normal Wald,300,1.0,0.06,0.023333333333333334,0.0033333333333333335
config_2x2_d1_p00,2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,0,0.1,0.0,3881087075,300,-0.0027615721920251214,0.08295475158503796,0.0870829072731334,0.00047497169293173253,-0.008429794333350666,0.06692077314523218,simple_welch,Simple Welch,0,0.0,,,
config_2x2_d1_p00,2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,0,0.1,0.0,3881087075,300,-0.0027615721920251214,0.08295475158503796,0.0870829072731334,0.00047497169293173253,-0.008429794333350666,0.06692077314523218,expanded_welch,Expanded Welch,300,1.0,0.05,0.016666666666666666,0.0033333333333333335
config_2x2_d1_p00,2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,0,0.1,0.0,3881087075,300,-0.0027615721920251214,0.08295475158503796,0.0870829072731334,0.00047497169293173253,-0.008429794333350666,0.06692077314523218,edgeworth_normal,Joint Edgeworth,291,0.97,0.07903780068728522,0.030927835051546393,0.006872852233676976
config_2x2_d1_p00,2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,0,0.1,0.0,3881087075,300,-0.0027615721920251214,0.08295475158503796,0.0870829072731334,0.00047497169293173253,-0.008429794333350666,0.06692077314523218,joint_influence_welch,Joint-Influence Welch,296,0.9866666666666667,0.07094594594594594,0.030405405405405407,0.006756756756756757
config_2x2_d1_p01,2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,1,0.1,0.0,2198623536,300,0.0020664165454121197,0.08559393981476887,0.08701325330843805,-0.000289670869591158,-0.00043492998834237704,0.06179407683381933,normal_wald,Normal Wald,300,1.0,0.08333333333333333,0.03666666666666667,0.0033333333333333335
config_2x2_d1_p01,2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,1,0.1,0.0,2198623536,300,0.0020664165454121197,0.08559393981476887,0.08701325330843805,-0.000289670869591158,-0.00043492998834237704,0.06179407683381933,simple_welch,Simple Welch,0,0.0,,,
config_2x2_d1_p01,2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,1,0.1,0.0,2198623536,300,0.0020664165454121197,0.08559393981476887,0.08701325330843805,-0.000289670869591158,-0.00043492998834237704,0.06179407683381933,expanded_welch,Expanded Welch,300,1.0,0.06666666666666667,0.02,0.0033333333333333335
config_2x2_d1_p01,2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,1,0.1,0.0,2198623536,300,0.0020664165454121197,0.08559393981476887,0.08701325330843805,-0.000289670869591158,-0.00043492998834237704,0.06179407683381933,edgeworth_normal,Joint Edgeworth,294,0.98,0.11224489795918367,0.06802721088435375,0.017006802721088437
config_2x2_d1_p01,2x2_moderate_sparse,2,2,moderate_sparse,Moderate sparsity,50,50,1,0.1,0.0,2198623536,300,0.0020664165454121197,0.08559393981476887,0.08701325330843805,-0.000289670869591158,-0.00043492998834237704,0.06179407683381933,joint_influence_welch,Joint-Influence Welch,299,0.9966666666666667,0.11371237458193979,0.06688963210702341,0.013377926421404682
config_2x2_d2_p00,2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,0,0.1,1.6653345369377348e-16,2768931447,300,0.004065822487823428,0.10853508501511178,0.0967082922636505,0.0025151489124239923,-0.008704264289391247,0.0870667677441546,normal_wald,Normal Wald,300,1.0,0.13,0.07666666666666666,0.03333333333333333
config_2x2_d2_p00,2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,0,0.1,1.6653345369377348e-16,2768931447,300,0.004065822487823428,0.10853508501511178,0.0967082922636505,0.0025151489124239923,-0.008704264289391247,0.0870667677441546,simple_welch,Simple Welch,0,0.0,,,
config_2x2_d2_p00,2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,0,0.1,1.6653345369377348e-16,2768931447,300,0.004065822487823428,0.10853508501511178,0.0967082922636505,0.0025151489124239923,-0.008704264289391247,0.0870667677441546,expanded_welch,Expanded Welch,292,0.9733333333333334,0.11643835616438356,0.0684931506849315,0.0273972602739726
config_2x2_d2_p00,2x2_ultra_sparse,2,2,ultra_sparse,Ultra-sparsity,50,50,0,0.1,1.6653345369377348e-16,2768931447,300,0.004065822487823428,0.10853508501511178,0.0967082922636505,0.0025151489124239923,-0.008704264289391247,0.0870667677441546,edgeworth_normal,Joint Edgeworth,290,0.9666666666666667,0.1482758620689655,0.0896551724137931,0.034482758620689655
