regime,regime_label,method,population_pairs,mean_valid_rate,mean_fpr_05,mean_absolute_fpr_error_05,median_runtime_ms,p95_runtime_ms
strong_null,Strong null (P = Q),normal_wald,12,1.0,0.054277777777777786,0.015666666666666666,0.18560414901003242,0.20398451015353203
strong_null,Strong null (P = Q),expanded_welch,12,1.0,0.04925000000000001,0.014805555555555556,0.18560414901003242,0.20398451015353203
strong_null,Strong null (P = Q),constrained_lr,12,1.0,0.06677777777777778,0.023999999999999997,12.755187810398638,16.570929210865867
strong_null,Strong null (P = Q),student_permutation,12,1.0,0.043277777777777776,0.014333333333333335,0.7536665070801973,0.8162923739291728
well_sampled,Well sampled,normal_wald,12,1.0,0.05033333333333334,0.01372222222222222,0.18254166934639215,0.20141771528869867
well_sampled,Well sampled,expanded_welch,12,1.0,0.04922222222222222,0.01372222222222222,0.18254166934639215,0.20141771528869867
well_sampled,Well sampled,constrained_lr,12,1.0,0.05158333333333334,0.013972222222222221,12.877749744802713,15.759689587866886
well_sampled,Well sampled,student_permutation,12,1.0,0.10330555555555555,0.06080555555555555,0.737072725314647,0.7812407799065113
moderate,Moderate,normal_wald,12,1.0,0.07144444444444446,0.023944444444444445,0.18385425209999084,0.19751519430428743
moderate,Moderate,expanded_welch,12,1.0,0.06608333333333334,0.02025,0.18385425209999084,0.19751519430428743
moderate,Moderate,constrained_lr,12,1.0,0.07575000000000001,0.030916666666666672,13.715448032598943,23.358708224259313
moderate,Moderate,student_permutation,12,1.0,0.12000000000000001,0.07,0.7453960133716464,0.8518000657204539
highly_sparse,Highly skewed and sparse,normal_wald,12,1.0,0.04502777777777778,0.017249999999999998,0.18280197400599718,0.19881860353052616
highly_sparse,Highly skewed and sparse,expanded_welch,12,1.0,0.0405,0.018833333333333334,0.18280197400599718,0.19881860353052616
highly_sparse,Highly skewed and sparse,constrained_lr,12,1.0,0.04622222222222222,0.022222222222222227,13.953645771835,20.60980516835115
highly_sparse,Highly skewed and sparse,student_permutation,12,1.0,0.058444444444444445,0.027333333333333334,0.7364999619312584,0.7935457164421678
ultra_sparse,Ultra-skewed and sparse,normal_wald,12,1.0,0.08055555555555555,0.03277777777777778,0.1833124551922083,0.1998774532694369
ultra_sparse,Ultra-skewed and sparse,expanded_welch,12,1.0,0.06525000000000002,0.017472222222222226,0.1833124551922083,0.1998774532694369
ultra_sparse,Ultra-skewed and sparse,constrained_lr,12,1.0,0.1757777777777778,0.128,18.013104214332998,25.84073667530901
ultra_sparse,Ultra-skewed and sparse,student_permutation,12,1.0,0.07141666666666667,0.03308333333333333,0.7905934471637011,0.8740352059248833
widespread_sparse,Widespread sparsity,normal_wald,12,0.9983333333333334,0.07255839002267574,0.02478061224489796,0.18739578081294894,0.21349602611735463
widespread_sparse,Widespread sparsity,expanded_welch,12,0.9755555555555556,0.05752248677248678,0.014070105820105821,0.18739578081294894,0.21349602611735463
widespread_sparse,Widespread sparsity,constrained_lr,12,0.9958333333333332,0.06682748538011697,0.02516081871345029,16.707291710190475,56.74722417606971
widespread_sparse,Widespread sparsity,student_permutation,12,0.9983333333333334,0.07250680272108845,0.03211791383219955,0.7854165160097182,0.8994925650767982
all,All regimes,normal_wald,72,0.9997222222222223,0.06236621315192744,0.021356953892668177,0.18333340995013714,0.19993922323919833
all,All regimes,expanded_welch,72,0.9959259259259259,0.054638007054673726,0.01652557319223986,0.18333340995013714,0.19993922323919833
all,All regimes,constrained_lr,72,0.9993055555555556,0.08048976608187135,0.04071198830409357,14.62803123285994,26.508895680308324
all,All regimes,student_permutation,72,0.9997222222222223,0.0781585411942555,0.03961224489795919,0.7529582944698632,0.8266957011073827
