configuration_id,shape,alphabet_size,cells,regime,regime_label,sample_size_p,sample_size_q,observations_per_cell,stage,true_mi_p,true_mi_q,true_mi_difference,method,method_label,replicates,valid_count,valid_rate,reject_count,rejection_rate,wilson_low,wilson_high,absolute_calibration_error,selection_purpose
3x3_balanced_n250,3x3,3,9,balanced,Balanced margins,250,250,27.77777777777778,equal_mi_null,0.05,0.05,0.0,constrained_lr,Constrained LR,2000,2000,1.0,102,0.051,0.04218996991731548,0.06153153854124964,0.000999999999999994,ordinary control
3x3_balanced_n250,3x3,3,9,balanced,Balanced margins,250,250,27.77777777777778,equal_mi_null,0.05,0.05,0.0,expanded_welch,Expanded Welch,2000,2000,1.0,78,0.039,0.03136143254939691,0.04840608504391829,0.011000000000000003,ordinary control
3x3_balanced_n250,3x3,3,9,balanced,Balanced margins,250,250,27.77777777777778,equal_mi_null,0.05,0.05,0.0,normal_wald,Normal Wald,2000,2000,1.0,95,0.0475,0.03901402059617837,0.05772090719335553,0.0025000000000000022,ordinary control
3x3_ultra_n25,3x3,3,9,ultra,Ultra-skewed margins,25,25,2.7777777777777777,equal_mi_null,0.05,0.05,0.0,constrained_lr,Constrained LR,2000,2000,1.0,20,0.01,0.006482767876552687,0.015395938459075187,0.04,screening LR loss
3x3_ultra_n25,3x3,3,9,ultra,Ultra-skewed margins,25,25,2.7777777777777777,equal_mi_null,0.05,0.05,0.0,expanded_welch,Expanded Welch,2000,612,0.306,37,0.06045751633986928,0.044177285233051145,0.08222125079561549,0.010457516339869279,screening LR loss
3x3_ultra_n25,3x3,3,9,ultra,Ultra-skewed margins,25,25,2.7777777777777777,equal_mi_null,0.05,0.05,0.0,normal_wald,Normal Wald,2000,1633,0.8165,142,0.08695652173913043,0.07424122548626154,0.10161053906280916,0.03695652173913043,screening LR loss
5x5_balanced_n50,5x5,5,25,balanced,Balanced margins,50,50,2.0,equal_mi_null,0.05,0.05,0.0,constrained_lr,Constrained LR,2000,2000,1.0,109,0.0545,0.045378356153563185,0.06532973297403316,0.004499999999999997,screening LR gain
5x5_balanced_n50,5x5,5,25,balanced,Balanced margins,50,50,2.0,equal_mi_null,0.05,0.05,0.0,expanded_welch,Expanded Welch,2000,2000,1.0,127,0.0635,0.053626856130583093,0.0750467261459507,0.013499999999999998,screening LR gain
5x5_balanced_n50,5x5,5,25,balanced,Balanced margins,50,50,2.0,equal_mi_null,0.05,0.05,0.0,normal_wald,Normal Wald,2000,2000,1.0,162,0.081,0.06983042853923943,0.09377605708245051,0.031,screening LR gain
5x5_ultra_n50,5x5,5,25,ultra,Ultra-skewed margins,50,50,2.0,equal_mi_null,0.05,0.05,0.0,constrained_lr,Constrained LR,2000,1999,0.9995,42,0.021010505252626314,0.015581329820249533,0.028277088645092506,0.02898949474737369,screening LR loss
5x5_ultra_n50,5x5,5,25,ultra,Ultra-skewed margins,50,50,2.0,equal_mi_null,0.05,0.05,0.0,expanded_welch,Expanded Welch,2000,1488,0.744,54,0.036290322580645164,0.02791977891601229,0.0470489506091111,0.013709677419354839,screening LR loss
5x5_ultra_n50,5x5,5,25,ultra,Ultra-skewed margins,50,50,2.0,equal_mi_null,0.05,0.05,0.0,normal_wald,Normal Wald,2000,1946,0.973,93,0.047790339157245634,0.03917085487514798,0.05819165527247926,0.0022096608427543685,screening LR loss
8x8_mild_n25,8x8,8,64,mild,Mildly skewed margins,25,25,0.390625,equal_mi_null,0.05,0.05,0.0,constrained_lr,Constrained LR,2000,1932,0.966,89,0.04606625258799172,0.03758547566602397,0.05634859005621296,0.003933747412008283,largest screening LR gain
8x8_mild_n25,8x8,8,64,mild,Mildly skewed margins,25,25,0.390625,equal_mi_null,0.05,0.05,0.0,expanded_welch,Expanded Welch,2000,1999,0.9995,167,0.08354177088544272,0.07219618578544316,0.0964848934546584,0.03354177088544272,largest screening LR gain
8x8_mild_n25,8x8,8,64,mild,Mildly skewed margins,25,25,0.390625,equal_mi_null,0.05,0.05,0.0,normal_wald,Normal Wald,2000,2000,1.0,193,0.0965,0.0843220272921492,0.11022502986382192,0.0465,largest screening LR gain
8x8_strong_n50,8x8,8,64,strong,Strongly skewed margins,50,50,0.78125,equal_mi_null,0.05,0.05,0.0,constrained_lr,Constrained LR,2000,1997,0.9985,101,0.05057586379569354,0.04179843147104218,0.06107901437217723,0.0005758637956935347,screening LR gain
8x8_strong_n50,8x8,8,64,strong,Strongly skewed margins,50,50,0.78125,equal_mi_null,0.05,0.05,0.0,expanded_welch,Expanded Welch,2000,1959,0.9795,129,0.06584992343032159,0.05569460226798062,0.07770458677198014,0.015849923430321586,screening LR gain
8x8_strong_n50,8x8,8,64,strong,Strongly skewed margins,50,50,0.78125,equal_mi_null,0.05,0.05,0.0,normal_wald,Normal Wald,2000,2000,1.0,179,0.0895,0.07776341044149375,0.10281048537641489,0.03949999999999999,screening LR gain
