configuration_id,alphabet_size,regime,sample_size,true_mi_difference,replicates,minimum_expected_count,fraction_expected_below_1,fraction_expected_below_5,lr_valid_rate,lr_median_elapsed_ms,lr_p90_elapsed_ms,lr_median_iterations,lr_max_constraint_residual
3x3_balanced_n25_delta0.005,3,balanced,25,0.005,1000,1.4609553637057027,0.0,1.0,1.0,15.271312440745533,27.16422446537763,29.0,8.093502396055996e-09
3x3_balanced_n25_delta0.01,3,balanced,25,0.01,1000,1.406932059378759,0.0,1.0,1.0,15.98420855589211,26.432199729606513,30.0,9.249886662177076e-09
3x3_balanced_n25_delta0.02,3,balanced,25,0.02,1000,1.3067519427964327,0.0,1.0,1.0,17.179312533698976,32.21502052620053,31.0,9.727011772431293e-09
3x3_balanced_n25_delta0.035,3,balanced,25,0.035,1000,1.1725102718881903,0.0,1.0,1.0,17.2004580963403,30.560158425942067,31.0,9.150699198379186e-09
3x3_balanced_n50_delta0.005,3,balanced,50,0.005,1000,2.9219107274114053,0.0,0.2222222222222222,1.0,14.154145959764719,20.108021399937574,22.0,9.89809653684226e-09
3x3_balanced_n50_delta0.01,3,balanced,50,0.01,1000,2.813864118757518,0.0,0.2222222222222222,1.0,14.848896069452167,20.798770734108988,22.0,9.933761188629653e-09
3x3_balanced_n50_delta0.02,3,balanced,50,0.02,1000,2.6135038855928654,0.0,0.2222222222222222,1.0,15.816062572412193,23.393879667855806,22.0,9.967066422200688e-09
3x3_balanced_n50_delta0.035,3,balanced,50,0.035,1000,2.3450205437763807,0.0,0.2222222222222222,1.0,15.220875036902726,22.965674754232168,22.0,9.88394265044601e-09
3x3_balanced_n75_delta0.005,3,balanced,75,0.005,1000,4.3828660911171085,0.0,0.2222222222222222,1.0,13.954728958196938,19.34664167929441,22.0,9.788187912973534e-09
3x3_balanced_n75_delta0.01,3,balanced,75,0.01,1000,4.220796178136277,0.0,0.2222222222222222,1.0,15.633500064723194,20.7657253369689,22.0,9.940683512454918e-09
3x3_balanced_n75_delta0.02,3,balanced,75,0.02,1000,3.920255828389298,0.0,0.2222222222222222,1.0,16.032103914767504,22.18491300009191,22.0,9.988341015398916e-09
3x3_balanced_n75_delta0.035,3,balanced,75,0.035,1000,3.517530815664571,0.0,0.2222222222222222,1.0,15.848457929678261,22.31093745213002,22.0,9.895352440225658e-09
3x3_balanced_n100_delta0.005,3,balanced,100,0.005,1000,5.843821454822811,0.0,0.0,1.0,14.867687481455505,19.969004346057773,23.0,9.961623179122192e-09
3x3_balanced_n100_delta0.01,3,balanced,100,0.01,1000,5.627728237515036,0.0,0.0,1.0,15.869749942794442,20.721608749590814,23.0,9.986030100050947e-09
3x3_balanced_n100_delta0.02,3,balanced,100,0.02,1000,5.227007771185731,0.0,0.0,1.0,15.993520617485046,20.746241486631334,23.0,9.146137514015606e-09
3x3_balanced_n100_delta0.035,3,balanced,100,0.035,1000,4.690041087552761,0.0,0.1111111111111111,1.0,16.022437601350248,21.256341296248138,23.0,9.822645141710495e-09
3x3_balanced_n150_delta0.005,3,balanced,150,0.005,1000,8.765732182234217,0.0,0.0,1.0,15.416249982081354,20.345387770794332,23.0,8.79983762247516e-09
3x3_balanced_n150_delta0.01,3,balanced,150,0.01,1000,8.441592356272555,0.0,0.0,1.0,16.34304109029472,20.931745693087578,23.0,9.913763771712825e-09
3x3_balanced_n150_delta0.02,3,balanced,150,0.02,1000,7.840511656778596,0.0,0.0,1.0,16.68552099727094,22.54535898100585,23.0,7.486367435693975e-09
3x3_balanced_n150_delta0.035,3,balanced,150,0.035,1000,7.035061631329142,0.0,0.0,1.0,16.41647901851684,21.856083162128925,24.0,9.755179594672647e-09
3x3_balanced_n250_delta0.005,3,balanced,250,0.005,1000,14.609553637057028,0.0,0.0,1.0,16.507750027813017,21.598967211320996,24.0,6.666776242170158e-09
3x3_balanced_n250_delta0.01,3,balanced,250,0.01,1000,14.069320593787591,0.0,0.0,1.0,17.504520947113633,22.357696248218417,24.0,2.3032592430527465e-09
3x3_balanced_n250_delta0.02,3,balanced,250,0.02,1000,13.067519427964326,0.0,0.0,1.0,18.121103988960385,24.590653553605083,24.0,6.1040007076629266e-09
3x3_balanced_n250_delta0.035,3,balanced,250,0.035,1000,11.725102718881903,0.0,0.0,1.0,17.195895314216614,21.57965754158795,25.0,9.851383528380886e-09
3x3_balanced_n500_delta0.005,3,balanced,500,0.005,1000,29.219107274114055,0.0,0.0,1.0,17.625916516408324,22.83406264614314,25.0,1.161803570015607e-09
3x3_balanced_n500_delta0.01,3,balanced,500,0.01,1000,28.138641187575182,0.0,0.0,1.0,18.786270986311138,24.680328834801912,25.0,4.917021616257511e-09
3x3_balanced_n500_delta0.02,3,balanced,500,0.02,1000,26.135038855928652,0.0,0.0,1.0,19.19320854358375,25.97469228785485,25.0,9.512510501519245e-10
