configuration_id,shape,alphabet_size,regime,regime_label,sample_size_p,sample_size_q,true_mi_p,true_mi_q,true_mi_difference,method,method_label,replicates,valid_count,valid_rate,reject_count,rejection_rate,wilson_low,wilson_high,source
3x3_balanced_n25,3x3,3,balanced,Balanced margins,25,25,0.05,0.05,0.0,constrained_lr,Constrained LR,1000,1000,1.0,44,0.044,0.0329382145884185,0.0585517891504077,fixed_effect_screen
3x3_balanced_n25,3x3,3,balanced,Balanced margins,25,25,0.05,0.05,0.0,expanded_welch,Expanded Welch,1000,1000,1.0,57,0.057,0.0442534403587159,0.0731370676594859,fixed_effect_screen
3x3_balanced_n25,3x3,3,balanced,Balanced margins,25,25,0.05,0.05,0.0,normal_wald,Normal Wald,1000,1000,1.0,83,0.083,0.0674550214428992,0.1017364951340536,fixed_effect_screen
3x3_balanced_n25_delta0.005,3x3,3,balanced,Balanced margins,25,25,0.05,0.055,0.005,constrained_lr,Constrained LR,1000,1000,1.0,48,0.048,0.036393301020807914,0.06306608865013393,curve_run
3x3_balanced_n25_delta0.005,3x3,3,balanced,Balanced margins,25,25,0.05,0.055,0.005,expanded_welch,Expanded Welch,1000,1000,1.0,58,0.058,0.04513327823499824,0.0742495762662325,curve_run
3x3_balanced_n25_delta0.005,3x3,3,balanced,Balanced margins,25,25,0.05,0.055,0.005,normal_wald,Normal Wald,1000,1000,1.0,87,0.087,0.071074421452375,0.10608648105669352,curve_run
3x3_balanced_n25_delta0.01,3x3,3,balanced,Balanced margins,25,25,0.05,0.060000000000000005,0.01,constrained_lr,Constrained LR,1000,1000,1.0,49,0.049,0.037261034647360615,0.06419070150661013,curve_run
3x3_balanced_n25_delta0.01,3x3,3,balanced,Balanced margins,25,25,0.05,0.060000000000000005,0.01,expanded_welch,Expanded Welch,1000,1000,1.0,57,0.057,0.04425344035871594,0.07313706765948591,curve_run
3x3_balanced_n25_delta0.01,3x3,3,balanced,Balanced margins,25,25,0.05,0.060000000000000005,0.01,normal_wald,Normal Wald,1000,1000,1.0,99,0.099,0.08199544136866538,0.11907361893674984,curve_run
3x3_balanced_n25_delta0.02,3x3,3,balanced,Balanced margins,25,25,0.05,0.07,0.02,constrained_lr,Constrained LR,1000,1000,1.0,38,0.038,0.02780900450930263,0.05172692033135032,curve_run
3x3_balanced_n25_delta0.02,3x3,3,balanced,Balanced margins,25,25,0.05,0.07,0.02,expanded_welch,Expanded Welch,1000,1000,1.0,44,0.044,0.0329382145884185,0.058551789150407776,curve_run
3x3_balanced_n25_delta0.02,3x3,3,balanced,Balanced margins,25,25,0.05,0.07,0.02,normal_wald,Normal Wald,1000,1000,1.0,76,0.076,0.06114944807170235,0.0940956431240484,curve_run
3x3_balanced_n25_delta0.035,3x3,3,balanced,Balanced margins,25,25,0.05,0.085,0.035,constrained_lr,Constrained LR,1000,1000,1.0,62,0.062,0.04866418011998064,0.07868806031336564,curve_run
3x3_balanced_n25_delta0.035,3x3,3,balanced,Balanced margins,25,25,0.05,0.085,0.035,expanded_welch,Expanded Welch,1000,1000,1.0,79,0.079,0.06384721576082919,0.09737491488400823,curve_run
3x3_balanced_n25_delta0.035,3x3,3,balanced,Balanced margins,25,25,0.05,0.085,0.035,normal_wald,Normal Wald,1000,1000,1.0,111,0.111,0.09299921045824965,0.13197800764351225,curve_run
3x3_balanced_n25,3x3,3,balanced,Balanced margins,25,25,0.05,0.1,0.05,constrained_lr,Constrained LR,1000,1000,1.0,63,0.063,0.049549663211729,0.0797949237046461,fixed_effect_screen
3x3_balanced_n25,3x3,3,balanced,Balanced margins,25,25,0.05,0.1,0.05,expanded_welch,Expanded Welch,1000,1000,1.0,75,0.075,0.0602518049734673,0.0930009397392545,fixed_effect_screen
3x3_balanced_n25,3x3,3,balanced,Balanced margins,25,25,0.05,0.1,0.05,normal_wald,Normal Wald,1000,1000,1.0,105,0.105,0.0874877826144168,0.1255353565891717,fixed_effect_screen
3x3_balanced_n50,3x3,3,balanced,Balanced margins,50,50,0.05,0.05,0.0,constrained_lr,Constrained LR,1000,1000,1.0,45,0.045,0.0337995122856317,0.0596828379362234,fixed_effect_screen
3x3_balanced_n50,3x3,3,balanced,Balanced margins,50,50,0.05,0.05,0.0,expanded_welch,Expanded Welch,1000,1000,1.0,40,0.04,0.0295109736854527,0.0540096441212579,fixed_effect_screen
3x3_balanced_n50,3x3,3,balanced,Balanced margins,50,50,0.05,0.05,0.0,normal_wald,Normal Wald,1000,1000,1.0,52,0.052,0.0398730362837774,0.0675557393192799,fixed_effect_screen
3x3_balanced_n50_delta0.005,3x3,3,balanced,Balanced margins,50,50,0.05,0.055,0.005,constrained_lr,Constrained LR,1000,1000,1.0,33,0.033,0.023592927958426907,0.04598126446708159,curve_run
3x3_balanced_n50_delta0.005,3x3,3,balanced,Balanced margins,50,50,0.05,0.055,0.005,expanded_welch,Expanded Welch,1000,1000,1.0,20,0.02,0.012983682916415136,0.030690005229717786,curve_run
3x3_balanced_n50_delta0.005,3x3,3,balanced,Balanced margins,50,50,0.05,0.055,0.005,normal_wald,Normal Wald,1000,1000,1.0,38,0.038,0.02780900450930263,0.05172692033135032,curve_run
3x3_balanced_n50_delta0.01,3x3,3,balanced,Balanced margins,50,50,0.05,0.060000000000000005,0.01,constrained_lr,Constrained LR,1000,1000,1.0,39,0.039,0.028658960904180485,0.052869310419501346,curve_run
3x3_balanced_n50_delta0.01,3x3,3,balanced,Balanced margins,50,50,0.05,0.060000000000000005,0.01,expanded_welch,Expanded Welch,1000,1000,1.0,34,0.034,0.024431348663226313,0.04713519024531107,curve_run
3x3_balanced_n50_delta0.01,3x3,3,balanced,Balanced margins,50,50,0.05,0.060000000000000005,0.01,normal_wald,Normal Wald,1000,1000,1.0,43,0.043,0.03207865341171336,0.057419003844084014,curve_run
3x3_balanced_n50_delta0.02,3x3,3,balanced,Balanced margins,50,50,0.05,0.07,0.02,constrained_lr,Constrained LR,1000,1000,1.0,59,0.059,0.04601429821280047,0.07536090277145915,curve_run
3x3_balanced_n50_delta0.02,3x3,3,balanced,Balanced margins,50,50,0.05,0.07,0.02,expanded_welch,Expanded Welch,1000,1000,1.0,52,0.052,0.03987303628377742,0.06755573931927998,curve_run
3x3_balanced_n50_delta0.02,3x3,3,balanced,Balanced margins,50,50,0.05,0.07,0.02,normal_wald,Normal Wald,1000,1000,1.0,72,0.072,0.05756392168091441,0.08971178358272076,curve_run
3x3_balanced_n50_delta0.035,3x3,3,balanced,Balanced margins,50,50,0.05,0.085,0.035,constrained_lr,Constrained LR,1000,1000,1.0,77,0.077,0.062047907060605895,0.09518953061817373,curve_run
3x3_balanced_n50_delta0.035,3x3,3,balanced,Balanced margins,50,50,0.05,0.085,0.035,expanded_welch,Expanded Welch,1000,1000,1.0,65,0.065,0.051323770569062045,0.0820055093133709,curve_run
3x3_balanced_n50_delta0.035,3x3,3,balanced,Balanced margins,50,50,0.05,0.085,0.035,normal_wald,Normal Wald,1000,1000,1.0,86,0.086,0.07016852477576035,0.10500003125027926,curve_run
3x3_balanced_n50,3x3,3,balanced,Balanced margins,50,50,0.05,0.1,0.05,constrained_lr,Constrained LR,1000,1000,1.0,87,0.087,0.071074421452375,0.1060864810566935,fixed_effect_screen
3x3_balanced_n50,3x3,3,balanced,Balanced margins,50,50,0.05,0.1,0.05,expanded_welch,Expanded Welch,1000,1000,1.0,82,0.082,0.0665519534202195,0.1006472166737045,fixed_effect_screen
3x3_balanced_n50,3x3,3,balanced,Balanced margins,50,50,0.05,0.1,0.05,normal_wald,Normal Wald,1000,1000,1.0,101,0.101,0.0838240106523991,0.1212297426190738,fixed_effect_screen
3x3_balanced_n75,3x3,3,balanced,Balanced margins,75,75,0.05,0.05,0.0,constrained_lr,Constrained LR,1000,1000,1.0,38,0.038,0.0278090045093026,0.0517269203313503,fixed_effect_screen
3x3_balanced_n75,3x3,3,balanced,Balanced margins,75,75,0.05,0.05,0.0,expanded_welch,Expanded Welch,1000,1000,1.0,25,0.025,0.016990131293434,0.0366452892678433,fixed_effect_screen
3x3_balanced_n75,3x3,3,balanced,Balanced margins,75,75,0.05,0.05,0.0,normal_wald,Normal Wald,1000,1000,1.0,33,0.033,0.0235929279584269,0.0459812644670815,fixed_effect_screen
3x3_balanced_n75_delta0.005,3x3,3,balanced,Balanced margins,75,75,0.05,0.055,0.005,constrained_lr,Constrained LR,1000,1000,1.0,41,0.041,0.030364971082098315,0.0551479932076413,curve_run
3x3_balanced_n75_delta0.005,3x3,3,balanced,Balanced margins,75,75,0.05,0.055,0.005,expanded_welch,Expanded Welch,1000,1000,1.0,28,0.028,0.019442276812770925,0.04017018319759311,curve_run
3x3_balanced_n75_delta0.005,3x3,3,balanced,Balanced margins,75,75,0.05,0.055,0.005,normal_wald,Normal Wald,1000,1000,1.0,33,0.033,0.023592927958426907,0.04598126446708159,curve_run
3x3_balanced_n75_delta0.01,3x3,3,balanced,Balanced margins,75,75,0.05,0.060000000000000005,0.01,constrained_lr,Constrained LR,1000,1000,1.0,44,0.044,0.0329382145884185,0.058551789150407776,curve_run
3x3_balanced_n75_delta0.01,3x3,3,balanced,Balanced margins,75,75,0.05,0.060000000000000005,0.01,expanded_welch,Expanded Welch,1000,1000,1.0,34,0.034,0.024431348663226313,0.04713519024531107,curve_run
3x3_balanced_n75_delta0.01,3x3,3,balanced,Balanced margins,75,75,0.05,0.060000000000000005,0.01,normal_wald,Normal Wald,1000,1000,1.0,42,0.042,0.031220885546165447,0.056284425226603055,curve_run
3x3_balanced_n75_delta0.02,3x3,3,balanced,Balanced margins,75,75,0.05,0.07,0.02,constrained_lr,Constrained LR,1000,1000,1.0,51,0.051,0.03900094277526684,0.06643548634476165,curve_run
3x3_balanced_n75_delta0.02,3x3,3,balanced,Balanced margins,75,75,0.05,0.07,0.02,expanded_welch,Expanded Welch,1000,1000,1.0,38,0.038,0.02780900450930263,0.05172692033135032,curve_run
3x3_balanced_n75_delta0.02,3x3,3,balanced,Balanced margins,75,75,0.05,0.07,0.02,normal_wald,Normal Wald,1000,1000,1.0,48,0.048,0.036393301020807914,0.06306608865013393,curve_run
3x3_balanced_n75_delta0.035,3x3,3,balanced,Balanced margins,75,75,0.05,0.085,0.035,constrained_lr,Constrained LR,1000,1000,1.0,72,0.072,0.05756392168091441,0.08971178358272076,curve_run
3x3_balanced_n75_delta0.035,3x3,3,balanced,Balanced margins,75,75,0.05,0.085,0.035,expanded_welch,Expanded Welch,1000,1000,1.0,60,0.06,0.04689647267593196,0.07647107479135655,curve_run
3x3_balanced_n75_delta0.035,3x3,3,balanced,Balanced margins,75,75,0.05,0.085,0.035,normal_wald,Normal Wald,1000,1000,1.0,70,0.07,0.05577636414629404,0.08751464815128336,curve_run
3x3_balanced_n75,3x3,3,balanced,Balanced margins,75,75,0.05,0.1,0.05,constrained_lr,Constrained LR,1000,1000,1.0,124,0.124,0.1049999733719846,0.1458777490091528,fixed_effect_screen
3x3_balanced_n75,3x3,3,balanced,Balanced margins,75,75,0.05,0.1,0.05,expanded_welch,Expanded Welch,1000,1000,1.0,98,0.098,0.0810820115233503,0.1179947022990359,fixed_effect_screen
