configuration_id,shape,alphabet_size,regime,sample_size,stage,replicates,minimum_expected_count,fraction_expected_below_1,fraction_expected_below_5,mean_observed_zero_cell_fraction_p,mean_observed_zero_cell_fraction_q,lr_valid_rate,lr_median_elapsed_ms,lr_p90_elapsed_ms,lr_median_iterations,lr_max_constraint_residual
3x3_balanced_n25,3x3,3,balanced,25,alternative,1000,1.053511503387408,0.0,1.0,0.08,0.10677777777777778,1.0,18.626125063747168,32.414949825033545,32.0,8.959399333541285e-09
3x3_balanced_n25,3x3,3,balanced,25,equal_mi_null,1000,1.518053090138711,0.0,1.0,0.07388888888888889,0.07622222222222222,1.0,16.35406247805804,28.133432962931693,27.0,9.381011023545938e-09
3x3_balanced_n50,3x3,3,balanced,50,alternative,1000,2.107023006774816,0.0,0.2222222222222222,0.011,0.02811111111111111,1.0,16.905020573176444,25.363507983274758,23.0,9.862155231354919e-09
3x3_balanced_n50,3x3,3,balanced,50,equal_mi_null,1000,3.036106180277422,0.0,0.2222222222222222,0.012222222222222223,0.012222222222222223,1.0,15.339541481807828,22.187054459936917,22.0,9.799790812170528e-09
3x3_balanced_n75,3x3,3,balanced,75,alternative,1000,3.160534510162224,0.0,0.2222222222222222,0.0022222222222222222,0.008222222222222223,1.0,17.558458377607167,24.843492079526186,23.0,9.964333275158666e-09
3x3_balanced_n75,3x3,3,balanced,75,equal_mi_null,1000,4.554159270416133,0.0,0.2222222222222222,0.0022222222222222222,0.0025555555555555557,1.0,15.88999992236495,22.353933542035524,22.0,9.83160565459773e-09
3x3_balanced_n100,3x3,3,balanced,100,alternative,1000,4.214046013549632,0.0,0.1111111111111111,0.00022222222222222223,0.0024444444444444444,1.0,17.374312505126,24.315566476434473,23.0,9.945183850057493e-09
3x3_balanced_n100,3x3,3,balanced,100,equal_mi_null,1000,6.072212360554844,0.0,0.0,0.00022222222222222223,0.00044444444444444447,1.0,15.939978999085724,22.251196112483743,23.0,9.985659930877855e-09
3x3_balanced_n150,3x3,3,balanced,150,alternative,1000,6.321069020324448,0.0,0.0,0.00011111111111111112,0.0003333333333333333,1.0,18.610145431011915,25.429236935451627,24.0,9.74338353748605e-09
3x3_balanced_n150,3x3,3,balanced,150,equal_mi_null,1000,9.108318540832267,0.0,0.0,0.0,0.00011111111111111112,1.0,16.744603984989226,22.659800038672987,23.0,9.57889885466745e-09
3x3_balanced_n250,3x3,3,balanced,250,alternative,1000,10.53511503387408,0.0,0.0,0.0,0.0,1.0,18.888834048993886,25.497245858423412,25.0,9.21664239372788e-09
