configuration_id,shape,alphabet_size,cells,regime,regime_label,sample_size_p,sample_size_q,observations_per_cell,stage,true_mi_p,true_mi_q,true_mi_difference,method,method_label,replicates,valid_count,valid_rate,reject_count,rejection_rate,wilson_low,wilson_high,absolute_calibration_error
3x3_balanced_n25,3x3,3,9,balanced,Balanced margins,25,25,2.7777777777777777,alternative,0.05,0.1,0.05,constrained_lr,Constrained LR,1000,1000,1.0,63,0.063,0.049549663211729086,0.0797949237046461,
3x3_balanced_n25,3x3,3,9,balanced,Balanced margins,25,25,2.7777777777777777,alternative,0.05,0.1,0.05,expanded_welch,Expanded Welch,1000,1000,1.0,75,0.075,0.06025180497346736,0.0930009397392545,
3x3_balanced_n25,3x3,3,9,balanced,Balanced margins,25,25,2.7777777777777777,alternative,0.05,0.1,0.05,normal_wald,Normal Wald,1000,1000,1.0,105,0.105,0.08748778261441682,0.1255353565891717,
3x3_balanced_n25,3x3,3,9,balanced,Balanced margins,25,25,2.7777777777777777,equal_mi_null,0.05,0.05,0.0,constrained_lr,Constrained LR,1000,1000,1.0,44,0.044,0.0329382145884185,0.058551789150407776,0.006000000000000005
3x3_balanced_n25,3x3,3,9,balanced,Balanced margins,25,25,2.7777777777777777,equal_mi_null,0.05,0.05,0.0,expanded_welch,Expanded Welch,1000,1000,1.0,57,0.057,0.04425344035871594,0.07313706765948591,0.006999999999999999
3x3_balanced_n25,3x3,3,9,balanced,Balanced margins,25,25,2.7777777777777777,equal_mi_null,0.05,0.05,0.0,normal_wald,Normal Wald,1000,1000,1.0,83,0.083,0.06745502144289929,0.10173649513405368,0.033
3x3_balanced_n50,3x3,3,9,balanced,Balanced margins,50,50,5.555555555555555,alternative,0.05,0.1,0.05,constrained_lr,Constrained LR,1000,1000,1.0,87,0.087,0.071074421452375,0.10608648105669352,
3x3_balanced_n50,3x3,3,9,balanced,Balanced margins,50,50,5.555555555555555,alternative,0.05,0.1,0.05,expanded_welch,Expanded Welch,1000,1000,1.0,82,0.082,0.06655195342021952,0.10064721667370458,
3x3_balanced_n50,3x3,3,9,balanced,Balanced margins,50,50,5.555555555555555,alternative,0.05,0.1,0.05,normal_wald,Normal Wald,1000,1000,1.0,101,0.101,0.08382401065239914,0.12122974261907385,
3x3_balanced_n50,3x3,3,9,balanced,Balanced margins,50,50,5.555555555555555,equal_mi_null,0.05,0.05,0.0,constrained_lr,Constrained LR,1000,1000,1.0,45,0.045,0.03379951228563171,0.059682837936223455,0.0050000000000000044
3x3_balanced_n50,3x3,3,9,balanced,Balanced margins,50,50,5.555555555555555,equal_mi_null,0.05,0.05,0.0,expanded_welch,Expanded Welch,1000,1000,1.0,40,0.04,0.02951097368545276,0.05400964412125796,0.010000000000000002
3x3_balanced_n50,3x3,3,9,balanced,Balanced margins,50,50,5.555555555555555,equal_mi_null,0.05,0.05,0.0,normal_wald,Normal Wald,1000,1000,1.0,52,0.052,0.03987303628377742,0.06755573931927998,0.001999999999999995
3x3_balanced_n75,3x3,3,9,balanced,Balanced margins,75,75,8.333333333333334,alternative,0.05,0.1,0.05,constrained_lr,Constrained LR,1000,1000,1.0,124,0.124,0.10499997337198466,0.14587774900915282,
3x3_balanced_n75,3x3,3,9,balanced,Balanced margins,75,75,8.333333333333334,alternative,0.05,0.1,0.05,expanded_welch,Expanded Welch,1000,1000,1.0,98,0.098,0.08108201152335034,0.11799470229903597,
3x3_balanced_n75,3x3,3,9,balanced,Balanced margins,75,75,8.333333333333334,alternative,0.05,0.1,0.05,normal_wald,Normal Wald,1000,1000,1.0,124,0.124,0.10499997337198466,0.14587774900915282,
3x3_balanced_n75,3x3,3,9,balanced,Balanced margins,75,75,8.333333333333334,equal_mi_null,0.05,0.05,0.0,constrained_lr,Constrained LR,1000,1000,1.0,38,0.038,0.02780900450930263,0.05172692033135032,0.012000000000000004
3x3_balanced_n75,3x3,3,9,balanced,Balanced margins,75,75,8.333333333333334,equal_mi_null,0.05,0.05,0.0,expanded_welch,Expanded Welch,1000,1000,1.0,25,0.025,0.016990131293434067,0.0366452892678433,0.025
3x3_balanced_n75,3x3,3,9,balanced,Balanced margins,75,75,8.333333333333334,equal_mi_null,0.05,0.05,0.0,normal_wald,Normal Wald,1000,1000,1.0,33,0.033,0.023592927958426907,0.04598126446708159,0.017
3x3_balanced_n100,3x3,3,9,balanced,Balanced margins,100,100,11.11111111111111,alternative,0.05,0.1,0.05,constrained_lr,Constrained LR,1000,1000,1.0,143,0.143,0.12266731749770252,0.16606498806098383,
3x3_balanced_n100,3x3,3,9,balanced,Balanced margins,100,100,11.11111111111111,alternative,0.05,0.1,0.05,expanded_welch,Expanded Welch,1000,1000,1.0,122,0.122,0.10314874471332984,0.14374428470174982,
3x3_balanced_n100,3x3,3,9,balanced,Balanced margins,100,100,11.11111111111111,alternative,0.05,0.1,0.05,normal_wald,Normal Wald,1000,1000,1.0,140,0.14,0.11986857462597704,0.1628866914836227,
3x3_balanced_n100,3x3,3,9,balanced,Balanced margins,100,100,11.11111111111111,equal_mi_null,0.05,0.05,0.0,constrained_lr,Constrained LR,1000,1000,1.0,55,0.055,0.04249742737476844,0.07090838767737563,0.0049999999999999975
3x3_balanced_n100,3x3,3,9,balanced,Balanced margins,100,100,11.11111111111111,equal_mi_null,0.05,0.05,0.0,expanded_welch,Expanded Welch,1000,1000,1.0,38,0.038,0.02780900450930263,0.05172692033135032,0.012000000000000004
3x3_balanced_n100,3x3,3,9,balanced,Balanced margins,100,100,11.11111111111111,equal_mi_null,0.05,0.05,0.0,normal_wald,Normal Wald,1000,1000,1.0,48,0.048,0.036393301020807914,0.06306608865013393,0.0020000000000000018
3x3_balanced_n150,3x3,3,9,balanced,Balanced margins,150,150,16.666666666666668,alternative,0.05,0.1,0.05,constrained_lr,Constrained LR,1000,1000,1.0,202,0.202,0.17827757825342377,0.22800316980396712,
3x3_balanced_n150,3x3,3,9,balanced,Balanced margins,150,150,16.666666666666668,alternative,0.05,0.1,0.05,expanded_welch,Expanded Welch,1000,1000,1.0,181,0.181,0.15837194044398084,0.20606953146980334,
3x3_balanced_n150,3x3,3,9,balanced,Balanced margins,150,150,16.666666666666668,alternative,0.05,0.1,0.05,normal_wald,Normal Wald,1000,1000,1.0,200,0.2,0.17637709044319852,0.22591896464813463,
3x3_balanced_n150,3x3,3,9,balanced,Balanced margins,150,150,16.666666666666668,equal_mi_null,0.05,0.05,0.0,constrained_lr,Constrained LR,1000,1000,1.0,39,0.039,0.028658960904180485,0.052869310419501346,0.011000000000000003
3x3_balanced_n150,3x3,3,9,balanced,Balanced margins,150,150,16.666666666666668,equal_mi_null,0.05,0.05,0.0,expanded_welch,Expanded Welch,1000,1000,1.0,33,0.033,0.023592927958426907,0.04598126446708159,0.017
3x3_balanced_n150,3x3,3,9,balanced,Balanced margins,150,150,16.666666666666668,equal_mi_null,0.05,0.05,0.0,normal_wald,Normal Wald,1000,1000,1.0,38,0.038,0.02780900450930263,0.05172692033135032,0.012000000000000004
3x3_balanced_n250,3x3,3,9,balanced,Balanced margins,250,250,27.77777777777778,alternative,0.05,0.1,0.05,constrained_lr,Constrained LR,1000,1000,1.0,278,0.278,0.2511220562741525,0.30657702449343394,
3x3_balanced_n250,3x3,3,9,balanced,Balanced margins,250,250,27.77777777777778,alternative,0.05,0.1,0.05,expanded_welch,Expanded Welch,1000,1000,1.0,263,0.263,0.23665685979107837,0.2911570237310747,
3x3_balanced_n250,3x3,3,9,balanced,Balanced margins,250,250,27.77777777777778,alternative,0.05,0.1,0.05,normal_wald,Normal Wald,1000,1000,1.0,273,0.273,0.2462959489171712,0.3014413994352708,
3x3_balanced_n250,3x3,3,9,balanced,Balanced margins,250,250,27.77777777777778,equal_mi_null,0.05,0.05,0.0,constrained_lr,Constrained LR,1000,1000,1.0,45,0.045,0.03379951228563171,0.059682837936223455,0.0050000000000000044
3x3_balanced_n250,3x3,3,9,balanced,Balanced margins,250,250,27.77777777777778,equal_mi_null,0.05,0.05,0.0,expanded_welch,Expanded Welch,1000,1000,1.0,34,0.034,0.024431348663226313,0.04713519024531107,0.016
