configuration_id,shape,alphabet_size,regime,sample_size,stage,replicates,minimum_expected_count,fraction_expected_below_1,fraction_expected_below_5,mean_observed_zero_cell_fraction_p,mean_observed_zero_cell_fraction_q,lr_valid_rate,lr_median_elapsed_ms,lr_p90_elapsed_ms,lr_median_iterations,lr_max_constraint_residual
3x3_balanced_n25,3x3,3,balanced,25,alternative,20,1.053511503387408,0.0,1.0,0.07222222222222222,0.10555555555555556,1.0,9.670479572378099,14.15042062290013,29.5,3.2067305200111917e-09
3x3_balanced_n25,3x3,3,balanced,25,equal_mi_null,20,1.518053090138711,0.0,1.0,0.08333333333333333,0.07777777777777778,1.0,10.792187531478703,19.51068341732026,35.5,7.220907621841022e-10
3x3_balanced_n50,3x3,3,balanced,50,alternative,20,2.107023006774816,0.0,0.2222222222222222,0.011111111111111112,0.027777777777777776,1.0,8.790312567725778,10.575266694650056,23.5,7.761301726305625e-09
3x3_balanced_n50,3x3,3,balanced,50,equal_mi_null,20,3.036106180277422,0.0,0.2222222222222222,0.005555555555555556,0.0,1.0,8.473771042190492,9.093833877705038,22.0,3.2195915794508423e-09
3x3_balanced_n75,3x3,3,balanced,75,alternative,20,3.160534510162224,0.0,0.2222222222222222,0.005555555555555556,0.016666666666666666,1.0,9.355395450256765,14.338424359448258,23.0,7.810723651191509e-09
3x3_balanced_n75,3x3,3,balanced,75,equal_mi_null,20,4.554159270416133,0.0,0.2222222222222222,0.005555555555555556,0.0,1.0,9.185708477161825,10.121558769606056,22.0,8.01510134651462e-09
3x3_balanced_n100,3x3,3,balanced,100,alternative,20,4.214046013549632,0.0,0.1111111111111111,0.0,0.0,1.0,9.332271059975028,9.558754134923221,23.0,3.904230966300659e-10
3x3_balanced_n100,3x3,3,balanced,100,equal_mi_null,20,6.072212360554844,0.0,0.0,0.0,0.0,1.0,9.433208033442497,9.920528810471298,23.0,8.447191002236565e-09
3x3_balanced_n150,3x3,3,balanced,150,alternative,20,6.321069020324448,0.0,0.0,0.0,0.0,1.0,10.012728860601783,11.32533324416727,24.0,8.327494124826806e-09
3x3_balanced_n150,3x3,3,balanced,150,equal_mi_null,20,9.108318540832267,0.0,0.0,0.0,0.0,1.0,9.568249923177063,10.274695814587176,24.0,3.54977838790127e-10
3x3_balanced_n250,3x3,3,balanced,250,alternative,20,10.53511503387408,0.0,0.0,0.0,0.0,1.0,11.00262498948723,12.65705379191786,25.0,8.286446528948943e-11
