configuration_id,shape,alphabet_size,cells,regime,regime_label,sample_size_p,sample_size_q,observations_per_cell,stage,true_mi_p,true_mi_q,true_mi_difference,method,method_label,replicates,valid_count,valid_rate,reject_count,rejection_rate,wilson_low,wilson_high,absolute_calibration_error
3x3_balanced_n25,3x3,3,9,balanced,Balanced margins,25,25,2.7777777777777777,alternative,0.05,0.1,0.05,constrained_lr,Constrained LR,20,20,1.0,1,0.05,0.008881448800795402,0.23613119344674205,
3x3_balanced_n25,3x3,3,9,balanced,Balanced margins,25,25,2.7777777777777777,alternative,0.05,0.1,0.05,expanded_welch,Expanded Welch,20,20,1.0,1,0.05,0.008881448800795402,0.23613119344674205,
3x3_balanced_n25,3x3,3,9,balanced,Balanced margins,25,25,2.7777777777777777,alternative,0.05,0.1,0.05,normal_wald,Normal Wald,20,20,1.0,2,0.1,0.027866481213768224,0.3010336452284873,
3x3_balanced_n25,3x3,3,9,balanced,Balanced margins,25,25,2.7777777777777777,equal_mi_null,0.05,0.05,0.0,constrained_lr,Constrained LR,20,20,1.0,0,0.0,0.0,0.16112515805281938,0.05
3x3_balanced_n25,3x3,3,9,balanced,Balanced margins,25,25,2.7777777777777777,equal_mi_null,0.05,0.05,0.0,expanded_welch,Expanded Welch,20,20,1.0,0,0.0,0.0,0.16112515805281938,0.05
3x3_balanced_n25,3x3,3,9,balanced,Balanced margins,25,25,2.7777777777777777,equal_mi_null,0.05,0.05,0.0,normal_wald,Normal Wald,20,20,1.0,1,0.05,0.008881448800795402,0.23613119344674205,0.0
3x3_balanced_n50,3x3,3,9,balanced,Balanced margins,50,50,5.555555555555555,alternative,0.05,0.1,0.05,constrained_lr,Constrained LR,20,20,1.0,4,0.2,0.08065766257979806,0.41601743225189364,
3x3_balanced_n50,3x3,3,9,balanced,Balanced margins,50,50,5.555555555555555,alternative,0.05,0.1,0.05,expanded_welch,Expanded Welch,20,20,1.0,3,0.15,0.052368745896216595,0.36041886474075696,
3x3_balanced_n50,3x3,3,9,balanced,Balanced margins,50,50,5.555555555555555,alternative,0.05,0.1,0.05,normal_wald,Normal Wald,20,20,1.0,5,0.25,0.11186170140766569,0.468700877618744,
3x3_balanced_n50,3x3,3,9,balanced,Balanced margins,50,50,5.555555555555555,equal_mi_null,0.05,0.05,0.0,constrained_lr,Constrained LR,20,20,1.0,0,0.0,0.0,0.16112515805281938,0.05
3x3_balanced_n50,3x3,3,9,balanced,Balanced margins,50,50,5.555555555555555,equal_mi_null,0.05,0.05,0.0,expanded_welch,Expanded Welch,20,20,1.0,0,0.0,0.0,0.16112515805281938,0.05
3x3_balanced_n50,3x3,3,9,balanced,Balanced margins,50,50,5.555555555555555,equal_mi_null,0.05,0.05,0.0,normal_wald,Normal Wald,20,20,1.0,0,0.0,0.0,0.16112515805281938,0.05
3x3_balanced_n75,3x3,3,9,balanced,Balanced margins,75,75,8.333333333333334,alternative,0.05,0.1,0.05,constrained_lr,Constrained LR,20,20,1.0,3,0.15,0.052368745896216595,0.36041886474075696,
