stage,scenario_seed,scenario_id,scenario_key,replicates,valid_rate,mean_zero_fraction_p,mean_zero_fraction_q,mean_expected_below_1_p,mean_expected_below_1_q,mean_expected_below_5_p,mean_expected_below_5_q,median_welch_df,p05_welch_df,minimum_welch_df,wald_normal_fpr_10,wald_normal_fpr_10_low,wald_normal_fpr_10_high,wald_normal_fpr_05,wald_normal_fpr_05_low,wald_normal_fpr_05_high,wald_normal_coverage_95,welch_reference_fpr_10,welch_reference_fpr_10_low,welch_reference_fpr_10_high,welch_reference_fpr_05,welch_reference_fpr_05_low,welch_reference_fpr_05_high,welch_reference_coverage_95,welch_unbiased_fpr_10,welch_unbiased_fpr_10_low,welch_unbiased_fpr_10_high,welch_unbiased_fpr_05,welch_unbiased_fpr_05_low,welch_unbiased_fpr_05_high,welch_unbiased_coverage_95
broad,2026072501,random_2x2_d0,broad:2026072501:random_2x2_d0,200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,771.2096435050544,605.6599264246375,477.1249752853187,0.115,0.07786373232561955,0.16664716898487572,0.065,0.03837635464915297,0.10801907929906894,0.935,0.115,0.07786373232561955,0.16664716898487572,0.065,0.03837635464915297,0.10801907929906894,0.935,0.115,0.07786373232561955,0.16664716898487572,0.065,0.03837635464915297,0.10801907929906894,0.935
broad,2026072501,random_2x2_d1,broad:2026072501:random_2x2_d1,200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,428.0738172649084,325.7943560089049,270.90499397568993,0.075,0.045974917184382014,0.12004361023629459,0.04,0.020405632066152302,0.07693206820093294,0.96,0.075,0.045974917184382014,0.12004361023629459,0.04,0.020405632066152302,0.07693206820093294,0.96,0.075,0.045974917184382014,0.12004361023629459,0.04,0.020405632066152302,0.07693206820093294,0.96
broad,2026072501,random_2x2_d2,broad:2026072501:random_2x2_d2,200,1.0,0.0,0.0,0.0,0.0,0.0,0.15375,213.54997862905967,182.47247392758845,172.3711827642865,0.125,0.08611974475712647,0.1780142500258235,0.065,0.03837635464915297,0.10801907929906894,0.935,0.125,0.08611974475712647,0.1780142500258235,0.065,0.03837635464915297,0.10801907929906894,0.935,0.125,0.08611974475712647,0.1780142500258235,0.065,0.03837635464915297,0.10801907929906894,0.935
broad,2026072501,random_2x2_d3,broad:2026072501:random_2x2_d3,200,1.0,0.0,0.0,0.0,0.0,0.0,0.18375,1540.8860017881022,1295.0605155648702,1087.2700372418544,0.105,0.06970748792681018,0.15518031991123044,0.06,0.034652194254331865,0.10193169295766272,0.94,0.105,0.06970748792681018,0.15518031991123044,0.06,0.034652194254331865,0.10193169295766272,0.94,0.105,0.06970748792681018,0.15518031991123044,0.06,0.034652194254331865,0.10193169295766272,0.94
broad,2026072501,random_2x2_d4,broad:2026072501:random_2x2_d4,200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,248.10828924513694,182.2413860912204,162.83116417422653,0.11,0.07377244460125301,0.16092690997301493,0.07,0.04215217182834281,0.11405480885610646,0.93,0.11,0.07377244460125301,0.16092690997301493,0.07,0.04215217182834281,0.11405480885610646,0.93,0.11,0.07377244460125301,0.16092690997301493,0.07,0.04215217182834281,0.11405480885610646,0.93
broad,2026072501,random_2x2_d5,broad:2026072501:random_2x2_d5,200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,185.98587541165733,163.78089269669724,150.03136695771695,0.14,0.09866982633455634,0.1948988086570756,0.055,0.030985341703458832,0.09578699877230841,0.945,0.14,0.09866982633455634,0.1948988086570756,0.055,0.030985341703458832,0.09578699877230841,0.945,0.135,0.09446570454787909,0.18929138370752555,0.05,0.02738264560076392,0.08957814813877599,0.95
broad,2026072501,random_2x5_d0,broad:2026072501:random_2x5_d0,200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1972.4768113298546,1825.449506187227,1652.2369295377162,0.08,0.049840585889759974,0.12598948826714396,0.045,0.023852543001492987,0.08329670400181959,0.955,0.08,0.049840585889759974,0.12598948826714396,0.045,0.023852543001492987,0.08329670400181959,0.955,0.08,0.049840585889759974,0.12598948826714396,0.045,0.023852543001492987,0.08329670400181959,0.955
broad,2026072501,random_2x5_d1,broad:2026072501:random_2x5_d1,200,1.0,0.0,0.001,0.0,0.0,0.0,0.0,976.3119333370075,817.7165965249243,737.2958365099317,0.125,0.08611974475712647,0.1780142500258235,0.04,0.020405632066152302,0.07693206820093294,0.96,0.125,0.08611974475712647,0.1780142500258235,0.04,0.020405632066152302,0.07693206820093294,0.96,0.125,0.08611974475712647,0.1780142500258235,0.04,0.020405632066152302,0.07693206820093294,0.96
hard,2026072501,random_2x2_d5,hard:2026072501:random_2x2_d5,500,1.0,0.0035,0.0,0.0,0.0,0.0,0.0,185.53283832599232,165.6601368880284,148.35708343746327,0.108,0.08372280963705037,0.1382546732848066,0.056,0.03902562068315149,0.0797447936467069,0.944,0.106,0.08195705027297033,0.13605093001073282,0.056,0.03902562068315149,0.0797447936467069,0.944,0.104,0.08019420676989106,0.1338442708756583,0.054,0.03737435018105752,0.07742656151064709,0.946
hard,2026072501,random_2x5_d5,hard:2026072501:random_2x5_d5,500,1.0,0.1302,0.0,0.016800000000000006,0.0,0.2724,0.0,205.21953712682222,174.06205178066952,159.1320513578185,0.122,0.09615927831509372,0.1536047230738398,0.07,0.05075974294501809,0.09579718985191685,0.93,0.122,0.09615927831509372,0.1536047230738398,0.068,0.049066507424906855,0.09352092273387429,0.932,0.122,0.09615927831509372,0.1536047230738398,0.066,0.04737852635977386,0.0912394011608535,0.934
stress,2026072501,stress_random_2x2_d0_n20_20,stress:2026072501:stress_random_2x2_d0_n20_20,500,0.998,0.011,0.0075,0.001,0.0005,0.546,0.54,26.832058257438327,19.0,18.999999999999996,0.07014028056112225,0.050862341787099696,0.09598604854625367,0.04408817635270541,0.02929289933547637,0.06584933283626206,0.9559118236472945,0.06412825651302605,0.04578833032008691,0.08912786966827838,0.03206412825651302,0.019831366040223862,0.051446485441538424,0.9679358717434869,0.056112224448897796,0.03910440099172223,0.07990221186999233,0.03006012024048096,0.01829997948711868,0.04900047521298093,0.969939879759519
stress,2026072501,stress_random_2x2_d0_n30_30,stress:2026072501:stress_random_2x2_d0_n30_30,500,1.0,0.001,0.001,0.0005,0.0,0.11,0.089,44.26387799920359,29.0,28.999999999999996,0.04,0.02604079738977726,0.060973595834850805,0.012,0.0055109951740277,0.02593036111644729,0.988,0.036,0.022891060980292727,0.05618432696802776,0.012,0.0055109951740277,0.02593036111644729,0.988,0.032,0.019791513626571118,0.051344869045441784,0.012,0.0055109951740277,0.02593036111644729,0.988
stress,2026072501,stress_random_2x2_d0_n50_50,stress:2026072501:stress_random_2x2_d0_n50_50,500,0.998,0.0,0.0,0.0,0.0,0.0015,0.0,77.43277633853005,49.99354667432761,49.0,0.036072144288577156,0.022937175817730554,0.05629546922735712,0.012024048096192385,0.005522062024107708,0.0259818216410277,0.9879759519038076,0.03206412825651302,0.019831366040223862,0.051446485441538424,0.012024048096192385,0.005522062024107708,0.0259818216410277,0.9879759519038076,0.03006012024048096,0.01829997948711868,0.04900047521298093,0.012024048096192385,0.005522062024107708,0.0259818216410277,0.9879759519038076
stress,2026072501,stress_random_2x2_d0_n100_100,stress:2026072501:stress_random_2x2_d0_n100_100,500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,173.47260218993205,109.01348276369087,99.08761392597343,0.072,0.0524580314181262,0.09806840401696253,0.028,0.016750974720756442,0.04644640267494887,0.972,0.07,0.05075974294501809,0.09579718985191685,0.024,0.013781314655496982,0.04147705746390075,0.976,0.07,0.05075974294501809,0.09579718985191685,0.022,0.012328008269927578,0.03896086121131637,0.978
