scenario_key,scenario_id,method,replicates,valid_rate,true_delta,power_05,coverage_95,median_welch_df
power:curve_effect_d02_n300,curve_effect_d02_n300,wald_normal,500,1.0,-0.01999999999999985,0.066,0.952,532.5374048822248
power:curve_effect_d02_n300,curve_effect_d02_n300,welch_reference,500,1.0,-0.01999999999999985,0.066,0.952,532.5374048822248
power:curve_effect_d02_n300,curve_effect_d02_n300,welch_unbiased,500,1.0,-0.01999999999999985,0.066,0.952,532.5374048822248
power:curve_effect_d05_n300,curve_effect_d05_n300,wald_normal,500,1.0,-0.050000000000000266,0.258,0.944,493.9960083693686
power:curve_effect_d05_n300,curve_effect_d05_n300,welch_reference,500,1.0,-0.050000000000000266,0.254,0.946,493.9960083693686
power:curve_effect_d05_n300,curve_effect_d05_n300,welch_unbiased,500,1.0,-0.050000000000000266,0.254,0.946,493.9960083693686
power:curve_effect_d10_n300,curve_effect_d10_n300,wald_normal,500,1.0,-0.09999999999999992,0.702,0.944,458.6085016762679
power:curve_effect_d10_n300,curve_effect_d10_n300,welch_reference,500,1.0,-0.09999999999999992,0.7,0.944,458.6085016762679
power:curve_effect_d10_n300,curve_effect_d10_n300,welch_unbiased,500,1.0,-0.09999999999999992,0.7,0.944,458.6085016762679
power:curve_sample_d05_n150,curve_sample_d05_n150,wald_normal,500,1.0,-0.050000000000000266,0.184,0.958,248.59512925958785
power:curve_sample_d05_n150,curve_sample_d05_n150,welch_reference,500,1.0,-0.050000000000000266,0.184,0.958,248.59512925958785
power:curve_sample_d05_n150,curve_sample_d05_n150,welch_unbiased,500,1.0,-0.050000000000000266,0.182,0.958,248.59512925958785
power:curve_sample_d05_n600,curve_sample_d05_n600,wald_normal,500,1.0,-0.050000000000000266,0.512,0.954,982.7030585375373
power:curve_sample_d05_n600,curve_sample_d05_n600,welch_reference,500,1.0,-0.050000000000000266,0.51,0.956,982.7030585375373
power:curve_sample_d05_n600,curve_sample_d05_n600,welch_unbiased,500,1.0,-0.050000000000000266,0.51,0.956,982.7030585375373
