configuration_id,shape_index,design_index,rows,columns,condition,condition_label,margin_profile,dominant_margin_mass,target_mi,n_p,n_q,population_pairs,replicates_per_population,method,method_label,mean_valid_rate,mean_coverage_95,median_effective_df,mean_fpr_10,population_sd_fpr_10,population_se_fpr_10,mean_absolute_fpr_error_10,minimum_fpr_10,maximum_fpr_10,mean_fpr_05,population_sd_fpr_05,population_se_fpr_05,mean_absolute_fpr_error_05,minimum_fpr_05,maximum_fpr_05,mean_fpr_01,population_sd_fpr_01,population_se_fpr_01,mean_absolute_fpr_error_01,minimum_fpr_01,maximum_fpr_01
2x2_balanced_control,0,0,2,2,balanced_control,Balanced control,uniform,0.5,0.1,100,100,10,5000,expanded_welch,Expanded Welch,1.0,0.95852,30.91113351277784,0.0885,0.006065750846625116,0.0019181588394430037,0.011500000000000007,0.0792,0.0974,0.041479999999999996,0.0041011651460963585,0.00129690229221617,0.008520000000000003,0.0338,0.0474,0.0058200000000000005,0.0013513778976371568,0.0004273432136143292,0.00418,0.0034,0.0078
2x2_balanced_control,0,0,2,2,balanced_control,Balanced control,uniform,0.5,0.1,100,100,10,5000,normal_wald,Normal Wald,1.0,0.95128,,0.09775999999999999,0.005593488277551954,0.001768816302251625,0.004600000000000005,0.0894,0.1062,0.04872,0.004793699568762686,0.0015159009055857034,0.004000000000000002,0.0414,0.0558,0.00814,0.0015749426797329622,0.0004980406052165269,0.00194,0.0054,0.0104
2x2_balanced_control,0,0,2,2,balanced_control,Balanced control,uniform,0.5,0.1,100,100,10,5000,simple_welch,Simple Welch,1.0,0.95274,192.12958394515476,0.09566,0.0058157258073835184,0.001839093979835361,0.006060000000000003,0.0864,0.1044,0.047259999999999996,0.004539260830673744,0.001435440311851694,0.004220000000000002,0.0398,0.054,0.007340000000000001,0.0015889898957793557,0.0005024827249656338,0.0026600000000000005,0.0044,0.0096
2x2_moderate_sparse,0,1,2,2,moderate_sparse,Moderate sparsity,dominant_0.70,0.7,0.1,50,50,10,5000,expanded_welch,Expanded Welch,1.0,0.96072,15.947261925908848,0.08347999999999998,0.003457937728377034,0.0010934959228700088,0.016520000000000007,0.0788,0.0904,0.039279999999999995,0.002203431666993808,0.000696786273624209,0.010720000000000002,0.037,0.043,0.0077399999999999995,0.0011587349423689036,0.0003664241622309678,0.0022600000000000007,0.0054,0.0092
2x2_moderate_sparse,0,1,2,2,moderate_sparse,Moderate sparsity,dominant_0.70,0.7,0.1,50,50,10,5000,normal_wald,Normal Wald,1.0,0.9511399999999999,,0.09997999999999999,0.002733252031311174,0.0008643301838225168,0.001900000000000003,0.0954,0.1054,0.04886,0.0029605555034298695,0.0009362098530184826,0.0026600000000000013,0.0454,0.0546,0.0102,0.0009706813185707357,0.00030695638488590233,0.0007999999999999998,0.0084,0.0116
2x2_moderate_sparse,0,1,2,2,moderate_sparse,Moderate sparsity,dominant_0.70,0.7,0.1,50,50,10,5000,simple_welch,Simple Welch,1.0,0.95536,92.16691726123176,0.09514000000000002,0.0029620563427757043,0.0009366844600919661,0.004900000000000003,0.0902,0.1002,0.04464,0.002595380511601333,0.0008207313811473273,0.005360000000000003,0.0412,0.0498,0.008459999999999999,0.0010751744044572489,0.00033999999999999997,0.0015400000000000004,0.0064,0.01
2x2_ultra_sparse,0,2,2,2,ultra_sparse,Ultra-sparsity,dominant_0.90,0.9,0.1,50,50,10,5000,expanded_welch,Expanded Welch,0.9818200000000001,0.9505598704214414,14.642490652701161,0.10116017940670985,0.004093503381806223,0.001294479429610953,0.0034365690497866904,0.09597397315982106,0.1072375127420999,0.04944012957855857,0.002484874084260898,0.0007857861804989597,0.0019292543907587403,0.044733631557543715,0.052599388379204894,0.010428339748298307,0.0015079499468189427,0.00047685564294776376,0.0011719025762412791,0.007756685037762809,0.012812690665039659
2x2_ultra_sparse,0,2,2,2,ultra_sparse,Ultra-sparsity,dominant_0.90,0.9,0.1,50,50,10,5000,normal_wald,Normal Wald,0.9999600000000001,0.9364975155031008,,0.1228248049609922,0.0055707623169587595,0.0017616297225026526,0.02282480496099219,0.1158,0.1294,0.0635024844968994,0.0034645947817797114,0.0010956010679957922,0.013502484496899374,0.0582,0.069,0.016060608121624326,0.0012890163025509446,0.00040762274571496965,0.006060608121624325,0.014,0.0178
2x2_ultra_sparse,0,2,2,2,ultra_sparse,Ultra-sparsity,dominant_0.90,0.9,0.1,50,50,10,5000,simple_welch,Simple Welch,0.9999600000000001,0.9413177035407083,91.5581687219644,0.1173845729145829,0.0052543953430568184,0.0016615857011041343,0.01738457291458291,0.1114,0.1248,0.05868229645929187,0.003172756488200095,0.001003313696378944,0.008682296459291857,0.0536,0.0632,0.012480472094418884,0.0013988244537187014,0.00044234713204918864,0.002480472094418884,0.01,0.0142
2x2_ultra_imbalanced,0,3,2,2,ultra_imbalanced,Ultra-sparsity with imbalance,dominant_0.90,0.9,0.1,50,250,10,5000,expanded_welch,Expanded Welch,0.9904999999999997,0.9360942190677622,9.948837517735388,0.1080462460784605,0.006087380783994732,0.0019249988262164813,0.008619751732741581,0.0971324717285945,0.11631663974151858,0.06390578093223788,0.005669916212153151,0.0017929849372718425,0.01390578093223788,0.05533117932148627,0.07164480322906155,0.032467965107175104,0.0031363524789380683,0.000991801737855957,0.022467965107175098,0.026453957996768983,0.036954765751211635
