regime,regime_label,method,method_label,population_pairs,replicates_per_population,mean_valid_rate,mean_coverage_95,median_effective_df,mean_fpr_10,mean_absolute_fpr_error_10,median_absolute_fpr_error_10,minimum_fpr_10,maximum_fpr_10,improved_vs_normal_10,worsened_vs_normal_10,tied_vs_normal_10,mean_fpr_05,mean_absolute_fpr_error_05,median_absolute_fpr_error_05,minimum_fpr_05,maximum_fpr_05,improved_vs_normal_05,worsened_vs_normal_05,tied_vs_normal_05,mean_fpr_01,mean_absolute_fpr_error_01,median_absolute_fpr_error_01,minimum_fpr_01,maximum_fpr_01,improved_vs_normal_01,worsened_vs_normal_01,tied_vs_normal_01
balanced_control,Balanced control,normal_wald,Normal Wald,40,5000,1.0,0.952205,,0.09719499999999999,0.004395000000000003,0.003599999999999999,0.0876,0.1062,0,0,40,0.047795000000000004,0.003455000000000002,0.0032000000000000015,0.0412,0.0558,0,0,40,0.00902,0.00142,0.0010000000000000009,0.0054,0.0118,0,0,40
balanced_control,Balanced control,simple_welch,Simple Welch,40,5000,1.0,0.95292,503.1571941718687,0.09618,0.004910000000000003,0.003700000000000009,0.0864,0.1044,8,22,10,0.04708,0.003700000000000002,0.0034000000000000002,0.0398,0.054,8,27,5,0.008625,0.0016650000000000002,0.0013,0.0044,0.0114,6,22,12
balanced_control,Balanced control,expanded_welch,Expanded Welch,40,5000,1.0,0.956075,84.93647200676816,0.092125,0.007925000000000005,0.007600000000000003,0.0792,0.101,6,33,1,0.043925000000000006,0.006265000000000002,0.005800000000000003,0.0338,0.0522,5,35,0,0.007485,0.002585,0.0023000000000000004,0.0034,0.0108,5,35,0
moderate_sparse,Moderate sparsity,normal_wald,Normal Wald,40,5000,1.0,0.95408,,0.094195,0.009585000000000002,0.0097,0.0712,0.1122,0,0,40,0.04592,0.006770000000000001,0.0059000000000000025,0.0316,0.0604,0,0,40,0.00906,0.00234,0.0025,0.0054,0.015,0,0,40
moderate_sparse,Moderate sparsity,simple_welch,Simple Welch,40,5000,1.0,0.9560000000000001,265.1291782444684,0.092065,0.010285000000000004,0.008899999999999998,0.071,0.1098,9,31,0,0.044000000000000004,0.007400000000000001,0.006900000000000003,0.0316,0.0578,9,26,5,0.008075,0.0023150000000000002,0.0022000000000000006,0.0054,0.0124,11,20,9
moderate_sparse,Moderate sparsity,expanded_welch,Expanded Welch,40,5000,1.0,0.9603300000000001,42.17359245652178,0.08533,0.014740000000000003,0.016100000000000003,0.0688,0.1012,5,35,0,0.03967,0.010330000000000002,0.010700000000000005,0.0302,0.0498,5,35,0,0.006834999999999999,0.003195000000000001,0.0034000000000000002,0.004,0.0106,7,32,1
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,40,5000,0.9999650000000001,0.9362676284012303,,0.11872454816413462,0.026174548164134625,0.026400000000000007,0.0732,0.1578,0,0,40,0.06373237159876953,0.018172371598769534,0.017799999999999996,0.0358,0.091,0,0,40,0.016150551140640294,0.007120551140640292,0.0066,0.0056,0.0256,0,0,40
ultra_sparse,Ultra-sparsity,simple_welch,Simple Welch,40,5000,0.9999650000000001,0.9400578484568461,118.3614700656864,0.1150043491127197,0.0228543491127197,0.022199999999999998,0.0722,0.151,30,10,0,0.059942151543153764,0.014652151543153769,0.013800000000000003,0.0356,0.0826,30,10,0,0.013535444112832171,0.00474544411283217,0.0041,0.005,0.0216,30,9,1
ultra_sparse,Ultra-sparsity,expanded_welch,Expanded Welch,40,5000,0.9903550000000001,0.9484664365693554,25.756097473439773,0.10223075775946307,0.012807681967617885,0.01078317580971725,0.0688,0.13129459734964322,30,10,0,0.05153356343064454,0.008657413261145561,0.008529229229229229,0.0328,0.07013251783893985,30,10,0,0.011267759064289442,0.003233453692843815,0.0031000000000000003,0.0044,0.019367991845056064,30,10,0
ultra_imbalanced,Ultra-sparsity with imbalance,normal_wald,Normal Wald,40,5000,1.0,0.83149,,0.23041,0.13041,0.11,0.1512,0.3872,0,0,40,0.16851,0.11850999999999998,0.1058,0.1064,0.2938,0,0,40,0.09536,0.08536,0.0772,0.0536,0.1548,0,0,40
