regime,regime_label,method,method_label,nominal_alpha,population_pairs,mean_rejection_rate,median_rejection_rate,p10_rejection_rate,p90_rejection_rate,minimum_rejection_rate,maximum_rejection_rate,mean_absolute_calibration_error
balanced_control,Balanced control,normal_wald,Normal Wald,0.0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balanced_control,Balanced control,normal_wald,Normal Wald,0.001,40,0.000795,0.0008,0.0002,0.0014200000000000003,0.0,0.002,0.000445
balanced_control,Balanced control,normal_wald,Normal Wald,0.002,40,0.0015949999999999998,0.0016,0.0006,0.0026,0.0004,0.0032,0.0006450000000000001
balanced_control,Balanced control,normal_wald,Normal Wald,0.003,40,0.00259,0.0026,0.0015600000000000002,0.0038200000000000005,0.0006,0.0042,0.0008
balanced_control,Balanced control,normal_wald,Normal Wald,0.004,40,0.0034999999999999996,0.0034,0.0024,0.00482,0.0014,0.0056,0.0009000000000000001
balanced_control,Balanced control,normal_wald,Normal Wald,0.005,40,0.00433,0.0044,0.0032,0.00544,0.002,0.0072,0.00098
balanced_control,Balanced control,normal_wald,Normal Wald,0.006,40,0.005235,0.0053,0.004,0.00642,0.0026,0.008,0.001105
balanced_control,Balanced control,normal_wald,Normal Wald,0.007,40,0.00618,0.0062,0.0048,0.00742,0.0034,0.0086,0.0010900000000000003
balanced_control,Balanced control,normal_wald,Normal Wald,0.008,40,0.0072,0.0071,0.0058,0.008620000000000001,0.004,0.0096,0.0011500000000000002
balanced_control,Balanced control,normal_wald,Normal Wald,0.009,40,0.0081,0.0082,0.00638,0.00966,0.0044,0.0106,0.0013099999999999995
balanced_control,Balanced control,normal_wald,Normal Wald,0.01,40,0.00902,0.0092,0.0072,0.010820000000000001,0.0054,0.0118,0.00142
balanced_control,Balanced control,normal_wald,Normal Wald,0.011,40,0.01001,0.01,0.0078,0.012,0.007,0.0134,0.0014899999999999996
balanced_control,Balanced control,normal_wald,Normal Wald,0.012,40,0.011075,0.011,0.00898,0.01304,0.0076,0.0142,0.0014550000000000001
balanced_control,Balanced control,normal_wald,Normal Wald,0.013,40,0.011945,0.0122,0.009940000000000001,0.01364,0.0088,0.0156,0.0015349999999999995
balanced_control,Balanced control,normal_wald,Normal Wald,0.014,40,0.01297,0.013,0.010780000000000001,0.015220000000000001,0.0094,0.0162,0.0016
balanced_control,Balanced control,normal_wald,Normal Wald,0.015,40,0.013895,0.014,0.0114,0.0162,0.0098,0.0172,0.0016549999999999996
balanced_control,Balanced control,normal_wald,Normal Wald,0.016,40,0.01492,0.0146,0.01236,0.017040000000000003,0.0108,0.018,0.00165
balanced_control,Balanced control,normal_wald,Normal Wald,0.017,40,0.0159,0.0158,0.01358,0.0182,0.0118,0.0194,0.0016800000000000003
balanced_control,Balanced control,normal_wald,Normal Wald,0.018,40,0.01684,0.0167,0.0144,0.0192,0.013,0.0204,0.0017899999999999993
balanced_control,Balanced control,normal_wald,Normal Wald,0.019,40,0.01787,0.0179,0.01518,0.02042,0.0132,0.021,0.0018399999999999996
balanced_control,Balanced control,normal_wald,Normal Wald,0.02,40,0.018834999999999998,0.0189,0.0158,0.0218,0.0142,0.0224,0.001995
balanced_control,Balanced control,normal_wald,Normal Wald,0.021,40,0.019785,0.0199,0.01678,0.02302,0.0148,0.0234,0.002065000000000001
balanced_control,Balanced control,normal_wald,Normal Wald,0.022,40,0.020905,0.0212,0.017580000000000002,0.024,0.0154,0.0246,0.0020549999999999995
balanced_control,Balanced control,normal_wald,Normal Wald,0.023,40,0.021785,0.0217,0.01856,0.0252,0.0162,0.026,0.002155
balanced_control,Balanced control,normal_wald,Normal Wald,0.024,40,0.022655,0.022600000000000002,0.0194,0.02562,0.0168,0.0274,0.0021850000000000003
balanced_control,Balanced control,normal_wald,Normal Wald,0.025,40,0.02354,0.0236,0.0204,0.02622,0.0178,0.0286,0.002140000000000001
balanced_control,Balanced control,normal_wald,Normal Wald,0.026,40,0.02459,0.0246,0.021580000000000002,0.0276,0.0184,0.0294,0.002179999999999999
balanced_control,Balanced control,normal_wald,Normal Wald,0.027,40,0.025435000000000003,0.025500000000000002,0.0222,0.02826,0.0192,0.03,0.002275
balanced_control,Balanced control,normal_wald,Normal Wald,0.028,40,0.026525,0.0266,0.0232,0.02926,0.02,0.0312,0.0022150000000000004
balanced_control,Balanced control,normal_wald,Normal Wald,0.029,40,0.02751,0.0275,0.02416,0.030619999999999998,0.0206,0.0322,0.002300000000000001
balanced_control,Balanced control,normal_wald,Normal Wald,0.03,40,0.02851,0.0284,0.025,0.032,0.0218,0.0334,0.0024
balanced_control,Balanced control,normal_wald,Normal Wald,0.031,40,0.029455,0.0292,0.026539999999999998,0.03246,0.0234,0.0344,0.0023450000000000003
balanced_control,Balanced control,normal_wald,Normal Wald,0.032,40,0.030440000000000002,0.03,0.02738,0.0338,0.0244,0.0354,0.00241
balanced_control,Balanced control,normal_wald,Normal Wald,0.033,40,0.031435000000000005,0.0312,0.027960000000000002,0.0348,0.0248,0.0362,0.002455
balanced_control,Balanced control,normal_wald,Normal Wald,0.034,40,0.032335,0.032,0.0286,0.0356,0.0256,0.0374,0.0025250000000000003
balanced_control,Balanced control,normal_wald,Normal Wald,0.035,40,0.033255,0.033299999999999996,0.0294,0.0364,0.0266,0.0378,0.0025650000000000017
balanced_control,Balanced control,normal_wald,Normal Wald,0.036,40,0.03433,0.0346,0.03056,0.0376,0.0274,0.0386,0.0024499999999999995
balanced_control,Balanced control,normal_wald,Normal Wald,0.037,40,0.035199999999999995,0.0356,0.031580000000000004,0.0384,0.0278,0.0392,0.0024999999999999996
balanced_control,Balanced control,normal_wald,Normal Wald,0.038,40,0.036215000000000004,0.0364,0.0328,0.0396,0.0292,0.0408,0.002565
balanced_control,Balanced control,normal_wald,Normal Wald,0.039,40,0.03714,0.037,0.0336,0.040619999999999996,0.03,0.0428,0.0027400000000000002
balanced_control,Balanced control,normal_wald,Normal Wald,0.04,40,0.038105,0.038099999999999995,0.03438,0.04142,0.0312,0.0436,0.002805
balanced_control,Balanced control,normal_wald,Normal Wald,0.041,40,0.039084999999999995,0.0392,0.03518,0.04282,0.0314,0.0446,0.002885
balanced_control,Balanced control,normal_wald,Normal Wald,0.042,40,0.04011,0.0401,0.036340000000000004,0.044,0.0324,0.0458,0.002880000000000001
balanced_control,Balanced control,normal_wald,Normal Wald,0.043,40,0.04107,0.0411,0.03658,0.04526,0.0336,0.0472,0.003029999999999999
balanced_control,Balanced control,normal_wald,Normal Wald,0.044,40,0.04199,0.0419,0.037380000000000004,0.046060000000000004,0.0346,0.0486,0.0031299999999999995
balanced_control,Balanced control,normal_wald,Normal Wald,0.045,40,0.04296,0.0428,0.038720000000000004,0.0476,0.035,0.0498,0.0031899999999999997
balanced_control,Balanced control,normal_wald,Normal Wald,0.046,40,0.043985,0.044,0.039740000000000004,0.04862,0.0364,0.0516,0.003255
balanced_control,Balanced control,normal_wald,Normal Wald,0.047,40,0.044975,0.0451,0.0407,0.049460000000000004,0.0382,0.0526,0.0032850000000000006
balanced_control,Balanced control,normal_wald,Normal Wald,0.048,40,0.045985,0.0462,0.04188,0.050660000000000004,0.0392,0.0534,0.003305000000000001
balanced_control,Balanced control,normal_wald,Normal Wald,0.049,40,0.04693,0.0469,0.04266,0.05144,0.04,0.0548,0.0033400000000000014
balanced_control,Balanced control,normal_wald,Normal Wald,0.05,40,0.047795,0.048,0.04308,0.05224,0.0412,0.0558,0.003455000000000002
balanced_control,Balanced control,normal_wald,Normal Wald,0.051,40,0.04879,0.0486,0.04394,0.05362,0.042,0.0568,0.0034699999999999983
balanced_control,Balanced control,normal_wald,Normal Wald,0.052,40,0.049825,0.05,0.04524,0.054439999999999995,0.0426,0.0574,0.0034049999999999983
balanced_control,Balanced control,normal_wald,Normal Wald,0.053,40,0.050925,0.050699999999999995,0.0466,0.05566,0.0442,0.0582,0.0033949999999999996
balanced_control,Balanced control,normal_wald,Normal Wald,0.054,40,0.05197500000000001,0.0518,0.04708,0.05722,0.0446,0.0594,0.003515
balanced_control,Balanced control,normal_wald,Normal Wald,0.055,40,0.052969999999999996,0.0528,0.0481,0.05766,0.0452,0.06,0.0034800000000000005
balanced_control,Balanced control,normal_wald,Normal Wald,0.056,40,0.053905,0.0534,0.0492,0.05924,0.0456,0.0612,0.003595
