rows,columns,cells,n_p,n_q,repetitions,method,method_label,reference_route,median_time_ms,p05_time_ms,p95_time_ms,relative_to_normal
2,2,4,100,100,200,normal_wald,Normal Wald,Normal Wald,0.08579145651310682,0.08036455838009715,0.10095690377056594,1.0
2,2,4,100,100,200,simple_welch,Simple Welch,Simple Welch,0.09999994654208422,0.09432556107640266,0.12270128354430188,1.165616608068738
2,2,4,100,100,200,expanded_welch,Expanded Welch,Expanded Welch,0.163770979270339,0.15268927672877908,0.20421202061697838,1.9089427540528914
3,3,9,135,135,200,normal_wald,Normal Wald,Normal Wald,0.08027104195207357,0.0780788715928793,0.08514787768945098,1.0
3,3,9,135,135,200,simple_welch,Simple Welch,Simple Welch,0.09437487460672855,0.09178888285532594,0.10328117059543727,1.175702623407776
3,3,9,135,135,200,expanded_welch,Expanded Welch,Expanded Welch,0.15241594519466162,0.14841696247458458,0.16287920298054814,1.8987662485515349
5,5,25,375,375,200,normal_wald,Normal Wald,Normal Wald,0.08104147855192423,0.07895174203440547,0.0861499924212694,1.0
5,5,25,375,375,200,simple_welch,Simple Welch,Simple Welch,0.09470898658037186,0.092287827283144,0.10343187022954223,1.1686483054438683
5,5,25,375,375,200,expanded_welch,Expanded Welch,Expanded Welch,0.15322898980230093,0.14961864799261093,0.16109030693769455,1.8907477077201313
8,8,64,960,960,200,normal_wald,Normal Wald,Normal Wald,0.0811044592410326,0.07970794104039669,0.08652043761685488,1.0
8,8,64,960,960,200,simple_welch,Simple Welch,Simple Welch,0.09487499482929707,0.09325006976723671,0.10067452676594257,1.169787650606733
8,8,64,960,960,200,expanded_welch,Expanded Welch,Expanded Welch,0.15397905372083187,0.15103979967534542,0.166214257478714,1.8985275922156737
