scenario_id,regime,regime_label,rows,columns,n_p,n_q,null_mi,relative_effect,alternative_mi_q,true_delta,construction_seed,calibration_seed,simulation_seed,replicates,calibration_replicates,method,method_label,valid_rate,power_05,size_adjusted_threshold,size_adjusted_power,coverage_95,median_effective_df
strong_null_2x2_d-2,strong_null,Strong null (P = Q),2,2,200,200,0.1,0.5,0.15000000000000002,-0.05000000000000002,2757556232,1894890076,3695419546,10000,10000,normal_wald,Normal Wald,1.0,0.1856,0.051434834221987406,0.1895,0.9499,
strong_null_2x2_d-2,strong_null,Strong null (P = Q),2,2,200,200,0.1,0.5,0.15000000000000002,-0.05000000000000002,2757556232,1894890076,3695419546,10000,10000,simple_welch,Simple Welch,1.0,0.1837,0.052235094178078416,0.1897,0.9504,386.1394347890756
strong_null_2x2_d-2,strong_null,Strong null (P = Q),2,2,200,200,0.1,0.5,0.15000000000000002,-0.05000000000000002,2757556232,1894890076,3695419546,10000,10000,expanded_welch,Expanded Welch,1.0,0.178,0.055695081268767675,0.192,0.9531,87.12197651929961
strong_null_2x2_d-2,strong_null,Strong null (P = Q),2,2,200,200,0.1,1.0,0.2,-0.1,3979638495,1132687375,2653962487,10000,10000,normal_wald,Normal Wald,1.0,0.5237,0.052100720311994454,0.5307,0.9463,
strong_null_2x2_d-2,strong_null,Strong null (P = Q),2,2,200,200,0.1,1.0,0.2,-0.1,3979638495,1132687375,2653962487,10000,10000,simple_welch,Simple Welch,1.0,0.5212,0.05286056553467456,0.5307,0.9473,371.00096775308316
strong_null_2x2_d-2,strong_null,Strong null (P = Q),2,2,200,200,0.1,1.0,0.2,-0.1,3979638495,1132687375,2653962487,10000,10000,expanded_welch,Expanded Welch,1.0,0.5159,0.056670147724096356,0.5357,0.9488,124.26033086644136
strong_null_2x2_d-1,strong_null,Strong null (P = Q),2,2,100,200,0.15,0.5,0.22499999999999998,-0.07499999999999998,2995058139,1309796907,3024802134,10000,10000,normal_wald,Normal Wald,1.0,0.2447,0.040376009494859096,0.2215,0.9413,
strong_null_2x2_d-1,strong_null,Strong null (P = Q),2,2,100,200,0.15,0.5,0.22499999999999998,-0.07499999999999998,2995058139,1309796907,3024802134,10000,10000,simple_welch,Simple Welch,1.0,0.2428,0.041472494337164184,0.2216,0.9426,225.07752124714295
strong_null_2x2_d-1,strong_null,Strong null (P = Q),2,2,100,200,0.15,0.5,0.22499999999999998,-0.07499999999999998,2995058139,1309796907,3024802134,10000,10000,expanded_welch,Expanded Welch,1.0,0.2354,0.04550883117047782,0.2241,0.9454,77.22440186578933
strong_null_2x2_d-1,strong_null,Strong null (P = Q),2,2,100,200,0.15,1.0,0.3,-0.15,4210537949,4130292019,3733922094,10000,10000,normal_wald,Normal Wald,1.0,0.6364,0.04411280334007468,0.6184,0.9386,
strong_null_2x2_d-1,strong_null,Strong null (P = Q),2,2,100,200,0.15,1.0,0.3,-0.15,4210537949,4130292019,3733922094,10000,10000,simple_welch,Simple Welch,1.0,0.6317,0.04525015608075319,0.6181,0.9405,233.38171198961004
strong_null_2x2_d-1,strong_null,Strong null (P = Q),2,2,100,200,0.15,1.0,0.3,-0.15,4210537949,4130292019,3733922094,10000,10000,expanded_welch,Expanded Welch,1.0,0.6262,0.04866346064264146,0.6233,0.9427,85.086104699316
fixed_2x2_d0,well_sampled,Well sampled,2,2,200,200,0.1,0.5,0.15000000000000002,-0.05000000000000002,1038542641,2025352866,779078088,10000,10000,normal_wald,Normal Wald,1.0,0.1874,0.05167030210161938,0.1908,0.9495,
fixed_2x2_d0,well_sampled,Well sampled,2,2,200,200,0.1,0.5,0.15000000000000002,-0.05000000000000002,1038542641,2025352866,779078088,10000,10000,simple_welch,Simple Welch,1.0,0.1857,0.05243759330289787,0.1908,0.9505,386.5282416458443
fixed_2x2_d0,well_sampled,Well sampled,2,2,200,200,0.1,0.5,0.15000000000000002,-0.05000000000000002,1038542641,2025352866,779078088,10000,10000,expanded_welch,Expanded Welch,1.0,0.1815,0.05612796667428049,0.1938,0.953,88.53862216475638
fixed_2x2_d0,well_sampled,Well sampled,2,2,200,200,0.1,1.0,0.2,-0.1,3392866600,3286315,2367868868,10000,10000,normal_wald,Normal Wald,1.0,0.5325,0.048781094660705245,0.5286,0.9444,
fixed_2x2_d0,well_sampled,Well sampled,2,2,200,200,0.1,1.0,0.2,-0.1,3392866600,3286315,2367868868,10000,10000,simple_welch,Simple Welch,1.0,0.5295,0.04956213815332504,0.5287,0.945,371.8756991894789
fixed_2x2_d0,well_sampled,Well sampled,2,2,200,200,0.1,1.0,0.2,-0.1,3392866600,3286315,2367868868,10000,10000,expanded_welch,Expanded Welch,1.0,0.5247,0.052998830988362194,0.5348,0.9462,126.5635622997427
fixed_2x2_d1,well_sampled,Well sampled,2,2,200,200,0.15,0.5,0.22499999999999998,-0.07499999999999998,3290361573,1796966986,1308540626,10000,10000,normal_wald,Normal Wald,1.0,0.2845,0.049428050796563816,0.2833,0.9486,
fixed_2x2_d1,well_sampled,Well sampled,2,2,200,200,0.15,0.5,0.22499999999999998,-0.07499999999999998,3290361573,1796966986,1308540626,10000,10000,simple_welch,Simple Welch,1.0,0.2827,0.050160005476890625,0.2832,0.9495,388.62785868967273
fixed_2x2_d1,well_sampled,Well sampled,2,2,200,200,0.15,0.5,0.22499999999999998,-0.07499999999999998,3290361573,1796966986,1308540626,10000,10000,expanded_welch,Expanded Welch,1.0,0.2798,0.05148775793682163,0.2848,0.9502,188.4728760212119
fixed_2x2_d1,well_sampled,Well sampled,2,2,200,200,0.15,1.0,0.3,-0.15,2081210491,1999217643,21948814,10000,10000,normal_wald,Normal Wald,1.0,0.7552,0.04884252324782942,0.7519,0.9432,
fixed_2x2_d1,well_sampled,Well sampled,2,2,200,200,0.15,1.0,0.3,-0.15,2081210491,1999217643,21948814,10000,10000,simple_welch,Simple Welch,1.0,0.7529,0.04956504665005948,0.752,0.9438,378.35358128559335
fixed_2x2_d1,well_sampled,Well sampled,2,2,200,200,0.15,1.0,0.3,-0.15,2081210491,1999217643,21948814,10000,10000,expanded_welch,Expanded Welch,1.0,0.7524,0.05062704608395143,0.7546,0.9441,294.2751121152726
fixed_2x2_d2,moderate,Moderate,2,2,100,100,0.1,0.5,0.15000000000000002,-0.05000000000000002,2316293580,2033631363,1725425129,10000,10000,normal_wald,Normal Wald,1.0,0.1296,0.048701652506924736,0.1279,0.9457,
fixed_2x2_d2,moderate,Moderate,2,2,100,100,0.1,0.5,0.15000000000000002,-0.05000000000000002,2316293580,2033631363,1725425129,10000,10000,simple_welch,Simple Welch,1.0,0.1272,0.05058003696598136,0.1282,0.9473,192.48779299503093
fixed_2x2_d2,moderate,Moderate,2,2,100,100,0.1,0.5,0.15000000000000002,-0.05000000000000002,2316293580,2033631363,1725425129,10000,10000,expanded_welch,Expanded Welch,1.0,0.1197,0.056990698595296936,0.1327,0.9521,47.355388267110264
fixed_2x2_d2,moderate,Moderate,2,2,100,100,0.1,1.0,0.2,-0.1,1834876299,3344535489,2947571957,10000,10000,normal_wald,Normal Wald,1.0,0.3305,0.05037823116341388,0.3317,0.9369,
fixed_2x2_d2,moderate,Moderate,2,2,100,100,0.1,1.0,0.2,-0.1,1834876299,3344535489,2947571957,10000,10000,simple_welch,Simple Welch,1.0,0.3251,0.052078736153221596,0.3322,0.9392,189.91978223857103
fixed_2x2_d2,moderate,Moderate,2,2,100,100,0.1,1.0,0.2,-0.1,1834876299,3344535489,2947571957,10000,10000,expanded_welch,Expanded Welch,1.0,0.3158,0.05890967617953177,0.3409,0.9433,62.289541954776546
fixed_2x2_d3,moderate,Moderate,2,2,100,200,0.15,0.5,0.22499999999999998,-0.07499999999999998,2605035696,976264371,3211701544,10000,10000,normal_wald,Normal Wald,1.0,0.2776,0.035752243246297326,0.2351,0.934,
