regime,regime_label,method,method_label,population_pairs,replicates_per_population,mean_valid_rate,scenarios_below_valid_rate_floor,mean_coverage_95,median_effective_df,mean_fpr_10,mean_absolute_fpr_error_10,median_absolute_fpr_error_10,minimum_fpr_10,maximum_fpr_10,mean_unconditional_fpr_10,mean_common_valid_fpr_10,adequate_size_control_count_10,inadequate_size_control_count_10,improved_vs_normal_10,worsened_vs_normal_10,tied_vs_normal_10,mean_fpr_05,mean_absolute_fpr_error_05,median_absolute_fpr_error_05,minimum_fpr_05,maximum_fpr_05,mean_unconditional_fpr_05,mean_common_valid_fpr_05,adequate_size_control_count_05,inadequate_size_control_count_05,improved_vs_normal_05,worsened_vs_normal_05,tied_vs_normal_05,mean_fpr_01,mean_absolute_fpr_error_01,median_absolute_fpr_error_01,minimum_fpr_01,maximum_fpr_01,mean_unconditional_fpr_01,mean_common_valid_fpr_01,adequate_size_control_count_01,inadequate_size_control_count_01,improved_vs_normal_01,worsened_vs_normal_01,tied_vs_normal_01
strong_null,Strong null (P = Q),normal_wald,Normal Wald,12,10000,1.0,0,0.9448249999999999,,0.10609166666666668,0.008091666666666665,0.0058,0.0945,0.117,0.10609166666666668,0.10609166666666668,12,0,0,0,12,0.055174999999999995,0.005974999999999998,0.004849999999999997,0.0467,0.0624,0.055174999999999995,0.055174999999999995,12,0,0,0,12,0.012616666666666667,0.0028666666666666667,0.002,0.0085,0.0178,0.012616666666666667,0.012616666666666667,8,4,0,0,12
strong_null,Strong null (P = Q),simple_welch,Simple Welch,12,10000,1.0,0,0.9457249999999999,393.3174112454233,0.10514166666666667,0.007458333333333331,0.005200000000000003,0.0944,0.1162,0.10514166666666667,0.10514166666666667,12,0,8,4,0,0.054275,0.005424999999999999,0.0036999999999999984,0.0467,0.0618,0.054275,0.054275,12,0,8,3,1,0.012191666666666668,0.002591666666666667,0.0021999999999999997,0.008,0.0168,0.012191666666666668,0.012191666666666668,9,3,8,3,1
strong_null,Strong null (P = Q),expanded_welch,Expanded Welch,12,10000,1.0,0,0.9483916666666667,75.83591055096568,0.10238333333333333,0.006849999999999999,0.007500000000000007,0.0923,0.1138,0.10238333333333333,0.10238333333333333,12,0,8,4,0,0.05160833333333333,0.004641666666666666,0.004150000000000001,0.0446,0.0594,0.05160833333333333,0.05160833333333333,12,0,7,5,0,0.010858333333333336,0.0021750000000000003,0.0020499999999999997,0.0067,0.0154,0.010858333333333336,0.010858333333333336,11,1,8,4,0
well_sampled,Well sampled,normal_wald,Normal Wald,12,10000,1.0,0,0.948575,,0.10160833333333334,0.004658333333333333,0.003250000000000003,0.0903,0.1149,0.10160833333333334,0.10160833333333334,12,0,0,0,12,0.051425,0.0025749999999999987,0.0015999999999999973,0.0439,0.0603,0.051425,0.051425,12,0,0,0,12,0.010875000000000001,0.0015416666666666669,0.0013999999999999993,0.0083,0.0162,0.010875000000000001,0.010875000000000001,11,1,0,0,12
well_sampled,Well sampled,simple_welch,Simple Welch,12,10000,1.0,0,0.9492583333333333,418.664395578369,0.10103333333333332,0.0044666666666666665,0.003349999999999999,0.0902,0.1142,0.10103333333333332,0.10103333333333332,12,0,6,5,1,0.050741666666666664,0.0021916666666666664,0.000899999999999998,0.0439,0.0593,0.050741666666666664,0.050741666666666664,12,0,7,4,1,0.010525,0.0014416666666666664,0.0013,0.0083,0.0157,0.010525,0.010525,11,1,7,4,1
well_sampled,Well sampled,expanded_welch,Expanded Welch,12,10000,1.0,0,0.9510333333333333,116.40030762805384,0.09864166666666668,0.004908333333333337,0.003999999999999997,0.0891,0.1133,0.09864166666666668,0.09864166666666668,12,0,6,6,0,0.04896666666666668,0.002683333333333336,0.001400000000000002,0.0432,0.0582,0.04896666666666668,0.04896666666666668,12,0,6,6,0,0.009699999999999999,0.0014666666666666665,0.0010999999999999994,0.0074,0.015,0.009699999999999999,0.009699999999999999,12,0,5,7,0
moderate,Moderate,normal_wald,Normal Wald,12,10000,1.0,0,0.9408916666666666,,0.11285833333333334,0.01324166666666666,0.016349999999999996,0.0977,0.1276,0.11285833333333334,0.11285833333333334,12,0,0,0,12,0.059108333333333325,0.009441666666666664,0.009849999999999994,0.0486,0.0716,0.059108333333333325,0.059108333333333325,12,0,0,0,12,0.014858333333333335,0.005208333333333333,0.005299999999999999,0.0079,0.0227,0.014858333333333335,0.014858333333333335,6,6,0,0,12
moderate,Moderate,simple_welch,Simple Welch,12,10000,1.0,0,0.9423,202.312380282627,0.11145833333333333,0.012108333333333332,0.015499999999999993,0.0975,0.125,0.11145833333333333,0.11145833333333333,12,0,10,2,0,0.05770000000000001,0.008566666666666669,0.009049999999999996,0.0481,0.0699,0.05770000000000001,0.05770000000000001,12,0,9,3,0,0.014074999999999999,0.004591666666666667,0.00435,0.0069,0.0204,0.014074999999999999,0.014074999999999999,7,5,11,1,0
moderate,Moderate,expanded_welch,Expanded Welch,12,10000,1.0,0,0.9463416666666666,57.668226366064275,0.10672500000000001,0.009674999999999998,0.009799999999999996,0.0904,0.1215,0.10672500000000001,0.10672500000000001,12,0,9,3,0,0.053658333333333336,0.006091666666666666,0.004799999999999999,0.0431,0.065,0.053658333333333336,0.053658333333333336,12,0,9,3,0,0.011816666666666668,0.0027166666666666663,0.0026,0.0059,0.0176,0.011816666666666668,0.011816666666666668,10,2,10,2,0
highly_sparse,Highly skewed and sparse,normal_wald,Normal Wald,12,10000,1.0,0,0.9439083333333333,,0.10814166666666668,0.008524999999999996,0.006299999999999993,0.0982,0.1231,0.10814166666666668,0.10814166666666668,12,0,0,0,12,0.05609166666666666,0.00620833333333333,0.0054499999999999965,0.0493,0.0705,0.05609166666666666,0.05609166666666666,12,0,0,0,12,0.01270833333333333,0.002741666666666666,0.00215,0.0099,0.0215,0.01270833333333333,0.01270833333333333,11,1,0,0,12
