regime,regime_label,method,method_label,nominal_alpha,population_pairs,mean_rejection_rate,median_rejection_rate,p10_rejection_rate,p90_rejection_rate,minimum_rejection_rate,maximum_rejection_rate,mean_absolute_calibration_error
well_sampled,Well sampled,normal_wald,Normal Wald,0.0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
well_sampled,Well sampled,normal_wald,Normal Wald,0.001,24,0.0007041666666666666,0.00075,0.00043000000000000004,0.00107,0.0002,0.0012,0.0003291666666666667
well_sampled,Well sampled,normal_wald,Normal Wald,0.002,24,0.0013833333333333334,0.0015,0.00096,0.0018,0.0003,0.0019,0.0006166666666666667
well_sampled,Well sampled,normal_wald,Normal Wald,0.003,24,0.002275,0.0022500000000000003,0.00173,0.00297,0.0008,0.0035,0.0007750000000000001
well_sampled,Well sampled,normal_wald,Normal Wald,0.004,24,0.0031666666666666666,0.0031,0.00243,0.00398,0.0013,0.0049,0.0009666666666666668
well_sampled,Well sampled,normal_wald,Normal Wald,0.005,24,0.004108333333333333,0.00395,0.00336,0.0051199999999999996,0.0024,0.0061,0.0010583333333333334
well_sampled,Well sampled,normal_wald,Normal Wald,0.006,24,0.00485,0.00475,0.004,0.00621,0.0031,0.0066,0.001275
well_sampled,Well sampled,normal_wald,Normal Wald,0.007,24,0.0057374999999999995,0.00575,0.00456,0.00697,0.0041,0.0074,0.0013041666666666668
well_sampled,Well sampled,normal_wald,Normal Wald,0.008,24,0.0067041666666666664,0.0066,0.00536,0.00777,0.0052,0.0086,0.0013458333333333334
well_sampled,Well sampled,normal_wald,Normal Wald,0.009,24,0.0076500000000000005,0.00755,0.0061600000000000005,0.00908,0.0056,0.01,0.0014833333333333328
well_sampled,Well sampled,normal_wald,Normal Wald,0.01,24,0.0086,0.0089,0.0072,0.00997,0.0065,0.0109,0.0015416666666666669
well_sampled,Well sampled,normal_wald,Normal Wald,0.011,24,0.009508333333333334,0.00955,0.008060000000000001,0.0115,0.0069,0.012,0.001716666666666666
well_sampled,Well sampled,normal_wald,Normal Wald,0.012,24,0.010424999999999999,0.0103,0.00893,0.01242,0.0078,0.0132,0.0018000000000000002
