rows,columns,cells,n_p,n_q,repetitions,method,method_label,reference_route,median_time_ms,p05_time_ms,p95_time_ms,relative_to_normal
2,2,4,120,240,200,normal_wald,Normal Wald,Normal Wald,0.08643744513392448,0.08324584923684597,0.09559137979522347,1.0
2,2,4,120,240,200,simple_welch,Simple Welch,Simple Welch,0.10147946886718273,0.09660620708018541,0.11350630084052682,1.1740220770055434
2,2,4,120,240,200,expanded_welch,Expanded Welch,Expanded Welch,0.16418751329183578,0.15744644915685058,0.18158298917114735,1.899495213416441
5,5,25,500,1000,200,normal_wald,Normal Wald,Normal Wald,0.08670846000313759,0.08223565528169274,0.09660781361162661,1.0
5,5,25,500,1000,200,simple_welch,Simple Welch,Simple Welch,0.1014369772747159,0.09657031623646617,0.11179614812135696,1.16986251711823
5,5,25,500,1000,200,expanded_welch,Expanded Welch,Expanded Welch,0.16508344560861588,0.15743926633149385,0.17875820631161332,1.903890872962595
10,10,100,2000,4000,200,normal_wald,Normal Wald,Normal Wald,0.0874579418450594,0.08450004970654845,0.09762706467881799,1.0
10,10,100,2000,4000,200,simple_welch,Simple Welch,Simple Welch,0.10231253691017628,0.09877941338345408,0.11329998960718511,1.1698484408818275
10,10,100,2000,4000,200,expanded_welch,Expanded Welch,Expanded Welch,0.16689603216946125,0.16103899106383324,0.1806417829357087,1.9083004773326873
20,20,400,8000,16000,200,normal_wald,Normal Wald,Normal Wald,0.09433389641344547,0.09028156055137515,0.10169583838433024,1.0
20,20,400,8000,16000,200,simple_welch,Simple Welch,Simple Welch,0.1094164326786995,0.10447287932038307,0.12006501201540232,1.1598845890892757
20,20,400,8000,16000,200,expanded_welch,Expanded Welch,Expanded Welch,0.17743755597621202,0.17152546206489205,0.19430700922384855,1.880952263421208
