scenario_id,shape_index,design_index,rows,columns,n_p,n_q,target_mi,margin_alpha_p,margin_alpha_q,association_p,association_q,generation_attempts,true_mi_p,true_mi_q,true_delta,distribution_l1,population_variance_p,population_variance_q,pooled_mixture_mi,pooled_mixture_variance,min_probability_p,min_probability_q,min_joint_expected_p,min_joint_expected_q,independence_expected_below_1_p,independence_expected_below_1_q,independence_expected_below_5_p,independence_expected_below_5_q,is_permutation_anchor,regime,regime_label,variant,cells,observations_per_cell_p,observations_per_cell_q,sample_size_ratio_q_to_p,minimum_joint_expected_pair,joint_expected_below_1_p,joint_expected_below_1_q,joint_expected_below_5_p,joint_expected_below_5_q,minimum_row_expected_p,minimum_row_expected_q,minimum_column_expected_p,minimum_column_expected_q,maximum_row_margin_p,maximum_column_margin_p,maximum_row_margin_q,maximum_column_margin_q,probability_p_json,probability_q_json,simulation_seed,replicates,estimator_valid_replicates,estimator_valid_rate,common_valid_replicates,common_valid_rate,mean_delta_error,empirical_delta_sd,mean_standard_error,mean_sample_zero_fraction_p,mean_sample_zero_fraction_q,mean_sample_expected_below_1_p,mean_sample_expected_below_1_q,mean_sample_expected_below_5_p,mean_sample_expected_below_5_q,mean_sample_minimum_expected_p,mean_sample_minimum_expected_q,mean_sample_empty_row_fraction_p,mean_sample_empty_row_fraction_q,mean_sample_empty_column_fraction_p,mean_sample_empty_column_fraction_q,mean_sample_has_empty_margin_p,mean_sample_has_empty_margin_q,method,method_label,valid_replicates,valid_rate,acceptable_validity,coverage_95,median_effective_df,p05_effective_df,fpr_10,fpr_10_low,fpr_10_high,absolute_fpr_error_10,unconditional_fpr_10,common_valid_fpr_10,adequate_size_control_10,fpr_05,fpr_05_low,fpr_05_high,absolute_fpr_error_05,unconditional_fpr_05,common_valid_fpr_05,adequate_size_control_05,fpr_01,fpr_01_low,fpr_01_high,absolute_fpr_error_01,unconditional_fpr_01,common_valid_fpr_01,adequate_size_control_01
strong_null_2x2_d-2,0,-2,2,2,200,200,0.1,50.0,50.0,0.4837075801878786,0.4837075801878786,1,0.09999999999999998,0.09999999999999998,0.0,0.0,0.177341490149908,0.177341490149908,0.09999999999999998,0.177341490149908,0.095500846469002,0.095500846469002,19.100169293800402,19.100169293800402,0.0,0.0,0.0,0.0,False,strong_null,Strong null (P = Q),variant_1,4,50.0,50.0,1.0,19.100169293800402,0.0,0.0,0.0,0.0,83.96923421768258,83.96923421768258,96.94260273985829,96.94260273985829,0.5801538289115871,0.5152869863007086,0.5801538289115871,0.5152869863007086,"[[0.38921216723028945, 0.19094166168129767], [0.095500846469002, 0.3243453246194109]]","[[0.38921216723028945, 0.19094166168129767], [0.095500846469002, 0.3243453246194109]]",2477831945,10000,10000,1.0,10000,1.0,-0.00043920390052064746,0.042655741711611864,0.04212207845035963,0.0,0.0,0.0,0.0,0.0,0.0,39.2828,39.397742,0.0,0.0,0.0,0.0,0.0,0.0,normal_wald,Normal Wald,10000,1.0,True,0.949,,,0.1,0.09427283017063044,0.10603436852591082,0.0,0.1,0.1,True,0.051,0.04685792060889767,0.0554869099279699,0.000999999999999994,0.051,0.051,True,0.0107,0.008863014753198816,0.012912766052345299,0.0006999999999999992,0.0107,0.0107,True
strong_null_2x2_d-2,0,-2,2,2,200,200,0.1,50.0,50.0,0.4837075801878786,0.4837075801878786,1,0.09999999999999998,0.09999999999999998,0.0,0.0,0.177341490149908,0.177341490149908,0.09999999999999998,0.177341490149908,0.095500846469002,0.095500846469002,19.100169293800402,19.100169293800402,0.0,0.0,0.0,0.0,False,strong_null,Strong null (P = Q),variant_1,4,50.0,50.0,1.0,19.100169293800402,0.0,0.0,0.0,0.0,83.96923421768258,83.96923421768258,96.94260273985829,96.94260273985829,0.5801538289115871,0.5152869863007086,0.5801538289115871,0.5152869863007086,"[[0.38921216723028945, 0.19094166168129767], [0.095500846469002, 0.3243453246194109]]","[[0.38921216723028945, 0.19094166168129767], [0.095500846469002, 0.3243453246194109]]",2477831945,10000,10000,1.0,10000,1.0,-0.00043920390052064746,0.042655741711611864,0.04212207845035963,0.0,0.0,0.0,0.0,0.0,0.0,39.2828,39.397742,0.0,0.0,0.0,0.0,0.0,0.0,simple_welch,Simple Welch,10000,1.0,True,0.9492,392.10366886586473,351.92362547062226,0.0996,0.093883441847563,0.10562406404767477,0.00040000000000001146,0.0996,0.0996,True,0.0508,0.04666599590665273,0.05527898822956312,0.0007999999999999952,0.0508,0.0508,True,0.0104,0.008591159114003776,0.012584852090562745,0.0003999999999999993,0.0104,0.0104,True
strong_null_2x2_d-2,0,-2,2,2,200,200,0.1,50.0,50.0,0.4837075801878786,0.4837075801878786,1,0.09999999999999998,0.09999999999999998,0.0,0.0,0.177341490149908,0.177341490149908,0.09999999999999998,0.177341490149908,0.095500846469002,0.095500846469002,19.100169293800402,19.100169293800402,0.0,0.0,0.0,0.0,False,strong_null,Strong null (P = Q),variant_1,4,50.0,50.0,1.0,19.100169293800402,0.0,0.0,0.0,0.0,83.96923421768258,83.96923421768258,96.94260273985829,96.94260273985829,0.5801538289115871,0.5152869863007086,0.5801538289115871,0.5152869863007086,"[[0.38921216723028945, 0.19094166168129767], [0.095500846469002, 0.3243453246194109]]","[[0.38921216723028945, 0.19094166168129767], [0.095500846469002, 0.3243453246194109]]",2477831945,10000,10000,1.0,10000,1.0,-0.00043920390052064746,0.042655741711611864,0.04212207845035963,0.0,0.0,0.0,0.0,0.0,0.0,39.2828,39.397742,0.0,0.0,0.0,0.0,0.0,0.0,expanded_welch,Expanded Welch,10000,1.0,True,0.9532,61.521587637428325,36.53112051491639,0.0951,0.08950486929718723,0.10100609258338666,0.004900000000000002,0.0951,0.0951,True,0.0468,0.042831521462622445,0.051116534660558814,0.0032000000000000015,0.0468,0.0468,True,0.0083,0.006700968940935741,0.010276655056787622,0.0017000000000000001,0.0083,0.0083,True
strong_null_2x2_d-1,0,-1,2,2,100,200,0.15,8.0,8.0,0.6201626908958151,0.6201626908958151,1,0.15000000000000235,0.15000000000000235,0.0,0.0,0.247239151292976,0.247239151292976,0.15000000000000235,0.24723915129297597,0.06880400719088714,0.06880400719088714,6.880400719088714,13.760801438177428,0.0,0.0,0.0,0.0,False,strong_null,Strong null (P = Q),variant_2,4,25.0,50.0,2.0,6.880400719088714,0.0,0.0,0.0,0.0,49.15253681344409,98.30507362688817,40.46145950481557,80.92291900963114,0.5084746318655591,0.5953854049518442,0.5084746318655591,0.5953854049518442,"[[0.17266404400829052, 0.3358105878572686], [0.4227213609435537, 0.06880400719088714]]","[[0.17266404400829052, 0.3358105878572686], [0.4227213609435537, 0.06880400719088714]]",2764902787,10000,10000,1.0,10000,1.0,0.0009575973923454814,0.06184631269739624,0.0605290581082322,0.0003,0.0,0.0,0.0,0.0,0.0,18.520177,38.073623,0.0,0.0,0.0,0.0,0.0,0.0,normal_wald,Normal Wald,10000,1.0,True,0.9448,,,0.1061,0.10021450654943583,0.1122880073669832,0.006099999999999994,0.1061,0.1061,True,0.0552,0.0508924294278944,0.05984917552265949,0.005199999999999996,0.0552,0.0552,True,0.0152,0.012981435254342082,0.017790889565865945,0.0052,0.0152,0.0152,False
strong_null_2x2_d-1,0,-1,2,2,100,200,0.15,8.0,8.0,0.6201626908958151,0.6201626908958151,1,0.15000000000000235,0.15000000000000235,0.0,0.0,0.247239151292976,0.247239151292976,0.15000000000000235,0.24723915129297597,0.06880400719088714,0.06880400719088714,6.880400719088714,13.760801438177428,0.0,0.0,0.0,0.0,False,strong_null,Strong null (P = Q),variant_2,4,25.0,50.0,2.0,6.880400719088714,0.0,0.0,0.0,0.0,49.15253681344409,98.30507362688817,40.46145950481557,80.92291900963114,0.5084746318655591,0.5953854049518442,0.5084746318655591,0.5953854049518442,"[[0.17266404400829052, 0.3358105878572686], [0.4227213609435537, 0.06880400719088714]]","[[0.17266404400829052, 0.3358105878572686], [0.4227213609435537, 0.06880400719088714]]",2764902787,10000,10000,1.0,10000,1.0,0.0009575973923454814,0.06184631269739624,0.0605290581082322,0.0003,0.0,0.0,0.0,0.0,0.0,18.520177,38.073623,0.0,0.0,0.0,0.0,0.0,0.0,simple_welch,Simple Welch,10000,1.0,True,0.9464,197.56288730596276,161.7419470780453,0.1034,0.0975837861266544,0.10952080138096627,0.0034000000000000002,0.1034,0.1034,True,0.0536,0.049354575868798316,0.05818825787654174,0.003599999999999999,0.0536,0.0536,True,0.0145,0.012336538166067392,0.017036324251859584,0.0045000000000000005,0.0145,0.0145,True
strong_null_2x2_d-1,0,-1,2,2,100,200,0.15,8.0,8.0,0.6201626908958151,0.6201626908958151,1,0.15000000000000235,0.15000000000000235,0.0,0.0,0.247239151292976,0.247239151292976,0.15000000000000235,0.24723915129297597,0.06880400719088714,0.06880400719088714,6.880400719088714,13.760801438177428,0.0,0.0,0.0,0.0,False,strong_null,Strong null (P = Q),variant_2,4,25.0,50.0,2.0,6.880400719088714,0.0,0.0,0.0,0.0,49.15253681344409,98.30507362688817,40.46145950481557,80.92291900963114,0.5084746318655591,0.5953854049518442,0.5084746318655591,0.5953854049518442,"[[0.17266404400829052, 0.3358105878572686], [0.4227213609435537, 0.06880400719088714]]","[[0.17266404400829052, 0.3358105878572686], [0.4227213609435537, 0.06880400719088714]]",2764902787,10000,10000,1.0,10000,1.0,0.0009575973923454814,0.06184631269739624,0.0605290581082322,0.0003,0.0,0.0,0.0,0.0,0.0,18.520177,38.073623,0.0,0.0,0.0,0.0,0.0,0.0,expanded_welch,Expanded Welch,10000,1.0,True,0.9497,61.131794199213374,31.02544642946881,0.1003,0.09456489044619147,0.10634207785132739,0.0002999999999999947,0.1003,0.1003,True,0.0503,0.046186265119679236,0.054759103014907294,0.0002999999999999947,0.0503,0.0503,True,0.0124,0.0104106360968032,0.014763839114280615,0.0023999999999999994,0.0124,0.0124,True
fixed_2x2_d0,0,0,2,2,200,200,0.1,50.0,50.0,0.4881928986209399,0.4825625601634977,1,0.09999999999994524,0.09999999999999998,-5.473399511402022e-14,0.8621101690165509,0.17733995399864666,0.17812019101041426,2.668842234787583e-05,5.337058845830382e-05,0.09113777808324935,0.09976268401496612,18.22755561664987,19.952536802993222,0.0,0.0,0.0,0.0,True,well_sampled,Well sampled,variant_1,4,50.0,50.0,1.0,18.22755561664987,0.0,0.0,0.0,0.0,99.59268209145571,82.69089148748483,78.96688430350643,99.49389195859426,0.5020365895427215,0.6051655784824678,0.5865455425625759,0.5025305402070287,"[[0.09113777808324935, 0.41089881145947205], [0.3036966434342828, 0.19426676702299575]]","[[0.313691773422458, 0.09976268401496612], [0.18377768637051328, 0.40276785619206257]]",3881087075,10000,10000,1.0,10000,1.0,-0.00016929845265313228,0.04274672524667108,0.04215624100563492,0.0,0.0,0.0,0.0,0.0,0.0,37.3073565,38.930288999999995,0.0,0.0,0.0,0.0,0.0,0.0,normal_wald,Normal Wald,10000,1.0,True,0.9501,,,0.1039,0.09807086253470189,0.11003334097454813,0.0039000000000000007,0.1039,0.1039,True,0.0499,0.04580256463405875,0.054343110699224324,0.00010000000000000286,0.0499,0.0499,True,0.0088,0.0071487758942133965,0.01082846410513929,0.0011999999999999997,0.0088,0.0088,True
fixed_2x2_d0,0,0,2,2,200,200,0.1,50.0,50.0,0.4881928986209399,0.4825625601634977,1,0.09999999999994524,0.09999999999999998,-5.473399511402022e-14,0.8621101690165509,0.17733995399864666,0.17812019101041426,2.668842234787583e-05,5.337058845830382e-05,0.09113777808324935,0.09976268401496612,18.22755561664987,19.952536802993222,0.0,0.0,0.0,0.0,True,well_sampled,Well sampled,variant_1,4,50.0,50.0,1.0,18.22755561664987,0.0,0.0,0.0,0.0,99.59268209145571,82.69089148748483,78.96688430350643,99.49389195859426,0.5020365895427215,0.6051655784824678,0.5865455425625759,0.5025305402070287,"[[0.09113777808324935, 0.41089881145947205], [0.3036966434342828, 0.19426676702299575]]","[[0.313691773422458, 0.09976268401496612], [0.18377768637051328, 0.40276785619206257]]",3881087075,10000,10000,1.0,10000,1.0,-0.00016929845265313228,0.04274672524667108,0.04215624100563492,0.0,0.0,0.0,0.0,0.0,0.0,37.3073565,38.930288999999995,0.0,0.0,0.0,0.0,0.0,0.0,simple_welch,Simple Welch,10000,1.0,True,0.9507,392.1251826895052,351.4037998664488,0.1031,0.09729156106188178,0.10921325684476133,0.0030999999999999917,0.1031,0.1031,True,0.0493,0.04522715614597424,0.05371897998535363,0.0007000000000000062,0.0493,0.0493,True,0.0083,0.006700968940935741,0.010276655056787622,0.0017000000000000001,0.0083,0.0083,True
fixed_2x2_d0,0,0,2,2,200,200,0.1,50.0,50.0,0.4881928986209399,0.4825625601634977,1,0.09999999999994524,0.09999999999999998,-5.473399511402022e-14,0.8621101690165509,0.17733995399864666,0.17812019101041426,2.668842234787583e-05,5.337058845830382e-05,0.09113777808324935,0.09976268401496612,18.22755561664987,19.952536802993222,0.0,0.0,0.0,0.0,True,well_sampled,Well sampled,variant_1,4,50.0,50.0,1.0,18.22755561664987,0.0,0.0,0.0,0.0,99.59268209145571,82.69089148748483,78.96688430350643,99.49389195859426,0.5020365895427215,0.6051655784824678,0.5865455425625759,0.5025305402070287,"[[0.09113777808324935, 0.41089881145947205], [0.3036966434342828, 0.19426676702299575]]","[[0.313691773422458, 0.09976268401496612], [0.18377768637051328, 0.40276785619206257]]",3881087075,10000,10000,1.0,10000,1.0,-0.00016929845265313228,0.04274672524667108,0.04215624100563492,0.0,0.0,0.0,0.0,0.0,0.0,37.3073565,38.930288999999995,0.0,0.0,0.0,0.0,0.0,0.0,expanded_welch,Expanded Welch,10000,1.0,True,0.9539,61.554871299591255,36.56828899795507,0.098,0.09232618158514344,0.10398255310488053,0.0020000000000000018,0.098,0.098,True,0.0461,0.0421613141098896,0.05038727961101061,0.0039000000000000007,0.0461,0.0461,True,0.0074,0.005899086359582838,0.009279228835207744,0.0026,0.0074,0.0074,True
fixed_2x2_d1,0,1,2,2,200,200,0.15,50.0,50.0,0.6117143071268935,0.5989932613450347,1,0.15000000000000013,0.14999999999997582,2.4313884239290928e-14,0.1323483623694715,0.24829786064964243,0.2526966722513749,0.14975361764734563,0.25046678374075304,0.07507746739170693,0.09780317887167048,15.015493478341385,19.560635774334095,0.0,0.0,0.0,0.0,False,well_sampled,Well sampled,variant_2,4,50.0,50.0,1.0,15.015493478341385,0.0,0.0,0.0,0.0,93.66929783662383,90.94599218649329,88.17325665878603,98.59190710426682,0.5316535108168808,0.5591337167060698,0.5452700390675336,0.5070404644786659,"[[0.16586469491465758, 0.36578881590222323], [0.3932690217914122, 0.07507746739170693]]","[[0.13603275346053814, 0.40923728560699546], [0.3569267820607959, 0.09780317887167048]]",2198623536,10000,10000,1.0,10000,1.0,1.77227133813469e-06,0.050251465450387604,0.049886957582474696,0.0,0.0,0.0,0.0,0.0,0.0,40.5095645,42.583879499999995,0.0,0.0,0.0,0.0,0.0,0.0,normal_wald,Normal Wald,10000,1.0,True,0.9489,,,0.1004,0.09466224748391437,0.10644464401393035,0.0003999999999999976,0.1004,0.1004,True,0.0511,0.04695388984871269,0.055590863888480745,0.0010999999999999968,0.0511,0.0511,True,0.0123,0.01031929142332744,0.01465526058743051,0.0023,0.0123,0.0123,True
