regime,regime_label,method,method_label,population_pairs,replicates_per_population,mean_valid_rate,mean_coverage_95,median_effective_df,mean_fpr_10,mean_absolute_fpr_error_10,median_absolute_fpr_error_10,minimum_fpr_10,maximum_fpr_10,improved_vs_normal_10,worsened_vs_normal_10,tied_vs_normal_10,mean_fpr_05,mean_absolute_fpr_error_05,median_absolute_fpr_error_05,minimum_fpr_05,maximum_fpr_05,improved_vs_normal_05,worsened_vs_normal_05,tied_vs_normal_05,mean_fpr_01,mean_absolute_fpr_error_01,median_absolute_fpr_error_01,minimum_fpr_01,maximum_fpr_01,improved_vs_normal_01,worsened_vs_normal_01,tied_vs_normal_01
well_sampled,Well sampled,normal_wald,Normal Wald,12,10000,1.0,0.9482583333333334,,0.10271666666666666,0.003916666666666662,0.0029499999999999943,0.0949,0.1151,0,0,12,0.051741666666666665,0.0031749999999999977,0.002249999999999995,0.0429,0.0604,0,0,12,0.010799999999999999,0.001483333333333333,0.0012499999999999994,0.0081,0.0154,0,0,12
well_sampled,Well sampled,simple_welch,Simple Welch,12,10000,1.0,0.9488833333333334,418.7564136013232,0.10216666666666667,0.0034999999999999983,0.0025500000000000037,0.0948,0.1147,9,2,1,0.051116666666666664,0.002866666666666668,0.0017500000000000016,0.0428,0.0597,8,4,0,0.010358333333333332,0.0014083333333333333,0.00115,0.0077,0.0148,6,5,1
well_sampled,Well sampled,expanded_welch,Expanded Welch,12,10000,1.0,0.9508666666666666,117.03330077134362,0.09989166666666667,0.004008333333333336,0.00350000000000001,0.0937,0.1136,5,7,0,0.04913333333333333,0.003316666666666667,0.0030000000000000027,0.0418,0.0581,6,6,0,0.009308333333333333,0.0015916666666666666,0.0013000000000000008,0.0066,0.0136,6,5,1
moderate,Moderate,normal_wald,Normal Wald,12,10000,1.0,0.9384166666666668,,0.11351666666666667,0.013516666666666663,0.013449999999999997,0.1003,0.1257,0,0,12,0.06158333333333332,0.01158333333333333,0.011649999999999997,0.0527,0.0742,0,0,12,0.015400000000000002,0.005399999999999999,0.00465,0.0109,0.0226,0,0,12
moderate,Moderate,simple_welch,Simple Welch,12,10000,1.0,0.9397499999999998,202.30217795446876,0.112075,0.01220833333333333,0.012649999999999995,0.0992,0.124,11,1,0,0.06024999999999999,0.010249999999999997,0.010549999999999997,0.0507,0.0725,12,0,0,0.014558333333333333,0.004641666666666666,0.0037999999999999996,0.0095,0.0211,12,0,0
moderate,Moderate,expanded_welch,Expanded Welch,12,10000,1.0,0.9437666666666665,57.41472612330632,0.10764166666666665,0.009474999999999996,0.008299999999999995,0.0931,0.121,10,2,0,0.05623333333333334,0.007199999999999997,0.005999999999999995,0.0456,0.0681,11,1,0,0.012075,0.0024749999999999998,0.0021999999999999997,0.0081,0.0168,11,1,0
highly_sparse,Highly skewed and sparse,normal_wald,Normal Wald,12,10000,0.9999916666666667,0.9445328849551622,,0.10735089175584227,0.008567558422508914,0.007705350535053501,0.0958,0.1163,0,0,12,0.05546711504483782,0.006450448378171147,0.006499999999999999,0.0467,0.0665,0,0,12,0.012708434176751009,0.0028751008434176745,0.0023006050605060505,0.009,0.0188,0,0,12
highly_sparse,Highly skewed and sparse,simple_welch,Simple Welch,12,10000,0.9999916666666667,0.945549592459246,645.2513084998163,0.10617584841817516,0.00745918175150848,0.007049999999999994,0.0955,0.1128,10,2,0,0.05445040754075408,0.005632925792579256,0.006049999999999996,0.0467,0.0638,10,1,1,0.012108418341834183,0.0022750850085008502,0.0019000000000000006,0.009,0.017,10,0,2
highly_sparse,Highly skewed and sparse,expanded_welch,Expanded Welch,12,10000,0.9999916666666667,0.948024648298163,150.22136701087084,0.10318408007467415,0.006599253258659197,0.006199999999999997,0.0896089608960896,0.1094,9,3,0,0.05197535170183686,0.004557981631496481,0.005099999999999997,0.04220422042204221,0.0573,9,3,0,0.010941739173917393,0.0013915941594159417,0.0013995649564956499,0.0087008700870087,0.0126,10,2,0
ultra_sparse,Ultra-skewed and sparse,normal_wald,Normal Wald,12,10000,1.0,0.9249583333333334,,0.13176666666666667,0.031766666666666665,0.031099999999999996,0.1012,0.173,0,0,12,0.07504166666666667,0.025041666666666667,0.024599999999999997,0.0505,0.1063,0,0,12,0.021916666666666668,0.012100000000000001,0.011000000000000001,0.0089,0.035,0,0,12
ultra_sparse,Ultra-skewed and sparse,simple_welch,Simple Welch,12,10000,1.0,0.9279166666666666,105.41627109086551,0.12900833333333334,0.02900833333333333,0.028149999999999994,0.1011,0.1693,12,0,0,0.07208333333333333,0.02208333333333333,0.022350000000000002,0.05,0.1013,12,0,0,0.019916666666666666,0.010116666666666668,0.008650000000000001,0.0088,0.032,11,1,0
ultra_sparse,Ultra-skewed and sparse,expanded_welch,Expanded Welch,12,10000,1.0,0.93695,30.266273064992614,0.12055000000000003,0.020583333333333332,0.02029999999999999,0.0998,0.1587,12,0,0,0.06305000000000001,0.013399999999999997,0.011449999999999998,0.0487,0.0909,11,1,0,0.013125000000000003,0.004075,0.0024500000000000004,0.0067,0.0246,10,2,0
widespread_sparse,Widespread sparsity,normal_wald,Normal Wald,12,10000,0.974475,0.93378782094135,,0.12011451261507529,0.028009249457180557,0.0286,0.05263157894736842,0.1451,0,0,12,0.06621217905864989,0.020866237478356447,0.021249999999999998,0.02207564948176067,0.0851,0,0,12,0.01747867925844063,0.00851717703741492,0.00835,0.00376901332615426,0.0242776886035313,0,0,12
widespread_sparse,Widespread sparsity,simple_welch,Simple Welch,12,10000,0.974475,0.9360019894006443,122.34235468379262,0.117332238066091,0.025832709192756764,0.02545,0.04899717324000538,0.1398,11,1,0,0.06399801059935573,0.01887641505038098,0.019049999999999997,0.020729573293848433,0.0798,11,1,0,0.016078204108895214,0.007251309506660727,0.00805,0.002961367613406919,0.022271268057784913,11,1,0
widespread_sparse,Widespread sparsity,expanded_welch,Expanded Welch,12,10000,0.974475,0.9431304562344827,36.923338004229976,0.10900294372445314,0.01828862596073439,0.01664999999999999,0.04428590658231256,0.1296,11,1,0,0.056869543765517255,0.012768926946532887,0.010899999999999996,0.017498990442859064,0.0706,11,1,0,0.012669515174286763,0.004382237305745207,0.0045,0.0024229371382420246,0.01725521669341894,11,1,0
all,All regimes,normal_wald,Normal Wald,60,10000,0.9948933333333334,0.9379908078459692,,0.11509308087418352,0.01715536157593789,0.012399999999999994,0.05263157894736842,0.173,0,0,60,0.06200919215403087,0.013423337171305517,0.008949999999999996,0.02207564948176067,0.1063,0,0,60,0.01566075602037166,0.0060751222428331855,0.0038499999999999993,0.00376901332615426,0.035,0,0,60
all,All regimes,simple_welch,Simple Welch,60,10000,0.9948933333333334,0.939620316371978,380.4991986200504,0.11335161729685322,0.01560171152218638,0.010999999999999996,0.04899717324000538,0.1693,53,6,1,0.06037968362802196,0.011941868168592046,0.008099999999999996,0.020729573293848433,0.1013,53,6,1,0.014603991156812548,0.005138612236365648,0.0034000000000000002,0.002961367613406919,0.032,50,7,3
