regime,regime_label,method,method_label,nominal_alpha,population_pairs,mean_rejection_rate,median_rejection_rate,p10_rejection_rate,p90_rejection_rate,minimum_rejection_rate,maximum_rejection_rate,mean_absolute_calibration_error
well_sampled,Well sampled,normal_wald,Normal Wald,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
well_sampled,Well sampled,normal_wald,Normal Wald,0.001,12,0.0012416666666666667,0.0011,0.00062,0.0017800000000000001,0.0005,0.0028,0.00042500000000000003
well_sampled,Well sampled,normal_wald,Normal Wald,0.002,12,0.0023166666666666665,0.0021,0.00181,0.00249,0.0013,0.0051,0.0004833333333333333
well_sampled,Well sampled,normal_wald,Normal Wald,0.003,12,0.0032333333333333333,0.003,0.00235,0.00386,0.0018,0.0061,0.0006166666666666667
well_sampled,Well sampled,normal_wald,Normal Wald,0.004,12,0.0044,0.00425,0.0034,0.00487,0.0031,0.008,0.0007666666666666667
well_sampled,Well sampled,normal_wald,Normal Wald,0.005,12,0.005416666666666667,0.0052499999999999995,0.0040100000000000005,0.0062,0.0035,0.0094,0.0010666666666666665
well_sampled,Well sampled,normal_wald,Normal Wald,0.006,12,0.006358333333333333,0.00635,0.00473,0.00746,0.0046,0.0101,0.0011583333333333333
well_sampled,Well sampled,normal_wald,Normal Wald,0.007,12,0.007408333333333334,0.00745,0.00584,0.00839,0.0053,0.0112,0.0012416666666666667
well_sampled,Well sampled,normal_wald,Normal Wald,0.008,12,0.008491666666666666,0.00865,0.00676,0.00958,0.006,0.0122,0.0013249999999999998
well_sampled,Well sampled,normal_wald,Normal Wald,0.009,12,0.00955,0.00955,0.00775,0.0107,0.0067,0.0139,0.0013666666666666664
well_sampled,Well sampled,normal_wald,Normal Wald,0.01,12,0.010799999999999999,0.01075,0.00885,0.011980000000000001,0.0081,0.0154,0.0014833333333333332
well_sampled,Well sampled,normal_wald,Normal Wald,0.011,12,0.011758333333333334,0.0115,0.00982,0.01355,0.0089,0.0165,0.0015083333333333335
well_sampled,Well sampled,normal_wald,Normal Wald,0.012,12,0.012841666666666668,0.0127,0.01093,0.01453,0.0097,0.018,0.0016083333333333331
well_sampled,Well sampled,normal_wald,Normal Wald,0.013,12,0.013883333333333333,0.01375,0.01184,0.01526,0.0109,0.0191,0.0016499999999999998
well_sampled,Well sampled,normal_wald,Normal Wald,0.014,12,0.014891666666666666,0.014499999999999999,0.01263,0.01667,0.0119,0.02,0.0016916666666666666
well_sampled,Well sampled,normal_wald,Normal Wald,0.015,12,0.01585,0.0155,0.01334,0.01786,0.0131,0.0208,0.0017666666666666664
well_sampled,Well sampled,normal_wald,Normal Wald,0.016,12,0.016758333333333333,0.0162,0.01436,0.01898,0.0139,0.0225,0.0018416666666666668
well_sampled,Well sampled,normal_wald,Normal Wald,0.017,12,0.017833333333333333,0.017349999999999997,0.01551,0.01999,0.0153,0.0232,0.0018333333333333333
well_sampled,Well sampled,normal_wald,Normal Wald,0.018,12,0.018875,0.018349999999999998,0.0166,0.02159,0.0166,0.0245,0.0018750000000000001
well_sampled,Well sampled,normal_wald,Normal Wald,0.019,12,0.0198,0.019200000000000002,0.0176,0.023100000000000002,0.0174,0.0255,0.0018333333333333333
well_sampled,Well sampled,normal_wald,Normal Wald,0.02,12,0.020849999999999997,0.02035,0.018609999999999998,0.0244,0.0184,0.0264,0.001883333333333333
well_sampled,Well sampled,normal_wald,Normal Wald,0.021,12,0.021724999999999998,0.021249999999999998,0.01933,0.02526,0.0191,0.0271,0.0019583333333333328
well_sampled,Well sampled,normal_wald,Normal Wald,0.022,12,0.022783333333333333,0.0221,0.020309999999999998,0.02634,0.0201,0.0287,0.0021833333333333327
well_sampled,Well sampled,normal_wald,Normal Wald,0.023,12,0.023658333333333333,0.02315,0.0211,0.02701,0.0204,0.0291,0.002075
well_sampled,Well sampled,normal_wald,Normal Wald,0.024,12,0.024816666666666667,0.024,0.02201,0.02846,0.0216,0.0299,0.0019499999999999997
well_sampled,Well sampled,normal_wald,Normal Wald,0.025,12,0.025775000000000003,0.025500000000000002,0.02306,0.029400000000000003,0.0223,0.0308,0.001941666666666667
well_sampled,Well sampled,normal_wald,Normal Wald,0.026,12,0.026758333333333332,0.02635,0.02454,0.03034,0.0227,0.0313,0.0019583333333333336
well_sampled,Well sampled,normal_wald,Normal Wald,0.027,12,0.02785,0.02725,0.02594,0.031259999999999996,0.0235,0.0324,0.0018999999999999996
well_sampled,Well sampled,normal_wald,Normal Wald,0.028,12,0.028708333333333336,0.02815,0.02701,0.03187,0.0241,0.0335,0.0018750000000000006
well_sampled,Well sampled,normal_wald,Normal Wald,0.029,12,0.029716666666666666,0.0292,0.028,0.03276,0.0254,0.0341,0.0016999999999999995
well_sampled,Well sampled,normal_wald,Normal Wald,0.03,12,0.030741666666666667,0.03055,0.02871,0.033679999999999995,0.0262,0.0356,0.0018583333333333331
well_sampled,Well sampled,normal_wald,Normal Wald,0.031,12,0.031900000000000005,0.0315,0.02995,0.03517,0.0267,0.0369,0.0020000000000000005
well_sampled,Well sampled,normal_wald,Normal Wald,0.032,12,0.03298333333333333,0.03245,0.03103,0.03654,0.0272,0.0379,0.0020666666666666667
well_sampled,Well sampled,normal_wald,Normal Wald,0.033,12,0.034050000000000004,0.03325,0.03241,0.037489999999999996,0.0282,0.0391,0.00205
well_sampled,Well sampled,normal_wald,Normal Wald,0.034,12,0.035241666666666664,0.0348,0.0337,0.0392,0.0292,0.0402,0.0021416666666666654
well_sampled,Well sampled,normal_wald,Normal Wald,0.035,12,0.03631666666666667,0.036000000000000004,0.034550000000000004,0.0402,0.0297,0.0418,0.002283333333333331
well_sampled,Well sampled,normal_wald,Normal Wald,0.036,12,0.03729166666666667,0.03715,0.03563,0.04088,0.0308,0.0436,0.0022416666666666674
well_sampled,Well sampled,normal_wald,Normal Wald,0.037,12,0.03836666666666667,0.03815,0.03681,0.04209,0.0316,0.0443,0.002316666666666668
well_sampled,Well sampled,normal_wald,Normal Wald,0.038,12,0.03935,0.03895,0.0378,0.04329,0.0324,0.046,0.0023500000000000014
well_sampled,Well sampled,normal_wald,Normal Wald,0.039,12,0.04056666666666667,0.039999999999999994,0.03883,0.044399999999999995,0.0333,0.0475,0.0025499999999999997
well_sampled,Well sampled,normal_wald,Normal Wald,0.04,12,0.04168333333333333,0.0413,0.03972,0.04564000000000001,0.0345,0.0486,0.002666666666666666
well_sampled,Well sampled,normal_wald,Normal Wald,0.041,12,0.042633333333333336,0.04195,0.040830000000000005,0.04665,0.0352,0.0494,0.0026333333333333317
well_sampled,Well sampled,normal_wald,Normal Wald,0.042,12,0.043616666666666665,0.043,0.04146,0.0481,0.036,0.0508,0.0027166666666666654
well_sampled,Well sampled,normal_wald,Normal Wald,0.043,12,0.0447,0.0441,0.04228,0.0497,0.0372,0.0524,0.0028000000000000017
well_sampled,Well sampled,normal_wald,Normal Wald,0.044,12,0.045775,0.045,0.04329,0.05064,0.038,0.054,0.002908333333333334
well_sampled,Well sampled,normal_wald,Normal Wald,0.045,12,0.04676666666666667,0.0461,0.044300000000000006,0.05172,0.0389,0.0548,0.0029166666666666677
well_sampled,Well sampled,normal_wald,Normal Wald,0.046,12,0.047608333333333336,0.046950000000000006,0.04492,0.05248,0.0394,0.0558,0.002908333333333334
well_sampled,Well sampled,normal_wald,Normal Wald,0.047,12,0.048575,0.04825,0.04607,0.05333,0.0401,0.0567,0.0029416666666666675
well_sampled,Well sampled,normal_wald,Normal Wald,0.048,12,0.049666666666666665,0.04925,0.047,0.05469,0.0411,0.0579,0.003016666666666667
well_sampled,Well sampled,normal_wald,Normal Wald,0.049,12,0.0507,0.0502,0.04802,0.05561,0.0418,0.0593,0.0030833333333333325
well_sampled,Well sampled,normal_wald,Normal Wald,0.05,12,0.051741666666666665,0.0511,0.048670000000000005,0.05654,0.0429,0.0604,0.0031749999999999977
well_sampled,Well sampled,normal_wald,Normal Wald,0.051,12,0.05275833333333333,0.05215,0.04994,0.05743,0.0442,0.0618,0.003091666666666669
well_sampled,Well sampled,normal_wald,Normal Wald,0.052,12,0.053774999999999996,0.05295,0.05038,0.05901,0.0454,0.0629,0.003175000000000001
well_sampled,Well sampled,normal_wald,Normal Wald,0.053,12,0.054775,0.05365,0.05192,0.05972,0.0465,0.0638,0.0030583333333333343
well_sampled,Well sampled,normal_wald,Normal Wald,0.054,12,0.055799999999999995,0.054849999999999996,0.053059999999999996,0.060540000000000004,0.0475,0.065,0.0031166666666666673
well_sampled,Well sampled,normal_wald,Normal Wald,0.055,12,0.056824999999999994,0.0558,0.05436,0.06171,0.0488,0.066,0.0029916666666666663
well_sampled,Well sampled,normal_wald,Normal Wald,0.056,12,0.05776666666666667,0.056650000000000006,0.05527,0.06296,0.0498,0.0671,0.0029666666666666674
well_sampled,Well sampled,normal_wald,Normal Wald,0.057,12,0.05878333333333333,0.057749999999999996,0.05589,0.06406,0.0514,0.0681,0.0029999999999999988
well_sampled,Well sampled,normal_wald,Normal Wald,0.058,12,0.05980833333333333,0.058800000000000005,0.05679,0.06514,0.0528,0.0692,0.0030250000000000003
well_sampled,Well sampled,normal_wald,Normal Wald,0.059,12,0.061,0.05995,0.057859999999999995,0.06579,0.0542,0.0707,0.0031666666666666683
well_sampled,Well sampled,normal_wald,Normal Wald,0.06,12,0.062025,0.060899999999999996,0.05932,0.06643,0.055,0.0716,0.0031250000000000006
well_sampled,Well sampled,normal_wald,Normal Wald,0.061,12,0.06315,0.06215,0.06013,0.06770000000000001,0.0561,0.0728,0.0033000000000000013
well_sampled,Well sampled,normal_wald,Normal Wald,0.062,12,0.06420833333333333,0.06335,0.06075,0.06868,0.0571,0.0736,0.0034250000000000014
well_sampled,Well sampled,normal_wald,Normal Wald,0.063,12,0.06538333333333333,0.06470000000000001,0.06187,0.06935000000000001,0.0587,0.0746,0.00345
well_sampled,Well sampled,normal_wald,Normal Wald,0.064,12,0.06639166666666667,0.06570000000000001,0.06279000000000001,0.07065,0.0594,0.0754,0.0034416666666666654
well_sampled,Well sampled,normal_wald,Normal Wald,0.065,12,0.06738333333333334,0.0664,0.06373000000000001,0.07134,0.0603,0.0769,0.0034166666666666633
well_sampled,Well sampled,normal_wald,Normal Wald,0.066,12,0.06854166666666667,0.06775,0.06503,0.07223,0.0615,0.078,0.0034749999999999976
well_sampled,Well sampled,normal_wald,Normal Wald,0.067,12,0.069425,0.0687,0.066,0.07312,0.0622,0.079,0.003424999999999997
well_sampled,Well sampled,normal_wald,Normal Wald,0.068,12,0.07053333333333334,0.06989999999999999,0.06736,0.07368000000000001,0.0632,0.0811,0.0034666666666666643
well_sampled,Well sampled,normal_wald,Normal Wald,0.069,12,0.07156666666666667,0.07075000000000001,0.06838,0.07458000000000001,0.0639,0.0828,0.003533333333333328
well_sampled,Well sampled,normal_wald,Normal Wald,0.07,12,0.072575,0.07139999999999999,0.06898,0.07551000000000001,0.0651,0.0841,0.003591666666666661
well_sampled,Well sampled,normal_wald,Normal Wald,0.071,12,0.073725,0.07264999999999999,0.07008,0.07656,0.0654,0.0856,0.0038416666666666703
well_sampled,Well sampled,normal_wald,Normal Wald,0.072,12,0.07485833333333333,0.0736,0.07128,0.07756,0.0668,0.087,0.0038750000000000047
well_sampled,Well sampled,normal_wald,Normal Wald,0.073,12,0.07595833333333334,0.07485,0.07273,0.07856,0.0678,0.0883,0.0038916666666666704
well_sampled,Well sampled,normal_wald,Normal Wald,0.074,12,0.07682499999999999,0.07569999999999999,0.07318999999999999,0.07948,0.0692,0.0888,0.003791666666666669
well_sampled,Well sampled,normal_wald,Normal Wald,0.075,12,0.07774166666666667,0.07694999999999999,0.07407,0.08032,0.0701,0.09,0.0037416666666666687
well_sampled,Well sampled,normal_wald,Normal Wald,0.076,12,0.07865,0.07819999999999999,0.07457,0.08135,0.0708,0.0907,0.003783333333333335
well_sampled,Well sampled,normal_wald,Normal Wald,0.077,12,0.07954166666666666,0.0789,0.07565,0.08228,0.0714,0.0921,0.0037250000000000013
well_sampled,Well sampled,normal_wald,Normal Wald,0.078,12,0.08063333333333333,0.07980000000000001,0.0767,0.08349000000000001,0.0727,0.0935,0.0038166666666666674
well_sampled,Well sampled,normal_wald,Normal Wald,0.079,12,0.08155,0.08085,0.07769000000000001,0.08499999999999999,0.0734,0.0944,0.003799999999999998
well_sampled,Well sampled,normal_wald,Normal Wald,0.08,12,0.08265833333333333,0.08145,0.07856,0.08592,0.0749,0.0952,0.0037749999999999984
well_sampled,Well sampled,normal_wald,Normal Wald,0.081,12,0.08374166666666667,0.0826,0.07974,0.08684,0.0759,0.0964,0.003825
well_sampled,Well sampled,normal_wald,Normal Wald,0.082,12,0.084675,0.0835,0.0809,0.08755,0.0768,0.0973,0.0037749999999999993
well_sampled,Well sampled,normal_wald,Normal Wald,0.083,12,0.08551666666666667,0.08415,0.08243,0.08864,0.0773,0.0982,0.0036666666666666666
well_sampled,Well sampled,normal_wald,Normal Wald,0.084,12,0.08661666666666668,0.08505,0.08334,0.0895,0.0784,0.0992,0.0037166666666666646
well_sampled,Well sampled,normal_wald,Normal Wald,0.085,12,0.08774166666666666,0.0861,0.08463999999999999,0.09049,0.0791,0.101,0.0037916666666666632
well_sampled,Well sampled,normal_wald,Normal Wald,0.086,12,0.08871666666666667,0.08725,0.08573,0.09149,0.0798,0.1018,0.0038000000000000035
well_sampled,Well sampled,normal_wald,Normal Wald,0.087,12,0.0896,0.08795,0.08628,0.09229,0.0816,0.1028,0.0036333333333333356
well_sampled,Well sampled,normal_wald,Normal Wald,0.088,12,0.09053333333333334,0.0888,0.08752,0.09326999999999999,0.0828,0.1036,0.0035333333333333362
well_sampled,Well sampled,normal_wald,Normal Wald,0.089,12,0.09150000000000001,0.09,0.08843000000000001,0.09437,0.0835,0.1042,0.003566666666666667
well_sampled,Well sampled,normal_wald,Normal Wald,0.09,12,0.09254166666666667,0.091,0.08953,0.09537,0.0843,0.1054,0.003608333333333335
well_sampled,Well sampled,normal_wald,Normal Wald,0.091,12,0.09356666666666667,0.092,0.09053,0.09666999999999999,0.0854,0.1067,0.003616666666666666
well_sampled,Well sampled,normal_wald,Normal Wald,0.092,12,0.094575,0.093,0.09140999999999999,0.09762,0.0869,0.1075,0.0036083333333333336
well_sampled,Well sampled,normal_wald,Normal Wald,0.093,12,0.09549166666666666,0.09384999999999999,0.09262000000000001,0.09843,0.0878,0.1083,0.003458333333333333
well_sampled,Well sampled,normal_wald,Normal Wald,0.094,12,0.09657500000000001,0.09505,0.09364,0.09906,0.0895,0.1092,0.0033916666666666657
well_sampled,Well sampled,normal_wald,Normal Wald,0.095,12,0.09765833333333333,0.09595000000000001,0.09463,0.1,0.0902,0.1102,0.0035416666666666674
well_sampled,Well sampled,normal_wald,Normal Wald,0.096,12,0.09881666666666666,0.09725,0.09563,0.10128,0.091,0.1116,0.0037333333333333303
well_sampled,Well sampled,normal_wald,Normal Wald,0.097,12,0.09971666666666666,0.0982,0.09622,0.10223,0.0925,0.1126,0.0036999999999999984
well_sampled,Well sampled,normal_wald,Normal Wald,0.098,12,0.10076666666666667,0.09925,0.09692,0.10382000000000001,0.0934,0.1137,0.003866666666666664
well_sampled,Well sampled,normal_wald,Normal Wald,0.099,12,0.10183333333333333,0.1003,0.09815,0.10502,0.0939,0.1145,0.0038999999999999985
well_sampled,Well sampled,normal_wald,Normal Wald,0.1,12,0.10271666666666666,0.1015,0.09891,0.10586,0.0949,0.1151,0.003916666666666662
well_sampled,Well sampled,simple_welch,Simple Welch,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
well_sampled,Well sampled,simple_welch,Simple Welch,0.001,12,0.00115,0.001,0.00061,0.0017800000000000001,0.0004,0.0027,0.0004166666666666667
well_sampled,Well sampled,simple_welch,Simple Welch,0.002,12,0.002191666666666667,0.00195,0.0018,0.0023899999999999998,0.0013,0.0047,0.0004583333333333334
well_sampled,Well sampled,simple_welch,Simple Welch,0.003,12,0.003025,0.0028,0.0022400000000000002,0.00339,0.0018,0.0059,0.0006083333333333333
well_sampled,Well sampled,simple_welch,Simple Welch,0.004,12,0.004124999999999999,0.00395,0.00331,0.00475,0.0029,0.0076,0.0007083333333333334
well_sampled,Well sampled,simple_welch,Simple Welch,0.005,12,0.0052,0.005,0.00392,0.0059900000000000005,0.0035,0.009,0.00095
well_sampled,Well sampled,simple_welch,Simple Welch,0.006,12,0.00615,0.00625,0.0047,0.0069700000000000005,0.0045,0.0101,0.0010833333333333335
well_sampled,Well sampled,simple_welch,Simple Welch,0.007,12,0.007116666666666667,0.00705,0.0058,0.0082,0.0051,0.0107,0.0012666666666666668
well_sampled,Well sampled,simple_welch,Simple Welch,0.008,12,0.00825,0.00855,0.00673,0.00935,0.0059,0.0118,0.0012333333333333335
well_sampled,Well sampled,simple_welch,Simple Welch,0.009,12,0.009183333333333333,0.0092,0.00772,0.01036,0.0066,0.0133,0.00125
well_sampled,Well sampled,simple_welch,Simple Welch,0.01,12,0.010358333333333332,0.01035,0.00872,0.01148,0.0077,0.0148,0.0014083333333333333
well_sampled,Well sampled,simple_welch,Simple Welch,0.011,12,0.011391666666666666,0.01115,0.0097,0.01295,0.0086,0.0161,0.0013916666666666667
well_sampled,Well sampled,simple_welch,Simple Welch,0.012,12,0.012466666666666668,0.01245,0.01081,0.0143,0.0094,0.0174,0.0014999999999999996
well_sampled,Well sampled,simple_welch,Simple Welch,0.013,12,0.0135,0.01335,0.01181,0.01503,0.0105,0.0185,0.0014666666666666665
well_sampled,Well sampled,simple_welch,Simple Welch,0.014,12,0.014558333333333333,0.01425,0.012620000000000001,0.01608,0.0116,0.0198,0.0015916666666666668
well_sampled,Well sampled,simple_welch,Simple Welch,0.015,12,0.015491666666666667,0.01515,0.01312,0.01737,0.0128,0.0204,0.001625
well_sampled,Well sampled,simple_welch,Simple Welch,0.016,12,0.016416666666666666,0.0158,0.01412,0.01856,0.0138,0.0218,0.0017833333333333332
well_sampled,Well sampled,simple_welch,Simple Welch,0.017,12,0.017416666666666667,0.01675,0.015220000000000001,0.0194,0.015,0.0228,0.001733333333333334
well_sampled,Well sampled,simple_welch,Simple Welch,0.018,12,0.018458333333333334,0.01795,0.0164,0.02076,0.016,0.0238,0.0017416666666666668
well_sampled,Well sampled,simple_welch,Simple Welch,0.019,12,0.019408333333333333,0.018799999999999997,0.01703,0.02234,0.0169,0.0251,0.0018416666666666666
well_sampled,Well sampled,simple_welch,Simple Welch,0.02,12,0.020425,0.01985,0.01811,0.023680000000000003,0.018,0.026,0.0017749999999999999
well_sampled,Well sampled,simple_welch,Simple Welch,0.021,12,0.02136666666666667,0.02065,0.01884,0.02504,0.0187,0.0269,0.0019833333333333335
well_sampled,Well sampled,simple_welch,Simple Welch,0.022,12,0.022308333333333333,0.021650000000000003,0.01992,0.02596,0.0196,0.0277,0.0020916666666666666
well_sampled,Well sampled,simple_welch,Simple Welch,0.023,12,0.023250000000000003,0.0225,0.02072,0.026590000000000003,0.0203,0.0287,0.0021166666666666673
well_sampled,Well sampled,simple_welch,Simple Welch,0.024,12,0.024325,0.02355,0.02162,0.02769,0.0215,0.0296,0.0020083333333333338
well_sampled,Well sampled,simple_welch,Simple Welch,0.025,12,0.025391666666666663,0.0248,0.02287,0.0291,0.0223,0.0305,0.0019083333333333337
well_sampled,Well sampled,simple_welch,Simple Welch,0.026,12,0.026433333333333333,0.026000000000000002,0.024229999999999998,0.03019,0.0227,0.0311,0.0018499999999999999
well_sampled,Well sampled,simple_welch,Simple Welch,0.027,12,0.027325,0.02675,0.02513,0.03084,0.0235,0.0319,0.0019083333333333328
well_sampled,Well sampled,simple_welch,Simple Welch,0.028,12,0.028241666666666665,0.0276,0.02642,0.03174,0.0241,0.0326,0.0018749999999999997
well_sampled,Well sampled,simple_welch,Simple Welch,0.029,12,0.029249999999999998,0.028650000000000002,0.02744,0.032279999999999996,0.0252,0.0339,0.0017833333333333332
well_sampled,Well sampled,simple_welch,Simple Welch,0.03,12,0.030283333333333332,0.0299,0.02815,0.033350000000000005,0.0262,0.0345,0.0016833333333333333
well_sampled,Well sampled,simple_welch,Simple Welch,0.031,12,0.03133333333333333,0.0308,0.02926,0.0342,0.0267,0.0363,0.0018333333333333326
well_sampled,Well sampled,simple_welch,Simple Welch,0.032,12,0.03254166666666667,0.032049999999999995,0.03052,0.03595,0.0272,0.0373,0.001875
well_sampled,Well sampled,simple_welch,Simple Welch,0.033,12,0.03358333333333333,0.032799999999999996,0.03182,0.03691,0.0282,0.0386,0.0019833333333333348
well_sampled,Well sampled,simple_welch,Simple Welch,0.034,12,0.034666666666666665,0.034199999999999994,0.03286,0.03842,0.029,0.0395,0.001999999999999999
well_sampled,Well sampled,simple_welch,Simple Welch,0.035,12,0.03573333333333333,0.03535,0.03395,0.03987,0.0297,0.0411,0.0020833333333333324
well_sampled,Well sampled,simple_welch,Simple Welch,0.036,12,0.0368,0.036699999999999997,0.03504,0.040510000000000004,0.0305,0.0427,0.0021166666666666677
well_sampled,Well sampled,simple_welch,Simple Welch,0.037,12,0.037783333333333335,0.0378,0.03596,0.04138,0.0316,0.0438,0.002083333333333333
well_sampled,Well sampled,simple_welch,Simple Welch,0.038,12,0.03888333333333333,0.038500000000000006,0.037239999999999995,0.04286,0.0324,0.0449,0.0021166666666666677
well_sampled,Well sampled,simple_welch,Simple Welch,0.039,12,0.03995833333333333,0.03945,0.038310000000000004,0.0439,0.0332,0.0464,0.0022749999999999992
well_sampled,Well sampled,simple_welch,Simple Welch,0.04,12,0.04105833333333333,0.040499999999999994,0.03941,0.04474,0.0344,0.0477,0.002291666666666666
well_sampled,Well sampled,simple_welch,Simple Welch,0.041,12,0.042125,0.041550000000000004,0.04032,0.0459,0.0351,0.049,0.002475
well_sampled,Well sampled,simple_welch,Simple Welch,0.042,12,0.043083333333333335,0.0424,0.041310000000000006,0.04744,0.0358,0.0499,0.0025166666666666666
well_sampled,Well sampled,simple_welch,Simple Welch,0.043,12,0.04401666666666667,0.043399999999999994,0.04195,0.048470000000000006,0.0369,0.0513,0.002466666666666666
well_sampled,Well sampled,simple_welch,Simple Welch,0.044,12,0.045158333333333335,0.0444,0.04301,0.05011,0.0379,0.0527,0.002625
well_sampled,Well sampled,simple_welch,Simple Welch,0.045,12,0.046175,0.0455,0.04378,0.05074,0.0389,0.0542,0.002558333333333333
well_sampled,Well sampled,simple_welch,Simple Welch,0.046,12,0.047066666666666666,0.046200000000000005,0.044500000000000005,0.05211,0.0393,0.055,0.002633333333333333
well_sampled,Well sampled,simple_welch,Simple Welch,0.047,12,0.04798333333333333,0.047200000000000006,0.04549,0.05278,0.0399,0.0564,0.002616666666666667
well_sampled,Well sampled,simple_welch,Simple Welch,0.048,12,0.049075,0.048549999999999996,0.046700000000000005,0.05366,0.041,0.0571,0.0026416666666666654
well_sampled,Well sampled,simple_welch,Simple Welch,0.049,12,0.050125,0.0495,0.04769,0.0552,0.0418,0.0582,0.0027916666666666663
well_sampled,Well sampled,simple_welch,Simple Welch,0.05,12,0.051116666666666664,0.05065,0.04822,0.05587,0.0428,0.0597,0.002866666666666668
well_sampled,Well sampled,simple_welch,Simple Welch,0.051,12,0.05218333333333333,0.05155,0.04934,0.05704,0.0442,0.0605,0.0027499999999999994
well_sampled,Well sampled,simple_welch,Simple Welch,0.052,12,0.05321666666666667,0.05245,0.05026,0.05806,0.0454,0.062,0.0027333333333333337
well_sampled,Well sampled,simple_welch,Simple Welch,0.053,12,0.05425833333333333,0.0532,0.051480000000000005,0.05926,0.0464,0.0634,0.0028083333333333333
well_sampled,Well sampled,simple_welch,Simple Welch,0.054,12,0.0552,0.05405,0.052300000000000006,0.06006,0.0474,0.0641,0.0028166666666666674
well_sampled,Well sampled,simple_welch,Simple Welch,0.055,12,0.05630833333333333,0.055099999999999996,0.054,0.06112,0.0486,0.0653,0.0027749999999999997
well_sampled,Well sampled,simple_welch,Simple Welch,0.056,12,0.05725,0.05605,0.0549,0.06237000000000001,0.0496,0.0665,0.0027666666666666673
well_sampled,Well sampled,simple_welch,Simple Welch,0.057,12,0.058249999999999996,0.05695,0.05556,0.06355,0.0512,0.0674,0.0027833333333333325
well_sampled,Well sampled,simple_welch,Simple Welch,0.058,12,0.05923333333333333,0.05795,0.05655,0.06479,0.0526,0.0686,0.0028333333333333322
well_sampled,Well sampled,simple_welch,Simple Welch,0.059,12,0.06025,0.0592,0.05754,0.06536,0.054,0.0695,0.0028000000000000004
well_sampled,Well sampled,simple_welch,Simple Welch,0.06,12,0.06141666666666667,0.06035,0.05862,0.06595,0.0548,0.0707,0.0029666666666666665
well_sampled,Well sampled,simple_welch,Simple Welch,0.061,12,0.062475,0.06115,0.05974,0.0667,0.056,0.072,0.002858333333333333
well_sampled,Well sampled,simple_welch,Simple Welch,0.062,12,0.06348333333333334,0.0623,0.06042,0.06806,0.0568,0.0729,0.0030333333333333336
well_sampled,Well sampled,simple_welch,Simple Welch,0.063,12,0.06474166666666667,0.06365,0.06152,0.06903,0.0585,0.074,0.0030749999999999996
well_sampled,Well sampled,simple_welch,Simple Welch,0.064,12,0.06575833333333334,0.0648,0.06262000000000001,0.06987,0.0594,0.075,0.003174999999999999
well_sampled,Well sampled,simple_welch,Simple Welch,0.065,12,0.06678333333333333,0.06584999999999999,0.06341,0.07086999999999999,0.06,0.076,0.003166666666666665
well_sampled,Well sampled,simple_welch,Simple Welch,0.066,12,0.06775833333333332,0.06665,0.06464,0.07155,0.0614,0.0773,0.0030583333333333313
well_sampled,Well sampled,simple_welch,Simple Welch,0.067,12,0.06891666666666667,0.06814999999999999,0.06594,0.07246999999999999,0.062,0.0782,0.003166666666666665
well_sampled,Well sampled,simple_welch,Simple Welch,0.068,12,0.06985000000000001,0.0691,0.0673,0.07319,0.0631,0.0791,0.0031
well_sampled,Well sampled,simple_welch,Simple Welch,0.069,12,0.07089166666666667,0.07025,0.06810999999999999,0.07382,0.0637,0.0816,0.003225
well_sampled,Well sampled,simple_welch,Simple Welch,0.07,12,0.07191666666666667,0.07095,0.06877,0.07483,0.0647,0.0828,0.0031666666666666636
well_sampled,Well sampled,simple_welch,Simple Welch,0.071,12,0.07294166666666667,0.07175000000000001,0.06988,0.07559,0.0653,0.0846,0.003191666666666669
well_sampled,Well sampled,simple_welch,Simple Welch,0.072,12,0.07415833333333334,0.07300000000000001,0.07109,0.07669000000000001,0.0665,0.0859,0.0032583333333333375
well_sampled,Well sampled,simple_welch,Simple Welch,0.073,12,0.075275,0.0739,0.07254999999999999,0.07786,0.0675,0.0873,0.0032750000000000014
