rows,columns,cells,n_p,n_q,repetitions,method,method_label,reference_route,median_time_ms,p05_time_ms,p95_time_ms,relative_to_normal
2,2,4,200,200,200,normal_wald,Normal Wald,Normal Wald,0.08422904647886753,0.08029210148379207,0.0966274528764188,1.0
2,2,4,200,200,200,simple_welch,Simple Welch,Simple Welch,0.0990619882941246,0.09437279077246785,0.11633683461695907,1.176102454382866
2,2,4,200,200,200,expanded_welch,Expanded Welch,Expanded Welch,0.14506257139146328,0.1385819516144693,0.16735390527173874,1.722239268467303
3,3,9,200,200,200,normal_wald,Normal Wald,Normal Wald,0.08437503129243851,0.07994970073923469,0.09255867917090654,1.0
3,3,9,200,200,200,simple_welch,Simple Welch,Simple Welch,0.09947945363819599,0.09382981806993484,0.10978548089042305,1.1790153095577116
3,3,9,200,200,200,expanded_welch,Expanded Welch,Expanded Welch,0.14560401905328035,0.13807680224999785,0.16321844886988401,1.725676622846231
5,5,25,375,375,200,normal_wald,Normal Wald,Normal Wald,0.08366664405912161,0.08024792186915874,0.09499749867245554,1.0
5,5,25,375,375,200,simple_welch,Simple Welch,Simple Welch,0.09868759661912918,0.0947091612033546,0.11542546562850475,1.1795333460416229
5,5,25,375,375,200,expanded_welch,Expanded Welch,Expanded Welch,0.1452290453016758,0.1389170065522194,0.16370441298931837,1.735805791362352
8,8,64,960,960,200,normal_wald,Normal Wald,Normal Wald,0.08583301678299904,0.08091493509709835,0.09763955604285,1.0
8,8,64,960,960,200,simple_welch,Simple Welch,Simple Welch,0.10089552961289883,0.09520589374005795,0.11779619380831718,1.1754862335548624
8,8,64,960,960,200,expanded_welch,Expanded Welch,Expanded Welch,0.14812452718615532,0.13987094862386584,0.16170787857845426,1.72572901125729
