regime,regime_label,method,method_label,population_pairs,replicates_per_population,mean_valid_rate,mean_coverage_95,median_effective_df,mean_fpr_10,mean_absolute_fpr_error_10,median_absolute_fpr_error_10,minimum_fpr_10,maximum_fpr_10,improved_vs_normal_10,worsened_vs_normal_10,tied_vs_normal_10,mean_fpr_05,mean_absolute_fpr_error_05,median_absolute_fpr_error_05,minimum_fpr_05,maximum_fpr_05,improved_vs_normal_05,worsened_vs_normal_05,tied_vs_normal_05,mean_fpr_01,mean_absolute_fpr_error_01,median_absolute_fpr_error_01,minimum_fpr_01,maximum_fpr_01,improved_vs_normal_01,worsened_vs_normal_01,tied_vs_normal_01
well_sampled,Well sampled,normal_wald,Normal Wald,6,300,1.0,0.9533333333333335,,0.09777777777777778,0.012222222222222223,0.011666666666666665,0.08,0.11333333333333333,0,0,6,0.04666666666666667,0.007777777777777778,0.0049999999999999975,0.03333333333333333,0.056666666666666664,0,0,6,0.007777777777777778,0.005555555555555556,0.005,0.0,0.016666666666666666,0,0,6
well_sampled,Well sampled,simple_welch,Simple Welch,6,300,1.0,0.9538888888888889,1874.374667802079,0.09777777777777778,0.012222222222222223,0.011666666666666665,0.08,0.11333333333333333,0,0,6,0.04611111111111111,0.008333333333333333,0.0049999999999999975,0.03333333333333333,0.056666666666666664,0,1,5,0.007777777777777778,0.005555555555555556,0.005,0.0,0.016666666666666666,0,0,6
well_sampled,Well sampled,expanded_welch,Expanded Welch,6,300,1.0,0.958888888888889,68.41449955616011,0.09055555555555556,0.01166666666666667,0.011666666666666672,0.08,0.10666666666666667,2,2,2,0.041111111111111105,0.00888888888888889,0.008333333333333335,0.03333333333333333,0.05,1,3,2,0.006111111111111111,0.005,0.005,0.0,0.013333333333333334,2,1,3
moderate,Moderate,normal_wald,Normal Wald,6,300,1.0,0.9427777777777777,,0.11277777777777777,0.01611111111111111,0.010000000000000002,0.09,0.13333333333333333,0,0,6,0.05722222222222222,0.01944444444444444,0.02166666666666666,0.02,0.08,0,0,6,0.010555555555555556,0.0038888888888888883,0.003333333333333334,0.0033333333333333335,0.016666666666666666,0,0,6
moderate,Moderate,simple_welch,Simple Welch,6,300,1.0,0.943888888888889,404.43735729577344,0.11166666666666668,0.01611111111111111,0.010000000000000002,0.08666666666666667,0.13333333333333333,1,1,4,0.05611111111111111,0.018333333333333333,0.019999999999999997,0.02,0.08,2,0,4,0.010555555555555556,0.0038888888888888883,0.003333333333333334,0.0033333333333333335,0.016666666666666666,0,0,6
moderate,Moderate,expanded_welch,Expanded Welch,6,300,1.0,0.9494444444444444,42.297418831238204,0.10611111111111111,0.012777777777777779,0.010000000000000009,0.08333333333333333,0.13,5,1,0,0.05055555555555555,0.01611111111111111,0.013333333333333332,0.016666666666666666,0.07333333333333333,4,2,0,0.008333333333333333,0.002777777777777778,0.003333333333333333,0.0033333333333333335,0.013333333333333334,2,0,4
sparse_imbalanced,Sparse and imbalanced,normal_wald,Normal Wald,6,300,1.0,0.9344444444444445,,0.12111111111111111,0.02111111111111111,0.019999999999999997,0.1,0.15333333333333332,0,0,6,0.06555555555555555,0.015555555555555552,0.013333333333333329,0.05333333333333334,0.09,0,0,6,0.020555555555555553,0.010555555555555556,0.006666666666666666,0.013333333333333334,0.03333333333333333,0,0,6
sparse_imbalanced,Sparse and imbalanced,simple_welch,Simple Welch,6,300,1.0,0.9344444444444445,199.8425237660772,0.12,0.019999999999999997,0.019999999999999997,0.1,0.15,2,0,4,0.06555555555555555,0.015555555555555552,0.013333333333333329,0.05333333333333334,0.09,0,0,6,0.02,0.01,0.006666666666666666,0.013333333333333334,0.03333333333333333,1,0,5
sparse_imbalanced,Sparse and imbalanced,expanded_welch,Expanded Welch,6,300,1.0,0.9366666666666666,59.965988890834055,0.11444444444444445,0.015555555555555557,0.011666666666666665,0.09666666666666666,0.14333333333333334,4,1,1,0.06333333333333334,0.01333333333333333,0.011666666666666665,0.05,0.08666666666666667,4,0,2,0.01611111111111111,0.006111111111111112,0.005,0.013333333333333334,0.023333333333333334,4,0,2
highly_sparse,Highly skewed and sparse,normal_wald,Normal Wald,6,300,1.0,0.9400000000000001,,0.10722222222222222,0.010555555555555554,0.008333333333333331,0.09333333333333334,0.12333333333333334,0,0,6,0.06,0.01333333333333333,0.008333333333333331,0.043333333333333335,0.09,0,0,6,0.010555555555555556,0.005000000000000001,0.003333333333333333,0.006666666666666667,0.02666666666666667,0,0,6
