scenario_id,shape_index,design_index,rows,columns,n_p,n_q,target_mi,margin_alpha_p,margin_alpha_q,association_p,association_q,generation_attempts,true_mi_p,true_mi_q,true_delta,distribution_l1,population_variance_p,population_variance_q,pooled_mixture_mi,pooled_mixture_variance,min_probability_p,min_probability_q,min_joint_expected_p,min_joint_expected_q,independence_expected_below_1_p,independence_expected_below_1_q,independence_expected_below_5_p,independence_expected_below_5_q,is_permutation_anchor,regime,regime_label,variant,cells,observations_per_cell_p,observations_per_cell_q,sample_size_ratio_q_to_p,minimum_joint_expected_pair,joint_expected_below_1_p,joint_expected_below_1_q,joint_expected_below_5_p,joint_expected_below_5_q,minimum_row_expected_p,minimum_row_expected_q,minimum_column_expected_p,minimum_column_expected_q,maximum_row_margin_p,maximum_column_margin_p,maximum_row_margin_q,maximum_column_margin_q,probability_p_json,probability_q_json,simulation_seed,replicates,estimator_valid_replicates,estimator_valid_rate,mean_delta_error,empirical_delta_sd,mean_standard_error,mean_sample_zero_fraction_p,mean_sample_zero_fraction_q,mean_sample_expected_below_1_p,mean_sample_expected_below_1_q,mean_sample_expected_below_5_p,mean_sample_expected_below_5_q,mean_sample_minimum_expected_p,mean_sample_minimum_expected_q,mean_sample_empty_row_fraction_p,mean_sample_empty_row_fraction_q,mean_sample_empty_column_fraction_p,mean_sample_empty_column_fraction_q,mean_sample_has_empty_margin_p,mean_sample_has_empty_margin_q,method,method_label,valid_replicates,valid_rate,coverage_95,median_effective_df,p05_effective_df,fpr_10,fpr_10_low,fpr_10_high,absolute_fpr_error_10,fpr_05,fpr_05_low,fpr_05_high,absolute_fpr_error_05,fpr_01,fpr_01_low,fpr_01_high,absolute_fpr_error_01
random_2x2_d0,0,0,2,2,400,400,0.03,50.0,50.0,0.25510190085777534,0.2529630574300038,1,0.029999999999983262,0.029999999999999805,-1.6542323066914832e-14,0.4797161424824269,0.058028850745753785,0.05808828976463181,3.3991142999512114e-05,6.797302016196381e-05,0.1387044601966798,0.14779450853505047,55.48178407867192,59.11780341402019,0.0,0.0,0.0,0.0,True,well_sampled,Well sampled,variant_1,4,100.0,100.0,1.0,55.48178407867192,0.0,0.0,0.0,0.0,199.18536418291848,165.3817829749637,157.93376860701287,198.98778391718852,0.5020365895427039,0.6051655784824679,0.5865455425625907,0.5025305402070287,"[[0.1387044601966798, 0.36333212934602405], [0.25612996132085236, 0.24183344913644383]]","[[0.26565994890235883, 0.14779450853505047], [0.23180951089061247, 0.35473603167197826]]",2477831945,300,300,1.0,0.00042991354284121477,0.01759852821176644,0.016997350878702255,0.0,0.0,0.0,0.0,0.0,0.0,76.31552500000001,79.35558333333334,0.0,0.0,0.0,0.0,0.0,0.0,normal_wald,Normal Wald,300,1.0,0.9466666666666667,,,0.10666666666666667,0.07657584904594215,0.1467032883173674,0.006666666666666668,0.05333333333333334,0.033091912519096475,0.08486914177483133,0.003333333333333334,0.013333333333333334,0.005196961739358859,0.03377553025253262,0.003333333333333334
random_2x2_d0,0,0,2,2,400,400,0.03,50.0,50.0,0.25510190085777534,0.2529630574300038,1,0.029999999999983262,0.029999999999999805,-1.6542323066914832e-14,0.4797161424824269,0.058028850745753785,0.05808828976463181,3.3991142999512114e-05,6.797302016196381e-05,0.1387044601966798,0.14779450853505047,55.48178407867192,59.11780341402019,0.0,0.0,0.0,0.0,True,well_sampled,Well sampled,variant_1,4,100.0,100.0,1.0,55.48178407867192,0.0,0.0,0.0,0.0,199.18536418291848,165.3817829749637,157.93376860701287,198.98778391718852,0.5020365895427039,0.6051655784824679,0.5865455425625907,0.5025305402070287,"[[0.1387044601966798, 0.36333212934602405], [0.25612996132085236, 0.24183344913644383]]","[[0.26565994890235883, 0.14779450853505047], [0.23180951089061247, 0.35473603167197826]]",2477831945,300,300,1.0,0.00042991354284121477,0.01759852821176644,0.016997350878702255,0.0,0.0,0.0,0.0,0.0,0.0,76.31552500000001,79.35558333333334,0.0,0.0,0.0,0.0,0.0,0.0,simple_welch,Simple Welch,300,1.0,0.9466666666666667,773.9356761097488,608.196598083124,0.10666666666666667,0.07657584904594215,0.1467032883173674,0.006666666666666668,0.05333333333333334,0.033091912519096475,0.08486914177483133,0.003333333333333334,0.013333333333333334,0.005196961739358859,0.03377553025253262,0.003333333333333334
random_2x2_d0,0,0,2,2,400,400,0.03,50.0,50.0,0.25510190085777534,0.2529630574300038,1,0.029999999999983262,0.029999999999999805,-1.6542323066914832e-14,0.4797161424824269,0.058028850745753785,0.05808828976463181,3.3991142999512114e-05,6.797302016196381e-05,0.1387044601966798,0.14779450853505047,55.48178407867192,59.11780341402019,0.0,0.0,0.0,0.0,True,well_sampled,Well sampled,variant_1,4,100.0,100.0,1.0,55.48178407867192,0.0,0.0,0.0,0.0,199.18536418291848,165.3817829749637,157.93376860701287,198.98778391718852,0.5020365895427039,0.6051655784824679,0.5865455425625907,0.5025305402070287,"[[0.1387044601966798, 0.36333212934602405], [0.25612996132085236, 0.24183344913644383]]","[[0.26565994890235883, 0.14779450853505047], [0.23180951089061247, 0.35473603167197826]]",2477831945,300,300,1.0,0.00042991354284121477,0.01759852821176644,0.016997350878702255,0.0,0.0,0.0,0.0,0.0,0.0,76.31552500000001,79.35558333333334,0.0,0.0,0.0,0.0,0.0,0.0,expanded_welch,Expanded Welch,300,1.0,0.96,26.637129029698986,14.263581255471037,0.08666666666666667,0.05982889751804312,0.12395595869424827,0.013333333333333336,0.04,0.023027321487942308,0.06860421203864003,0.010000000000000002,0.01,0.003406618437715286,0.02898349336233983,0.0
random_2x2_d1,0,1,2,2,200,400,0.07,20.0,5.0,0.4049312967658538,0.40498279295898293,1,0.07000000000000028,0.0700000000000005,-2.220446049250313e-16,0.2277066384842952,0.12734468304277896,0.1293077920772138,0.0722307286493451,0.13205531131145917,0.09379360707994003,0.10296662450060301,18.758721415988006,41.186649800241206,0.0,0.0,0.0,0.0,False,moderate,Moderate,variant_1,4,50.0,100.0,2.0,18.758721415988006,0.0,0.0,0.0,0.0,90.01079255359316,147.23617206049406,81.54175234019279,191.37516762275538,0.5499460372320343,0.5922912382990362,0.6319095698487649,0.5215620809431115,"[[0.23603088261101038, 0.31391515462102393], [0.3562603556880258, 0.09379360707994003]]","[[0.21331411340625636, 0.4185954564425085], [0.26512380565063215, 0.10296662450060301]]",2764902787,300,300,1.0,-0.0016344450948965585,0.03151959608653488,0.03115006604135386,0.0,0.0,0.0,0.0,0.0,0.0,36.55906666666667,69.59378333333333,0.0,0.0,0.0,0.0,0.0,0.0,normal_wald,Normal Wald,300,1.0,0.9333333333333333,,,0.10666666666666667,0.07657584904594215,0.1467032883173674,0.006666666666666668,0.06666666666666667,0.04356751554515827,0.10072305951611497,0.016666666666666663,0.016666666666666666,0.007139477350633337,0.0384153948330945,0.006666666666666666
random_2x2_d1,0,1,2,2,200,400,0.07,20.0,5.0,0.4049312967658538,0.40498279295898293,1,0.07000000000000028,0.0700000000000005,-2.220446049250313e-16,0.2277066384842952,0.12734468304277896,0.1293077920772138,0.0722307286493451,0.13205531131145917,0.09379360707994003,0.10296662450060301,18.758721415988006,41.186649800241206,0.0,0.0,0.0,0.0,False,moderate,Moderate,variant_1,4,50.0,100.0,2.0,18.758721415988006,0.0,0.0,0.0,0.0,90.01079255359316,147.23617206049406,81.54175234019279,191.37516762275538,0.5499460372320343,0.5922912382990362,0.6319095698487649,0.5215620809431115,"[[0.23603088261101038, 0.31391515462102393], [0.3562603556880258, 0.09379360707994003]]","[[0.21331411340625636, 0.4185954564425085], [0.26512380565063215, 0.10296662450060301]]",2764902787,300,300,1.0,-0.0016344450948965585,0.03151959608653488,0.03115006604135386,0.0,0.0,0.0,0.0,0.0,0.0,36.55906666666667,69.59378333333333,0.0,0.0,0.0,0.0,0.0,0.0,simple_welch,Simple Welch,300,1.0,0.9333333333333333,404.41539515779675,307.6314569623424,0.10666666666666667,0.07657584904594215,0.1467032883173674,0.006666666666666668,0.06666666666666667,0.04356751554515827,0.10072305951611497,0.016666666666666663,0.016666666666666666,0.007139477350633337,0.0384153948330945,0.006666666666666666
random_2x2_d1,0,1,2,2,200,400,0.07,20.0,5.0,0.4049312967658538,0.40498279295898293,1,0.07000000000000028,0.0700000000000005,-2.220446049250313e-16,0.2277066384842952,0.12734468304277896,0.1293077920772138,0.0722307286493451,0.13205531131145917,0.09379360707994003,0.10296662450060301,18.758721415988006,41.186649800241206,0.0,0.0,0.0,0.0,False,moderate,Moderate,variant_1,4,50.0,100.0,2.0,18.758721415988006,0.0,0.0,0.0,0.0,90.01079255359316,147.23617206049406,81.54175234019279,191.37516762275538,0.5499460372320343,0.5922912382990362,0.6319095698487649,0.5215620809431115,"[[0.23603088261101038, 0.31391515462102393], [0.3562603556880258, 0.09379360707994003]]","[[0.21331411340625636, 0.4185954564425085], [0.26512380565063215, 0.10296662450060301]]",2764902787,300,300,1.0,-0.0016344450948965585,0.03151959608653488,0.03115006604135386,0.0,0.0,0.0,0.0,0.0,0.0,36.55906666666667,69.59378333333333,0.0,0.0,0.0,0.0,0.0,0.0,expanded_welch,Expanded Welch,300,1.0,0.94,39.57084906987022,24.227130531298176,0.10333333333333333,0.07375658473854116,0.14294017243293203,0.003333333333333327,0.06,0.03828636952469206,0.09283944515290846,0.009999999999999995,0.01,0.003406618437715286,0.02898349336233983,0.0
random_2x2_d2,0,2,2,2,120,480,0.15,5.0,1.2,0.6190754953458869,1.0826205105742575,1,0.1499999999999999,0.15000000000000047,-5.551115123125783e-16,0.915170497019181,0.2513868051415515,0.14761426677831058,0.022992818173968144,0.04381333281718803,0.07540379596006368,0.0041592163853350255,9.04845551520764,1.9964238649608121,0.0,0.0,0.0,0.0,True,sparse_imbalanced,Sparse and imbalanced,variant_1,4,30.0,120.0,4.0,1.9964238649608121,0.0,0.0,0.0,0.25,55.54220869740131,173.2763143139465,45.716952664198054,146.05607716808254,0.5371482608549892,0.6190253944650164,0.6390076785126115,0.695716505899828,"[[0.4617444648949256, 0.07540379596006368], [0.15728092957009074, 0.3055708095749201]]","[[0.0041592163853350255, 0.3568331051020535], [0.30012427771483696, 0.3388834007977745]]",3881087075,300,300,1.0,0.00027847691897250134,0.049422715407222026,0.0487745593923861,0.0,0.03166666666666667,0.0,0.0,0.0,0.0,20.837666666666664,53.09697222222223,0.0,0.0,0.0,0.0,0.0,0.0,normal_wald,Normal Wald,300,1.0,0.9333333333333333,,,0.10333333333333333,0.07375658473854116,0.14294017243293203,0.003333333333333327,0.06666666666666667,0.04356751554515827,0.10072305951611497,0.016666666666666663,0.02666666666666667,0.01357306980864709,0.05172894295058983,0.01666666666666667
random_2x2_d2,0,2,2,2,120,480,0.15,5.0,1.2,0.6190754953458869,1.0826205105742575,1,0.1499999999999999,0.15000000000000047,-5.551115123125783e-16,0.915170497019181,0.2513868051415515,0.14761426677831058,0.022992818173968144,0.04381333281718803,0.07540379596006368,0.0041592163853350255,9.04845551520764,1.9964238649608121,0.0,0.0,0.0,0.0,True,sparse_imbalanced,Sparse and imbalanced,variant_1,4,30.0,120.0,4.0,1.9964238649608121,0.0,0.0,0.0,0.25,55.54220869740131,173.2763143139465,45.716952664198054,146.05607716808254,0.5371482608549892,0.6190253944650164,0.6390076785126115,0.695716505899828,"[[0.4617444648949256, 0.07540379596006368], [0.15728092957009074, 0.3055708095749201]]","[[0.0041592163853350255, 0.3568331051020535], [0.30012427771483696, 0.3388834007977745]]",3881087075,300,300,1.0,0.00027847691897250134,0.049422715407222026,0.0487745593923861,0.0,0.03166666666666667,0.0,0.0,0.0,0.0,20.837666666666664,53.09697222222223,0.0,0.0,0.0,0.0,0.0,0.0,simple_welch,Simple Welch,300,1.0,0.9333333333333333,154.28918109722332,141.6260251395261,0.1,0.07094791459501534,0.1391664623846215,0.0,0.06666666666666667,0.04356751554515827,0.10072305951611497,0.016666666666666663,0.02666666666666667,0.01357306980864709,0.05172894295058983,0.01666666666666667
random_2x2_d2,0,2,2,2,120,480,0.15,5.0,1.2,0.6190754953458869,1.0826205105742575,1,0.1499999999999999,0.15000000000000047,-5.551115123125783e-16,0.915170497019181,0.2513868051415515,0.14761426677831058,0.022992818173968144,0.04381333281718803,0.07540379596006368,0.0041592163853350255,9.04845551520764,1.9964238649608121,0.0,0.0,0.0,0.0,True,sparse_imbalanced,Sparse and imbalanced,variant_1,4,30.0,120.0,4.0,1.9964238649608121,0.0,0.0,0.0,0.25,55.54220869740131,173.2763143139465,45.716952664198054,146.05607716808254,0.5371482608549892,0.6190253944650164,0.6390076785126115,0.695716505899828,"[[0.4617444648949256, 0.07540379596006368], [0.15728092957009074, 0.3055708095749201]]","[[0.0041592163853350255, 0.3568331051020535], [0.30012427771483696, 0.3388834007977745]]",3881087075,300,300,1.0,0.00027847691897250134,0.049422715407222026,0.0487745593923861,0.0,0.03166666666666667,0.0,0.0,0.0,0.0,20.837666666666664,53.09697222222223,0.0,0.0,0.0,0.0,0.0,0.0,expanded_welch,Expanded Welch,300,1.0,0.9366666666666666,48.93556718318863,20.52278581365878,0.09666666666666666,0.06815029481828933,0.13538170196951116,0.003333333333333341,0.06333333333333334,0.04091688238391527,0.09679131248552161,0.013333333333333336,0.016666666666666666,0.007139477350633337,0.0384153948330945,0.006666666666666666
random_2x2_d3,0,3,2,2,800,800,0.03,1.0,0.5,0.2841055235301109,0.4227045071170974,3,0.030000000000046212,0.030000000000000082,4.6129766673175254e-14,1.2654326939047986,0.060487893922483105,0.06991867640860254,0.0023142452594488994,0.004649148576355108,0.13208422662301392,0.053194792710446845,105.66738129841113,42.55583416835748,0.0,0.0,0.0,0.0,False,well_sampled,Well sampled,variant_2,4,200.0,200.0,1.0,42.55583416835748,0.0,0.0,0.0,0.0,221.0108213491929,93.00521046177242,265.56495448351063,137.71016484625454,0.723736473313509,0.6680438068956118,0.8837434869227845,0.8278622939421819,"[[0.14417930006347723, 0.13208422662301392], [0.18777689304091105, 0.5359595802725979]]","[[0.11894291334737134, 0.7648005735754132], [0.053194792710446845, 0.06306172036676869]]",2198623536,300,300,1.0,-0.0003335642658338263,0.0137529921361771,0.012836451821336612,0.0,0.0,0.0,0.0,0.0,0.0,73.71047083333333,16.092370833333334,0.0,0.0,0.0,0.0,0.0,0.0,normal_wald,Normal Wald,300,1.0,0.9466666666666667,,,0.11333333333333333,0.08224450187529102,0.15419939587169124,0.013333333333333322,0.05333333333333334,0.033091912519096475,0.08486914177483133,0.003333333333333334,0.016666666666666666,0.007139477350633337,0.0384153948330945,0.006666666666666666
