configuration_id,pair_id,shape,profile,n_p,n_q,target_mi_p,target_mi_q,section,population,mi,v,tau2,mean_vhat,var_vhat,mean_vhat_over_v,n_var_ihat_over_v,population_first_order_df,empirical_moment_df,median_plugin_df,first_order_var_ratio
config_f5bd1ee837e6f46b,pair_0a0e0f72610302eb,2x2,uniform,2,2,0.02,0.02,main,p,0.01999999999999985,0.039196393802273966,0.144411792372336,0.0,0.0,0.0,4.72165665283844,0.04255489837399873,,,0.0
config_f5bd1ee837e6f46b,pair_0a0e0f72610302eb,2x2,uniform,2,2,0.02,0.02,main,q,0.01999999999999985,0.039196393802273966,0.144411792372336,0.0,0.0,0.0,4.665299294959618,0.04255489837399873,,,0.0
config_84f092d5d1a9d628,pair_0a0e0f72610302eb,2x2,uniform,5,5,0.02,0.02,main,p,0.01999999999999985,0.039196393802273966,0.144411792372336,0.09142182250472362,0.00684973496362835,2.332403918735499,3.7092589422429323,0.10638724593499682,2.440371685755832,1.2240888092278546,0.23715982092264745
config_84f092d5d1a9d628,pair_0a0e0f72610302eb,2x2,uniform,5,5,0.02,0.02,main,q,0.01999999999999985,0.039196393802273966,0.144411792372336,0.09015446529702426,0.006715684599728815,2.300070403206174,3.689182654231944,0.10638724593499682,2.4205507248868,1.2240888092278546,0.23251856684992206
config_1a981240d959e1c7,pair_0a0e0f72610302eb,2x2,uniform,10,10,0.02,0.02,main,p,0.01999999999999985,0.039196393802273966,0.144411792372336,0.09114086719837484,0.007722614779653705,2.3252360321241423,3.055833655992353,0.21277449186999364,2.151255218778188,1.2013445972259504,0.5347634464464326
config_1a981240d959e1c7,pair_0a0e0f72610302eb,2x2,uniform,10,10,0.02,0.02,main,q,0.01999999999999985,0.039196393802273966,0.144411792372336,0.09104570912248218,0.007705932549131918,2.322808306849907,2.9854955462425714,0.21277449186999364,2.151412848935314,1.2013445972259504,0.5336082616621614
config_fec72b5a5a7078d7,pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.02,main,p,0.01999999999999985,0.039196393802273966,0.144411792372336,0.07831884250078239,0.007006126884136934,1.99811347176124,1.9162225179415542,0.4255489837399873,1.750993435345974,0.6955481064012942,0.9702984457215352
config_fec72b5a5a7078d7,pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.02,main,q,0.01999999999999985,0.039196393802273966,0.144411792372336,0.07763993322220474,0.006921011553455682,1.9807927640960807,1.8604366124895209,0.4255489837399873,1.7419301164838057,0.6955481064012944,0.9585105814089312
config_b897bcca9c5e22aa,pair_0a0e0f72610302eb,2x2,uniform,50,50,0.02,0.02,main,p,0.01999999999999985,0.039196393802273966,0.144411792372336,0.056728331760407424,0.00305840799705594,1.4472844631211035,1.2762908063699203,1.0638724593499682,2.104430558262099,1.0959451032911662,1.0589190629150513
config_b897bcca9c5e22aa,pair_0a0e0f72610302eb,2x2,uniform,50,50,0.02,0.02,main,q,0.01999999999999985,0.039196393802273966,0.144411792372336,0.056860462926451354,0.003107304422365368,1.4506554662473212,1.3040314584328327,1.0638724593499682,2.080975536828292,1.0800659845777665,1.0758485755629377
config_d6d1509435679951,pair_0a0e0f72610302eb,2x2,uniform,100,100,0.02,0.02,main,p,0.01999999999999985,0.039196393802273966,0.144411792372336,0.04824575158446683,0.0015671840871470126,1.2308722028828039,1.1912623563987905,2.1277449186999364,2.9704902762093117,2.1473223032623245,1.0852189155760574
config_d6d1509435679951,pair_0a0e0f72610302eb,2x2,uniform,100,100,0.02,0.02,main,q,0.01999999999999985,0.039196393802273966,0.144411792372336,0.047767036465090194,0.0015228906116922663,1.2186589589351204,1.1513244387248478,2.1277449186999364,2.9965248391961614,2.1262643851461007,1.0545472683877555
config_f444816f31078de0,pair_0a0e0f72610302eb,2x2,uniform,250,250,0.02,0.02,main,p,0.01999999999999985,0.039196393802273966,0.144411792372336,0.042684845160274154,0.0005882649106882125,1.0889992935471988,1.0540032687095247,5.3193622967498415,6.194474541155354,5.350957120050369,1.0183810148472723
config_f444816f31078de0,pair_0a0e0f72610302eb,2x2,uniform,250,250,0.02,0.02,main,q,0.01999999999999985,0.039196393802273966,0.144411792372336,0.042885626883667524,0.0005984768006611298,1.0941217475261595,1.072892020924591,5.3193622967498415,6.146193106143567,5.354585202532275,1.0360594360571345
config_303bed946ffe6b86,pair_0a0e0f72610302eb,2x2,uniform,500,500,0.02,0.02,main,p,0.01999999999999985,0.039196393802273966,0.144411792372336,0.04105516552568891,0.0002987117920773619,1.0474220085855732,1.0524717561828696,10.638724593499683,11.285303500205902,10.67864573050467,1.0342361491753913
config_303bed946ffe6b86,pair_0a0e0f72610302eb,2x2,uniform,500,500,0.02,0.02,main,q,0.01999999999999985,0.039196393802273966,0.144411792372336,0.04092021292042517,0.00028485240747590826,1.0439790233470712,1.0029628376633377,10.638724593499683,11.756711767265305,10.700086687952972,0.986250509035561
config_700945d218841f2e,pair_0a0e0f72610302eb,2x2,uniform,1000,1000,0.02,0.02,main,p,0.01999999999999985,0.039196393802273966,0.144411792372336,0.04008463661246408,0.00014336479186360742,1.022661340088347,1.0013053771810374,21.277449186999366,22.415239773541217,21.396573604222972,0.9927498960332193
config_700945d218841f2e,pair_0a0e0f72610302eb,2x2,uniform,1000,1000,0.02,0.02,main,q,0.01999999999999985,0.039196393802273966,0.144411792372336,0.039953825388750044,0.00014820153151896798,1.019324012058276,1.0347925518763772,21.277449186999366,21.542397663959626,21.391925388471172,1.026242587841171
config_ceca18acdc35d810,pair_cd3f51adc4b4ed85,2x2,same_skew,2,2,0.02,0.02,main,p,0.019999999999999858,0.04332276315069768,0.20652729683689408,0.0,0.0,0.0,2.4823826657046797,0.036350871497508805,,,0.0
