configuration_id,pair_id,shape,profile,n_p,n_q,target_mi_p,target_mi_q,section,replicates,pilot_sd,standardized_bias,mean_se2_over_empirical_var,empirical_var_over_first_order,normal_wald_rate,independent_mc_sd_rate,population_first_order_sd_rate,median_combined_df,numerator_se2_correlation
config_f5bd1ee837e6f46b,pair_0a0e0f72610302eb,2x2,uniform,2,2,0.02,0.02,main,20000,0.42972143151554515,0.003306681063442573,0.0,4.711160665322644,0.0,0.0,0.38245,,
config_84f092d5d1a9d628,pair_0a0e0f72610302eb,2x2,uniform,5,5,0.02,0.02,main,20000,0.2412209082322173,0.0015325340822450336,0.6192896041165649,3.7112806130777316,0.0961,0.0891,0.22795,2.448177618455709,-0.011055237121661279
config_1a981240d959e1c7,pair_0a0e0f72610302eb,2x2,uniform,10,10,0.02,0.02,main,20000,0.1534150878856695,0.004956936803788134,0.7736761827921986,3.0023411477208715,0.061,0.06325,0.21275,1.56244009817581,-0.0015741308790290162
config_fec72b5a5a7078d7,pair_0a0e0f72610302eb,2x2,uniform,20,20,0.02,0.02,main,20000,0.08633389693348205,-0.0016511883615537768,1.0483050852256717,1.9015886505581252,0.02585,0.06785,0.1374,1.7837241491790354,-0.001795364403827591
config_b897bcca9c5e22aa,pair_0a0e0f72610302eb,2x2,uniform,50,50,0.02,0.02,main,20000,0.0448111748101726,-0.00046134854820725985,1.1253959676857324,1.2807564632076887,0.0098,0.06675,0.09475,2.886874659344151,0.0010826995482541312
config_d6d1509435679951,pair_0a0e0f72610302eb,2x2,uniform,100,100,0.02,0.02,main,20000,0.03037696508094734,0.01390590443094256,1.0327582593311642,1.177098092472426,0.01435,0.0533,0.0718,4.934385870901234,0.011976977111008142
config_f444816f31078de0,pair_0a0e0f72610302eb,2x2,uniform,250,250,0.02,0.02,main,20000,0.018224345916989144,-0.0009099706904293974,1.0257141173373756,1.0591751940800056,0.02795,0.0514,0.0585,11.35768814872402,-0.004126982460476416
config_303bed946ffe6b86,pair_0a0e0f72610302eb,2x2,uniform,500,500,0.02,0.02,main,20000,0.012718692738687662,-0.005760286773570645,1.0136602767038545,1.031760382072199,0.04085,0.05565,0.05875,22.0624788562927,0.00633999891262752
config_700945d218841f2e,pair_0a0e0f72610302eb,2x2,uniform,1000,1000,0.02,0.02,main,20000,0.008897387551226321,-0.003931058160071889,1.013649811929499,1.0098314864890003,0.0421,0.04955,0.0508,43.296996862344976,-0.008978466394428801
config_ceca18acdc35d810,pair_cd3f51adc4b4ed85,2x2,same_skew,2,2,0.02,0.02,main,20000,0.3296703161720133,0.010092223362177808,0.0,2.5086700261223984,0.0,0.2234,0.2234,,
config_0e373149d90354a1,pair_cd3f51adc4b4ed85,2x2,same_skew,5,5,0.02,0.02,main,20000,0.23589284491026505,0.0034164453154389212,0.44799899953656724,3.21109679028877,0.113,0.1147,0.20085,2.996873090621708,0.0058756677037376205
