display_id,section,figure_key,row_key,row_label,column_key,column_label,x_kind,x_value,shape,profile,dominant_p,dominant_q,pattern,constructor,baseline_mi,mi_direction,mi_difference,target_mi_p,target_mi_q,n_p,n_q,pair_id,configuration_id
display_00000,main,main_2x2_small,uniform,uniform,2,nP=nQ=2,mi_difference,0.0,2x2,uniform,,,first,additive,0.02,q_higher,0.0,0.02,0.02,2,2,pair_0a0e0f72610302eb,config_f5bd1ee837e6f46b
display_00001,main,main_2x2_small,uniform,uniform,2,nP=nQ=2,mi_difference,0.001,2x2,uniform,,,first,additive,0.02,q_higher,0.001,0.02,0.021,2,2,pair_0b7dd028d07380ef,config_e988f1580360e8c9
display_00002,main,main_2x2_small,uniform,uniform,2,nP=nQ=2,mi_difference,0.002,2x2,uniform,,,first,additive,0.02,q_higher,0.002,0.02,0.022,2,2,pair_5daadbd2d6c7623a,config_14eff8d6d8725945
display_00003,main,main_2x2_small,uniform,uniform,2,nP=nQ=2,mi_difference,0.005,2x2,uniform,,,first,additive,0.02,q_higher,0.005,0.02,0.025,2,2,pair_be82699e9841393d,config_d2e15044a3c962ba
display_00004,main,main_2x2_small,uniform,uniform,2,nP=nQ=2,mi_difference,0.01,2x2,uniform,,,first,additive,0.02,q_higher,0.01,0.02,0.03,2,2,pair_843b32122b86c600,config_ccfced6d6219974c
display_00005,main,main_2x2_small,uniform,uniform,2,nP=nQ=2,mi_difference,0.02,2x2,uniform,,,first,additive,0.02,q_higher,0.02,0.02,0.04,2,2,pair_f92afa0319e6f637,config_0375c4a204613747
display_00006,main,main_2x2_small,uniform,uniform,5,nP=nQ=5,mi_difference,0.0,2x2,uniform,,,first,additive,0.02,q_higher,0.0,0.02,0.02,5,5,pair_0a0e0f72610302eb,config_84f092d5d1a9d628
display_00007,main,main_2x2_small,uniform,uniform,5,nP=nQ=5,mi_difference,0.001,2x2,uniform,,,first,additive,0.02,q_higher,0.001,0.02,0.021,5,5,pair_0b7dd028d07380ef,config_5f334245343e838d
display_00008,main,main_2x2_small,uniform,uniform,5,nP=nQ=5,mi_difference,0.002,2x2,uniform,,,first,additive,0.02,q_higher,0.002,0.02,0.022,5,5,pair_5daadbd2d6c7623a,config_c56c0677f57ae942
display_00009,main,main_2x2_small,uniform,uniform,5,nP=nQ=5,mi_difference,0.005,2x2,uniform,,,first,additive,0.02,q_higher,0.005,0.02,0.025,5,5,pair_be82699e9841393d,config_0111e5cba0cda0ed
display_00010,main,main_2x2_small,uniform,uniform,5,nP=nQ=5,mi_difference,0.01,2x2,uniform,,,first,additive,0.02,q_higher,0.01,0.02,0.03,5,5,pair_843b32122b86c600,config_0978dd3de7a2b4b2
display_00011,main,main_2x2_small,uniform,uniform,5,nP=nQ=5,mi_difference,0.02,2x2,uniform,,,first,additive,0.02,q_higher,0.02,0.02,0.04,5,5,pair_f92afa0319e6f637,config_99dd5492ff2066cf
display_00012,main,main_2x2_small,uniform,uniform,10,nP=nQ=10,mi_difference,0.0,2x2,uniform,,,first,additive,0.02,q_higher,0.0,0.02,0.02,10,10,pair_0a0e0f72610302eb,config_1a981240d959e1c7
display_00013,main,main_2x2_small,uniform,uniform,10,nP=nQ=10,mi_difference,0.001,2x2,uniform,,,first,additive,0.02,q_higher,0.001,0.02,0.021,10,10,pair_0b7dd028d07380ef,config_f26d804883a0033f
display_00014,main,main_2x2_small,uniform,uniform,10,nP=nQ=10,mi_difference,0.002,2x2,uniform,,,first,additive,0.02,q_higher,0.002,0.02,0.022,10,10,pair_5daadbd2d6c7623a,config_d6d2f09c47798d3e
display_00015,main,main_2x2_small,uniform,uniform,10,nP=nQ=10,mi_difference,0.005,2x2,uniform,,,first,additive,0.02,q_higher,0.005,0.02,0.025,10,10,pair_be82699e9841393d,config_c2e8c931930806b9
display_00016,main,main_2x2_small,uniform,uniform,10,nP=nQ=10,mi_difference,0.01,2x2,uniform,,,first,additive,0.02,q_higher,0.01,0.02,0.03,10,10,pair_843b32122b86c600,config_a636a472f3b028ac
display_00017,main,main_2x2_small,uniform,uniform,10,nP=nQ=10,mi_difference,0.02,2x2,uniform,,,first,additive,0.02,q_higher,0.02,0.02,0.04,10,10,pair_f92afa0319e6f637,config_6620e68bf41e17b3
display_00018,main,main_2x2_moderate,uniform,uniform,20,nP=nQ=20,mi_difference,0.0,2x2,uniform,,,first,additive,0.02,q_higher,0.0,0.02,0.02,20,20,pair_0a0e0f72610302eb,config_fec72b5a5a7078d7
display_00019,main,main_2x2_moderate,uniform,uniform,20,nP=nQ=20,mi_difference,0.001,2x2,uniform,,,first,additive,0.02,q_higher,0.001,0.02,0.021,20,20,pair_0b7dd028d07380ef,config_25f0da1fa9c8f320
display_00020,main,main_2x2_moderate,uniform,uniform,20,nP=nQ=20,mi_difference,0.002,2x2,uniform,,,first,additive,0.02,q_higher,0.002,0.02,0.022,20,20,pair_5daadbd2d6c7623a,config_0fbe1874022b702c
display_00021,main,main_2x2_moderate,uniform,uniform,20,nP=nQ=20,mi_difference,0.005,2x2,uniform,,,first,additive,0.02,q_higher,0.005,0.02,0.025,20,20,pair_be82699e9841393d,config_f5be316f661d90b6
display_00022,main,main_2x2_moderate,uniform,uniform,20,nP=nQ=20,mi_difference,0.01,2x2,uniform,,,first,additive,0.02,q_higher,0.01,0.02,0.03,20,20,pair_843b32122b86c600,config_a27ba2b7a810f9bc
display_00023,main,main_2x2_moderate,uniform,uniform,20,nP=nQ=20,mi_difference,0.02,2x2,uniform,,,first,additive,0.02,q_higher,0.02,0.02,0.04,20,20,pair_f92afa0319e6f637,config_850e2ff6f2cd4d82
display_00024,main,main_2x2_moderate,uniform,uniform,50,nP=nQ=50,mi_difference,0.0,2x2,uniform,,,first,additive,0.02,q_higher,0.0,0.02,0.02,50,50,pair_0a0e0f72610302eb,config_b897bcca9c5e22aa
display_00025,main,main_2x2_moderate,uniform,uniform,50,nP=nQ=50,mi_difference,0.001,2x2,uniform,,,first,additive,0.02,q_higher,0.001,0.02,0.021,50,50,pair_0b7dd028d07380ef,config_8038d1106b4b377a
display_00026,main,main_2x2_moderate,uniform,uniform,50,nP=nQ=50,mi_difference,0.002,2x2,uniform,,,first,additive,0.02,q_higher,0.002,0.02,0.022,50,50,pair_5daadbd2d6c7623a,config_17a2e011e24908ed
display_00027,main,main_2x2_moderate,uniform,uniform,50,nP=nQ=50,mi_difference,0.005,2x2,uniform,,,first,additive,0.02,q_higher,0.005,0.02,0.025,50,50,pair_be82699e9841393d,config_ae34320e00175bc9
display_00028,main,main_2x2_moderate,uniform,uniform,50,nP=nQ=50,mi_difference,0.01,2x2,uniform,,,first,additive,0.02,q_higher,0.01,0.02,0.03,50,50,pair_843b32122b86c600,config_8f8fb2f26b8d4764
display_00029,main,main_2x2_moderate,uniform,uniform,50,nP=nQ=50,mi_difference,0.02,2x2,uniform,,,first,additive,0.02,q_higher,0.02,0.02,0.04,50,50,pair_f92afa0319e6f637,config_20eaf232d9810c72
display_00030,main,main_2x2_moderate,uniform,uniform,100,nP=nQ=100,mi_difference,0.0,2x2,uniform,,,first,additive,0.02,q_higher,0.0,0.02,0.02,100,100,pair_0a0e0f72610302eb,config_d6d1509435679951
display_00031,main,main_2x2_moderate,uniform,uniform,100,nP=nQ=100,mi_difference,0.001,2x2,uniform,,,first,additive,0.02,q_higher,0.001,0.02,0.021,100,100,pair_0b7dd028d07380ef,config_2ff69a1b6be18f64
display_00032,main,main_2x2_moderate,uniform,uniform,100,nP=nQ=100,mi_difference,0.002,2x2,uniform,,,first,additive,0.02,q_higher,0.002,0.02,0.022,100,100,pair_5daadbd2d6c7623a,config_bc556b136708f793
display_00033,main,main_2x2_moderate,uniform,uniform,100,nP=nQ=100,mi_difference,0.005,2x2,uniform,,,first,additive,0.02,q_higher,0.005,0.02,0.025,100,100,pair_be82699e9841393d,config_4121dfff95a59892
display_00034,main,main_2x2_moderate,uniform,uniform,100,nP=nQ=100,mi_difference,0.01,2x2,uniform,,,first,additive,0.02,q_higher,0.01,0.02,0.03,100,100,pair_843b32122b86c600,config_786f54c4f147369a
display_00035,main,main_2x2_moderate,uniform,uniform,100,nP=nQ=100,mi_difference,0.02,2x2,uniform,,,first,additive,0.02,q_higher,0.02,0.02,0.04,100,100,pair_f92afa0319e6f637,config_185c7aa1bb226d6e
display_00036,main,main_2x2_large,uniform,uniform,250,nP=nQ=250,mi_difference,0.0,2x2,uniform,,,first,additive,0.02,q_higher,0.0,0.02,0.02,250,250,pair_0a0e0f72610302eb,config_f444816f31078de0
display_00037,main,main_2x2_large,uniform,uniform,250,nP=nQ=250,mi_difference,0.001,2x2,uniform,,,first,additive,0.02,q_higher,0.001,0.02,0.021,250,250,pair_0b7dd028d07380ef,config_83bb89be73c636af
display_00038,main,main_2x2_large,uniform,uniform,250,nP=nQ=250,mi_difference,0.002,2x2,uniform,,,first,additive,0.02,q_higher,0.002,0.02,0.022,250,250,pair_5daadbd2d6c7623a,config_3f7d9e70581e8119
display_00039,main,main_2x2_large,uniform,uniform,250,nP=nQ=250,mi_difference,0.005,2x2,uniform,,,first,additive,0.02,q_higher,0.005,0.02,0.025,250,250,pair_be82699e9841393d,config_ea64a8f3d9f65e56
display_00040,main,main_2x2_large,uniform,uniform,250,nP=nQ=250,mi_difference,0.01,2x2,uniform,,,first,additive,0.02,q_higher,0.01,0.02,0.03,250,250,pair_843b32122b86c600,config_ee18d7f5a5c99448
display_00041,main,main_2x2_large,uniform,uniform,250,nP=nQ=250,mi_difference,0.02,2x2,uniform,,,first,additive,0.02,q_higher,0.02,0.02,0.04,250,250,pair_f92afa0319e6f637,config_7ccfceaa19fea7ec
display_00042,main,main_2x2_large,uniform,uniform,500,nP=nQ=500,mi_difference,0.0,2x2,uniform,,,first,additive,0.02,q_higher,0.0,0.02,0.02,500,500,pair_0a0e0f72610302eb,config_303bed946ffe6b86
display_00043,main,main_2x2_large,uniform,uniform,500,nP=nQ=500,mi_difference,0.001,2x2,uniform,,,first,additive,0.02,q_higher,0.001,0.02,0.021,500,500,pair_0b7dd028d07380ef,config_49818bf23dc84b37
display_00044,main,main_2x2_large,uniform,uniform,500,nP=nQ=500,mi_difference,0.002,2x2,uniform,,,first,additive,0.02,q_higher,0.002,0.02,0.022,500,500,pair_5daadbd2d6c7623a,config_d18953f02cb5123d
display_00045,main,main_2x2_large,uniform,uniform,500,nP=nQ=500,mi_difference,0.005,2x2,uniform,,,first,additive,0.02,q_higher,0.005,0.02,0.025,500,500,pair_be82699e9841393d,config_c12708238b875b85
display_00046,main,main_2x2_large,uniform,uniform,500,nP=nQ=500,mi_difference,0.01,2x2,uniform,,,first,additive,0.02,q_higher,0.01,0.02,0.03,500,500,pair_843b32122b86c600,config_41ca58b0dea3d52a
display_00047,main,main_2x2_large,uniform,uniform,500,nP=nQ=500,mi_difference,0.02,2x2,uniform,,,first,additive,0.02,q_higher,0.02,0.02,0.04,500,500,pair_f92afa0319e6f637,config_b3536c80f352ad7e
display_00048,main,main_2x2_large,uniform,uniform,1000,nP=nQ=1000,mi_difference,0.0,2x2,uniform,,,first,additive,0.02,q_higher,0.0,0.02,0.02,1000,1000,pair_0a0e0f72610302eb,config_700945d218841f2e
display_00049,main,main_2x2_large,uniform,uniform,1000,nP=nQ=1000,mi_difference,0.001,2x2,uniform,,,first,additive,0.02,q_higher,0.001,0.02,0.021,1000,1000,pair_0b7dd028d07380ef,config_10845e5343bd1ea4
display_00050,main,main_2x2_large,uniform,uniform,1000,nP=nQ=1000,mi_difference,0.002,2x2,uniform,,,first,additive,0.02,q_higher,0.002,0.02,0.022,1000,1000,pair_5daadbd2d6c7623a,config_57e6cfa435e91943
display_00051,main,main_2x2_large,uniform,uniform,1000,nP=nQ=1000,mi_difference,0.005,2x2,uniform,,,first,additive,0.02,q_higher,0.005,0.02,0.025,1000,1000,pair_be82699e9841393d,config_6aa2e210ae2aae5b
display_00052,main,main_2x2_large,uniform,uniform,1000,nP=nQ=1000,mi_difference,0.01,2x2,uniform,,,first,additive,0.02,q_higher,0.01,0.02,0.03,1000,1000,pair_843b32122b86c600,config_a4638330abec5db2
display_00053,main,main_2x2_large,uniform,uniform,1000,nP=nQ=1000,mi_difference,0.02,2x2,uniform,,,first,additive,0.02,q_higher,0.02,0.02,0.04,1000,1000,pair_f92afa0319e6f637,config_2b62fe971dca8d78
display_00054,main,main_2x2_small,same_skew,same skew,2,nP=nQ=2,mi_difference,0.0,2x2,same_skew,,,first,additive,0.02,q_higher,0.0,0.02,0.02,2,2,pair_cd3f51adc4b4ed85,config_ceca18acdc35d810
display_00055,main,main_2x2_small,same_skew,same skew,2,nP=nQ=2,mi_difference,0.001,2x2,same_skew,,,first,additive,0.02,q_higher,0.001,0.02,0.021,2,2,pair_9fab52b2674275fb,config_24d852d1a38bafbf
display_00056,main,main_2x2_small,same_skew,same skew,2,nP=nQ=2,mi_difference,0.002,2x2,same_skew,,,first,additive,0.02,q_higher,0.002,0.02,0.022,2,2,pair_c6d13f7ebf1a5166,config_8ef67e9b96c5efbe
