absolute_mi_difference,achieved_mi_p,achieved_mi_q,both_reject,columns,configuration_id,constructor,dominant_p,dominant_q,method_a,method_b,n_p,n_q,neither_rejects,nominal_alpha,only_method_a_rejects,only_method_b_rejects,pair_id,paired_95_high,paired_95_low,paired_standard_error,pattern,profile,rejection_rate_difference_a_minus_b,replicates,rows,shape,signed_mi_difference_q_minus_p,simulation_seed,target_mi_p,target_mi_q
0.005000000000000469,0.019999999999999858,0.025000000000000328,177,3,config_0003558e2ef57471,additive,,,expanded_welch,normal_wald,50,100,19496,0.05,0,327,pair_bb0d270c06c57be5,-0.014592355223613714,-0.018107644776386288,0.000896757538972595,first,same_skew,-0.01635,20000,3,3x3,0.005000000000000469,4377233141809755131,0.02,0.025
0.010000000000000252,0.03000000000000011,0.019999999999999858,293,3,config_0007e6d799a5d588,additive,,,expanded_welch,normal_wald,100,50,19269,0.05,0,438,pair_fc844d27f7ad1eda,-0.019871543877005925,-0.023928456122994074,0.001034926593364323,first,different_skew,-0.0219,20000,3,3x3,-0.010000000000000252,11160991276479422689,0.03,0.02
5.000000000015783e-05,9.999999999872636e-06,6.000000000003047e-05,2937,3,config_000cd4accbe31faf,additive,0.99,0.995,expanded_welch,normal_wald,10000,10000,17063,0.05,0,0,pair_0781fad02073b5c0,0.0,0.0,0.0,first,custom_extreme,0.0,20000,3,3x3,5.000000000015783e-05,1854494313619354327,1e-05,6e-05
1.0018028073766061e-16,0.0001000000000000523,9.999999999995212e-05,20,3,config_001f81d34c1b821e,additive,,,expanded_welch,normal_wald,1000,1000,19940,0.05,0,40,pair_f7bc22e75aacc70b,-0.0013807982150037621,-0.002619201784996238,0.00031591927805930503,rare,different_skew,-0.002,20000,3,3x3,-1.0018028073766061e-16,15357168278137260510,0.0001,0.0001
0.00099999999999998,0.019999999999999872,0.020999999999999852,207,5,config_00359013490aeb20,additive,,,expanded_welch,normal_wald,250,250,19667,0.05,0,126,pair_ba448d12d6824f36,-0.005203395936619059,-0.007396604063380941,0.0005594918690719088,first,same_skew,-0.0063,20000,5,5x5,0.00099999999999998,13080142096733581624,0.02,0.021
0.0099999999999998,0.019999999999999993,0.029999999999999794,2532,5,config_00d2cc8ab3b820a8,additive,,,expanded_welch,normal_wald,1000,1000,17336,0.05,0,132,pair_4d27465cf0425ea3,-0.005477759399059934,-0.007722240600940066,0.0005725717351735029,first,uniform,-0.0066,20000,5,5x5,0.0099999999999998,8933061012307928862,0.02,0.03
0.00500000000000007,0.01999999999999993,0.025,193,5,config_00d6ac2fbc68a31f,additive,,,expanded_welch,normal_wald,100,100,19679,0.05,0,128,pair_c67ddcfe92c8546c,-0.005294782610309663,-0.007505217389690338,0.0005638864233113969,first,same_skew,-0.0064,20000,3,3x5,0.00500000000000007,12262455350870053506,0.02,0.025
0.01999999999999996,0.0010000000000000668,0.021000000000000026,17124,2,config_010684da9fee7a90,additive,,,expanded_welch,normal_wald,1000,1000,1899,0.05,0,977,pair_06056104d4051773,-0.04586249444625258,-0.051837505553747415,0.0015242375274221534,first,same_skew,-0.04885,20000,2,2x2,0.01999999999999996,9757939234626813366,0.001,0.021
0.0050000000000001155,0.01999999999999985,0.024999999999999967,0,2,config_0111e5cba0cda0ed,additive,,,expanded_welch,normal_wald,5,5,18092,0.05,0,1908,pair_be82699e9841393d,-0.09132850027106693,-0.09947149972893307,0.0020772957800678973,first,uniform,-0.0954,20000,2,2x2,0.0050000000000001155,13161666581341489891,0.02,0.025
0.001999999999999988,0.019999999999999993,0.02199999999999998,1012,5,config_01173a2bdde90cc0,additive,,,expanded_welch,normal_wald,50,50,18641,0.05,0,347,pair_1d9f93247e70de8d,-0.015540322861732724,-0.019159677138267276,0.0009233046623812635,first,uniform,-0.01735,20000,5,5x5,0.001999999999999988,13540901472243109767,0.02,0.022
0.0004999999999999527,0.00010000000000004715,0.0006,268,5,config_0141fb046d563f7c,additive,,,expanded_welch,normal_wald,1000,1000,19484,0.05,0,248,pair_bacb12ca9b7d63aa,-0.010866254454621008,-0.013933745545378991,0.0007825232374382607,rare,different_skew,-0.0124,20000,5,5x5,0.0004999999999999527,17696339338018764925,0.0001,0.0006000000000000001
5.000000000017978e-05,9.999999999821938e-06,6.0000000000001716e-05,0,8,config_01441096b2f80d6d,additive,0.999,0.9995,expanded_welch,normal_wald,2,2,20000,0.05,0,0,pair_3158bce05e061be8,0.0,0.0,0.0,first,custom_extreme,0.0,20000,8,8x8,5.000000000017978e-05,2804491001022694385,1e-05,6e-05
