pair_id,shape,rows,columns,profile,dominant_p,dominant_q,constructor,pattern,target_mi_p,target_mi_q,achieved_mi_p,achieved_mi_q,signed_mi_difference_q_minus_p,absolute_mi_difference,strength_p,strength_q,endpoint_strength_p,endpoint_strength_q,endpoint_mi_p,endpoint_mi_q,normalization_error_p,normalization_error_q,row_margin_error_p,row_margin_error_q,column_margin_error_p,column_margin_error_q,minimum_probability_p,minimum_probability_q,population_variance_p,population_variance_q,row_margin_p_json,column_margin_p_json,row_margin_q_json,column_margin_q_json,direction_json,probability_p_json,probability_q_json
pair_002394c5f121757e,2x2,2,2,same_skew,,,additive,first,0.02,0.03,0.01999999999999995,0.029999999999999513,0.009999999999999565,0.009999999999999565,0.03381563798212481,0.04174587312598583,0.15999999999999998,0.15999999999999998,0.5004024235381878,0.5004024235381878,2.220446049250313e-16,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.07381563798212479,0.0817458731259858,0.04332276315069767,0.06520054855234748,"[0.8,0.19999999999999996]","[0.8,0.19999999999999996]","[0.8,0.19999999999999996]","[0.8,0.19999999999999996]","[[1.0,-1.0],[-1.0,1.0]]","[[0.673815637982125,0.12618436201787517],[0.12618436201787517,0.07381563798212479]]","[[0.681745873125986,0.11825412687401415],[0.11825412687401415,0.0817458731259858]]"
pair_012d84848d04d69a,8x8,8,8,same_skew,,,additive,first,0.001,0.021,0.0010000000000001032,0.02100000000000014,0.02000000000000004,0.02000000000000004,0.001484560076532647,0.009392590229922412,0.022857142857142854,0.022857142857142854,0.10297610673988539,0.10297610673988539,2.220446049250313e-16,4.440892098500626e-16,0.0,1.1102230246251565e-16,2.220446049250313e-16,4.440892098500626e-16,0.0008163265306122445,0.0008163265306122445,0.0026658686942451684,0.07238872786189159,"[0.8,0.028571428571428564,0.028571428571428564,0.028571428571428564,0.028571428571428564,0.028571428571428564,0.028571428571428564,0.028571428571428564]","[0.8,0.028571428571428564,0.028571428571428564,0.028571428571428564,0.028571428571428564,0.028571428571428564,0.028571428571428564,0.028571428571428564]","[0.8,0.028571428571428564,0.028571428571428564,0.028571428571428564,0.028571428571428564,0.028571428571428564,0.028571428571428564,0.028571428571428564]","[0.8,0.028571428571428564,0.028571428571428564,0.028571428571428564,0.028571428571428564,0.028571428571428564,0.028571428571428564,0.028571428571428564]","[[1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0],[-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]","[[0.6414845600765328,0.021372582780610206,0.022857142857142854,0.022857142857142854,0.022857142857142854,0.022857142857142854,0.022857142857142854,0.022857142857142854],[0.021372582780610206,0.0023008866071448915,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445],[0.022857142857142854,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445],[0.022857142857142854,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445],[0.022857142857142854,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445],[0.022857142857142854,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445],[0.022857142857142854,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445],[0.022857142857142854,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445]]","[[0.6493925902299226,0.013464552627220442,0.022857142857142854,0.022857142857142854,0.022857142857142854,0.022857142857142854,0.022857142857142854,0.022857142857142854],[0.013464552627220442,0.010208916760534656,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445],[0.022857142857142854,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445],[0.022857142857142854,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445],[0.022857142857142854,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445],[0.022857142857142854,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445],[0.022857142857142854,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445],[0.022857142857142854,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445]]"
pair_015eb7f63314527a,3x3,3,3,different_skew,,,additive,first,0.0001,0.0006000000000000001,9.999999999999766e-05,0.0006000000000000068,0.0005000000000000091,0.0005000000000000091,0.0017606030989501605,0.003193220177344618,0.10500000000000001,0.07999999999999999,0.3366844631543533,0.2825539976328558,0.0,0.0,0.0,0.0,0.0,0.0,0.022500000000000006,0.009999999999999995,0.00020305723577006193,0.0012836184821723075,"[0.7,0.15000000000000002,0.15000000000000002]","[0.7,0.15000000000000002,0.15000000000000002]","[0.8,0.09999999999999998,0.09999999999999998]","[0.8,0.09999999999999998,0.09999999999999998]","[[1.0,-1.0,0.0],[-1.0,1.0,0.0],[0.0,0.0,0.0]]","[[0.4917606030989501,0.10323939690104984,0.10500000000000001],[0.10323939690104984,0.024260603098950166,0.022500000000000006],[0.10500000000000001,0.022500000000000006,0.022500000000000006]]","[[0.6431932201773447,0.07680677982265537,0.07999999999999999],[0.07680677982265537,0.013193220177344613,0.009999999999999995],[0.07999999999999999,0.009999999999999995,0.009999999999999995]]"
pair_028ce0ffa99b3aba,8x8,8,8,different_skew,,,additive,first,0.001,0.021,0.0010000000000003517,0.02100000000000014,0.01999999999999979,0.01999999999999979,0.002037586144923974,0.009392590229922412,0.030000000000000002,0.022857142857142854,0.12171864865838311,0.10297610673988539,2.220446049250313e-16,4.440892098500626e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,4.440892098500626e-16,0.0018367346938775516,0.0008163265306122445,0.002442467210882235,0.07238872786189159,"[0.7,0.042857142857142864,0.042857142857142864,0.042857142857142864,0.042857142857142864,0.042857142857142864,0.042857142857142864,0.042857142857142864]","[0.7,0.042857142857142864,0.042857142857142864,0.042857142857142864,0.042857142857142864,0.042857142857142864,0.042857142857142864,0.042857142857142864]","[0.8,0.028571428571428564,0.028571428571428564,0.028571428571428564,0.028571428571428564,0.028571428571428564,0.028571428571428564,0.028571428571428564]","[0.8,0.028571428571428564,0.028571428571428564,0.028571428571428564,0.028571428571428564,0.028571428571428564,0.028571428571428564,0.028571428571428564]","[[1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0],[-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]","[[0.49203758614492393,0.02796241385507603,0.030000000000000002,0.030000000000000002,0.030000000000000002,0.030000000000000002,0.030000000000000002,0.030000000000000002],[0.02796241385507603,0.0038743208388015253,0.0018367346938775516,0.0018367346938775516,0.0018367346938775516,0.0018367346938775516,0.0018367346938775516,0.0018367346938775516],[0.030000000000000002,0.0018367346938775516,0.0018367346938775516,0.0018367346938775516,0.0018367346938775516,0.0018367346938775516,0.0018367346938775516,0.0018367346938775516],[0.030000000000000002,0.0018367346938775516,0.0018367346938775516,0.0018367346938775516,0.0018367346938775516,0.0018367346938775516,0.0018367346938775516,0.0018367346938775516],[0.030000000000000002,0.0018367346938775516,0.0018367346938775516,0.0018367346938775516,0.0018367346938775516,0.0018367346938775516,0.0018367346938775516,0.0018367346938775516],[0.030000000000000002,0.0018367346938775516,0.0018367346938775516,0.0018367346938775516,0.0018367346938775516,0.0018367346938775516,0.0018367346938775516,0.0018367346938775516],[0.030000000000000002,0.0018367346938775516,0.0018367346938775516,0.0018367346938775516,0.0018367346938775516,0.0018367346938775516,0.0018367346938775516,0.0018367346938775516],[0.030000000000000002,0.0018367346938775516,0.0018367346938775516,0.0018367346938775516,0.0018367346938775516,0.0018367346938775516,0.0018367346938775516,0.0018367346938775516]]","[[0.6493925902299226,0.013464552627220442,0.022857142857142854,0.022857142857142854,0.022857142857142854,0.022857142857142854,0.022857142857142854,0.022857142857142854],[0.013464552627220442,0.010208916760534656,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445],[0.022857142857142854,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445],[0.022857142857142854,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445],[0.022857142857142854,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445],[0.022857142857142854,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445],[0.022857142857142854,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445],[0.022857142857142854,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445,0.0008163265306122445]]"
pair_02f6cb63c11f31a4,2x3,2,3,same_skew,,,additive,first,0.02,0.04,0.019999999999999914,0.039999999999999994,0.02000000000000008,0.02000000000000008,0.026105224710243853,0.037647095565926034,0.07999999999999999,0.07999999999999999,0.19029580247121053,0.19029580247121053,0.0,0.0,1.1102230246251565e-16,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.01999999999999999,0.01999999999999999,0.04548199191626259,0.0911523916926828,"[0.8,0.19999999999999996]","[0.8,0.09999999999999998,0.09999999999999998]","[0.8,0.19999999999999996]","[0.8,0.09999999999999998,0.09999999999999998]","[[1.0,-1.0,0.0],[-1.0,1.0,0.0]]","[[0.666105224710244,0.053894775289756135,0.07999999999999999],[0.13389477528975613,0.04610522471024384,0.01999999999999999]]","[[0.6776470955659262,0.042352904434073954,0.07999999999999999],[0.12235290443407394,0.057647095565926024,0.01999999999999999]]"
pair_03111d5d2bd9570f,2x3,2,3,uniform,,,additive,first,0.02,0.021,0.019999999999999934,0.020999999999999963,0.0010000000000000286,0.0010000000000000286,0.040619356406538874,0.04161185338596836,0.16666666666666666,0.16666666666666666,0.4620981203732969,0.4620981203732969,0.0,0.0,0.0,0.0,0.0,0.0,0.12604731026012778,0.12505481328069828,0.038991827580982685,0.0408880291467012,"[0.5,0.5]","[0.3333333333333333,0.3333333333333333,0.3333333333333333]","[0.5,0.5]","[0.3333333333333333,0.3333333333333333,0.3333333333333333]","[[1.0,-1.0,0.0],[-1.0,1.0,0.0]]","[[0.20728602307320554,0.12604731026012778,0.16666666666666666],[0.12604731026012778,0.20728602307320554,0.16666666666666666]]","[[0.20827852005263503,0.12505481328069828,0.16666666666666666],[0.12505481328069828,0.20827852005263503,0.16666666666666666]]"
pair_031e6b59e8a5a396,2x2,2,2,different_skew,,,additive,first,0.001,0.001,0.0010000000000000338,0.0010000000000000668,3.2959746043559335e-17,3.2959746043559335e-17,0.009440804657865676,0.007268135134036031,0.21000000000000002,0.15999999999999998,0.6108643020548935,0.5004024235381878,0.0,0.0,0.0,0.0,0.0,0.0,0.0994408046578657,0.04726813513403601,0.002019085100422628,0.002059324126960341,"[0.7,0.30000000000000004]","[0.7,0.30000000000000004]","[0.8,0.19999999999999996]","[0.8,0.19999999999999996]","[[1.0,-1.0],[-1.0,1.0]]","[[0.4994408046578656,0.20055919534213434],[0.20055919534213434,0.0994408046578657]]","[[0.6472681351340361,0.15273186486596393],[0.15273186486596393,0.04726813513403601]]"
pair_033e6541456c59c0,3x3,3,3,different_skew,,,additive,first,0.0001,0.0101,9.999999999999766e-05,0.010099999999999991,0.009999999999999993,0.009999999999999993,0.0017606030989501605,0.014255431589693791,0.10500000000000001,0.07999999999999999,0.3366844631543533,0.2825539976328558,0.0,0.0,0.0,0.0,0.0,0.0,0.022500000000000006,0.009999999999999995,0.00020305723577006193,0.02432246474552507,"[0.7,0.15000000000000002,0.15000000000000002]","[0.7,0.15000000000000002,0.15000000000000002]","[0.8,0.09999999999999998,0.09999999999999998]","[0.8,0.09999999999999998,0.09999999999999998]","[[1.0,-1.0,0.0],[-1.0,1.0,0.0],[0.0,0.0,0.0]]","[[0.4917606030989501,0.10323939690104984,0.10500000000000001],[0.10323939690104984,0.024260603098950166,0.022500000000000006],[0.10500000000000001,0.022500000000000006,0.022500000000000006]]","[[0.6542554315896939,0.0657445684103062,0.07999999999999999],[0.0657445684103062,0.024255431589693788,0.009999999999999995],[0.07999999999999999,0.009999999999999995,0.009999999999999995]]"
pair_044ca02471910581,2x2,2,2,different_skew,,,additive,first,0.001,0.011,0.0010000000000000338,0.010999999999999777,0.009999999999999743,0.009999999999999743,0.009440804657865676,0.024805572696151308,0.21000000000000002,0.15999999999999998,0.6108643020548935,0.5004024235381878,0.0,0.0,0.0,1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.0994408046578657,0.06480557269615128,0.002019085100422628,0.023601509669493176,"[0.7,0.30000000000000004]","[0.7,0.30000000000000004]","[0.8,0.19999999999999996]","[0.8,0.19999999999999996]","[[1.0,-1.0],[-1.0,1.0]]","[[0.4994408046578656,0.20055919534213434],[0.20055919534213434,0.0994408046578657]]","[[0.6648055726961515,0.13519442730384867],[0.13519442730384867,0.06480557269615128]]"
pair_04c288e974286575,2x2,2,2,uniform,,,additive,first,0.001,0.001,0.0009999999999999593,0.0009999999999999593,0.0,0.0,0.01117847609356764,0.01117847609356764,0.25,0.25,0.6931471805599453,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.23882152390643235,0.23882152390643235,0.0019979995552440993,0.0019979995552440993,"[0.5,0.5]","[0.5,0.5]","[0.5,0.5]","[0.5,0.5]","[[1.0,-1.0],[-1.0,1.0]]","[[0.26117847609356765,0.23882152390643235],[0.23882152390643235,0.26117847609356765]]","[[0.26117847609356765,0.23882152390643235],[0.23882152390643235,0.26117847609356765]]"
