shape,profile,n_p,n_q,baseline_mi,mi_difference,method,median_microseconds,q1_microseconds,q3_microseconds,valid_rate,expanded_to_wald_ratio
2x2,different_skew,20,20,0.02,0.0,expanded_welch,146.042,145.5,146.67725000000002,0.97,1.7232094395280235
2x2,different_skew,20,20,0.02,0.0,normal_wald,84.75,84.57275,85.041,1.0,1.7232094395280235
2x2,different_skew,20,20,0.02,0.02,expanded_welch,147.9795,146.69825,148.5515,0.98,1.741795946232256
2x2,different_skew,20,20,0.02,0.02,normal_wald,84.958,84.66675000000001,85.167,1.0,1.741795946232256
2x2,different_skew,100,100,0.02,0.0,expanded_welch,150.041,149.417,151.3015,1.0,1.7480572740088312
2x2,different_skew,100,100,0.02,0.0,normal_wald,85.833,85.53075,86.333,1.0,1.7480572740088312
2x2,different_skew,100,100,0.02,0.02,expanded_welch,149.333,148.625,150.31275,1.0,1.7577066585058674
2x2,different_skew,100,100,0.02,0.02,normal_wald,84.959,84.75,85.333,1.0,1.7577066585058674
2x2,different_skew,1000,1000,0.02,0.0,expanded_welch,149.08350000000002,148.6145,149.417,1.0,1.7599591540400317
2x2,different_skew,1000,1000,0.02,0.0,normal_wald,84.7085,84.40575,85.0,1.0,1.7599591540400317
2x2,different_skew,1000,1000,0.02,0.02,expanded_welch,149.042,148.75,149.45825,1.0,1.761205317577548
2x2,different_skew,1000,1000,0.02,0.02,normal_wald,84.625,84.292,85.125,1.0,1.761205317577548
2x2,uniform,20,20,0.02,0.0,expanded_welch,148.417,147.542,149.85399999999998,0.98,1.7533950416738042
2x2,uniform,20,20,0.02,0.0,normal_wald,84.6455,84.041,85.09425,0.995,1.7533950416738042
2x2,uniform,20,20,0.02,0.02,expanded_welch,147.542,147.042,148.334,0.99,1.751240356083086
2x2,uniform,20,20,0.02,0.02,normal_wald,84.25,83.82275,84.583,1.0,1.751240356083086
2x2,uniform,100,100,0.02,0.0,expanded_welch,147.4375,146.61475000000002,148.34425,1.0,1.748702742772424
2x2,uniform,100,100,0.02,0.0,normal_wald,84.3125,83.75,84.79124999999999,1.0,1.748702742772424
2x2,uniform,100,100,0.02,0.02,expanded_welch,150.0,149.07274999999998,151.375,1.0,1.7751479289940828
2x2,uniform,100,100,0.02,0.02,normal_wald,84.5,83.32275,84.917,1.0,1.7751479289940828
2x2,uniform,1000,1000,0.02,0.0,expanded_welch,149.60399999999998,148.78075,150.542,1.0,1.7463433994420252
2x2,uniform,1000,1000,0.02,0.0,normal_wald,85.667,85.167,86.292,1.0,1.7463433994420252
2x2,uniform,1000,1000,0.02,0.02,expanded_welch,146.375,145.5,147.6975,1.0,1.7279847949143239
2x2,uniform,1000,1000,0.02,0.02,normal_wald,84.7085,84.5,84.959,1.0,1.7279847949143239
3x3,different_skew,20,20,0.02,0.0,expanded_welch,150.583,149.1565,152.3025,0.95,1.7882267718031541
3x3,different_skew,20,20,0.02,0.0,normal_wald,84.208,83.875,84.708,1.0,1.7882267718031541
3x3,different_skew,20,20,0.02,0.02,expanded_welch,150.708,149.542,151.67725000000002,0.99,1.7708581802372376
3x3,different_skew,20,20,0.02,0.02,normal_wald,85.1045,84.792,85.5935,1.0,1.7708581802372376
3x3,different_skew,100,100,0.02,0.0,expanded_welch,149.97899999999998,148.9065,150.917,1.0,1.7627375621451993
3x3,different_skew,100,100,0.02,0.0,normal_wald,85.083,84.58375000000001,85.59425,1.0,1.7627375621451993
3x3,different_skew,100,100,0.02,0.02,expanded_welch,150.14600000000002,148.958,151.1355,1.0,1.772512631628654
