configuration_id,pair_id,shape,rows,columns,profile,dominant_p,dominant_q,constructor,pattern,target_mi_p,target_mi_q,achieved_mi_p,achieved_mi_q,signed_mi_difference_q_minus_p,absolute_mi_difference,n_p,n_q,replicates,simulation_seed
config_001f81d34c1b821e,pair_f7bc22e75aacc70b,3x3,3,3,different_skew,,,additive,rare,0.0001,0.0001,0.0001000000000000523,9.999999999995212e-05,-1.0018028073766061e-16,1.0018028073766061e-16,1000,1000,200,2383407784245440090
config_010684da9fee7a90,pair_06056104d4051773,2x2,2,2,same_skew,,,additive,first,0.001,0.021,0.0010000000000000668,0.021000000000000026,0.01999999999999996,0.01999999999999996,1000,1000,200,8200041307714885991
config_01868a15f2608864,pair_2aa0194ab390e9b2,2x2,2,2,same_skew,,,additive,first,0.0,0.02,0.0,0.01999999999999995,0.01999999999999995,0.01999999999999995,2,2,200,14684810245259009593
config_0333fbc87b502f0b,pair_3d616241f2c6e275,3x3,3,3,different_skew,,,additive,rare,0.0001,0.0021,0.0001000000000000523,0.002099999999999989,0.0019999999999999367,0.0019999999999999367,1000,1000,200,3913771294238885401
config_0375c4a204613747,pair_f92afa0319e6f637,2x2,2,2,uniform,,,additive,first,0.02,0.04,0.01999999999999985,0.04000000000000002,0.02000000000000017,0.02000000000000017,2,2,200,13034142029353117507
config_04019316e6e03ce2,pair_d4423a2fa1922834,2x2,2,2,uniform,,,additive,first,0.0001,0.0201,9.999999999994562e-05,0.02009999999999973,0.019999999999999782,0.019999999999999782,20,20,200,18276232957914195524
config_07d9e54989408104,pair_7ce1d258fd1cfc5a,5x5,5,5,same_skew,,,additive,first,0.02,0.04,0.019999999999999872,0.03999999999999988,0.02000000000000001,0.02000000000000001,500,500,200,11085907747945780977
config_0bad497f06694faf,pair_8530c1b9f8c78768,5x5,5,5,different_skew,,,additive,first,0.02,0.02,0.019999999999999993,0.019999999999999872,-1.214306433183765e-16,1.214306433183765e-16,20,20,200,13892995187018788192
config_0c757d6b458b4ea9,pair_56cef8de2831de56,5x5,5,5,different_skew,,,loglinear,first,0.02,0.02,0.019999999999999817,0.019999999999999712,-1.0408340855860843e-16,1.0408340855860843e-16,20,20,200,8614347372113581476
config_0ca3eae811a6f63d,pair_86dc09f24e35e3ec,8x8,8,8,different_skew,,,additive,first,0.0001,0.0021,9.999999999998935e-05,0.002100000000000006,0.0020000000000000165,0.0020000000000000165,20,20,200,5047406343257828000
config_0ce6433c2e25fb9b,pair_915fd4445dd7693e,3x3,3,3,uniform,,,additive,first,0.02,0.02,0.01999999999999999,0.01999999999999999,0.0,0.0,500,500,200,13425691934280988387
config_0d0b3f22a9f3adc8,pair_9584ef4a7c5207d0,8x8,8,8,same_skew,,,additive,first,0.02,0.04,0.019999999999999997,0.03999999999999959,0.019999999999999594,0.019999999999999594,20,20,200,17377531222578744029
