source,alpha,method,scenarios,mean_fpr,mean_absolute_fpr_error,median_absolute_fpr_error,mean_valid_rate,improved_vs_normal,worsened_vs_normal,tied_vs_normal
decisive_hard,0.1,normal,12,0.11676666666666669,0.016766666666666662,0.014424999999999993,1.0,0,0,12
decisive_hard,0.1,naive_welch,12,0.11565416666666666,0.01565416666666666,0.013474999999999994,1.0,12,0,0
decisive_hard,0.1,local_kurtosis,12,0.11424583333333332,0.014245833333333327,0.012799999999999992,1.0,12,0,0
decisive_hard,0.1,variance_if,12,0.11213333333333335,0.012133333333333324,0.010574999999999994,1.0,12,0,0
decisive_hard,0.1,oracle_variance_normal,12,0.111325,0.011324999999999993,0.011774999999999994,1.0,9,3,0
decisive_hard,0.05,normal,12,0.06270416666666667,0.012704166666666664,0.011549999999999998,1.0,0,0,12
decisive_hard,0.05,naive_welch,12,0.06169166666666667,0.011691666666666664,0.010574999999999994,1.0,12,0,0
decisive_hard,0.05,local_kurtosis,12,0.06040416666666667,0.010404166666666666,0.009199999999999996,1.0,12,0,0
decisive_hard,0.05,variance_if,12,0.058229166666666665,0.008229166666666664,0.007274999999999997,1.0,12,0,0
decisive_hard,0.05,oracle_variance_normal,12,0.05770416666666667,0.007854166666666666,0.008124999999999997,1.0,9,3,0
decisive_hard,0.01,normal,12,0.015674999999999998,0.005675,0.004824999999999999,1.0,0,0,12
decisive_hard,0.01,naive_welch,12,0.015058333333333335,0.005058333333333334,0.0044,1.0,12,0,0
decisive_hard,0.01,local_kurtosis,12,0.014279166666666667,0.004279166666666666,0.004075,1.0,12,0,0
decisive_hard,0.01,variance_if,12,0.0126625,0.0026624999999999995,0.0023999999999999994,1.0,12,0,0
decisive_hard,0.01,oracle_variance_normal,12,0.013425000000000001,0.003541666666666667,0.003,1.0,10,2,0
fresh_holdout,0.1,normal,72,0.10081388888888888,0.006577777777777778,0.005499999999999998,1.0,0,0,72
fresh_holdout,0.1,naive_welch,72,0.10049583333333334,0.006395833333333333,0.005399999999999995,1.0,22,18,32
fresh_holdout,0.1,local_kurtosis,72,0.10020833333333333,0.006227777777777778,0.005199999999999996,1.0,26,20,26
fresh_holdout,0.1,variance_if,72,0.09834861111111111,0.006651388888888892,0.0058,1.0,26,44,2
fresh_holdout,0.1,oracle_variance_normal,72,0.11036527777777778,0.010679166666666663,0.008949999999999993,1.0,20,52,0
fresh_holdout,0.05,normal,72,0.05070694444444444,0.004631944444444445,0.0039000000000000007,1.0,0,0,72
fresh_holdout,0.05,naive_welch,72,0.050458333333333334,0.004447222222222222,0.0038500000000000027,1.0,25,14,33
fresh_holdout,0.05,local_kurtosis,72,0.05018888888888889,0.004230555555555556,0.0038500000000000027,1.0,27,15,30
fresh_holdout,0.05,variance_if,72,0.04863194444444444,0.004456944444444446,0.003700000000000002,1.0,28,39,5
fresh_holdout,0.05,oracle_variance_normal,72,0.05748055555555556,0.007563888888888886,0.006199999999999997,1.0,17,53,2
fresh_holdout,0.01,normal,72,0.010531944444444444,0.002001388888888889,0.0014999999999999996,1.0,0,0,72
fresh_holdout,0.01,naive_welch,72,0.010380555555555554,0.0018972222222222222,0.00145,1.0,23,8,41
fresh_holdout,0.01,local_kurtosis,72,0.010225,0.0017972222222222224,0.0013000000000000008,1.0,27,14,31
fresh_holdout,0.01,variance_if,72,0.009391666666666666,0.0017250000000000002,0.0014000000000000002,1.0,30,31,11
fresh_holdout,0.01,oracle_variance_normal,72,0.013175,0.0032555555555555554,0.0026999999999999993,1.0,16,55,1
fresh_holdout_hard,0.1,normal,6,0.11553333333333334,0.015533333333333328,0.013049999999999992,1.0,0,0,6
fresh_holdout_hard,0.1,naive_welch,6,0.11430000000000001,0.014299999999999993,0.011899999999999994,1.0,6,0,0
fresh_holdout_hard,0.1,local_kurtosis,6,0.11306666666666665,0.013066666666666659,0.01054999999999999,1.0,6,0,0
fresh_holdout_hard,0.1,variance_if,6,0.11166666666666668,0.011666666666666664,0.00845,1.0,6,0,0
fresh_holdout_hard,0.1,oracle_variance_normal,6,0.11036666666666667,0.011799999999999996,0.012299999999999991,1.0,2,4,0
fresh_holdout_hard,0.05,normal,6,0.05993333333333334,0.00993333333333333,0.007099999999999995,1.0,0,0,6
fresh_holdout_hard,0.05,naive_welch,6,0.05911666666666666,0.009116666666666664,0.006149999999999999,1.0,6,0,0
fresh_holdout_hard,0.05,local_kurtosis,6,0.057749999999999996,0.0077499999999999965,0.005349999999999997,1.0,6,0,0
fresh_holdout_hard,0.05,variance_if,6,0.05661666666666667,0.006616666666666666,0.0034999999999999996,1.0,6,0,0
fresh_holdout_hard,0.05,oracle_variance_normal,6,0.05773333333333333,0.008366666666666666,0.008249999999999997,1.0,2,4,0
fresh_holdout_hard,0.01,normal,6,0.014066666666666667,0.004066666666666666,0.0033999999999999994,1.0,0,0,6
fresh_holdout_hard,0.01,naive_welch,6,0.0136,0.003599999999999999,0.002999999999999999,1.0,6,0,0
fresh_holdout_hard,0.01,local_kurtosis,6,0.01283333333333333,0.003166666666666667,0.0025000000000000005,1.0,6,0,0
fresh_holdout_hard,0.01,variance_if,6,0.012183333333333332,0.002316666666666667,0.0012499999999999994,1.0,6,0,0
fresh_holdout_hard,0.01,oracle_variance_normal,6,0.012566666666666665,0.003166666666666666,0.00345,1.0,1,5,0
