source,scenario_key,scenario_id,design_index,rows,columns,n_p,n_q,replicates,simulation_seed,true_variance_p,mean_estimated_variance_p,estimated_to_true_variance_ratio_p,true_variance_q,mean_estimated_variance_q,estimated_to_true_variance_ratio_q,estimated_to_true_se2_ratio,empirical_delta_variance_to_true_se2,mean_corrected_delta_in_se_units,correlation_delta_estimated_se2,empirical_component_df_p,population_variance_if_df_p,median_plugin_variance_if_df_p,empirical_component_df_q,population_variance_if_df_q,median_plugin_variance_if_df_q,empirical_total_df,population_variance_if_total_df,median_naive_total_df,median_local_kurtosis_total_df,median_plugin_variance_if_total_df,studentized_abs_q95,studentized_abs_q99,normal_fpr_10,normal_error_10,naive_welch_fpr_10,naive_welch_error_10,local_kurtosis_fpr_10,local_kurtosis_error_10,variance_if_fpr_10,variance_if_error_10,oracle_variance_normal_fpr_10,oracle_variance_normal_error_10,normal_fpr_05,normal_error_05,naive_welch_fpr_05,naive_welch_error_05,local_kurtosis_fpr_05,local_kurtosis_error_05,variance_if_fpr_05,variance_if_error_05,oracle_variance_normal_fpr_05,oracle_variance_normal_error_05,normal_fpr_01,normal_error_01,naive_welch_fpr_01,naive_welch_error_01,local_kurtosis_fpr_01,local_kurtosis_error_01,variance_if_fpr_01,variance_if_error_01,oracle_variance_normal_fpr_01,oracle_variance_normal_error_01,normal_valid_rate,naive_welch_valid_rate,local_kurtosis_valid_rate,variance_if_valid_rate,oracle_variance_normal_valid_rate
decisive_hard,hard:2026072501:random_2x2_d5,random_2x2_d5,5,2,2,120,480,20000,2653504670,0.230907870389228,0.2271445485751431,0.9837020634777789,0.23649161861282175,0.23609307160634022,0.9983147520879628,0.9866808666592706,1.0281107855824974,0.004745241722698035,0.7428422823914689,44.278554937895436,42.80303111216331,44.901602554320675,166.2174997071161,159.8927914517306,161.1769601778565,68.88814462578155,66.36352043853067,185.68887485007428,90.76856580410754,69.19920639099735,2.0791551199183487,2.8381684088982393,0.11435,0.014349999999999988,0.11305,0.013049999999999992,0.11015,0.010149999999999992,0.10875,0.008749999999999994,0.1026,0.002599999999999991,0.0629,0.012899999999999995,0.0614,0.0114,0.0589,0.008899999999999998,0.05715,0.007149999999999997,0.05365,0.0036500000000000005,0.01755,0.007549999999999999,0.0162,0.006199999999999999,0.0154,0.0054,0.01315,0.00315,0.0117,0.0017000000000000001,1.0,1.0,1.0,1.0,1.0
decisive_hard,hard:2026072501:random_2x5_d5,random_2x5_d5,5,2,5,120,480,20000,2731661549,0.20149889049695047,0.18402129159474162,0.9132620588673993,0.24140989016700568,0.24278487774237137,1.0056956555276775,0.9345664967730757,1.0191684566319668,-0.0048929245332117585,0.43708666551629455,26.87091672542747,31.26470031652491,29.461623920158196,160.9287868681927,149.50360241946495,158.03895168964377,46.59323708663156,51.82585506892879,206.27185986874383,124.35434725129711,52.13871050246651,2.0828639550971544,2.8195878355137425,0.11815,0.01815,0.1156,0.015599999999999989,0.11355,0.013549999999999993,0.11085,0.010849999999999999,0.10185,0.0018499999999999905,0.06375,0.013749999999999998,0.06255,0.012549999999999992,0.0608,0.010799999999999997,0.05815,0.008149999999999998,0.05015,0.00014999999999999736,0.01665,0.006650000000000001,0.01605,0.006049999999999998,0.0148,0.0048000000000000004,0.0133,0.003299999999999999,0.0126,0.0026,1.0,1.0,1.0,1.0,1.0
decisive_hard,hard:2026072501:random_3x7_d5,random_3x7_d5,5,3,7,210,840,20000,1961652137,0.26514519573472456,0.27063464506370294,1.0207035594733933,0.24829869387349351,0.2549155533325402,1.0266487888269678,1.0218313888185868,1.097139159244758,0.050193266970593405,0.7201908294951492,60.88014036514257,46.789055821918026,53.60125101374385,237.28148522170093,214.51104432029572,228.8087126781328,91.71378302707976,70.41980430787973,314.8780822837065,226.05053336274,81.01316149887082,2.045228254149848,2.7456350475982116,0.11575,0.01575,0.11465,0.014649999999999996,0.11415,0.014149999999999996,0.11095,0.010949999999999988,0.11455,0.014549999999999993,0.0617,0.011699999999999995,0.0602,0.010199999999999994,0.0595,0.009499999999999995,0.0572,0.007199999999999998,0.05935,0.009349999999999997,0.01495,0.0049499999999999995,0.01455,0.00455,0.01425,0.00425,0.01265,0.0026499999999999996,0.01425,0.00425,1.0,1.0,1.0,1.0,1.0
decisive_hard,hard:2026072501:random_4x6_d5,random_4x6_d5,5,4,6,240,960,20000,1821157158,0.23713124633113292,0.24416299935277722,1.0296534224419547,0.2416467574452628,0.24928905448342192,1.031625903525274,1.030053905532569,1.097279907771713,0.014008640482798321,0.5682441409302981,66.17049820259739,56.87606343509463,60.971151933821986,286.6689024732872,263.0205286650853,275.21349515994746,102.50008626994244,88.30766813675457,371.16352393461693,186.4636349485773,95.00685676694644,2.0439625825424796,2.7162110639821715,0.11265,0.012649999999999995,0.112,0.011999999999999997,0.1104,0.010399999999999993,0.10875,0.008749999999999994,0.1142,0.01419999999999999,0.0601,0.010099999999999998,0.05965,0.009649999999999999,0.0587,0.0087,0.05735,0.007349999999999995,0.0616,0.0116,0.0154,0.0054,0.0145,0.0045000000000000005,0.01405,0.00405,0.0129,0.0029,0.01365,0.0036500000000000005,1.0,1.0,1.0,1.0,1.0
decisive_hard,hard:2026072501:random_5x5_d5,random_5x5_d5,5,5,5,250,1000,20000,1059164562,0.2220389080085572,0.22241937229778888,1.0017135027939204,0.2473246358724261,0.25554454659995773,1.0332353091253377,1.008579425076596,1.072596134894798,0.0022576482159327557,0.5671330200194687,48.59130159723789,42.7425485218987,44.02818639353598,288.9666340217116,259.4554732254937,274.2033465232355,79.64753033573228,68.9808530355603,406.58713231487604,188.16731915756188,72.64578895933735,2.0268173017739515,2.7335904306296106,0.11265,0.012649999999999995,0.11195,0.011949999999999988,0.11105,0.01104999999999999,0.1079,0.00789999999999999,0.1114,0.011399999999999993,0.059,0.008999999999999994,0.0582,0.008199999999999999,0.05705,0.007049999999999994,0.0543,0.004299999999999998,0.0586,0.008599999999999997,0.0139,0.003899999999999999,0.01325,0.0032499999999999994,0.0127,0.0026999999999999993,0.01185,0.0018499999999999992,0.0137,0.0037,1.0,1.0,1.0,1.0,1.0
decisive_hard,hard:2026072501:random_5x10_d5,random_5x10_d5,5,5,10,500,2000,20000,518381952,0.2354914107451832,0.2348241381938715,0.9971664675615972,0.2614261021279734,0.27109597029116206,1.0369889161199943,1.0058175386248052,1.074809082625901,0.027565221506855038,0.5315672140448939,121.63320457680726,109.75344005747505,102.40160763067513,426.28217870538793,391.0071281522536,418.0157563342357,196.89781772949385,175.33659494517343,812.8352477444987,412.6581407360097,166.9083675817708,2.025963999956027,2.684096727628448,0.1133,0.013299999999999992,0.11285,0.01285,0.11245,0.012449999999999989,0.11125,0.011249999999999996,0.11195,0.011949999999999988,0.059,0.008999999999999994,0.05865,0.008649999999999998,0.0581,0.008099999999999996,0.05715,0.007149999999999997,0.0587,0.0087,0.01335,0.0033500000000000005,0.0132,0.0031999999999999997,0.01285,0.00285,0.01215,0.002149999999999999,0.01305,0.0030500000000000006,1.0,1.0,1.0,1.0,1.0
decisive_hard,hard:2026072601:random_2x2_d5,random_2x2_d5,5,2,2,120,480,20000,2720269951,0.156542479097782,0.1346617863016206,0.8602252058210096,0.24864335711669647,0.2484975027375237,0.9994133992523906,0.8997858992099137,1.0053834482388688,0.004847940607534843,0.06411867605530741,24.13922109701097,42.25811094498138,46.52147983691704,138.0877625811849,137.92669251143602,138.78773204916482,49.74297629030282,78.68047180878631,244.89113552048514,318.03620321523937,95.62112462275732,2.078748324838033,2.6801180060912206,0.125,0.024999999999999994,0.12365,0.02364999999999999,0.12,0.01999999999999999,0.12115,0.021149999999999988,0.10085,0.0008499999999999897,0.0654,0.015399999999999997,0.06385,0.013850000000000001,0.06105,0.011049999999999997,0.0614,0.0114,0.0491,0.000900000000000005,0.01375,0.00375,0.0131,0.0031000000000000003,0.01135,0.0013500000000000005,0.0116,0.001599999999999999,0.0093,0.000700000000000001,1.0,1.0,1.0,1.0,1.0
decisive_hard,hard:2026072601:random_2x5_d5,random_2x5_d5,5,2,5,120,480,20000,4219056086,0.22468827104751443,0.21997812458905147,0.9790369722615966,0.24969930115055633,0.25221249764270937,1.010064891974358,0.9857831377686099,1.0367138475513618,-0.16266970642934883,0.7335599710219255,22.81859782156209,17.440010513407866,20.66608147090485,151.68578974131833,142.1678035814887,152.11076955853082,37.37218780135467,28.20973465957269,193.7652414084336,86.7827358997616,34.496725520320076,2.2080823019937434,3.0426013174877444,0.132,0.032,0.12985,0.029849999999999988,0.1277,0.027700000000000002,0.1218,0.0218,0.1116,0.0116,0.07745,0.027450000000000002,0.07565,0.025649999999999992,0.07285,0.022849999999999995,0.0661,0.016100000000000003,0.0558,0.0058,0.02395,0.013949999999999999,0.0228,0.0128,0.02055,0.010549999999999999,0.0144,0.004399999999999999,0.01225,0.0022500000000000003,1.0,1.0,1.0,1.0,1.0
decisive_hard,hard:2026072601:random_3x7_d5,random_3x7_d5,5,3,7,210,840,20000,2047521070,0.24703524418955858,0.24531917199898898,0.9930533305229403,0.2353941187083844,0.24073717305360032,1.0226983340728029,0.9987566891847249,1.0800014407674157,0.01571966942234798,0.5967475138545663,57.73791078513116,50.084079534474654,52.74824481040217,245.3308089128596,223.8717572547439,232.77746481986304,88.21324697747355,75.82559207641935,319.7704506620244,155.35955154676407,80.8814851584641,2.073285621240348,2.770281199069038,0.1177,0.017699999999999994,0.1168,0.016799999999999995,0.11575,0.01575,0.11355,0.013549999999999993,0.1122,0.012199999999999989,0.0633,0.013299999999999992,0.0624,0.012399999999999994,0.06155,0.011549999999999998,0.0592,0.0092,0.05765,0.007649999999999997,0.01685,0.00685,0.0165,0.006500000000000001,0.0158,0.005800000000000001,0.0138,0.0037999999999999996,0.01295,0.0029499999999999995,1.0,1.0,1.0,1.0,1.0
decisive_hard,hard:2026072601:random_4x6_d5,random_4x6_d5,5,4,6,240,960,20000,3632880741,0.24940645249201976,0.24934766772253034,0.9997643013286062,0.23890678467032878,0.24568882262203662,1.0283877997063435,1.0052945623125,1.0636305125286523,-0.0472385711613814,0.6923688010273636,63.109681796503466,56.825975266434774,53.195585615559565,262.72710085109776,236.85767251063095,251.4560735342081,96.92454553016212,86.11683075606717,366.3078561636264,253.4770698380679,81.96637402595148,2.055066821421116,2.735019970628648,0.1145,0.014499999999999999,0.1139,0.013899999999999996,0.11315,0.013149999999999995,0.11015,0.010149999999999992,0.1101,0.010099999999999998,0.0614,0.0114,0.06095,0.010949999999999994,0.06055,0.010549999999999997,0.05745,0.007449999999999998,0.0552,0.005199999999999996,0.0147,0.004699999999999999,0.0143,0.0043,0.0141,0.0040999999999999995,0.01215,0.002149999999999999,0.0129,0.0029,1.0,1.0,1.0,1.0,1.0
